RNA	Complexity Score	Complexity Rank
TNMD	0.0434782608693328	1
LIPE	0.0434782608693328	2
ASPA	0.0434782608693328	3
KCNIP2	0.0434782608693328	4
CD36	0.0434782608693328	5
RDH5	0.0434782608693328	6
ALDH1L1	0.0434782608693328	7
GLYAT	0.0434782608693328	8
PLIN1	0.0434782608693328	9
GPD1	0.0434782608693328	10
PLIN4	0.0434782608693328	11
MRAP	0.0434782608693328	12
FABP4	0.0434782608693328	13
LEP	0.0434782608693328	14
CIDEA	0.0434782608693328	15
C14orf180	0.0434782608693328	16
TRARG1	0.0434782608693328	17
CIDEC	0.0434782608693328	18
ADH1B	0.0434782608693328	19
GPX3	0.0434782608693328	20
LINC01697	0.0434782608693328	21
GDF10	0.0434782608693328	22
FXYD1	0.0434782608693328	23
GPR146	1.2156594907090764e-13	24
AQP7	1.2156594907090764e-13	25
BTNL9	1.2156594907090764e-13	26
CCDC178	1.2156594907090764e-13	27
GPIHBP1	1.2156594907090764e-13	28
PGM5P3-AS1	1.2156594907090764e-13	29
MEOX1	1.2156594907090764e-13	30
SCN4A	1.2156594907090764e-13	31
PYGM	1.2156594907090764e-13	32
MEOX2	1.2156594907090764e-13	33
AVPR2	1.2156594907090764e-13	34
USHBP1	1.2156594907090764e-13	35
TSPAN7	1.2156594907090764e-13	36
TAL1	1.2156594907090764e-13	37
FAM110D	1.2156594907090764e-13	38
CADM3-AS1	1.2156594907090764e-13	39
AL109741.1	1.2156594907090764e-13	40
INMT	1.2156594907090764e-13	41
FAM172BP	8.028106746173723e-14	42
TRAV39	8.028106746173723e-14	43
IL21-AS1	8.028106746173723e-14	44
LINC02132	6.556491482944565e-14	45
AP003774.2	5.297545462675041e-14	46
TRBV30	5.232851667793185e-14	47
TRBV7-4	3.6133922265229785e-14	48
TRAV1-2	3.397014718744853e-14	49
TRAV38-1	3.380291949516585e-14	50
PTPN22	3.187984320015065e-14	51
TRAV24	2.893858983289565e-14	52
TRBV13	2.893858983289565e-14	53
TRBV15	2.7796287624449732e-14	54
TRAV35	2.686229191217201e-14	55
TRGV10	2.653215529977668e-14	56
P2RY10	2.6399195853983266e-14	57
HNRNPA1P21	2.6206348468180573e-14	58
TRBV5-5	2.6123421656274597e-14	59
TRBV21-1	2.5911302382783785e-14	60
TRAV19	2.4327861861342492e-14	61
TRDV1	2.2502510579200156e-14	62
AC004847.1	2.2385140597695675e-14	63
CD69	2.1198762436267715e-14	64
CLEC4C	2.0253787160592828e-14	65
TRAV8-1	2.013415083120854e-14	66
PDE6G	1.9469541163839577e-14	67
TRAV13-2	1.907125164507754e-14	68
AC006369.1	1.900937716558076e-14	69
MIR4539	1.8685852935101716e-14	70
HNRNPA1P70	1.8677914386997795e-14	71
FCRL5	1.7540352646851197e-14	72
CLNK	1.717003665801402e-14	73
CCL19	1.6601818537617174e-14	74
AC009133.3	1.6527687218261107e-14	75
KLRG1	1.6240998817654435e-14	76
TRBV14	1.5605816840523568e-14	77
CLCA4	1.5092622529255534e-14	78
SMYD1	1.5092622529255534e-14	79
PLCZ1	1.5092622529255534e-14	80
RNF186	1.5092622529255534e-14	81
OXTR	1.5092622529255534e-14	82
LINC02660	1.5092622529255534e-14	83
AL353693.1	1.5092622529255534e-14	84
AC104237.3	1.5092622529255534e-14	85
AC084759.3	1.5092622529255534e-14	86
KDM5D	1.4985100484762874e-14	87
ZFY	1.4985100484762874e-14	88
TXLNGY	1.4985100484762874e-14	89
TTTY14	1.4985100484762874e-14	90
UTY	1.4985100484762874e-14	91
EIF1AY	1.4985100484762874e-14	92
GYG2P1	1.4985100484762874e-14	93
AC006157.1	1.4985100484762874e-14	94
LINC00278	1.4985100484762874e-14	95
AC010889.1	1.4985100484762874e-14	96
TRBJ2-1	1.4770304874882898e-14	97
ZNF80	1.4479797039001766e-14	98
GPR174	1.3956692214954905e-14	99
CCR4	1.3876411447341218e-14	100
TRBV27	1.372621369222497e-14	101
GZMH	1.3582735320187741e-14	102
FCRL6	1.3059102914519454e-14	103
APOBEC3H	1.3047243248763558e-14	104
TRBV24-1	1.294546199386855e-14	105
LINC01934	1.2864494193005862e-14	106
GNLY	1.2597659524651524e-14	107
XCR1	1.211196333990609e-14	108
TRBV4-1	1.2065340525695745e-14	109
TRAV22	1.188856235306642e-14	110
KCNA3	1.1351124704686539e-14	111
TRAV14DV4	1.1292590731864699e-14	112
TRAV20	1.0945105204312828e-14	113
AL031846.1	1.0901983938558502e-14	114
TRAV10	1.0827650445473685e-14	115
TRAV5	1.071632183318026e-14	116
TRAV25	1.0680149086188956e-14	117
TRAV23DV6	1.0115552665709901e-14	118
LINC02446	1.0080895186819806e-14	119
IPCEF1	1.0050449066377589e-14	120
TRAV6	1.003659395555172e-14	121
STAP1	9.925971586374324e-15	122
TNIP3	9.832165692702417e-15	123
XCL2	9.777768446754411e-15	124
HCST	9.435674302415407e-15	125
LINC00892	9.408123344688582e-15	126
TRBV7-6	9.398222136125768e-15	127
OR2I1P	9.384381062909652e-15	128
TRBV4-2	8.245049873830315e-15	129
ASB2	8.031117804506231e-15	130
NCR1	7.967615992374252e-15	131
LINC02812	7.966362395942628e-15	132
CD226	7.941373052928939e-15	133
LAX1	7.919095228036135e-15	134
FOXP3	7.442068911662053e-15	135
SSTR3	7.426708954255022e-15	136
FASLG	7.266864583576052e-15	137
RUNX1T1	7.13498244295769e-15	138
ABCA6	7.13498244295769e-15	139
MME	7.13498244295769e-15	140
LINC01857	7.098897910398706e-15	141
IL12B	7.094246558968044e-15	142
LGALS2	7.053927712956762e-15	143
LINC02422	6.9788194093256164e-15	144
TRAV12-1	6.944593917528646e-15	145
TRBV12-3	6.751927222867347e-15	146
TRAV3	6.725384552909469e-15	147
BMX	6.718576219521587e-15	148
GIPC2	6.718576219521587e-15	149
ABCA10	6.718576219521587e-15	150
TNXB	6.718576219521587e-15	151
CCL14	6.718576219521587e-15	152
IL7R	6.693147678414596e-15	153
TRAV36DV7	6.5214435192888544e-15	154
BCL2A1	6.405909889720997e-15	155
CTSW	6.3132806874886855e-15	156
TRBJ2-7	6.238774672624866e-15	157
TRAV27	6.234188238054142e-15	158
TRBV9	5.8862253763716195e-15	159
GPR18	5.880547501477456e-15	160
CXCL9	5.8194335976862285e-15	161
PGM5-AS1	5.7477883700483364e-15	162
THEMIS	5.563750934905422e-15	163
NEK2	5.471568468006559e-15	164
CCR2	5.427354538091187e-15	165
AL365361.1	5.3326672387336176e-15	166
RIPOR2	5.262955715122248e-15	167
TRBV11-2	5.147006002325466e-15	168
ZNF300P1	5.1450627299226896e-15	169
MYH11	5.137649103751689e-15	170
TMIGD2	5.063724275855945e-15	171
ANGPT4	5.049651308509753e-15	172
POU2AF1	4.973554064926285e-15	173
CD8B	4.939886740438402e-15	174
CRHBP	4.9296990981223215e-15	175
AQP7P2	4.9296990981223215e-15	176
NGF-AS1	4.9296990981223215e-15	177
LVRN	4.838828900961252e-15	178
TRHDE-AS1	4.838828900961252e-15	179
ADAM33	4.789615106432701e-15	180
GZMM	4.762689012518722e-15	181
TRAV16	4.72478748932632e-15	182
IL2RB	4.707320651341612e-15	183
TRBV5-6	4.698317556799055e-15	184
IKZF3	4.659790263826428e-15	185
FTH1P22	4.599796690636705e-15	186
CALHM6	4.568053770251081e-15	187
AQP7P1	4.5660155824459634e-15	188
ALDH1L1-AS2	4.5660155824459634e-15	189
TRAV17	4.503199845640625e-15	190
HEPACAM	4.48118495271942e-15	191
TRAV8-4	4.468946041296273e-15	192
TRAV12-2	4.464186122327352e-15	193
TRBV6-5	4.417085589357465e-15	194
TRBV5-4	4.4092219647311924e-15	195
FP325317.1	4.358952604377205e-15	196
TRAV41	4.34015856666521e-15	197
PAX5	4.318604013659646e-15	198
CNN1	4.28612194240674e-15	199
PTGDS	4.279329450868436e-15	200
LINC02328	4.279329450868436e-15	201
SLFN12L	4.228763897125323e-15	202
TRBV10-3	4.223662721444358e-15	203
TRBV2	4.2039238687376095e-15	204
TRBV12-4	4.2032158240428345e-15	205
TRBV6-6	4.191455784721622e-15	206
TRAV21	4.187789979666471e-15	207
FREM1	4.147023815987878e-15	208
WDR86-AS1	4.147023815987878e-15	209
TRBV6-1	4.140704531396234e-15	210
SCN2B	4.137314407977936e-15	211
ALDH1A2	4.135446050431513e-15	212
