CLUSTER_ID	Fitness Score	Fitness Rank
Cluster 63264	104.05611354142269	1
Cluster 66370	57.709499214400594	2
Cluster 73992	38.89245338333415	3
Cluster 34909	38.526148896525136	4
Cluster 18410	27.99149499710675	5
Cluster 93686	27.8569727582948	6
Cluster 83354	25.492058166547807	7
Cluster 55962	23.881552054172765	8
Cluster 11394	19.55287229510275	9
Cluster 5042	16.468605720976814	10
Cluster 3973	15.986381256751395	11
Cluster 70240	15.767051293850672	12
Cluster 43315	15.536933696719755	13
Cluster 83742	13.778593154092224	14
Cluster 77026	13.7493499092964	15
Cluster 79814	13.128296641772604	16
Cluster 63032	12.417383088728227	17
Cluster 76388	11.897626550021716	18
Cluster 22036	11.857100806746365	19
Cluster 40911	11.565872131488698	20
Cluster 79906	11.259550674866423	21
Cluster 3038	11.210066786745456	22
Cluster 61082	11.198860661331667	23
Cluster 3700	11.169194841825037	24
Cluster 76829	10.619241943010376	25
Cluster 11329	10.566296863332193	26
Cluster 80727	10.517727550566553	27
Cluster 78035	10.3983536356888	28
Cluster 45077	10.27652925001878	29
Cluster 24330	10.19732582676637	30
Cluster 75826	9.72626412261573	31
Cluster 60603	9.633265414453305	32
Cluster 14676	9.077927150555748	33
Cluster 79424	8.685965957409941	34
Cluster 46164	8.62332683680497	35
Cluster 4787	8.58253691474526	36
Cluster 78490	8.54083784122268	37
Cluster 79422	8.449643806535146	38
Cluster 45478	8.294270887222305	39
Cluster 30667	8.211125053986974	40
Cluster 22787	8.180410575798051	41
Cluster 61762	8.135879138700451	42
Cluster 62557	8.04619551298038	43
Cluster 36236	8.04479553470783	44
Cluster 74636	7.9180654655904865	45
Cluster 92916	7.86752358745086	46
Cluster 42067	7.827000221153324	47
Cluster 11447	7.703575678590109	48
Cluster 46522	7.436532117973439	49
Cluster 40230	7.4359434926815755	50
Cluster 17877	7.3879399212065335	51
Cluster 38137	7.085367823976053	52
Cluster 5837	6.980297235449293	53
Cluster 91559	6.832241365203663	54
Cluster 46008	6.697869670970306	55
Cluster 61020	6.603681593492019	56
Cluster 50119	6.448891545692803	57
Cluster 33345	6.411255422826367	58
Cluster 72789	6.398706991444139	59
Cluster 959	6.215910260970113	60
Cluster 226	6.164717552109265	61
Cluster 5754	6.129623671224535	62
Cluster 25499	6.108301096904571	63
Cluster 462	6.051467493006012	64
Cluster 43578	6.041924421773998	65
Cluster 67878	5.999690994304146	66
Cluster 54333	5.991781223387626	67
Cluster 3473	5.937982699908888	68
Cluster 28362	5.795433139840907	69
Cluster 50597	5.697711846442957	70
Cluster 91366	5.631519291500617	71
Cluster 34745	5.595338370967565	72
Cluster 80510	5.5830997689432325	73
Cluster 33946	5.568888284951888	74
Cluster 807	5.508512171244588	75
Cluster 34202	5.508512171244588	76
Cluster 38904	5.508512171244588	77
Cluster 69846	5.508512171244588	78
Cluster 50492	5.508512171244588	79
Cluster 38184	5.249736391754458	80
Cluster 26918	5.161271330071413	81
