CLUSTER_ID	Fitness Score	Fitness Rank
Cluster 63264	0.052490698051619676	1
Cluster 66370	0.029117794889887392	2
Cluster 73992	0.019621361838485955	3
Cluster 34909	0.019459589010893185	4
Cluster 18410	0.014143194976096203	5
Cluster 93686	0.014043706761188442	6
Cluster 83354	0.01288336943469418	7
Cluster 55962	0.012057702897925881	8
Cluster 11394	0.009882200066653243	9
Cluster 5042	0.008323571625730213	10
Cluster 3973	0.008079537386419807	11
Cluster 70240	0.007964608080230088	12
Cluster 43315	0.007848094929238573	13
Cluster 83742	0.00695911514300468	14
Cluster 77026	0.0069413756398928545	15
Cluster 79814	0.006634749374307897	16
Cluster 63032	0.006270583337266532	17
Cluster 76388	0.006005367034434061	18
Cluster 22036	0.005982330005378936	19
Cluster 40911	0.005841938864027914	20
Cluster 79906	0.005686707439208376	21
Cluster 3038	0.005660957226143503	22
Cluster 61082	0.005660177601111529	23
Cluster 3700	0.005645208351973707	24
Cluster 76829	0.005367247719129459	25
Cluster 11329	0.005335756835565618	26
Cluster 80727	0.005311115972571115	27
Cluster 78035	0.005255579008264252	28
Cluster 45077	0.005190292900052551	29
Cluster 24330	0.005149048491769549	30
Cluster 75826	0.0049148058316622395	31
Cluster 60603	0.004868881452012204	32
Cluster 14676	0.004584781734713981	33
Cluster 79424	0.004390128892489668	34
Cluster 46164	0.004353980747901833	35
Cluster 4787	0.004333747079022939	36
Cluster 78490	0.004316695038220707	37
Cluster 79422	0.004270689767735578	38
Cluster 45478	0.004184734584250709	39
Cluster 30667	0.004149562409706793	40
Cluster 22787	0.004134577076702076	41
Cluster 61762	0.004111569593326775	42
Cluster 62557	0.004066733612891731	43
Cluster 36236	0.004058693661263008	44
Cluster 74636	0.003997816894969176	45
Cluster 92916	0.0039728638857739005	46
Cluster 42067	0.0039559682960322515	47
Cluster 11447	0.0038866530868727936	48
Cluster 40230	0.0037583408799459358	49
Cluster 46522	0.003757135940023347	50
Cluster 17877	0.0037297233791673506	51
Cluster 38137	0.003581145588189218	52
Cluster 5837	0.003521104550364695	53
Cluster 91559	0.0034526370075564825	54
Cluster 46008	0.0033853028502523652	55
Cluster 61020	0.0033376915852812287	56
Cluster 50119	0.003255843968724684	57
Cluster 33345	0.003240383721941886	58
Cluster 72789	0.003227177094017987	59
Cluster 959	0.003137792809075289	60
Cluster 226	0.0031123215222976282	61
Cluster 5754	0.0030941959529416844	62
Cluster 25499	0.0030837024411500564	63
Cluster 462	0.0030549542754535063	64
Cluster 43578	0.003053762817196705	65
Cluster 67878	0.0030324194618888004	66
Cluster 54333	0.0030273520533972594	67
Cluster 3473	0.002999991414516239	68
Cluster 28362	0.002925546479923439	69
Cluster 50597	0.0028792964878154932	70
Cluster 91366	0.002845753404779425	71
Cluster 34745	0.002827342071024782	72
Cluster 80510	0.00282185846353161	73
Cluster 33946	0.0028144797591410785	74
Cluster 807	0.0027772552855548803	75
Cluster 34202	0.0027772552855548803	76
Cluster 38904	0.0027772552855548803	77
Cluster 69846	0.0027772552855548803	78
Cluster 50492	0.0027772552855548803	79
Cluster 38184	0.0026531280218514176	80
Cluster 26918	0.0026086331036045984	81
Cluster 49833	0.002547928623606572	82
Cluster 10901	0.002521919889311576	83
Cluster 18269	0.0024992767593499067	84
Cluster 57233	0.0024577433904646013	85
Cluster 20848	0.0024426156498419827	86
Cluster 25320	0.0023840733411335958	87
Cluster 90499	0.0023317033887131963	88
Cluster 67518	0.002328910486623316	89
Cluster 21278	0.0023081642559789526	90
Cluster 4517	0.0022837537588272106	91
Cluster 59946	0.002272577899992704	92
Cluster 45890	0.0022628948347201126	93
Cluster 5366	0.002258248139216496	94
Cluster 2585	0.0022378011670947237	95
Cluster 90410	0.002231616023484469	96
Cluster 11392	0.002157798612548256	97
Cluster 1185	0.0021323534088444314	98
Cluster 44132	0.0021214902564036424	99
Cluster 7298	0.0021045649309769966	100
Cluster 43441	0.0020992909603580016	101
Cluster 3785	0.0020528479883792773	102
Cluster 63419	0.002035271641596049	103
Cluster 69060	0.0020127428251525085	104
Cluster 45377	0.0019665640242277262	105
Cluster 469	0.001929521869912607	106
Cluster 42129	0.0019138899044665804	107
Cluster 58023	0.0019066022314276985	108
Cluster 90836	0.0019063593087093771	109
Cluster 7576	0.0019062069891044827	110
Cluster 91401	0.0018920877967407372	111
Cluster 51599	0.0018899872551386154	112
Cluster 13261	0.0018692549850906656	113
Cluster 36758	0.0018617108641831434	114
Cluster 70696	0.0018410338729664437	115
Cluster 78427	0.0018244085449796294	116
Cluster 33846	0.001784780629596923	117
Cluster 25281	0.0017405155976677846	118
Cluster 45521	0.0017349143746130573	119
Cluster 76348	0.0017342210106026353	120
Cluster 54702	0.0017116014481565484	121
Cluster 30403	0.0016926082788194712	122
Cluster 77818	0.0016726370035049431	123
Cluster 45004	0.001664613259934541	124
Cluster 90239	0.001664613259934541	125
Cluster 31597	0.0016506190921612375	126
Cluster 46389	0.001644702155024239	127
Cluster 15722	0.0016357241593074952	128
Cluster 55494	0.001610666835173017	129
Cluster 69502	0.0015951446964696029	130
Cluster 65395	0.0015885482442128923	131
Cluster 2519	0.0015811359829322972	132
Cluster 61781	0.0015785510823678904	133
Cluster 54853	0.001567406810259726	134
Cluster 67214	0.0015398414232943682	135
Cluster 57448	0.0015344960045122662	136
Cluster 48461	0.0015231132463599665	137
Cluster 91879	0.0015158825825367893	138
