109	94
1	1	1.0
1	2	1.0
1	3	1.0
1	4	1.0
1	5	1.0
1	6	1.0
1	7	1.0
1	8	1.0
1	9	1.0
1	10	1.0
1	11	1.0
1	12	1.0
1	13	1.0
1	14	1.0
1	16	1.0
1	17	1.0
1	18	1.0
1	19	1.0
1	20	1.0
1	21	1.0
1	22	1.0
1	24	1.0
1	25	1.0
1	26	1.0
1	27	1.0
1	30	1.0
1	31	1.0
1	32	1.0
1	37	1.0
1	39	1.0
1	40	1.0
1	41	1.0
1	42	1.0
1	43	1.0
1	44	1.0
1	45	1.0
1	50	1.0
1	55	1.0
1	56	1.0
1	57	1.0
1	58	1.0
1	59	1.0
1	60	1.0
1	61	1.0
1	62	1.0
1	63	1.0
1	65	1.0
1	66	1.0
1	67	1.0
1	68	1.0
1	69	1.0
1	70	1.0
1	71	1.0
1	82	1.0
1	83	1.0
1	84	1.0
1	86	1.0
1	92	1.0
1	94	1.0
2	13	1.0
2	14	1.0
2	15	1.0
2	16	1.0
2	17	1.0
2	18	1.0
2	19	1.0
2	20	1.0
2	24	1.0
2	25	1.0
2	26	1.0
2	27	1.0
2	30	1.0
2	32	1.0
2	37	1.0
2	38	1.0
2	39	1.0
2	40	1.0
2	41	1.0
2	42	1.0
2	43	1.0
2	44	1.0
2	45	1.0
2	50	1.0
2	55	1.0
2	56	1.0
2	57	1.0
2	58	1.0
2	60	1.0
2	62	1.0
2	63	1.0
2	65	1.0
2	66	1.0
2	67	1.0
2	68	1.0
2	69	1.0
2	71	1.0
2	82	1.0
2	83	1.0
2	84	1.0
2	92	1.0
2	94	1.0
3	15	1.0
3	16	1.0
3	17	1.0
3	18	1.0
3	19	1.0
3	20	1.0
3	24	1.0
3	25	1.0
3	26	1.0
3	27	1.0
3	30	1.0
3	37	1.0
3	38	1.0
3	39	1.0
3	40	1.0
3	41	1.0
3	42	1.0
3	43	1.0
3	44	1.0
3	45	1.0
3	50	1.0
3	55	1.0
3	56	1.0
3	57	1.0
3	58	1.0
3	59	1.0
3	60	1.0
3	62	1.0
3	63	1.0
3	65	1.0
3	66	1.0
3	67	1.0
3	68	1.0
3	69	1.0
3	70	1.0
3	71	1.0
3	82	1.0
3	83	1.0
3	84	1.0
3	86	1.0
3	92	1.0
3	94	1.0
4	21	1.0
4	22	1.0
4	23	1.0
4	24	1.0
4	25	1.0
4	26	1.0
4	27	1.0
4	30	1.0
4	32	1.0
4	37	1.0
4	38	1.0
4	39	1.0
4	40	1.0
4	41	1.0
4	42	1.0
4	43	1.0
4	44	1.0
4	45	1.0
4	50	1.0
4	55	1.0
4	56	1.0
4	57	1.0
4	58	1.0
4	60	1.0
4	62	1.0
4	63	1.0
4	65	1.0
4	66	1.0
4	67	1.0
4	68	1.0
4	69	1.0
4	70	1.0
4	71	1.0
4	83	1.0
4	84	1.0
4	86	1.0
4	87	1.0
4	92	1.0
4	94	1.0
5	28	-1.0
5	29	-1.0
5	30	-1.0
5	31	-1.0
5	32	-1.0
5	37	-1.0
5	41	-1.0
5	42	-1.0
5	43	-1.0
5	44	-1.0
5	45	-1.0
5	50	-1.0
5	55	-1.0
5	58	-1.0
5	60	-1.0
5	62	-1.0
5	63	-1.0
5	65	-1.0
5	66	-1.0
5	67	-1.0
5	68	-1.0
5	70	-1.0
5	83	-1.0
5	84	-1.0
5	86	-1.0
5	87	-1.0
5	92	-1.0
5	94	-1.0
6	26	1.0
6	27	1.0
6	31	1.0
6	32	1.0
6	37	1.0
6	39	1.0
6	41	1.0
6	42	1.0
6	43	1.0
6	44	1.0
6	45	1.0
6	50	1.0
6	55	1.0
6	56	1.0
6	57	1.0
6	58	1.0
6	60	1.0
6	62	1.0
6	63	1.0
6	65	1.0
6	66	1.0
6	67	1.0
6	68	1.0
6	69	1.0
6	71	1.0
6	83	1.0
6	84	1.0
6	86	1.0
6	92	1.0
6	94	1.0
7	37	-1.0
7	42	-1.0
7	44	-1.0
7	45	-1.0
7	56	-1.0
7	60	-1.0
7	62	-1.0
7	63	-1.0
7	65	-1.0
7	66	-1.0
7	67	-1.0
7	68	-1.0
7	69	-1.0
7	83	-1.0
7	84	-1.0
7	92	-1.0
7	94	-1.0
8	38	-1.0
8	40	-1.0
8	45	-1.0
8	56	-1.0
8	58	-1.0
8	60	-1.0
8	62	-1.0
8	63	-1.0
8	66	-1.0
8	67	-1.0
8	68	-1.0
8	69	-1.0
8	71	-1.0
8	82	-1.0
8	83	-1.0
8	92	-1.0
8	94	-1.0
9	40	1.0
9	44	1.0
9	45	1.0
9	50	1.0
9	55	1.0
9	58	1.0
9	60	1.0
9	63	1.0
9	64	1.0
9	66	1.0
9	67	1.0
9	68	1.0
9	83	1.0
9	86	1.0
9	87	1.0
9	94	1.0
10	39	1.0
10	43	1.0
10	44	1.0
10	45	1.0
10	50	1.0
10	55	1.0
10	60	1.0
10	65	1.0
10	66	1.0
10	67	1.0
10	68	1.0
10	92	1.0
11	33	-1.0
11	34	-1.0
11	35	-1.0
11	36	-1.0
11	89	-1.0
12	44	1.0
12	45	1.0
12	50	1.0
12	55	1.0
12	58	1.0
12	65	1.0
12	66	1.0
12	68	1.0
12	83	1.0
12	86	1.0
12	92	1.0
13	41	-1.0
13	42	-1.0
13	43	-1.0
13	45	-1.0
13	65	-1.0
13	66	-1.0
13	83	-1.0
13	92	-1.0
13	94	-1.0
14	57	-1.0
14	66	-1.0
14	67	-1.0
14	68	-1.0
14	71	-1.0
14	83	-1.0
14	84	-1.0
14	86	-1.0
14	92	-1.0
14	94	-1.0
15	60	1.0
15	66	1.0
15	67	1.0
15	68	1.0
15	71	1.0
15	83	1.0
15	84	1.0
15	86	1.0
15	92	1.0
15	94	1.0
16	50	1.0
16	56	1.0
16	58	1.0
16	60	1.0
16	61	1.0
16	71	1.0
17	58	1.0
17	60	1.0
17	63	1.0
17	64	1.0
17	67	1.0
17	68	1.0
17	73	1.0
18	62	1.0
18	63	1.0
18	65	1.0
18	66	1.0
18	68	1.0
18	83	1.0
18	86	1.0
18	92	1.0
18	94	1.0
19	55	1.0
19	56	1.0
19	59	1.0
19	60	1.0
19	63	1.0
19	67	1.0
20	56	1.0
20	58	1.0
20	59	1.0
20	61	1.0
20	63	1.0
20	64	1.0
21	66	1.0
21	67	1.0
21	68	1.0
21	83	1.0
21	84	1.0
21	92	1.0
21	94	1.0
22	63	1.0
22	65	1.0
22	66	1.0
22	68	1.0
22	69	1.0
23	66	1.0
23	68	1.0
23	83	1.0
23	84	1.0
23	86	1.0
23	87	1.0
23	94	1.0
24	56	1.0
24	60	1.0
24	69	1.0
24	71	1.0
25	66	1.0
25	71	1.0
25	83	1.0
25	84	1.0
25	92	1.0
26	68	-1.0
26	83	-1.0
26	84	-1.0
26	86	-1.0
26	87	-1.0
26	94	-1.0
27	62	-1.0
27	68	-1.0
27	83	-1.0
27	86	-1.0
27	94	-1.0
28	51	-1.0
28	52	-1.0
28	85	-1.0
29	68	-1.0
29	70	-1.0
29	83	-1.0
29	86	-1.0
29	94	-1.0
30	63	1.0
30	73	1.0
30	83	1.0
30	86	1.0
30	94	1.0
31	68	1.0
31	83	1.0
31	84	1.0
31	86	1.0
31	94	1.0
32	53	-1.0
32	54	-1.0
32	93	-1.0
33	46	-1.0
33	47	-1.0
34	48	1.0
34	49	1.0
35	63	1.0
35	73	1.0
35	83	1.0
35	86	1.0
36	66	1.0
36	83	1.0
36	84	1.0
36	86	1.0
37	63	1.0
37	67	1.0
37	71	1.0
38	72	1.0
38	90	1.0
38	91	1.0
38	93	-1.0
39	61	1.0
39	64	1.0
40	83	-1.0
40	86	-1.0
40	87	-1.0
40	94	-1.0
41	83	-1.0
41	86	-1.0
41	87	-1.0
41	94	-1.0
42	83	1.0
42	86	1.0
42	94	1.0
43	83	1.0
43	86	1.0
43	94	1.0
44	83	1.0
44	86	1.0
44	94	1.0
45	83	1.0
45	86	1.0
45	94	1.0
46	90	1.0
46	91	1.0
46	93	-1.0
47	83	1.0
47	92	1.0
47	94	1.0
48	86	-1.0
48	87	-1.0
48	94	-1.0
49	69	1.0
49	92	1.0
50	88	-1.0
50	91	-1.0
51	83	1.0
51	86	1.0
52	83	1.0
52	86	1.0
53	89	-1.0
53	91	-1.0
54	89	-1.0
54	91	-1.0
55	89	-1.0
55	91	-1.0
56	86	-1.0
56	94	-1.0
57	86	-1.0
