RNA	Complexity Score	Complexity Rank
GZMK	2.324142913169781	1
CD96	2.324142913169781	2
EOMES	2.324142913169781	3
GPR171	2.324142913169781	4
TRBV19	2.324142913169781	5
TRAV8-3	2.324142913169781	6
TRAV12-3	2.324142913169781	7
TRBV2	2.324142913169781	8
TRBV3-1	2.324142913169781	9
LINC00861	2.324142913169781	10
TRBV18	2.324142913169781	11
TRBV7-9	2.324142913169781	12
PDCD1	1.89516237718497	13
CTLA4	1.8593147135199817	14
CCL5	1.8593147135199817	15
POLR2F	1.8447638769942254	16
ROPN1B	1.8447638769942254	17
ROCR	1.8447638769942254	18
LINC02188	1.8447638769942254	19
LINC02258	1.8101276489722293	20
AC129908.1	1.8101276489722293	21
MLPH	1.8086305296296785	22
PRR15	1.8086305296296785	23
PAX8	1.805635373016839	24
PAX8-AS1	1.805635373016839	25
LINC00278	1.805635373016839	26
AC010889.1	1.805635373016839	27
STAC	1.7963665561335938	28
DNALI1	1.788115095952498	29
FOXCUT	1.788115095952498	30
SPESP1	1.788115095952498	31
LINC01945	1.788115095952498	32
TDRD12	1.788115095952498	33
AC025423.3	1.788115095952498	34
TNRC18P1	1.788115095952498	35
ESR1	1.788115095952498	36
PLA2G2D	1.0694940144303133	37
GFI1	1.0694940144303133	38
GZMA	1.061760217644667	39
CD3G	1.061760217644667	40
TCL1A	0.9688970890735339	41
SRSF12	0.9009611082414118	42
TRAT1	0.6900830665089265	43
CD19	0.6900830665089265	44
NCR3	0.6900830665089265	45
LINC00426	0.6900830665089265	46
LINC01215	0.6900830665089265	47
ICOS	0.6725231790241643	48
PRF1	0.6025389578278217	49
ITK	0.5086014486819773	50
TRBV5-1	0.5086014486819773	51
PYHIN1	0.4905026544995923	52
ZNF831	0.4818949555898976	53
ZAP70	0.47750284507253193	54
C16orf54	0.45387953091176825	55
CYCSP30	0.45288785528158465	56
RGMA	0.4523176184774207	57
TRBC2	0.40096494513999503	58
FCRL3	0.39962373896499165	59
TRBC1	0.39962373896499165	60
LTA	0.397663818802798	61
TIFAB	0.3942524986755046	62
AC243960.1	0.39237656782988084	63
TRBV20-1	0.32769799028175706	64
CCR7	0.32743105470289136	65
ICAM3	0.3268374172303489	66
FOXA1	0.3022068139636525	67
UBASH3A	0.2794630536214011	68
TIGIT	0.279212673115225	69
CXCR3	0.2421598645068548	70
CD2	0.24207723163723585	71
IL12RB1	0.22904992393636234	72
TRBV28	0.19133381855597426	73
CD3E	0.19120721771281005	74
SH2D1A	0.19119843849911464	75
CD6	0.19114486116334387	76
CD27	0.1901849647156456	77
ROPN1	0.18090845279939244	78
LY9	0.17232292226907447	79
CD3D	0.15811944786275997	80
CD247	0.1580466802589033	81
CD5	0.15781605462665108	82
BTLA	0.15708085130830718	83
SLAMF1	0.12528362736346407	84
SP140	0.1249022115829984	85
SLAMF6	0.11714036973703866	86
TBX21	0.10999788867458442	87
FOXC1	0.10022766503055192	88
SLA2	0.0930140194114263	89
SIRPG	0.08836325493477198	90
SIT1	0.08056043075123173	91
IL2RG	0.05566585933177657	92
PTPN7	0.05240403554256627	93
SNX20	0.044495665171494	94
