RNA	Complexity Score	Complexity Rank
GZMK	0.024674265470241135	1
CD96	0.024674265470241135	2
EOMES	0.024674265470241135	3
GPR171	0.024674265470241135	4
TRBV19	0.024674265470241135	5
TRAV8-3	0.024674265470241135	6
TRAV12-3	0.024674265470241135	7
TRBV2	0.024674265470241135	8
TRBV3-1	0.024674265470241135	9
LINC00861	0.024674265470241135	10
TRBV18	0.024674265470241135	11
TRBV7-9	0.024674265470241135	12
PDCD1	0.020159856521994084	13
CTLA4	0.019779802387619113	14
CCL5	0.019779802387619113	15
POLR2F	0.019624573537904883	16
ROPN1B	0.019624573537904883	17
ROCR	0.019624573537904883	18
LINC02188	0.019624573537904883	19
LINC02258	0.01925866014849944	20
AC129908.1	0.01925866014849944	21
MLPH	0.01924279881539885	22
PRR15	0.01924279881539885	23
PAX8	0.019211056825467525	24
PAX8-AS1	0.019211056825467525	25
LINC00278	0.019211056825467525	26
AC010889.1	0.019211056825467525	27
STAC	0.019113295170778963	28
DNALI1	0.019025832357855817	29
FOXCUT	0.019025832357855817	30
SPESP1	0.019025832357855817	31
LINC01945	0.019025832357855817	32
TDRD12	0.019025832357855817	33
AC025423.3	0.019025832357855817	34
TNRC18P1	0.019025832357855817	35
ESR1	0.019025832357855817	36
PLA2G2D	0.011396489316757345	37
GFI1	0.011396489316757345	38
GZMA	0.011314009784320594	39
CD3G	0.011314009784320594	40
TCL1A	0.010329166805415731	41
SRSF12	0.009605038363215362	42
TRAT1	0.007358262989989193	43
CD19	0.007358262989989193	44
NCR3	0.007358262989989193	45
LINC00426	0.007358262989989193	46
LINC01215	0.007358262989989193	47
ICOS	0.007170863867047436	48
PRF1	0.006425992372443088	49
ITK	0.0054243285994161556	50
TRBV5-1	0.0054243285994161556	51
PYHIN1	0.0052312139606296455	52
ZNF831	0.0051393422807732405	53
ZAP70	0.005093375870111011	54
C16orf54	0.004841214544384803	55
CYCSP30	0.00483056465589164	56
RGMA	0.004824507963074369	57
TRBC2	0.004276768056559235	58
FCRL3	0.004262498293765104	59
TRBC1	0.004262498293765104	60
LTA	0.0042415284717157425	61
TIFAB	0.004205113989012941	62
AC243960.1	0.004185150586972782	63
TRBV20-1	0.0034954965830078406	64
CCR7	0.0034926456049812205	65
ICAM3	0.0034863065818133377	66
FOXA1	0.0032236862271029934	67
UBASH3A	0.002981072047139839	68
TIGIT	0.0029783975827281984	69
CXCR3	0.002583203807859091	70
CD2	0.0025823210833921	71
IL12RB1	0.0024434269411669008	72
TRBV28	0.0020410743094492045	73
CD3E	0.0020397217221219334	74
SH2D1A	0.0020396279445375697	75
CD6	0.002039055716682453	76
CD27	0.002028814052017687	77
ROPN1	0.0019298681803616754	78
LY9	0.0018382846711449657	79
CD3D	0.0016867789520360382	80
CD247	0.0016860010907461588	81
CD5	0.0016835379229467938	82
BTLA	0.0016756921652556146	83
SLAMF1	0.001336507045938981	84
SP140	0.0013324325809397158	85
SLAMF6	0.001249638139363727	86
TBX21	0.0011734445794974282	87
FOXC1	0.0010692195139049283	88
SLA2	0.000992266484568563	89
SIRPG	0.0009426517795218247	90
SIT1	0.0008594142703391822	91
IL2RG	0.0005938417812418636	92
PTPN7	0.000559044543254467	93
SNX20	0.00047467701418855925	94
