DNA	Degree	Degree Rank
Cluster 34909	59.0	1
Cluster 18410	42.0	2
Cluster 83354	42.0	3
Cluster 5042	39.0	4
Cluster 11394	30.0	5
Cluster 70240	28.0	6
Cluster 3700	17.0	7
Cluster 61082	17.0	8
Cluster 33345	16.0	9
Cluster 61020	12.0	10
Cluster 38137	11.0	11
Cluster 76829	10.0	12
Cluster 79424	10.0	13
Cluster 14676	9.0	14
Cluster 79422	9.0	15
Cluster 46008	7.0	16
Cluster 61762	7.0	17
Cluster 90410	7.0	18
Cluster 30667	6.0	19
Cluster 40911	6.0	20
Cluster 78490	6.0	21
Cluster 79814	6.0	22
Cluster 3973	5.0	23
Cluster 22787	5.0	24
Cluster 26918	5.0	25
Cluster 30403	5.0	26
Cluster 42067	5.0	27
Cluster 49833	5.0	28
Cluster 80727	5.0	29
Cluster 33846	4.0	30
Cluster 54702	4.0	31
Cluster 78035	4.0	32
Cluster 80948	4.0	33
Cluster 90499	4.0	34
Cluster 91559	4.0	35
Cluster 1185	3.0	36
Cluster 5366	3.0	37
Cluster 13261	3.0	38
Cluster 18269	3.0	39
Cluster 24330	3.0	40
Cluster 34745	3.0	41
Cluster 45890	3.0	42
Cluster 58023	3.0	43
Cluster 67878	3.0	44
Cluster 72957	3.0	45
Cluster 3785	2.0	46
Cluster 16034	2.0	47
Cluster 22376	2.0	48
Cluster 25281	2.0	49
Cluster 25320	2.0	50
Cluster 38638	2.0	51
Cluster 40230	2.0	52
Cluster 42129	2.0	53
Cluster 45377	2.0	54
Cluster 50492	2.0	55
Cluster 50597	2.0	56
Cluster 59707	2.0	57
Cluster 68477	2.0	58
Cluster 68820	2.0	59
Cluster 69060	2.0	60
Cluster 79906	2.0	61
Cluster 93686	2.0	62
Cluster 226	1.0	63
Cluster 3009	1.0	64
Cluster 6119	1.0	65
Cluster 7576	1.0	66
Cluster 8902	1.0	67
Cluster 10901	1.0	68
Cluster 11392	1.0	69
Cluster 12090	1.0	70
Cluster 12180	1.0	71
Cluster 14084	1.0	72
Cluster 17458	1.0	73
Cluster 21278	1.0	74
Cluster 22036	1.0	75
Cluster 22454	1.0	76
Cluster 26999	1.0	77
Cluster 28185	1.0	78
Cluster 28362	1.0	79
Cluster 32043	1.0	80
Cluster 32767	1.0	81
Cluster 33213	1.0	82
Cluster 33924	1.0	83
Cluster 34202	1.0	84
Cluster 43578	1.0	85
Cluster 44144	1.0	86
Cluster 45004	1.0	87
Cluster 46347	1.0	88
Cluster 46522	1.0	89
Cluster 50119	1.0	90
Cluster 54291	1.0	91
Cluster 55494	1.0	92
Cluster 57488	1.0	93
Cluster 60603	1.0	94
Cluster 62557	1.0	95
Cluster 66051	1.0	96
Cluster 66076	1.0	97
Cluster 66562	1.0	98
Cluster 68451	1.0	99
Cluster 70159	1.0	100
Cluster 76388	1.0	101
Cluster 76622	1.0	102
Cluster 78422	1.0	103
Cluster 80510	1.0	104
Cluster 86376	1.0	105
Cluster 89519	1.0	106
Cluster 90239	1.0	107
Cluster 91366	1.0	108
Cluster 91401	1.0	109
