RNA	Degree	Degree Rank
SNX20	41.0	1
PTPN7	35.0	2
IL2RG	33.0	3
SIT1	23.0	4
SIRPG	21.0	5
SLA2	20.0	6
FOXC1	18.0	7
TBX21	17.0	8
SLAMF6	16.0	9
SP140	15.0	10
SLAMF1	15.0	11
CD5	12.0	12
CD3D	12.0	13
BTLA	12.0	14
CD247	12.0	15
LY9	11.0	16
CD6	10.0	17
CD27	10.0	18
TRBV28	10.0	19
SH2D1A	10.0	20
CD3E	10.0	21
ROPN1	10.0	22
CXCR3	8.0	23
IL12RB1	8.0	24
CD2	8.0	25
UBASH3A	7.0	26
TIGIT	7.0	27
ICAM3	6.0	28
CCR7	6.0	29
TRBV20-1	6.0	30
FOXA1	6.0	31
FCRL3	5.0	32
TRBC1	5.0	33
TRBC2	5.0	34
LTA	5.0	35
TIFAB	5.0	36
AC243960.1	5.0	37
ITK	4.0	38
ZAP70	4.0	39
TRBV5-1	4.0	40
RGMA	4.0	41
PYHIN1	4.0	42
CYCSP30	4.0	43
C16orf54	4.0	44
ZNF831	4.0	45
ICOS	3.0	46
TRAT1	3.0	47
CD19	3.0	48
NCR3	3.0	49
LINC00426	3.0	50
LINC01215	3.0	51
PRF1	3.0	52
GZMA	2.0	53
CD3G	2.0	54
SRSF12	2.0	55
TCL1A	2.0	56
PLA2G2D	2.0	57
GFI1	2.0	58
PDCD1	1.0	59
DNALI1	1.0	60
FOXCUT	1.0	61
LINC02258	1.0	62
AC129908.1	1.0	63
SPESP1	1.0	64
LINC01945	1.0	65
TDRD12	1.0	66
MLPH	1.0	67
PRR15	1.0	68
GZMK	1.0	69
CD96	1.0	70
EOMES	1.0	71
GPR171	1.0	72
TRBV19	1.0	73
TRAV8-3	1.0	74
TRAV12-3	1.0	75
TRBV2	1.0	76
TRBV3-1	1.0	77
LINC00861	1.0	78
TRBV18	1.0	79
TRBV7-9	1.0	80
AC025423.3	1.0	81
PAX8	1.0	82
PAX8-AS1	1.0	83
TNRC18P1	1.0	84
CTLA4	1.0	85
CCL5	1.0	86
ESR1	1.0	87
POLR2F	1.0	88
ROPN1B	1.0	89
ROCR	1.0	90
LINC02188	1.0	91
STAC	1.0	92
LINC00278	1.0	93
AC010889.1	1.0	94
