CLUSTER_ID	Fitness Score	Fitness Rank
Cluster 34909	0.9999999999972669	1
Cluster 83354	6.533759776785481e-13	2
Cluster 18410	5.207806334395949e-13	3
Cluster 5042	3.888108587983254e-13	4
Cluster 70240	1.622138305571575e-13	5
Cluster 11394	1.614613948493335e-13	6
Cluster 3700	5.325981405440373e-14	7
Cluster 61082	5.1610855805824947e-14	8
Cluster 33345	4.859964466718422e-14	9
Cluster 61020	4.416733991229723e-14	10
Cluster 80727	4.2743223196864786e-14	11
Cluster 38137	3.3568202642970715e-14	12
Cluster 14676	3.0335631883838424e-14	13
Cluster 76829	2.1489220565662175e-14	14
Cluster 79424	2.1165614683972786e-14	15
Cluster 79814	1.9916596147406245e-14	16
Cluster 61762	1.9606585230093277e-14	17
Cluster 79422	1.955313818976657e-14	18
Cluster 78490	1.9177884849395083e-14	19
Cluster 40911	1.9065827633243928e-14	20
Cluster 46008	1.3918293709032554e-14	21
Cluster 42067	1.3516403027429343e-14	22
Cluster 90410	1.3455431620042462e-14	23
Cluster 78035	1.2118392396201018e-14	24
Cluster 3973	1.0893248960452746e-14	25
Cluster 30667	1.0609299793769346e-14	26
Cluster 49833	1.0295078532325067e-14	27
Cluster 24330	1.0188605309699097e-14	28
Cluster 22787	1.0033684510142861e-14	29
Cluster 26918	9.992471669811727e-15	30
Cluster 30403	9.797721047885207e-15	31
Cluster 34745	9.629466262682165e-15	32
Cluster 50492	9.068137570318296e-15	33
Cluster 93686	9.068137570318296e-15	34
Cluster 90499	9.003149774425248e-15	35
Cluster 33846	8.49940140816413e-15	36
Cluster 67878	8.245530560210706e-15	37
Cluster 80948	7.254211334049174e-15	38
Cluster 79906	6.533073459951752e-15	39
Cluster 54702	6.439675199931154e-15	40
Cluster 91559	6.439675199931154e-15	41
Cluster 1185	5.100207559937738e-15	42
Cluster 13261	5.100207559937738e-15	43
Cluster 45890	5.100207559937738e-15	44
Cluster 58023	5.100207559937738e-15	45
Cluster 18269	4.899729820077887e-15	46
Cluster 5366	4.835824889458191e-15	47
Cluster 72957	4.550283851802097e-15	48
Cluster 40230	4.379345804602363e-15	49
Cluster 16034	3.951278854807385e-15	50
Cluster 45377	3.912751154808841e-15	51
Cluster 69060	3.912751154808841e-15	52
Cluster 22376	3.60092011440931e-15	53
Cluster 38638	3.60092011440931e-15	54
Cluster 68820	3.60092011440931e-15	55
Cluster 3785	3.4249620976858327e-15	56
Cluster 25281	3.4249620976858327e-15	57
Cluster 42129	3.4249620976858327e-15	58
Cluster 12180	3.3635875013161714e-15	59
Cluster 22036	3.3635875013161714e-15	60
Cluster 28185	3.3635875013161714e-15	61
Cluster 33924	3.3635875013161714e-15	62
Cluster 34202	3.3635875013161714e-15	63
Cluster 44144	3.3635875013161714e-15	64
Cluster 57488	3.3635875013161714e-15	65
Cluster 78422	3.3635875013161714e-15	66
Cluster 80510	3.355937760529599e-15	67
Cluster 59707	3.3030158286876235e-15	68
Cluster 50597	3.2683234998847667e-15	69
Cluster 68477	3.2683234998847667e-15	70
Cluster 25320	3.18702685756881e-15	71
Cluster 43578	3.1675669892131026e-15	72
Cluster 66051	2.665106906162668e-15	73
Cluster 45004	2.632654206020029e-15	74
Cluster 46522	2.632654206020029e-15	75
Cluster 90239	2.632654206020029e-15	76
Cluster 3009	2.286362389141202e-15	77
Cluster 17458	2.286362389141202e-15	78
Cluster 32767	2.286362389141202e-15	79
Cluster 33213	2.286362389141202e-15	80
Cluster 46347	2.286362389141202e-15	81
Cluster 54291	2.286362389141202e-15	82
Cluster 55494	2.286362389141202e-15	83
Cluster 66076	2.286362389141202e-15	84
Cluster 86376	2.286362389141202e-15	85
Cluster 89519	2.286362389141202e-15	86
Cluster 91366	2.286362389141202e-15	87
Cluster 50119	2.016843880042905e-15	88
Cluster 60603	1.999570452439919e-15	89
Cluster 62557	1.999570452439919e-15	90
Cluster 6119	1.9885258390481107e-15	91
Cluster 12090	1.9885258390481107e-15	92
Cluster 28362	1.9885258390481107e-15	93
Cluster 32043	1.9885258390481107e-15	94
Cluster 68451	1.9885258390481107e-15	95
Cluster 76388	1.9885258390481107e-15	96
Cluster 226	1.9604609750198794e-15	97
Cluster 7576	1.9604609750198794e-15	98
Cluster 14084	1.9604609750198794e-15	99
Cluster 21278	1.9604609750198794e-15	100
Cluster 22454	1.9604609750198794e-15	101
Cluster 26999	1.9604609750198794e-15	102
Cluster 66562	1.9604609750198794e-15	103
Cluster 70159	1.9604609750198794e-15	104
Cluster 76622	1.9604609750198794e-15	105
Cluster 91401	1.960415873477624e-15	106
Cluster 8902	1.7826754459154652e-15	107
Cluster 10901	1.7826754459154652e-15	108
Cluster 11392	1.7826754459154652e-15	109
