ENSG00000046653	ENSG00000005513	2.0
ENSG00000049249	ENSG00000007312	3.0
ENSG00000049768	ENSG00000004468	45.0
ENSG00000049768	ENSG00000007312	3.0
ENSG00000050730	ENSG00000007312	3.0
ENSG00000050730	ENSG00000035720	2.0
ENSG00000054598	ENSG00000007402	-1.0
ENSG00000064787	ENSG00000004838	2.0
ENSG00000065371	ENSG00000004838	-3.0
ENSG00000065675	ENSG00000049249	14.0
ENSG00000065675	ENSG00000049768	27.0
ENSG00000072858	ENSG00000065371	-5.0
ENSG00000073792	ENSG00000065371	4.0
ENSG00000074410	ENSG00000007402	1.0
ENSG00000074410	ENSG00000065371	-12.0
ENSG00000074410	ENSG00000073792	-3.0
ENSG00000078081	ENSG00000007312	2.0
ENSG00000078589	ENSG00000007312	2.0
ENSG00000081985	ENSG00000054598	1.0
ENSG00000090889	ENSG00000004846	-1.0
ENSG00000090889	ENSG00000022267	-1.0
ENSG00000090889	ENSG00000078549	-1.0
ENSG00000090889	ENSG00000079102	-1.0
ENSG00000091704	ENSG00000079102	1.0
ENSG00000091831	ENSG00000065371	-47.0
ENSG00000094755	ENSG00000074410	-1.0
ENSG00000094755	ENSG00000091831	-1.0
ENSG00000100142	ENSG00000072858	-1.0
ENSG00000100142	ENSG00000074410	-3.0
ENSG00000100142	ENSG00000091831	-6.0
ENSG00000100298	ENSG00000007312	4.0
ENSG00000100298	ENSG00000100079	1.0
ENSG00000100351	ENSG00000049249	13.0
ENSG00000100351	ENSG00000049768	33.0
ENSG00000100351	ENSG00000050730	1.0
ENSG00000100351	ENSG00000078081	4.0
ENSG00000100385	ENSG00000007312	17.0
ENSG00000100385	ENSG00000027869	1.0
ENSG00000100385	ENSG00000100079	3.0
ENSG00000100450	ENSG00000035720	8.0
ENSG00000100450	ENSG00000049249	5.0
ENSG00000100450	ENSG00000049768	7.0
ENSG00000100450	ENSG00000078589	6.0
ENSG00000100450	ENSG00000085265	1.0
ENSG00000100721	ENSG00000050730	4.0
ENSG00000100721	ENSG00000100450	19.0
ENSG00000101445	ENSG00000004468	4.0
ENSG00000101445	ENSG00000007312	2.0
ENSG00000101445	ENSG00000013725	2.0
ENSG00000101445	ENSG00000077984	1.0
ENSG00000101445	ENSG00000089012	2.0
ENSG00000101445	ENSG00000096996	1.0
ENSG00000101445	ENSG00000100450	1.0
ENSG00000101445	ENSG00000100453	1.0
ENSG00000101445	ENSG00000101082	5.0
ENSG00000101605	ENSG00000004846	1.0
ENSG00000101605	ENSG00000079102	1.0
ENSG00000101871	ENSG00000100142	23.0
ENSG00000101871	ENSG00000074410	-26.0
ENSG00000101871	ENSG00000091831	-78.0
ENSG00000101871	ENSG00000100583	-1.0
ENSG00000101916	ENSG00000007312	1.0
ENSG00000101916	ENSG00000035720	1.0
ENSG00000101916	ENSG00000100721	1.0
ENSG00000101955	ENSG00000078596	1.0
ENSG00000101955	ENSG00000101605	1.0
ENSG00000101955	ENSG00000090889	-1.0
ENSG00000102010	ENSG00000090889	-1.0
ENSG00000102243	ENSG00000004838	-1.0
ENSG00000102245	ENSG00000027869	1.0
ENSG00000102245	ENSG00000049249	24.0
ENSG00000102245	ENSG00000049768	49.0
ENSG00000102245	ENSG00000050730	3.0
ENSG00000103355	ENSG00000072858	-4.0
ENSG00000103522	ENSG00000007312	14.0
ENSG00000103522	ENSG00000065675	43.0
ENSG00000103522	ENSG00000100079	3.0
ENSG00000103522	ENSG00000100450	12.0
ENSG00000103522	ENSG00000100628	1.0
ENSG00000103522	ENSG00000102245	93.0
ENSG00000103546	ENSG00000046653	1.0
ENSG00000103546	ENSG00000073792	2.0
ENSG00000103546	ENSG00000004838	-1.0
ENSG00000103546	ENSG00000074410	-1.0
ENSG00000103546	ENSG00000091831	-4.0
ENSG00000103647	ENSG00000090889	-1.0
ENSG00000104044	ENSG00000101871	2.0
ENSG00000104044	ENSG00000103355	1.0
ENSG00000104044	ENSG00000074410	-3.0
ENSG00000104044	ENSG00000091831	-5.0
ENSG00000104332	ENSG00000073792	3.0
ENSG00000104332	ENSG00000004838	-1.0
ENSG00000104332	ENSG00000074410	-5.0
ENSG00000104332	ENSG00000091831	-21.0
ENSG00000104888	ENSG00000090889	-1.0
ENSG00000104921	ENSG00000004468	3.0
ENSG00000104921	ENSG00000013725	3.0
ENSG00000104921	ENSG00000026751	2.0
ENSG00000104921	ENSG00000065675	3.0
ENSG00000104921	ENSG00000077984	2.0
ENSG00000104921	ENSG00000079263	3.0
ENSG00000104921	ENSG00000089012	3.0
ENSG00000104921	ENSG00000096996	3.0
ENSG00000104921	ENSG00000100453	2.0
ENSG00000104921	ENSG00000101082	4.0
ENSG00000105246	ENSG00000049249	2.0
ENSG00000105246	ENSG00000049768	1.0
ENSG00000105246	ENSG00000050730	1.0
ENSG00000105246	ENSG00000065675	2.0
ENSG00000105246	ENSG00000101916	1.0
ENSG00000105369	ENSG00000027869	2.0
ENSG00000105369	ENSG00000049249	26.0
ENSG00000105369	ENSG00000049768	41.0
ENSG00000105369	ENSG00000050730	3.0
ENSG00000105369	ENSG00000101445	1.0
ENSG00000105369	ENSG00000101916	1.0
ENSG00000105374	ENSG00000101445	7.0
ENSG00000105926	ENSG00000065371	60.0
ENSG00000105926	ENSG00000073792	4.0
ENSG00000105926	ENSG00000094755	2.0
ENSG00000105926	ENSG00000100142	10.0
ENSG00000105926	ENSG00000102243	10.0
ENSG00000105926	ENSG00000103546	11.0
ENSG00000105926	ENSG00000104044	1.0
ENSG00000105926	ENSG00000074410	-22.0
ENSG00000105926	ENSG00000100583	-1.0
ENSG00000106123	ENSG00000054598	3.0
ENSG00000106123	ENSG00000101871	4.0
ENSG00000106123	ENSG00000104332	1.0
ENSG00000106123	ENSG00000105926	3.0
ENSG00000106123	ENSG00000074410	-1.0
ENSG00000106123	ENSG00000091831	-3.0
ENSG00000106541	ENSG00000065371	-25.0
ENSG00000106541	ENSG00000073792	-4.0
ENSG00000106541	ENSG00000094755	-2.0
ENSG00000106541	ENSG00000100142	-8.0
ENSG00000106541	ENSG00000101871	-22.0
ENSG00000106541	ENSG00000102243	-7.0
ENSG00000106541	ENSG00000103546	-5.0
ENSG00000106541	ENSG00000104044	-6.0
ENSG00000106541	ENSG00000104332	-12.0
ENSG00000106714	ENSG00000105926	1.0
ENSG00000108176	ENSG00000064787	1.0
ENSG00000108176	ENSG00000054598	-2.0
ENSG00000108176	ENSG00000105926	-1.0
ENSG00000109684	ENSG00000007312	7.0
ENSG00000109684	ENSG00000100079	1.0
