#SOURCE	#TARGET	#INTENSITY	#CORR_COEFF
1	3	-1.0	-0.583067334232972
1	10	-2.0	-0.597382536824175
1	12	-3.0	-0.569716907787772
1	16	-2.0	-0.533813244136908
1	21	-2.0	-0.573397777926021
1	33	-11.0	-0.597623463672812
1	39	-2.0	-0.574769279636613
1	44	-1.0	-0.548218649520811
2	45	-3.0	-0.494258099023906
2	48	-1.0	-0.55878850229113
2	49	-1.0	-0.568651741598425
2	50	-1.0	-0.474724423883792
2	52	-5.0	-0.535110981806234
2	53	-1.0	-0.593702359462924
2	54	-7.0	-0.510575197144164
2	56	-1.0	-0.49284928476536
2	57	-4.0	-0.487168748767073
2	58	-11.0	-0.589972130763794
2	60	-7.0	-0.574501221589393
2	61	-7.0	-0.577654831468679
2	62	-3.0	-0.530955641971165
2	63	-2.0	-0.482617428554401
2	65	-10.0	-0.530218529363341
2	66	-2.0	-0.534198896329592
2	67	-3.0	-0.530455329826388
2	68	-3.0	-0.522491546732681
2	69	-3.0	-0.521408198062497
2	70	-5.0	-0.560471337409933
3	52	-1.0	-0.579973594690688
3	54	-1.0	-0.518372893525334
3	57	-1.0	-0.57820987240984
3	58	-1.0	-0.579467798941338
4	61	-2.0	-0.590863814020619
4	64	-2.0	-0.584094505741448
4	65	-2.0	-0.578450833585644
4	66	-2.0	-0.596554553804971
45	5	-5.0	-0.579265258385215
45	6	-12.0	-0.57462358362638
45	7	-47.0	-0.587790391010825
45	9	-25.0	-0.557973508593638
45	15	-13.0	-0.56858944645376
45	17	-44.0	-0.564057015161299
45	18	-7.0	-0.552535241093391
45	19	-2.0	-0.538102785406724
45	20	-3.0	-0.525086650208912
45	22	-1.0	-0.53555449742649
45	24	-1.0	-0.473464066272387
45	25	-18.0	-0.54499407092965
45	27	-3.0	-0.580606271391465
45	28	-18.0	-0.50556148039708
45	31	-18.0	-0.507039776639418
45	32	-2.0	-0.494039836178871
45	33	-1.0	-0.474403109128889
45	34	-35.0	-0.572180342660342
45	35	-10.0	-0.534426517675012
45	41	-6.0	-0.545582225429801
45	42	-18.0	-0.562012581330319
45	43	-3.0	-0.547259020217907
5	71	-1.0	-0.581017915950796
5	72	-4.0	-0.59475816707623
5	73	-3.0	-0.562921378898102
5	54	-1.0	-0.502143699922281
5	58	-1.0	-0.518202430356552
5	62	-2.0	-0.499978437598503
5	75	-1.0	-0.553610672388636
5	64	-1.0	-0.493812393991287
5	65	-2.0	-0.549504950778487
5	76	-3.0	-0.597995374087439
5	79	-1.0	-0.54317030499821
5	69	-1.0	-0.54001612642834
46	6	-3.0	-0.55777833936096
46	9	-4.0	-0.578328556006184
46	18	-3.0	-0.589225586265959
46	19	-1.0	-0.578770433224425
46	28	-2.0	-0.585318181296914
46	33	-1.0	-0.58324432866343
46	34	-4.0	-0.592464693915165
46	41	-2.0	-0.585421734236682
46	43	-1.0	-0.589042973169874
6	83	-1.0	-0.480413539529292
6	71	-3.0	-0.56308325818387
6	47	-26.0	-0.522986596787216
6	49	-1.0	-0.530778762393309
6	84	-3.0	-0.599402499047801
6	50	-5.0	-0.445822065549516
6	51	-22.0	-0.594483751846967
6	85	-1.0	-0.521016994513592
6	52	-23.0	-0.555261914918747
6	73	-3.0	-0.557977903186231
6	53	-2.0	-0.419835229962527
6	54	-34.0	-0.584481292676018
6	56	-3.0	-0.539469799735854
6	57	-24.0	-0.589558458705544
6	86	-2.0	-0.577474625931155
6	59	-11.0	-0.46636501523822
6	62	-17.0	-0.573292252034002
6	63	-3.0	-0.508901052321906
6	75	-2.0	-0.548836310151252
6	88	-3.0	-0.557128698401892
6	65	-37.0	-0.563288433841994
6	76	-3.0	-0.583996898382066
6	89	-3.0	-0.593260227742957
6	78	-2.0	-0.558715665732677
6	67	-8.0	-0.537840462190337
6	90	-3.0	-0.480920209402858
6	68	-6.0	-0.454668088360397
6	91	-1.0	-0.514667547060352
6	92	-3.0	-0.525998878520386
6	79	-2.0	-0.573385977104224
6	69	-17.0	-0.547294032695108
82	31	-1.0	-0.5425788642743
82	34	-1.0	-0.585638263036033
82	36	-1.0	-0.578901421604223
82	40	-1.0	-0.581544254418078
7	83	-1.0	-0.483166104994733
7	71	-6.0	-0.561340572498728
7	47	-78.0	-0.58443091455421
7	49	-4.0	-0.547978137490538
7	84	-5.0	-0.568525643456599
7	50	-21.0	-0.462967694162153
7	85	-3.0	-0.537467908500297
7	95	-1.0	-0.479003630784761
7	52	-66.0	-0.589233089367457
7	73	-5.0	-0.542324557160318
7	53	-5.0	-0.439814258710179
7	96	-1.0	-0.56153013450182
7	56	-10.0	-0.594002608499873
7	86	-4.0	-0.570377916588492
7	59	-29.0	-0.525112155585467
7	62	-49.0	-0.550441532440249
7	97	-1.0	-0.489536706988631
7	98	-1.0	-0.574208000464345
7	99	-2.0	-0.45200957075054
7	63	-14.0	-0.530520563674679
7	75	-4.0	-0.565866219371002
7	88	-5.0	-0.550094374642063
7	65	-87.0	-0.58215271864722
7	78	-2.0	-0.56760317558628
7	67	-16.0	-0.514245346454846
7	90	-5.0	-0.477618390560619
7	68	-29.0	-0.473214926634016
7	101	-2.0	-0.540751718422938
7	103	-1.0	-0.461229514802093
7	91	-2.0	-0.510697106948479
7	92	-5.0	-0.512680096580898
7	104	-1.0	-0.492711235037772
7	79	-4.0	-0.574078002720269
7	69	-54.0	-0.564026397649843
7	105	-1.0	-0.493840161863735
7	106	-1.0	-0.591544618335442
83	9	-2.0	-0.452376936297459
83	11	-5.0	-0.541107133228458
83	14	-7.0	-0.532921134140636
83	17	-2.0	-0.484324892443728
83	25	-1.0	-0.473389956663235
