#SOURCE	#TARGET	#INTENSITY	#CORR_COEFF
1	4	5.0	0.580195487613226
1	7	1.0	0.576146461550364
9	12	1.0	0.599947511507486
9	18	1.0	0.57250749619552
9	21	2.0	0.594580586615124
33	34	2.0	0.462510659138786
33	38	1.0	0.549418353300645
33	40	2.0	0.505996652990319
33	24	2.0	0.5882684601021
33	25	1.0	0.557215975874318
33	30	2.0	0.59149573335976
33	32	2.0	0.577600322137768
33	9	1.0	0.547703763904372
33	15	2.0	0.58879639663999
33	16	2.0	0.595724182249787
33	3	1.0	0.531832657089702
34	41	1.0	0.579694873375489
34	32	2.0	0.559952953217893
34	15	2.0	0.554010824174574
34	17	4.0	0.564749568225005
34	4	9.0	0.591068108517302
34	18	2.0	0.529080200750933
34	21	3.0	0.584157139366526
34	7	1.0	0.540163427379354
35	42	1.0	0.596420137744093
35	19	1.0	0.591783196414125
43	9	1.0	0.56150091264157
43	16	1.0	0.565876141867502
2	19	1.0	0.566387787480564
2	7	2.0	0.588757403542439
24	32	2.0	0.548550478055823
24	18	2.0	0.58538005655287
3	18	1.0	0.560258997388882
3	7	1.0	0.599235344695607
36	31	1.0	0.597600268845189
36	32	2.0	0.527575992180746
10	7	2.0	0.594871862515941
25	32	1.0	0.573932651646842
25	18	1.0	0.589228651261471
44	10	1.0	0.59294914345019
44	14	1.0	0.598344342610863
26	31	1.0	0.575455627626543
27	17	1.0	0.538608955498306
27	4	11.0	0.573766684706971
27	7	1.0	0.580365352689672
21	7	1.0	0.593669612874405
38	40	1.0	0.596394787002653
38	27	1.0	0.583561105087817
38	32	1.0	0.596171646904967
38	10	2.0	0.591144612657598
38	18	1.0	0.575546086164579
38	20	1.0	0.591581713674995
15	3	1.0	0.586685435918737
28	10	4.0	0.595521624428057
4	8	1.0	0.55712386484088
30	32	2.0	0.583492016690925
31	4	1.0	0.529536982023069
31	6	1.0	0.596500405777447
40	9	1.0	0.598257695485728
40	21	3.0	0.578485619476809
16	7	2.0	0.579362933501448
41	27	1.0	0.541118914442711
41	10	1.0	0.558155373044241
41	16	3.0	0.568398832563309
41	20	1.0	0.567338728663546
32	9	1.0	0.540329812668965
32	15	2.0	0.561593698980479
32	17	2.0	0.583677534239226
32	3	1.0	0.580852400553616
32	21	2.0	0.599940213861479
