external_gene_name	Occurance
ABCB5	1
HSPB6	1
FHL1	1
ADCYAP1R1	1
RUNX1T1	1
CPA1	1
ANGPT4	1
MYOM1	1
SRPX	1
BMX	1
CORO2B	1
SLC17A7	1
ASPA	1
ANGPTL1	1
LEPR	1
ITIH5	1
ALDH1A2	1
CDO1	1
CNN1	1
GALNT15	1
AOC3	1
MYH11	1
LYVE1	1
ARHGAP20	1
GIPC2	1
ABCA8	1
PAMR1	1
ADAM33	1
SCN2B	1
ABCA9	1
ABCA6	1
ABCA10	1
ADAMTS5	1
PTH1R	1
CD300LG	1
MAMDC2	1
SVEP1	1
VEGFD	1
HEPACAM	1
CA4	1
IGFBP6	1
TNXB	1
CAVIN2	1
NPR1	1
HSD17B13	1
MRGPRF	1
HSPB7	1
SCN4B	1
LRRN4CL	1
MAB21L1	1
TMEM132C	1
TSHZ2	1
TCEAL7	1
PDE2A	1
PLAC9	1
NKAPL	1
MAP1LC3C	1
PGM5-AS1	1
LINC01537	1
AL445426.1	1
LINC01697	1
ADAMTS9-AS2	1
LINC02202	1
LINC02511	1
CARMN	1
C8orf88	1
LINC02237	1
AP003071.4	1
FXYD1	1
CCL14	1
GPIHBP1	1
PGM5P3-AS1	1
FP325317.1	1
AC093535.2	1
AC134043.2	1
AP001528.3	1
SCN4A	1
MYOC	1
EBF3	1
KCNIP2	1
AVPR2	1
USHBP1	1
ITGA7	1
RDH5	1
CRHBP	1
GLYAT	1
TSPAN7	1
TAL1	1
CLEC3B	1
SOX17	1
AQP7	1
BTNL9	1
CCDC178	1
SCARA5	1
ATOH8	1
AQP7P1	1
ADH1A	1
CADM3-AS1	1
C1QTNF9	1
ALDH1L1-AS2	1
AC087482.1	1
CD79B	1
CD38	1
CD6	1
SLAMF7	1
SH2D2A	1
STAP1	1
TNFRSF9	1
FOXP3	1
TNIP3	1
PRKCQ	1
TBX21	1
ICAM3	1
CST7	1
LAMP3	1
P2RY10	1
SP140	1
FCN1	1
SIRPG	1
IL12RB1	1
LGALS2	1
APOBEC3H	1
GRAP2	1
IL2RB	1
GZMH	1
GZMB	1
ASB2	1
TCL1A	1
SLA2	1
PPP1R16B	1
TLR8	1
CD40LG	1
IL21R	1
FCER2	1
EBI3	1
CD79A	1
NKG7	1
CLNK	1
CRTAM	1
CD5	1
C11orf21	1
POU2AF1	1
CD69	1
IFNG	1
KLRB1	1
RIPOR2	1
TREML2	1
GZMK	1
ITK	1
IL12B	1
ZAP70	1
GNLY	1
IL18RAP	1
CD2	1
SLAMF1	1
PLA2G2D	1
FASLG	1
TNFRSF8	1
CCR2	1
LAX1	1
CD244	1
LY9	1
ZNF831	1
ZBP1	1
GPR18	1
TNFSF14	1
S1PR4	1
HCST	1
CCR7	1
TBC1D27P	1
IDO1	1
FCRLA	1
CLEC10A	1
FCRL2	1
PTPN22	1
IL2RA	1
TESPA1	1
SIT1	1
IRF4	1
STAT4	1
IL21	1
CXCL9	1
CD27	1
ITGB7	1
PSTPIP1	1
BCL2A1	1
XCL2	1
FCRL5	1
PTPN7	1
PLAC8	1
GZMA	1
SCML4	1
GPR174	1
IL2RG	1
DOK2	1
CD226	1
BANK1	1
CD96	1
CD8A	1
GBP5	1
MS4A1	1
NCF1	1
SLAMF8	1
UBASH3A	1
JAML	1
CD3G	1
CXCR5	1
CCR5	1
FCRL3	1
IKZF3	1
GFI1	1
SLAMF6	1
EOMES	1
TRAT1	1
FCRL1	1
PYHIN1	1
AIM2	1
CTLA4	1
ICOS	1
SAMD3	1
NCF1C	1
PRKCB	1
MEI1	1
SNX20	1
CD3D	1
FAM129C	1
TMIGD2	1
PNOC	1
IL7R	1
CD52	1
CD8B	1
CXCR6	1
CTSW	1
THEMIS	1
CCL19	1
PARP15	1
XCR1	1
CD7	1
TLR10	1
ZNF80	1
GPR171	1
TBC1D10C	1
ZNF683	1
KCNA3	1
CD19	1
ZBED2	1
CD28	1
FUT7	1
PRF1	1
FCRL6	1
TIGIT	1
NCF1B	1
CCR4	1
SH2D1A	1
PDE6G	1
C16orf54	1
BTLA	1
CXCR3	1
TRABD2A	1
TTC24	1
PDCD1	1
SELL	1
IDO2	1
CALHM6	1
CNR2	1
NUGGC	1
PAX5	1
GIMAP5	1
GZMM	1
CLEC4C	1
CD247	1
CD3E	1
CXorf65	1
NCR3	1
SLFN12L	1
TRGV10	1
TRBV6-1	1
TRBV4-1	1
TRBV9	1
TRBV6-5	1
TRBV6-6	1
TRBV5-5	1
TRBV7-6	1
TRBV5-6	1
TRBV5-1	1
TRBV4-2	1
TRBV19	1
TRBV20-1	1
TRBV24-1	1
TRBC1	1
TRBV27	1
TRBV28	1
TRBJ2-1	1
TRBJ2-7	1
TRBC2	1
TRAV2	1
TRAV3	1
TRAV4	1
TRAV5	1
TRAV6	1
TRAV8-1	1
TRAV10	1
TRAV12-1	1
TRAV8-2	1
TRAV8-3	1
TRAV13-1	1
TRAV12-2	1
TRAV8-4	1
TRAV13-2	1
TRAV14DV4	1
TRAV9-2	1
TRAV12-3	1
TRAV8-6	1
TRAV16	1
TRAV17	1
TRAV19	1
TRAV20	1
TRAV21	1
TRAV22	1
TRAV23DV6	1
TRDV1	1
TRAV24	1
TRAV25	1
TRAV26-1	1
TRAV27	1
TRAV35	1
TRAV36DV7	1
TRAV41	1
LINC01857	1
FTH1P22	1
AL031846.1	1
TRBV2	1
FAM30A	1
LTA	1
ITGB2-AS1	1
LTB	1
AL590764.1	1
TRBV5-4	1
AC119428.2	1
TRBV29-1	1
LINC00892	1
LINC01781	1
LINC01934	1
