distance	Occurance
51	11
19	9
42	8
144	8
32	8
60	8
44	7
2	7
0	7
52	7
33	7
336	7
118	7
121	7
95	7
9	6
192	6
75	6
5	6
4	6
3	6
16	6
39	6
15	6
7	6
103	6
8	6
245	6
20	6
116	6
22	6
76	6
152	5
86	5
258	5
49	5
50	5
28	5
155	5
21	5
56	5
18	5
31	5
149	5
40	5
120	5
178	5
71	5
14	5
91	5
133	5
146	5
117	5
48	5
119	4
92	4
147	4
179	4
1305	4
37	4
452	4
54	4
659	4
43	4
139	4
186	4
163	4
36	4
104	4
59	4
109	4
136	4
707	4
81	4
555	4
174	4
171	4
53	4
1	4
364	4
106	4
826	4
168	4
127	4
334	4
24	4
407	4
197	4
85	4
250	4
807	4
110	4
208	4
209	4
162	4
182	4
371	4
64	4
203	4
194	4
242	4
55	4
321	4
198	4
616	4
87	4
272	3
457	3
500	3
183	3
79	3
67	3
746	3
571	3
473	3
25	3
1114	3
435	3
100	3
304	3
46	3
126	3
94	3
899	3
1372	3
130	3
84	3
141	3
523	3
271	3
580	3
1060	3
1066	3
1192	3
206	3
268	3
61	3
204	3
58	3
181	3
1003	3
281	3
13	3
69	3
976	3
96	3
326	3
429	3
125	3
647	3
482	3
105	3
818	3
164	3
535	3
451	3
265	3
668	3
93	3
35	3
175	3
288	3
240	3
1103	3
315	3
80	3
1207	3
267	3
70	3
597	3
684	3
638	3
166	3
184	3
377	3
406	3
107	3
72	3
809	3
273	3
27	3
263	3
538	3
11	3
172	3
706	3
26	3
98	3
10	3
57	3
1118	3
624	3
220	3
212	3
1338	3
113	3
68	3
654	3
687	2
483	2
148	2
128	2
167	2
1131	2
317	2
2716	2
3790	2
1025	2
3250	2
3894	2
399	2
3338	2
232	2
695	2
319	2
9146	2
313	2
629	2
131	2
1371	2
1039	2
210	2
13099	2
2864	2
1412	2
983	2
1413	2
225	2
211	2
491	2
341	2
643	2
17792	2
253	2
151	2
698	2
905	2
266	2
2642	2
12253	2
97	2
1196	2
300	2
3839	2
661	2
36035	2
6704	2
56803	2
1282	2
18726	2
77	2
8832	2
2024	2
261	2
1384	2
223	2
2645	2
1911	2
6585	2
2890	2
11491	2
689	2
592	2
2472	2
114	2
725	2
260	2
1746	2
1112	2
1153	2
1251	2
3331	2
135	2
733	2
730	2
357	2
202	2
2617	2
564	2
4254	2
6424	2
292	2
894	2
1076	2
2858	2
3206	2
4294	2
1463	2
2469	2
5825	2
4436	2
82	2
1193	2
1219	2
2329	2
370	2
283	2
22448	2
6353	2
7222	2
847	2
2305	2
346	2
504	2
532	2
418	2
639	2
270	2
345	2
238	2
596	2
361	2
458	2
332	2
376	2
323	2
759	2
303	2
140	2
302	2
1108	2
800	2
329	2
453	2
439	2
620	2
474	2
949	2
224	2
1249	2
196	2
606	2
5272	2
200	2
316	2
440	2
83	2
395	2
617	2
831	2
213	2
45	2
33723	2
159	2
347	2
712	2
1963	2
1263	2
403	2
966	2
795	2
185	2
123	2
877	2
790	2
235	2
1037	2
29	2
965	2
575	2
1246	2
73	2
173	2
744	2
401	2
1150	2
249	2
190	2
374	2
187	2
63	2
291	2
398	2
1051	2
735	2
165	2
632	2
17	2
797	2
1143	2
732	2
988	2
1795	2
1647	2
65	2
122	2
423	2
145	2
3869	2
254	2
216	2
278	2
1208	2
697	2
1589	2
2702	2
508	2
274	2
134	2
1054	2
157	2
2226	2
180	2
160	2
404	2
625	2
2190	2
728	2
487	2
176	2
842	2
62	2
1007	2
310	2
798	2
360	2
387	2
943	2
5861	2
419	2
1018	2
153	2
667	2
368	2
443	2
1151	2
1087	2
99	2
47	2
2757	2
626	2
47392	2
132	2
802	2
972	2
869	2
810	2
5762	2
34	2
879	2
11985	2
3640	2
873	2
2904	2
18090	2
787	2
218	2
252	2
6562	2
101	2
641	2
3819	2
12	2
619	2
3313	2
23	2
23539	2
3950	2
835	2
1203	2
512	2
5554	2
540	2
1031	2
952	2
3190	2
745	2
18722	2
2493	2
199	2
88	2
530	2
355	2
866	2
22592	1
3349	1
112	1
25808	1
239010	1
29541	1
102	1
107947	1
58500	1
3619	1
1178	1
353	1
36075	1
107103	1
43240	1
61672	1
141936	1
189696	1
18044	1
99797	1
11107	1
77321	1
75618	1
54018	1
3038	1
3614	1
161088	1
6890	1
52634	1
61679	1
90827	1
36052	1
305	1
20669	1
33873	1
1946	1
159383	1
41	1
17923	1
6463	1
46815	1
44262	1
17428	1
61658	1
124425	1
99073	1
45038	1
559036	1
93360	1
17279	1
37601	1
159416	1
18471	1
17743	1
672	1
4317	1
66386	1
1975	1
9555	1
45667	1
184869	1
150134	1
1094	1
350	1
76133	1
75633	1
68849	1
13102	1
35637	1
1936	1
39420	1
98991	1
970	1
45801	1
36382	1
9438	1
45105	1
13582	1
6645	1
22260	1
277338	1
65426	1
9152	1
5486	1
19924	1
416353	1
69318	1
20388	1
163671	1
71374	1
15461	1
22640	1
87393	1
36058	1
101079	1
1068	1
34721	1
6349	1
57393	1
165770	1
80821	1
19737	1
27036	1
338	1
5734	1
1628	1
70613	1
533	1
26137	1
9075	1
599	1
120225	1
18982	1
77591	1
91328	1
319452	1
3345	1
113138	1
5537	1
1381	1
8668	1
17928	1
61424	1
46294	1
3556	1
21218	1
79621	1
160865	1
42853	1
66187	1
14795	1
28892	1
17957	1
1942	1
150	1
30851	1
4496	1
6210	1
5557	1
884	1
13700	1
18328	1
203863	1
11520	1
122428	1
47895	1
22504	1
416683	1
9543	1
75816	1
36153	1
35188	1
102683	1
5052	1
128643	1
6626	1
16602	1
4125	1
36015	1
149604	1
19008	1
67114	1
113406	1
189	1
29256	1
801	1
2074	1
30961	1
35732	1
17453	1
12480	1
42307	1
6556	1
219788	1
19346	1
35228	1
358953	1
44446	1
36505	1
36017	1
34892	1
62345	1
23113	1
173570	1
41415	1
6622	1
738	1
33751	1
8622	1
46431	1
27049	1
2470	1
42123	1
3232	1
13061	1
1070	1
57984	1
16056	1
53765	1
628	1
3868	1
3147	1
3105	1
124245	1
46392	1
174519	1
48326	1
61845	1
815	1
11402	1
77010	1
3021	1
21117	1
8421	1
40751	1
56945	1
44399	1
3805	1
18181	1
58205	1
76136	1
10461	1
29789	1
9671	1
37346	1
18615	1
20728	1
6179	1
8414	1
50865	1
13121	1
73652	1
18716	1
20451	1
3831	1
29964	1
4351	1
59004	1
72501	1
17907	1
42486	1
12686	1
68878	1
18634	1
11581	1
14064	1
1785	1
116607	1
72151	1
37294	1
8467	1
44434	1
882	1
18528	1
4045	1
6667	1
285363	1
166824	1
28903	1
15160	1
999	1
42175	1
1230	1
39620	1
22403	1
12778	1
195860	1
45446	1
20391	1
48665	1
59540	1
8516	1
227260	1
5746	1
4071	1
12681	1
13851	1
44509	1
3391	1
148409	1
5893	1
20553	1
26559	1
22222	1
27754	1
42777	1
702	1
36124	1
3783	1
437	1
5909	1
22078	1
1350	1
74265	1
25553	1
14382	1
11235	1
2410	1
1872	1
20772	1
9823	1
3060	1
40818	1
36646	1
74173	1
165892	1
37476	1
959	1
23790	1
71543	1
21011	1
66898	1
44779	1
12297	1
429419	1
5161	1
25418	1
26469	1
11482	1
37210	1
13632	1
90806	1
42245	1
43098	1
1348	1
4860	1
89874	1
351769	1
526	1
29602	1
6191	1
129411	1
32602	1
6499	1
22064	1
2466	1
61159	1
188434	1
846	1
152318	1
61612	1
1339	1
148386	1
58513	1
31652	1
244900	1
26939	1
21748	1
28632	1
10923	1
36241	1
13456	1
16029	1
168547	1
89699	1
38155	1
102630	1
18424	1
52105	1
55683	1
62956	1
29848	1
15991	1
12596	1
3579	1
4244	1
9238	1
45422	1
16661	1
53996	1
5906	1
33317	1
4802	1
76693	1
161302	1
34934	1
37000	1
441658	1
4959	1
50930	1
201444	1
4152	1
43148	1
25042	1
11918	1
39548	1
28452	1
45006	1
11134	1
45030	1
36998	1
92306	1
520	1
17934	1
43562	1
49207	1
48623	1
633	1
75413	1
3848	1
1013	1
77171	1
3630	1
23632	1
55373	1
9052	1
549	1
23753	1
28789	1
33353	1
36253	1
13291	1
4405	1
1421	1
6462	1
23367	1
92405	1
34329	1
8542	1
4264	1
660	1
5730	1
120241	1
5423	1
3931	1
985	1
30542	1
683	1
246	1
3127	1
34873	1
113242	1
123948	1
648	1
7645	1
26201	1
6695	1
46295	1
2386	1
112274	1
48302	1
5632	1
199129	1
749	1
305120	1
120535	1
17580	1
9773	1
26175	1
4723	1
46734	1
2720	1
2412	1
28844	1
46321	1
837	1
117016	1
23738	1
110175	1
54071	1
54399	1
700935	1
13509	1
3325	1
3202	1
56019	1
6205	1
2340	1
21950	1
36591	1
3841	1
20015	1
90216	1
269434	1
2007	1
2544	1
22665	1
6098	1
129726	1
4014	1
138820	1
32884	1
57549	1
17043	1
45967	1
42171	1
126105	1
29218	1
3680	1
107737	1
3854	1
2259	1
55407	1
32777	1
2608	1
43039	1
5826	1
246379	1
901	1
73110	1
366304	1
307	1
8079	1
36887	1
8465	1
6184	1
30601	1
4433	1
14196	1
223295	1
57430	1
42732	1
34709	1
151538	1
123006	1
29883	1
6170	1
340903	1
13266	1
4106	1
324	1
20899	1
6878	1
24200	1
210014	1
94207	1
16051	1
18636	1
1142	1
20524	1
2878	1
3818	1
31202	1
848	1
1696	1
16300	1
119790	1
154175	1
30876	1
2903	1
8750	1
12044	1
6979	1
7482	1
134662	1
4233	1
58230	1
6897	1
17733	1
2240	1
9726	1
11619	1
1434	1
34985	1
135376	1
9006	1
41882	1
107384	1
268604	1
607	1
107469	1
2436	1
335	1
42712	1
51437	1
47904	1
265485	1
270069	1
50519	1
32578	1
97301	1
3401	1
345703	1
2381	1
234684	1
21222	1
1788	1
587446	1
19925	1
32869	1
374298	1
13630	1
4852	1
6238	1
239356	1
71469	1
1523	1
4849	1
107800	1
7011	1
152334	1
105408	1
79373	1
73987	1
2779	1
98084	1
8217	1
14434	1
74856	1
231468	1
1347	1
25659	1
11937	1
5251	1
6735	1
32862	1
2031	1
15621	1
3438	1
27522	1
25077	1
13627	1
3045	1
19588	1
19865	1
103954	1
11525	1
45058	1
83828	1
15219	1
3346	1
629136	1
8476	1
14221	1
3510	1
173513	1
4279	1
8741	1
704	1
61527	1
1095	1
18326	1
4185	1
15213	1
4675	1
3422	1
28205	1
296	1
76068	1
120009	1
10495	1
16290	1
1847	1
449	1
13759	1
54533	1
9174	1
5400	1
69835	1
1948	1
64351	1
7986	1
43057	1
14079	1
56139	1
70781	1
9473	1
156277	1
3298	1
124496	1
32916	1
2438	1
26408	1
21204	1
14680	1
20845	1
3336	1
71484	1
55639	1
11835	1
8489	1
89	1
31055	1
5679	1
260181	1
1930	1
4708	1
1711	1
740	1
8158	1
3865	1
59414	1
17133	1
65853	1
85546	1
120689	1
6374	1
66828	1
6679	1
212478	1
92310	1
6765	1
26949	1
171064	1
4252	1
14107	1
2473	1
103118	1
37881	1
11099	1
122832	1
3600	1
6519	1
7370	1
50551	1
58986	1
16347	1
19242	1
89460	1
270344	1
655148	1
9448	1
30011	1
28785	1
2006	1
45456	1
115841	1
9580	1
8449	1
2457	1
25116	1
2837	1
47742	1
96034	1
49998	1
10919	1
128386	1
21933	1
50631	1
21339	1
6631	1
112124	1
1340	1
44076	1
4437	1
1409	1
3098	1
33332	1
2941	1
224527	1
5688	1
3465	1
10060	1
8718	1
7960	1
64890	1
5731	1
2769	1
18628	1
288458	1
3785	1
34439	1
15006	1
553736	1
7082	1
30966	1
14110	1
209176	1
3044	1
35278	1
20720	1
10590	1
6513	1
17020	1
120305	1
98214	1
112021	1
290	1
14466	1
8330	1
1179	1
9551	1
85059	1
6001	1
29269	1
66310	1
7473	1
39009	1
30504	1
5181	1
77846	1
525466	1
21145	1
10317	1
41726	1
232329	1
1814	1
8672	1
4529	1
1250	1
21089	1
120171	1
6153	1
276412	1
123027	1
36955	1
2806	1
97747	1
166330	1
4537	1
6548	1
8184	1
13043	1
9019	1
26025	1
85082	1
29715	1
8163	1
168118	1
77288	1
24824	1
24123	1
98357	1
32619	1
22426	1
5345	1
23890	1
2680	1
3540	1
2654	1
8010	1
14363	1
3243	1
43053	1
3428	1
21876	1
367185	1
26332	1
13381	1
2225	1
78	1
289480	1
1481	1
45838	1
37646	1
1986	1
127173	1
89192	1
118907	1
9691	1
8032	1
28870	1
33124	1
26656	1
7934	1
58364	1
41378	1
33742	1
2537	1
39922	1
1170	1
1822	1
12052	1
735317	1
7767	1
24835	1
36247	1
427	1
7997	1
3534	1
20671	1
11877	1
2646	1
61467	1
14091	1
42843	1
50428	1
39360	1
60443	1
17548	1
24033	1
50702	1
4227	1
3757	1
1364	1
2974	1
88369	1
7364	1
81835	1
6297	1
987	1
52136	1
89688	1
366448	1
8563	1
18479	1
4089	1
42454	1
11763	1
111886	1
8659	1
218766	1
291314	1
4168	1
23925	1
4200	1
8977	1
3322	1
9591	1
10676	1
3151	1
12150	1
24288	1
909	1
21717	1
2313	1
863	1
1627	1
26345	1
37451	1
327632	1
83017	1
31531	1
86778	1
72057	1
18719	1
6387	1
84804	1
49684	1
43743	1
2072	1
1559	1
329938	1
26620	1
3543	1
26839	1
56956	1
69831	1
8956	1
16106	1
12833	1
22181	1
46764	1
46101	1
430	1
72132	1
3012	1
14723	1
143077	1
13844	1
226908	1
3414	1
36926	1
102799	1
9437	1
3886	1
26290	1
3705	1
28503	1
137985	1
12111	1
1638	1
28585	1
78932	1
948	1
25004	1
1730	1
1310	1
581	1
1225	1
589	1
615	1
1158	1
1849	1
7773	1
2441	1
92562	1
19655	1
5569	1
1180	1
13227	1
409	1
19499	1
5287	1
60658	1
584	1
651	1
51620	1
51146	1
13258	1
748	1
506	1
1088	1
36023	1
1265	1
18102	1
12847	1
68002	1
778	1
29183	1
1841	1
1029	1
101152	1
939	1
7068	1
1388	1
140536	1
16660	1
8733	1
1565	1
5264	1
6660	1
3661	1
1284	1
7073	1
5950	1
907	1
18200	1
13282	1
13828	1
108	1
485	1
41108	1
4186	1
1270	1
118520	1
1198	1
269	1
23322	1
13035	1
2952	1
405707	1
498	1
42470	1
503	1
23040	1
2672	1
29552	1
494	1
3611	1
60928	1
4797	1
32946	1
96132	1
908	1
743	1
80375	1
199529	1
9409	1
45962	1
26647	1
185681	1
7098	1
330	1
351	1
22618	1
867	1
13215	1
85927	1
5749	1
1520	1
1308	1
9127	1
1187	1
1395	1
154	1
2488	1
591	1
92540	1
13181	1
3893	1
86233	1
55211	1
653	1
284	1
3096	1
62353	1
17248	1
11684	1
14036	1
18707	1
15692	1
428	1
1056	1
820	1
412	1
24586	1
39468	1
11853	1
762	1
46396	1
10114	1
48876	1
6534	1
29171	1
157912	1
467	1
887	1
15246	1
622	1
15449	1
16504	1
3829	1
7674	1
1058	1
13123	1
49245	1
780	1
7842	1
760	1
16306	1
27010	1
19255	1
2980	1
2302	1
117271	1
2237	1
5253	1
21593	1
489	1
11302	1
8772	1
2243	1
773	1
415	1
43142	1
33947	1
436	1
380	1
27670	1
7904	1
107175	1
22742	1
236	1
755	1
31566	1
80358	1
4776	1
5572	1
21224	1
8161	1
1765	1
37930	1
1033	1
6002	1
721	1
62462	1
6232	1
3954	1
12040	1
12672	1
1296	1
460	1
48385	1
2569	1
3597	1
1933	1
282	1
612	1
275	1
80339	1
74585	1
1012	1
1048	1
40514	1
5404	1
4015	1
445	1
857	1
46864	1
6	1
103688	1
12039	1
1396	1
11859	1
1525	1
1024	1
38110	1
4738	1
709	1
747	1
105213	1
3608	1
20084	1
14063	1
636	1
775	1
62582	1
120373	1
11916	1
2276	1
1300	1
444	1
37181	1
715	1
1389	1
1555	1
875	1
7560	1
4159	1
2993	1
62609	1
1715	1
4569	1
37286	1
13159	1
21447	1
1080	1
105730	1
3458	1
3995	1
40552	1
83091	1
40075	1
7177	1
66010	1
27202	1
327	1
7197	1
6395	1
570	1
39428	1
6032	1
12543	1
143936	1
15660	1
933	1
18542	1
19423	1
136924	1
1405	1
101926	1
1083	1
20978	1
499	1
9080	1
3574	1
31390	1
91510	1
6326	1
312893	1
6962	1
27488	1
1273	1
96164	1
11746	1
166131	1
961	1
2797	1
15375	1
63860	1
7293	1
113039	1
379	1
932	1
3863	1
6754	1
248	1
15135	1
95718	1
1139	1
9484	1
3528	1
2840	1
1354	1
2076	1
779	1
114162	1
2262	1
1333	1
5331	1
42492	1
28843	1
13187	1
1190	1
13286	1
550	1
80643	1
66731	1
681	1
583	1
66365	1
84103	1
13396	1
2360	1
554	1
177	1
6061	1
28957	1
814	1
921	1
130930	1
1073	1
1274	1
22536	1
1138	1
382	1
566	1
1637	1
39095	1
367	1
2000	1
3736	1
5281	1
73976	1
29871	1
1444	1
6152	1
1603	1
2475	1
666	1
40124	1
59750	1
23540	1
108181	1
48935	1
70486	1
13518	1
391	1
352	1
9965	1
26534	1
21882	1
8808	1
1216	1
1519	1
2998	1
4840	1
74	1
2003	1
7834	1
2296	1
470	1
7615	1
46970	1
9169	1
221	1
934	1
96108	1
7672	1
9589	1
509	1
28757	1
66	1
1252	1
22308	1
205	1
1498	1
256	1
14798	1
38203	1
21425	1
29958	1
5969	1
60332	1
534	1
136687	1
10357	1
43791	1
14471	1
685	1
2197	1
447	1
382024	1
11907	1
5547	1
10764	1
43381	1
72757	1
5365	1
19477	1
66166	1
1670	1
31940	1
285	1
10686	1
295	1
495	1
1188	1
2132	1
705	1
12464	1
1919	1
12435	1
69196	1
63784	1
31444	1
1719	1
1105	1
101992	1
5917	1
73325	1
411	1
161	1
567	1
1009	1
26743	1
9855	1
29178	1
25812	1
19493	1
832	1
9221	1
383	1
30017	1
45534	1
54875	1
6871	1
214	1
23138	1
1040	1
264445	1
2172	1
3956	1
27757	1
29531	1
479	1
7086	1
40062	1
10167	1
67505	1
623	1
47614	1
20442	1
25786	1
699	1
10287	1
860	1
929	1
9151	1
1100	1
4124	1
4795	1
1201	1
1438	1
845	1
18029	1
11869	1
36464	1
3744	1
8801	1
33322	1
2268	1
15841	1
917	1
50266	1
1075	1
1890	1
22849	1
143	1
2206	1
3641	1
56729	1
209336	1
9992	1
2377	1
145159	1
29466	1
392	1
9068	1
28788	1
5542	1
394	1
8366	1
1057	1
49229	1
44554	1
13722	1
10161	1
3690	1
29131	1
10266	1
17910	1
38274	1
125068	1
579	1
493	1
230	1
1392	1
22289	1
1002	1
12156	1
5886	1
36379	1
1850	1
731	1
309885	1
2639	1
4267	1
2522	1
1352	1
8454	1
10810	1
31515	1
195	1
3344	1
1023	1
62483	1
4158	1
24020	1
3994	1
29972	1
2426	1
1086	1
38888	1
516	1
49572	1
14090	1
1084	1
7313	1
3036	1
1954	1
11202	1
1759	1
12220	1
89887	1
29546	1
1940	1
679	1
1997	1
16889	1
5999	1
22402	1
342	1
2833	1
70425	1
151381	1
3683	1
60327	1
10156	1
1510	1
16434	1
10255	1
2437	1
1411	1
344	1
15404	1
40491	1
4064	1
11339	1
10281	1
276	1
4412	1
1996	1
2269	1
8241	1
955	1
42812	1
51378	1
165155	1
49584	1
541	1
5957	1
413	1
4859	1
19749	1
16280	1
11518	1
25015	1
237	1
89222	1
142	1
1499	1
36521	1
139723	1
36439	1
79516	1
8021	1
14595	1
4007	1
12315	1
24414	1
1668	1
739	1
3782	1
811	1
23877	1
928	1
1210	1
1873	1
5994	1
37605	1
163897	1
5278	1
637	1
17831	1
1152	1
80632	1
237783	1
334727	1
13619	1
185156	1
39018	1
1092	1
38988	1
10310	1
37539	1
552	1
15358	1
5405	1
1489	1
1762	1
23050	1
12886	1
21245	1
7362	1
611	1
41332	1
10128	1
58289	1
72597	1
1351	1
18846	1
11933	1
1295	1
94780	1
107762	1
1234	1
3906	1
49402	1
3095	1
83136	1
102921	1
537	1
5063	1
582	1
434	1
4194	1
6971	1
542	1
37244	1
49723	1
8836	1
190999	1
90181	1
7756	1
189204	1
3138	1
11995	1
10515	1
10711	1
12247	1
2357	1
4079	1
27178	1
38312	1
2561	1
79733	1
32532	1
1144	1
3224	1
486	1
27019	1
112353	1
926	1
6530	1
397	1
777	1
10433	1
257	1
717	1
77650	1
3635	1
4927	1
39293	1
1456	1
515	1
294	1
3714	1
1782	1
38366	1
420	1
19780	1
20795	1
21248	1
1949	1
32531	1
375	1
9210	1
10824	1
490	1
12197	1
1672	1
63787	1
7266	1
3915	1
446	1
143923	1
4733	1
1505	1
13787	1
309	1
24774	1
9904	1
839	1
21246	1
26711	1
21700	1
191	1
1929	1
84330	1
55664	1
1393	1
39616	1
38595	1
7432	1
3472	1
39672	1
3265	1
24475	1
1001	1
28974	1
52035	1
838	1
29128	1
1916	1
2366	1
71731	1
1490	1
1102	1
1429	1
3582	1
2025	1
4636	1
291257	1
1836	1
147245	1
1061	1
5008	1
24933	1
45086	1
646	1
1881	1
6089	1
7267	1
627	1
904	1
940	1
5686	1
84191	1
9566	1
1674	1
1355	1
21951	1
45807	1
4428	1
55397	1
27304	1
11981	1
225864	1
1790	1
7372	1
124	1
12392	1
19928	1
5453	1
17611	1
24172	1
18157	1
24292	1
7847	1
1588	1
34178	1
2762	1
1141	1
193	1
20287	1
7234	1
3450	1
7123	1
28922	1
3552	1
3801	1
1028	1
264	1
4392	1
936	1
33814	1
3179	1
3063	1
11635	1
51754	1
3483	1
6883	1
836	1
10657	1
565	1
127022	1
1442	1
7521	1
2430	1
3227	1
5097	1
14744	1
2071	1
90829	1
2121	1
2141	1
126135	1
8278	1
1122	1
4066	1
16047	1
137	1
5062	1
20483	1
69329	1
15833	1
24902	1
30540	1
293	1
11058	1
12290	1
1476	1
5148	1
11939	1
86455	1
29515	1
24759	1
17371	1
3183	1
14830	1
3099	1
6165	1
3403	1
1345	1
233	1
21437	1
1722	1
6831	1
1944	1
598	1
18735	1
8769	1
40425	1
1323	1
4532	1
39833	1
138	1
20500	1
4780	1
2887	1
2209	1
385	1
5878	1
914	1
20857	1
1254	1
2204	1
60398	1
5895	1
2705	1
1298	1
915	1
6216	1
12310	1
11059	1
1796	1
13795	1
1865	1
6582	1
12624	1
18247	1
20799	1
13422	1
3300	1
229	1
314	1
1124	1
18005	1
46783	1
10940	1
21985	1
32348	1
104232	1
6416	1
5007	1
2937	1
16475	1
1541	1
333	1
6549	1
18554	1
569	1
6910	1
26943	1
20152	1
27861	1
1659	1
21781	1
2454	1
22547	1
19786	1
6611	1
903	1
11954	1
4823	1
5682	1
1733	1
2491	1
20693	1
585	1
213278	1
6439	1
3329	1
107404	1
12374	1
38489	1
6026	1
25229	1
27716	1
1341	1
39706	1
4731	1
15589	1
169	1
20004	1
4419	1
21264	1
40489	1
3303	1
2379	1
90727	1
556	1
1968	1
7415	1
84276	1
3140	1
118743	1
27590	1
4542	1
4378	1
2247	1
2411	1
3559	1
994	1
43201	1
1311	1
16088	1
3598	1
5314	1
6723	1
28748	1
11770	1
844	1
4878	1
2559	1
6527	1
16023	1
25499	1
49963	1
8647	1
8877	1
6578	1
13168	1
3720	1
142363	1
30076	1
17400	1
