ensembl_gene_id	Occurance
ND	146
ENSG00000196498	20
ENSG00000204385	17
ENSG00000204580	15
ENSG00000141738	13
ENSG00000229950	12
ENSG00000170421	11
ENSG00000164309	11
ENSG00000164776	11
ENSG00000135111	10
ENSG00000177508	10
ENSG00000204264	10
ENSG00000121440	9
ENSG00000171671	9
ENSG00000111679	9
ENSG00000184640	8
ENSG00000145012	8
ENSG00000144218	8
ENSG00000099860	8
ENSG00000174292	8
ENSG00000129353	8
ENSG00000067082	7
ENSG00000126217	7
ENSG00000141579	7
ENSG00000129514	7
ENSG00000154473	7
ENSG00000142765	7
ENSG00000167074	7
ENSG00000255737	7
ENSG00000172830	7
ENSG00000189143	7
ENSG00000215845	7
ENSG00000198373	6
ENSG00000160999	6
ENSG00000141556	6
ENSG00000008083	6
ENSG00000182580	6
ENSG00000155760	6
ENSG00000160113	6
ENSG00000104731	6
ENSG00000245750	6
ENSG00000141582	6
ENSG00000149115	6
ENSG00000039068	6
ENSG00000213923	6
ENSG00000172037	6
ENSG00000125637	6
ENSG00000137203	6
ENSG00000078687	6
ENSG00000200816	6
ENSG00000137166	5
ENSG00000169247	5
ENSG00000111218	5
ENSG00000136205	5
ENSG00000266738	5
ENSG00000149591	5
ENSG00000175029	5
ENSG00000054598	5
ENSG00000260880	5
ENSG00000160182	5
ENSG00000151240	5
ENSG00000213085	5
ENSG00000117983	5
ENSG00000168101	5
ENSG00000103067	5
ENSG00000139531	5
ENSG00000179604	5
ENSG00000187605	5
ENSG00000139725	5
ENSG00000065154	5
ENSG00000167705	5
ENSG00000178882	5
ENSG00000197182	5
ENSG00000265148	5
ENSG00000143217	5
ENSG00000161955	5
ENSG00000006116	5
ENSG00000171130	5
ENSG00000142733	5
ENSG00000135439	5
ENSG00000198561	5
ENSG00000266079	5
ENSG00000111321	5
ENSG00000185905	5
ENSG00000226979	5
ENSG00000100146	5
ENSG00000072201	5
ENSG00000163879	5
ENSG00000135362	4
ENSG00000144711	4
ENSG00000175711	4
ENSG00000166833	4
ENSG00000160213	4
ENSG00000095637	4
ENSG00000148737	4
ENSG00000108175	4
ENSG00000166682	4
ENSG00000185650	4
ENSG00000116991	4
ENSG00000136286	4
ENSG00000161904	4
ENSG00000141564	4
ENSG00000078269	4
ENSG00000110047	4
ENSG00000182197	4
ENSG00000148841	4
ENSG00000160221	4
ENSG00000140332	4
ENSG00000135374	4
ENSG00000124496	4
ENSG00000155324	4
ENSG00000158486	4
ENSG00000086300	4
ENSG00000145217	4
ENSG00000076928	4
ENSG00000130940	4
ENSG00000171603	4
ENSG00000148498	4
ENSG00000189171	4
ENSG00000253313	4
ENSG00000088002	4
ENSG00000014914	4
ENSG00000124839	4
ENSG00000130545	4
ENSG00000196917	4
ENSG00000165915	4
ENSG00000137411	4
ENSG00000131759	4
ENSG00000198517	4
ENSG00000052344	4
ENSG00000185989	4
ENSG00000179219	4
ENSG00000264357	4
ENSG00000182257	4
ENSG00000185133	4
ENSG00000163435	4
ENSG00000124466	4
ENSG00000160953	4
ENSG00000127129	4
ENSG00000079308	4
ENSG00000133250	4
ENSG00000130475	4
ENSG00000106211	4
ENSG00000143416	4
ENSG00000102890	4
ENSG00000137801	4
ENSG00000162599	4
ENSG00000177674	4
ENSG00000117298	4
ENSG00000132746	4
ENSG00000160255	4
ENSG00000175463	4
ENSG00000213402	4
ENSG00000197471	4
ENSG00000148824	4
ENSG00000110665	4
ENSG00000204267	4
ENSG00000203896	4
ENSG00000103227	4
ENSG00000225614	4
ENSG00000207713	4
ENSG00000167767	4
ENSG00000227128	4
ENSG00000083307	4
ENSG00000118640	4
ENSG00000255152	4
ENSG00000171612	4
ENSG00000144504	4
ENSG00000179776	3
ENSG00000116285	3
ENSG00000157933	3
ENSG00000114019	3
ENSG00000130508	3
ENSG00000197361	3
ENSG00000236790	3
ENSG00000224403	3
ENSG00000110693	3
ENSG00000169085	3
ENSG00000114124	3
ENSG00000126602	3
ENSG00000174238	3
ENSG00000170485	3
ENSG00000110090	3
ENSG00000159842	3
ENSG00000124610	3
ENSG00000255874	3
ENSG00000106003	3
ENSG00000085552	3
ENSG00000141527	3
ENSG00000161011	3
ENSG00000185442	3
ENSG00000162337	3
ENSG00000072786	3
ENSG00000119139	3
ENSG00000182175	3
ENSG00000128536	3
ENSG00000163975	3
ENSG00000106571	3
ENSG00000280409	3
ENSG00000147526	3
ENSG00000131095	3
ENSG00000137266	3
ENSG00000257923	3
ENSG00000134864	3
ENSG00000125046	3
ENSG00000115159	3
ENSG00000188042	3
ENSG00000121270	3
ENSG00000061455	3
ENSG00000172530	3
ENSG00000158966	3
ENSG00000157978	3
ENSG00000207815	3
ENSG00000231920	3
ENSG00000198369	3
ENSG00000154553	3
ENSG00000157985	3
ENSG00000102743	3
ENSG00000071054	3
ENSG00000002822	3
ENSG00000115648	3
ENSG00000154928	3
ENSG00000187098	3
ENSG00000171604	3
ENSG00000043143	3
ENSG00000134954	3
ENSG00000173467	3
ENSG00000162804	3
ENSG00000196782	3
ENSG00000136237	3
ENSG00000207967	3
ENSG00000196405	3
ENSG00000144118	3
ENSG00000061273	3
ENSG00000022567	3
ENSG00000165914	3
ENSG00000141736	3
ENSG00000113389	3
ENSG00000069667	3
ENSG00000235824	3
ENSG00000162892	3
ENSG00000221869	3
ENSG00000114993	3
ENSG00000102977	3
ENSG00000092068	3
ENSG00000237441	3
ENSG00000072310	3
ENSG00000188549	3
ENSG00000162496	3
ENSG00000203485	3
ENSG00000085063	3
ENSG00000167522	3
ENSG00000141905	3
ENSG00000114026	3
ENSG00000115556	3
ENSG00000159267	3
ENSG00000184454	3
ENSG00000164896	3
ENSG00000104626	3
ENSG00000140836	3
ENSG00000171680	3
ENSG00000162522	3
ENSG00000113494	3
ENSG00000111816	3
ENSG00000254445	3
ENSG00000258643	3
ENSG00000109062	3
ENSG00000163602	3
ENSG00000132677	3
ENSG00000163702	3
ENSG00000176715	3
ENSG00000184363	3
ENSG00000171444	3
ENSG00000166145	3
ENSG00000244355	3
ENSG00000185187	3
ENSG00000258735	3
ENSG00000164402	3
ENSG00000100968	3
ENSG00000197530	3
ENSG00000164916	3
ENSG00000263795	3
ENSG00000234807	3
ENSG00000104081	3
ENSG00000065361	3
ENSG00000102996	3
ENSG00000124942	3
ENSG00000089356	3
ENSG00000124713	3
ENSG00000178977	3
ENSG00000227702	3
ENSG00000111913	3
ENSG00000213658	3
ENSG00000167895	3
ENSG00000123143	3
ENSG00000102878	3
ENSG00000125910	3
ENSG00000158717	3
ENSG00000213445	3
ENSG00000072195	3
ENSG00000130589	3
ENSG00000164403	3
ENSG00000101082	3
ENSG00000144355	3
ENSG00000131626	3
ENSG00000126246	3
ENSG00000172081	3
ENSG00000276043	3
ENSG00000157216	3
ENSG00000107959	3
ENSG00000157110	3
ENSG00000134470	3
ENSG00000196843	3
ENSG00000221697	3
ENSG00000130147	3
ENSG00000252695	3
ENSG00000157637	3
ENSG00000010295	3
ENSG00000107554	3
ENSG00000185499	3
ENSG00000253302	3
ENSG00000198885	3
ENSG00000121057	3
ENSG00000146955	3
ENSG00000146776	3
ENSG00000136040	2
ENSG00000266307	2
ENSG00000263001	2
ENSG00000047578	2
ENSG00000224596	2
ENSG00000102572	2
ENSG00000151090	2
ENSG00000134508	2
ENSG00000197959	2
ENSG00000196372	2
ENSG00000054392	2
ENSG00000122515	2
ENSG00000178363	2
ENSG00000172765	2
ENSG00000186715	2
ENSG00000214595	2
ENSG00000103489	2
ENSG00000140382	2
ENSG00000162733	2
ENSG00000006210	2
ENSG00000166016	2
ENSG00000228221	2
ENSG00000182957	2
ENSG00000169903	2
ENSG00000150551	2
ENSG00000143801	2
ENSG00000109929	2
ENSG00000213064	2
ENSG00000074706	2
ENSG00000198912	2
ENSG00000139926	2
ENSG00000049089	2
ENSG00000221261	2
ENSG00000111859	2
ENSG00000258102	2
ENSG00000121210	2
ENSG00000114805	2
ENSG00000138119	2
ENSG00000172927	2
ENSG00000142669	2
ENSG00000171621	2
ENSG00000207719	2
ENSG00000198964	2
ENSG00000207181	2
ENSG00000175727	2
ENSG00000119787	2
ENSG00000067113	2
ENSG00000139289	2
ENSG00000180525	2
ENSG00000176046	2
ENSG00000144857	2
ENSG00000148429	2
ENSG00000185986	2
ENSG00000174945	2
ENSG00000084112	2
ENSG00000141232	2
ENSG00000226017	2
ENSG00000107902	2
ENSG00000156475	2
ENSG00000123908	2
ENSG00000144560	2
ENSG00000120341	2
ENSG00000144749	2
ENSG00000124772	2
ENSG00000008513	2
ENSG00000118245	2
ENSG00000198690	2
ENSG00000169230	2
ENSG00000175318	2
ENSG00000178722	2
ENSG00000116016	2
ENSG00000175746	2
ENSG00000175728	2
ENSG00000174059	2
ENSG00000125398	2
ENSG00000187550	2
ENSG00000112293	2
ENSG00000124205	2
ENSG00000147573	2
ENSG00000117707	2
ENSG00000065054	2
ENSG00000119242	2
ENSG00000053254	2
ENSG00000138166	2
ENSG00000077097	2
ENSG00000168036	2
ENSG00000172425	2
ENSG00000162949	2
ENSG00000156650	2
ENSG00000232150	2
ENSG00000175866	2
ENSG00000123992	2
ENSG00000134369	2
ENSG00000176678	2
ENSG00000115457	2
