TissueID	n_CG
TCGA-A6-5656-01B	6424
TCGA-A6-6781-01B	12515
TCGA-A6-5659-01B	22084
TCGA-A6-3809-01B	24457
TCGA-AZ-4323-01A	155
TCGA-A6-5661-01B	5036
TCGA-A6-5666-01A	8693
TCGA-A6-6780-01B	9780
TCGA-3L-AA1B-01A	1233
TCGA-4T-AA8H-01A	2256
TCGA-5M-AAT4-01A	3425
TCGA-5M-AAT5-01A	1170
TCGA-5M-AAT6-01A	964
TCGA-5M-AATA-01A	3551
TCGA-5M-AATE-01A	2893
TCGA-A6-2671-11A	314
TCGA-A6-2672-01B	1851
TCGA-A6-2675-01A	1125
TCGA-A6-2675-11A	3209
TCGA-A6-2677-01B	2999
TCGA-A6-2679-01A	1268
TCGA-A6-2679-11A	494
TCGA-A6-2680-11A	500
TCGA-A6-2682-01A	2715
TCGA-A6-2682-11A	351
TCGA-A6-2684-01A	1747
TCGA-A6-2684-01C	7197
TCGA-A6-2684-11A	231
TCGA-A6-2686-01A	3381
TCGA-A6-2686-11A	286
TCGA-A6-3809-01A	1116
TCGA-A6-3810-01A	1028
TCGA-A6-3810-01B	3110
TCGA-A6-4105-01A	667
TCGA-A6-4107-01A	1244
TCGA-A6-5657-01A	54
TCGA-A6-5659-01A	224
TCGA-A6-5660-01A	200
TCGA-A6-5661-01A	135
TCGA-A6-5662-01A	517
TCGA-A6-5664-01A	480
TCGA-A6-5665-01A	130
TCGA-A6-5665-01B	1717
TCGA-A6-5667-01A	703
TCGA-A6-5667-11A	203
TCGA-A6-6140-01A	485
TCGA-A6-6141-01A	288
TCGA-A6-6648-01A	350
TCGA-A6-6649-01A	304
TCGA-A6-6650-01A	1907
TCGA-A6-6650-01B	3793
TCGA-A6-6651-01A	60
TCGA-A6-6652-01A	901
TCGA-A6-6654-01A	742
TCGA-A6-6780-01A	202
TCGA-A6-6782-01A	2714
TCGA-AA-3488-01A	4615
TCGA-AA-3489-01A	245
TCGA-AA-3492-01A	1632
TCGA-AA-3494-01A	14834
TCGA-AA-3495-01A	2115
TCGA-AA-3496-01A	369
TCGA-AA-3502-01A	4115
TCGA-AA-3506-01A	6341
TCGA-AA-3509-01A	6004
TCGA-AA-3510-01A	1757
TCGA-AA-3511-01A	672
TCGA-AA-3655-01A	1287
TCGA-AA-3655-11A	208
TCGA-AA-3660-01A	1302
TCGA-AA-3660-11A	174
TCGA-AA-3662-01A	1422
TCGA-AA-3663-01A	896
TCGA-AA-3663-11A	164
TCGA-AA-3697-01A	2053
TCGA-AA-3697-11A	343
TCGA-AA-3712-01A	550
TCGA-AA-3712-11A	390
TCGA-AA-3713-01A	2401
TCGA-AA-3713-11A	97
TCGA-AD-5900-01A	2034
TCGA-AD-6548-01A	803
TCGA-AD-6888-01A	755
TCGA-AD-6889-01A	584
TCGA-AD-6890-01A	1318
TCGA-AD-6899-01A	2068
TCGA-AD-6901-01A	1777
TCGA-AD-6963-01A	1284
TCGA-AD-6964-01A	624
TCGA-AD-6965-01A	3154
TCGA-AM-5821-01A	1540
TCGA-AU-3779-01A	1132
TCGA-AU-6004-01A	245
TCGA-AY-6196-01A	584
TCGA-AY-6197-01A	5421
TCGA-AY-6386-01A	757
TCGA-AY-A69D-01A	907
TCGA-AY-A8YK-01A	6366
TCGA-AZ-4308-01A	1724
TCGA-AZ-4313-01A	1513
TCGA-AZ-4315-01A	1301
TCGA-AZ-4614-01A	5963
TCGA-AZ-4615-01A	11279
TCGA-AZ-4616-01A	666
TCGA-AZ-4682-01B	1082
TCGA-AZ-4684-01A	5912
TCGA-AZ-5403-01A	150
TCGA-AZ-5407-01A	1007
TCGA-AZ-6598-01A	903
TCGA-AZ-6599-01A	636
TCGA-AZ-6600-01A	440
TCGA-AZ-6601-01A	432
TCGA-AZ-6605-01A	1032
TCGA-AZ-6606-01A	406
TCGA-AZ-6607-01A	717
TCGA-CA-5255-01A	902
TCGA-CA-5256-01A	1947
TCGA-CA-5796-01A	566
TCGA-CA-6715-01A	546
TCGA-CA-6717-01A	1094
TCGA-CA-6718-01A	429
TCGA-CA-6719-01A	503
TCGA-CK-4947-01B	122
TCGA-CK-4950-01A	388
TCGA-CK-4951-01A	1068
TCGA-CK-5913-01A	177
TCGA-CK-5914-01A	168
TCGA-CK-5915-01A	138
TCGA-CK-5916-01A	262
TCGA-CK-6746-01A	322
TCGA-CK-6751-01A	536
