RNA	Complexity Score	Complexity Rank	Sign
KRT37	('RNA_ESR1_regulated',)	0.250000171268241	1	+
C5orf49	('RNA_ESR1_regulated',)	0.250000171268241	2	+
PFKFB1	('RNA_ESR1_regulated',)	0.2499998287317586	3	+
MYZAP	('RNA_ESR1_regulated',)	0.2499998287317586	4	+
AGTR1	('RNA_ESR1_regulated',)	1.5659634723981816e-16	5	+
ABCC11	('RNA_ESR1_regulated',)	8.30502114388696e-17	6	+
MAG	('RNA_ESR1_regulated',)	8.233721774090564e-17	7	+
PKIB	('RNA_ESR1_regulated',)	6.402777296353005e-17	8	+
FAM110C	('RNA_ESR1_regulated',)	4.739107953350287e-17	9	+
TOX3	('RNA_ESR1_regulated',)	4.572381430884424e-17	10	+
SUSD3	('RNA_ESR1_regulated',)	4.187380297292724e-17	11	+
HAP1	('RNA_ESR1_regulated',)	3.9284117960202105e-17	12	+
SYT8	('RNA_ESR1_regulated',)	3.749709147206593e-17	13	+
GALR1	('RNA_ESR1_regulated',)	3.109767245463955e-17	14	+
S100A9	('RNA_ESR1_regulated',)	2.7208633866273757e-17	15	+
TMC1	('RNA_ESR1_regulated',)	2.6273799238080673e-17	16	+
PLAC1	('RNA_ESR1_regulated',)	2.581618858864731e-17	17	+
PITX1	('RNA_ESR1_regulated',)	2.5361823185144283e-17	18	+
CEACAM3	('RNA_ESR1_regulated',)	2.1407076059875057e-17	19	+
MYMX	('RNA_ESR1_regulated',)	2.1037851607034305e-17	20	+
KRT15	('RNA_ESR1_regulated',)	1.56147189439928e-17	21	+
APOA4	('RNA_ESR1_regulated',)	1.2355014765722127e-17	22	+
HOXC10	('RNA_ESR1_regulated',)	1.2355014765722127e-17	23	+
SPO11	('RNA_ESR1_regulated',)	1.2355014765722127e-17	24	+
CBFA2T3	('RNA_ESR1_regulated',)	1.2355014765722127e-17	25	+
DTNA	('RNA_ESR1_regulated',)	1.2355014765722127e-17	26	+
SLC7A2	('RNA_ESR1_regulated',)	7.797837862710393e-29	27	+
TMC5	('RNA_ESR1_regulated',)	4.9317875356042314e-29	28	+
RGS22	('RNA_ESR1_regulated',)	4.9317838554750067e-29	29	+
PCP2	('RNA_ESR1_regulated',)	6.58022734733361e-32	30	+
CHST9	('RNA_ESR1_regulated',)	2.307621418649383e-32	31	+
RIIAD1	('RNA_ESR1_regulated',)	4.3620643726208766e-33	32	+
CFAP45	('RNA_ESR1_regulated',)	2.1810321863104376e-33	33	+
NKAIN1	('RNA_ESR1_regulated',)	1.706225432015005e-33	34	+
PIK3C2G	('RNA_ESR1_regulated',)	4.841833898832313e-34	35	+
HPDL	('RNA_ESR1_regulated',)	5.4781286033470125e-36	36	+
INAVA	('RNA_ESR1_regulated',)	5.478128114226321e-36	37	+
NCCRP1	('RNA_ESR1_regulated',)	1.0965684119518712e-36	38	+
SCNN1A	('RNA_ESR1_regulated',)	1.717432117877675e-38	39	+
DNAH5	('RNA_ESR1_regulated',)	1.615637896772892e-38	40	+
TPRG1	('RNA_ESR1_regulated',)	3.444090852389667e-39	41	+
CACNA1D	('RNA_ESR1_regulated',)	1.0051672668394582e-39	42	+
FAM180A	('RNA_ESR1_regulated',)	7.0706943186062606e-40	43	+
CCN5	('RNA_ESR1_regulated',)	6.973132946559933e-40	44	+
ADAMTS15	('RNA_ESR1_regulated',)	4.153465715782167e-40	45	+
ANKRD30A	('RNA_ESR1_regulated',)	2.64353513070008e-40	46	+
CHN2	('RNA_ESR1_regulated',)	2.3645091719509297e-40	47	+
PR	('RNA_ESR1_regulator',)	4.5830456800626187e-41	48	+
SERPINA11	('RNA_ESR1_regulated',)	3.023082410287197e-41	49	+
SYTL5	('RNA_ESR1_regulated',)	1.178451348099597e-41	50	+
CAPN8	('RNA_ESR1_regulated',)	7.564237823477643e-42	51	+
CPEB1	('RNA_ESR1_regulated',)	4.3255217039994067e-42	52	+
UBXN10	('RNA_ESR1_regulated',)	4.053330023723585e-42	53	+
FHOD3	('RNA_ESR1_regulated',)	1.3174237422235013e-42	54	+
BTBD11	('RNA_ESR1_regulated',)	7.997891599125323e-43	55	+
GP2	('RNA_ESR1_regulated',)	1.2174219604229924e-44	56	+
RHOH	('RNA_ESR1_regulated',)	1.2169888518877424e-44	57	+
PHKG1	('RNA_ESR1_regulated',)	4.4759820681607344e-45	58	+
TRPM8	('RNA_ESR1_regulated',)	4.373737220308838e-45	59	+
CDC45	('RNA_ESR1_regulated',)	2.224577866527478e-46	60	+
KIF2C	('RNA_ESR1_regulated',)	1.8141695264970723e-46	61	+
C9orf152	('RNA_ESR1_regulated',)	7.669812608523619e-47	62	+
FOXM1	('RNA_ESR1_regulator',)	2.487465977122036e-47	63	+
BIRC5	('RNA_ESR1_regulated',)	1.7564865891700273e-47	64	+
GREB1	('RNA_ESR1_regulated',)	1.3944420307932702e-47	65	+
CENPA	('RNA_ESR1_regulated',)	1.081987295448631e-47	66	+
RAB19	('RNA_ESR1_regulated',)	7.50671380654568e-48	67	+
TP63	('RNA_ESR1_regulated',)	1.1046276347681842e-48	68	+
RBBP8NL	('RNA_ESR1_regulated',)	8.31374952476132e-49	69	+
RAB6C	('RNA_ESR1_regulated',)	7.553801885532468e-49	70	+
SCTR	('RNA_ESR1_regulated',)	4.021146503724683e-49	71	+
CYTL1	('RNA_ESR1_regulated',)	3.4053210811853275e-49	72	+
PLIN1	('RNA_ESR1_regulated',)	2.0817036726079565e-49	73	+
DNAAF3	('RNA_ESR1_regulated',)	1.6086960643655797e-49	74	+
LONRF2	('RNA_ESR1_regulated',)	9.598538781087398e-50	75	+
DMRT2	('RNA_ESR1_regulated',)	9.46372922270558e-50	76	+
TFF1	('RNA_ESR1_regulated',)	6.340676553959124e-50	77	+
GPAT3	('RNA_ESR1_regulated',)	4.437138045694478e-50	78	+
SRARP	('RNA_ESR1_regulated',)	3.94327383246682e-50	79	+
DACH1	('RNA_ESR1_regulated',)	3.6503192068328274e-50	80	+
MFSD4A	('RNA_ESR1_regulated',)	3.1167407677844257e-50	81	+
GPRIN2	('RNA_ESR1_regulated',)	2.8529572599713933e-50	82	+
KLHL13	('RNA_ESR1_regulated',)	1.262242011060409e-50	83	+
TSPAN1	('RNA_ESR1_regulated',)	8.530063842314098e-51	84	+
RAB26	('RNA_ESR1_regulated',)	5.800039630421711e-51	85	+
JPH2	('RNA_ESR1_regulated',)	5.726543536488411e-51	86	+
ZG16B	('RNA_ESR1_regulated',)	5.209630419906697e-51	87	+
LMX1B	('RNA_ESR1_regulated',)	2.1271804987023236e-51	88	+
TFF3	('RNA_ESR1_regulated',)	1.8423866540359678e-51	89	+
TLCD3B	('RNA_ESR1_regulated',)	1.649230142307986e-51	90	+
KCNK15	('RNA_ESR1_regulated',)	1.4569644961720423e-51	91	+
BCAS1	('RNA_ESR1_regulated',)	1.410227594909712e-51	92	+
DGAT2	('RNA_ESR1_regulated',)	9.095779668177511e-52	93	+
NUF2	('RNA_ESR1_regulated',)	6.249178215134146e-52	94	+
SCUBE2	('RNA_ESR1_regulated',)	1.775828145903745e-52	95	+
MYB	('RNA_ESR1_regulated',)	9.102649089969835e-53	96	+
PARD6B	('RNA_ESR1_regulated',)	7.215037843676096e-53	97	+
HSH2D	('RNA_ESR1_regulated',)	3.861862107865568e-53	98	+
