228	30
1	1	-1.0
1	12	-1.0
1	14	-1.0
1	15	-1.0
1	17	-1.0
1	21	-1.0
1	22	-1.0
1	25	-1.0
1	26	-1.0
1	28	-1.0
2	2	-1.0
2	15	-1.0
2	16	-1.0
2	17	-1.0
2	21	-1.0
2	22	-1.0
2	25	-1.0
2	26	-1.0
2	28	-1.0
2	29	1.0
3	13	-1.0
3	14	-1.0
3	15	-1.0
3	16	-1.0
3	17	-1.0
3	21	-1.0
3	22	-1.0
3	26	-1.0
4	13	-1.0
4	14	-1.0
4	17	-1.0
4	21	-1.0
4	22	-1.0
4	25	-1.0
4	26	-1.0
4	28	-1.0
5	3	-1.0
6	4	1.0
7	5	-1.0
8	6	-1.0
9	7	1.0
10	8	1.0
11	9	-1.0
12	10	1.0
13	11	1.0
14	15	-1.0
14	16	-1.0
14	17	-1.0
14	22	-1.0
14	25	-1.0
14	26	-1.0
14	28	-1.0
14	29	1.0
15	12	-1.0
16	16	-1.0
16	17	-1.0
16	22	-1.0
17	15	-1.0
17	22	-1.0
17	25	-1.0
17	26	-1.0
17	28	-1.0
17	29	1.0
18	17	-1.0
18	21	-1.0
18	22	-1.0
18	25	-1.0
18	26	-1.0
18	28	-1.0
18	29	1.0
19	18	1.0
19	19	1.0
19	23	1.0
19	24	1.0
19	27	1.0
19	30	1.0
20	18	1.0
20	19	1.0
20	23	1.0
20	24	1.0
20	27	1.0
20	30	1.0
21	18	1.0
21	19	1.0
21	23	1.0
21	24	1.0
21	27	1.0
21	30	1.0
22	18	1.0
22	19	1.0
22	23	1.0
22	24	1.0
22	27	1.0
22	30	1.0
23	18	1.0
23	19	1.0
23	23	1.0
23	24	1.0
23	27	1.0
23	30	1.0
24	16	-1.0
24	22	-1.0
25	18	1.0
25	19	1.0
25	23	1.0
25	27	1.0
25	30	1.0
26	18	1.0
26	19	1.0
26	23	1.0
26	27	1.0
26	30	1.0
27	19	1.0
27	20	1.0
27	24	1.0
27	27	1.0
27	30	1.0
28	18	1.0
28	23	1.0
28	27	1.0
28	30	1.0
29	18	1.0
29	23	1.0
29	27	1.0
29	30	1.0
30	17	-1.0
30	29	1.0
31	19	1.0
31	23	1.0
31	24	1.0
31	27	1.0
31	30	1.0
32	19	1.0
32	23	1.0
32	24	1.0
32	27	1.0
32	30	1.0
33	19	1.0
33	23	1.0
33	24	1.0
33	27	1.0
33	30	1.0
34	19	1.0
34	23	1.0
34	24	1.0
34	27	1.0
34	30	1.0
35	21	-1.0
35	22	-1.0
35	25	-1.0
35	26	-1.0
35	28	-1.0
35	29	1.0
36	20	1.0
36	23	1.0
36	24	1.0
36	27	1.0
36	30	1.0
37	21	-1.0
37	22	-1.0
37	25	-1.0
37	26	-1.0
37	28	-1.0
38	21	-1.0
38	22	-1.0
38	25	-1.0
38	26	-1.0
38	28	-1.0
39	21	-1.0
39	22	-1.0
39	25	-1.0
39	26	-1.0
39	28	-1.0
40	21	-1.0
40	22	-1.0
40	25	-1.0
40	26	-1.0
40	28	-1.0
41	21	-1.0
41	22	-1.0
41	25	-1.0
41	26	-1.0
41	28	-1.0
42	19	1.0
42	23	1.0
42	27	1.0
42	30	1.0
43	19	1.0
43	24	1.0
43	27	1.0
43	30	1.0
44	20	1.0
44	24	1.0
44	27	1.0
44	30	1.0
45	21	-1.0
45	25	-1.0
45	26	-1.0
45	28	-1.0
45	29	1.0
46	21	-1.0
46	25	-1.0
46	26	-1.0
46	28	-1.0
46	29	1.0
47	21	-1.0
47	25	-1.0
47	26	-1.0
47	28	-1.0
47	29	1.0
48	21	-1.0
48	25	-1.0
48	26	-1.0
48	28	-1.0
48	29	1.0
49	21	-1.0
49	25	-1.0
49	26	-1.0
49	28	-1.0
49	29	1.0
50	21	-1.0
50	25	-1.0
50	26	-1.0
50	28	-1.0
50	29	1.0
51	22	-1.0
51	25	-1.0
51	26	-1.0
51	28	-1.0
51	29	1.0
52	22	-1.0
52	25	-1.0
52	26	-1.0
52	28	-1.0
52	29	1.0
53	22	-1.0
53	25	-1.0
53	26	-1.0
53	28	-1.0
53	29	1.0
54	20	1.0
54	24	1.0
54	30	1.0
55	20	1.0
55	24	1.0
55	30	1.0
56	20	1.0
56	24	1.0
56	30	1.0
57	20	1.0
57	24	1.0
57	30	1.0
58	20	1.0
58	24	1.0
58	30	1.0
59	21	-1.0
59	25	-1.0
59	26	-1.0
59	28	-1.0
60	21	-1.0
60	25	-1.0
60	26	-1.0
60	28	-1.0
61	21	-1.0
61	25	-1.0
61	26	-1.0
61	28	-1.0
62	21	-1.0
62	25	-1.0
62	26	-1.0
62	28	-1.0
63	21	-1.0
63	25	-1.0
63	26	-1.0
63	28	-1.0
64	21	-1.0
64	25	-1.0
64	26	-1.0
64	28	-1.0
65	20	1.0
65	24	1.0
66	20	1.0
66	24	1.0
67	20	1.0
67	24	1.0
68	20	1.0
68	24	1.0
69	21	-1.0
69	26	-1.0
69	28	-1.0
70	21	-1.0
70	26	-1.0
70	28	-1.0
71	23	1.0
71	24	1.0
71	27	1.0
71	30	1.0
72	23	1.0
72	24	1.0
72	27	1.0
72	30	1.0
73	23	1.0
73	24	1.0
73	27	1.0
73	30	1.0
74	23	1.0
74	24	1.0
74	27	1.0
74	30	1.0
75	23	1.0
75	24	1.0
75	27	1.0
75	30	1.0
76	23	1.0
76	24	1.0
76	27	1.0
76	30	1.0
77	23	1.0
77	24	1.0
77	27	1.0
77	30	1.0
78	23	1.0
78	24	1.0
78	27	1.0
78	30	1.0
79	23	1.0
79	24	1.0
79	27	1.0
79	30	1.0
80	22	-1.0
80	25	-1.0
80	29	1.0
81	25	-1.0
81	26	-1.0
81	28	-1.0
81	29	1.0
82	25	-1.0
82	26	-1.0
82	28	-1.0
82	29	1.0
83	25	-1.0
83	26	-1.0
83	28	-1.0
83	29	1.0
84	25	-1.0
84	26	-1.0
84	28	-1.0
84	29	1.0
85	25	-1.0
85	26	-1.0
85	28	-1.0
85	29	1.0
86	25	-1.0
86	26	-1.0
86	28	-1.0
86	29	1.0
87	25	-1.0
87	26	-1.0
87	28	-1.0
87	29	1.0
88	25	-1.0
88	26	-1.0
88	28	-1.0
88	29	1.0
89	25	-1.0
89	26	-1.0
89	28	-1.0
89	29	1.0
90	25	-1.0
90	26	-1.0
90	28	-1.0
90	29	1.0
91	25	-1.0
91	26	-1.0
91	28	-1.0
91	29	1.0
92	25	-1.0
92	26	-1.0
92	28	-1.0
92	29	1.0
93	25	-1.0
93	26	-1.0
93	28	-1.0
93	29	1.0
94	25	-1.0
94	26	-1.0
94	28	-1.0
94	29	1.0
95	22	-1.0
95	28	-1.0
95	29	1.0
96	20	1.0
97	20	1.0
98	20	1.0
99	20	1.0
100	22	-1.0
100	26	-1.0
101	22	-1.0
101	26	-1.0
102	23	-1.0
102	24	-1.0
102	30	-1.0
103	25	-1.0
103	26	-1.0
103	28	-1.0
104	25	-1.0
104	26	-1.0
104	28	-1.0
105	25	-1.0
105	26	-1.0
105	28	-1.0
106	25	-1.0
106	26	-1.0
106	28	-1.0
107	23	1.0
107	27	1.0
107	30	1.0
108	23	1.0
108	27	1.0
108	30	1.0
109	23	1.0
109	27	1.0
109	30	1.0
110	23	1.0
110	27	1.0
110	30	1.0
111	23	1.0
111	27	1.0
111	30	1.0
112	23	1.0
112	27	1.0
112	30	1.0
113	23	1.0
113	27	1.0
113	30	1.0
114	23	1.0
114	27	1.0
114	30	1.0
115	23	1.0
115	27	1.0
115	30	1.0
116	23	1.0
116	27	1.0
116	30	1.0
117	23	1.0
117	27	1.0
117	30	1.0
118	23	1.0
118	27	1.0
118	30	1.0
119	23	1.0
119	27	1.0
119	30	1.0
120	23	1.0
120	27	1.0
120	30	1.0
121	23	1.0
121	27	1.0
121	30	1.0
122	25	-1.0
122	26	-1.0
122	29	1.0
123	22	-1.0
123	29	1.0
124	22	-1.0
124	29	1.0
125	25	-1.0
125	28	-1.0
125	29	1.0
126	25	-1.0
126	28	-1.0
126	29	1.0
127	25	-1.0
127	28	-1.0
127	29	1.0
128	25	-1.0
128	28	-1.0
128	29	1.0
129	25	-1.0
129	28	-1.0
129	29	1.0
130	25	-1.0
130	28	-1.0
130	29	1.0
131	25	-1.0
131	28	-1.0
131	29	1.0
132	25	-1.0
132	28	-1.0
132	29	1.0
133	24	1.0
133	27	1.0
133	30	1.0
134	24	1.0
134	27	1.0
134	30	1.0
135	24	1.0
135	27	1.0
135	30	1.0
136	24	1.0
136	27	1.0
136	30	1.0
137	24	1.0
137	27	1.0
137	30	1.0
138	22	1.0
139	22	1.0
140	22	-1.0
141	22	-1.0
142	22	1.0
143	25	-1.0
143	28	-1.0
144	23	1.0
144	30	1.0
145	23	1.0
145	30	1.0
146	23	1.0
146	30	1.0
147	23	1.0
147	30	1.0
148	23	1.0
148	30	1.0
149	26	-1.0
149	28	-1.0
150	26	-1.0
150	28	-1.0
151	26	-1.0
151	28	-1.0
152	26	-1.0
152	28	-1.0
153	26	-1.0
153	28	-1.0
154	26	-1.0
154	29	1.0
155	26	-1.0
155	29	1.0
156	24	1.0
156	30	1.0
157	24	1.0
157	30	1.0
158	24	1.0
158	30	1.0
159	24	1.0
159	30	1.0
160	24	1.0
160	30	1.0
161	24	1.0
161	30	1.0
162	24	1.0
162	30	1.0
163	24	1.0
163	30	1.0
164	24	1.0
164	30	1.0
165	24	1.0
165	30	1.0
166	24	1.0
166	30	1.0
167	24	1.0
167	30	1.0
168	24	1.0
168	30	1.0
169	28	-1.0
169	29	1.0
170	28	-1.0
170	29	1.0
171	27	1.0
171	30	1.0
172	27	1.0
172	30	1.0
173	27	1.0
173	30	1.0
174	27	1.0
174	30	1.0
175	27	1.0
175	30	1.0
176	27	1.0
176	30	1.0
177	27	1.0
177	30	1.0
178	27	1.0
178	30	1.0
179	27	1.0
179	30	1.0
180	27	1.0
180	30	1.0
181	27	1.0
181	30	1.0
182	27	1.0
182	30	1.0
183	24	1.0
184	24	1.0
185	24	1.0
186	26	-1.0
187	28	-1.0
188	28	-1.0
189	28	-1.0
190	29	1.0
191	29	1.0
192	29	1.0
193	29	1.0
194	29	1.0
195	29	1.0
196	29	1.0
197	29	1.0
198	29	1.0
199	29	1.0
200	29	1.0
201	29	1.0
202	29	1.0
203	29	1.0
204	29	1.0
205	29	1.0
206	29	1.0
207	29	1.0
208	29	1.0
209	29	1.0
210	29	1.0
211	29	1.0
212	29	1.0
213	29	1.0
214	29	1.0
215	29	1.0
216	29	1.0
217	30	1.0
218	30	1.0
219	30	1.0
220	30	1.0
221	30	1.0
222	30	1.0
223	30	1.0
224	30	1.0
225	30	1.0
226	30	1.0
227	30	1.0
228	30	1.0
