228	30
1	1	-1.0
1	3	-1.0
1	14	-1.0
1	15	-1.0
1	17	-1.0
1	20	-1.0
1	21	-1.0
1	23	-1.0
1	24	-1.0
1	25	-1.0
2	2	-1.0
2	3	-1.0
2	15	-1.0
2	16	-1.0
2	17	-1.0
2	20	-1.0
2	24	-1.0
2	25	-1.0
3	2	-1.0
3	3	-1.0
3	17	-1.0
3	20	-1.0
3	21	-1.0
3	23	-1.0
3	24	-1.0
3	25	-1.0
4	4	-1.0
4	15	-1.0
4	16	-1.0
4	17	-1.0
4	20	-1.0
4	21	-1.0
4	23	-1.0
4	24	-1.0
4	25	-1.0
4	30	1.0
5	15	-1.0
5	16	-1.0
5	17	-1.0
5	21	-1.0
5	23	-1.0
5	24	-1.0
5	25	-1.0
5	30	1.0
6	5	-1.0
7	6	1.0
8	7	-1.0
9	8	-1.0
10	9	1.0
11	10	1.0
12	11	-1.0
13	12	1.0
14	13	1.0
15	14	-1.0
16	15	-1.0
16	21	-1.0
16	23	-1.0
16	24	-1.0
16	25	-1.0
16	30	1.0
17	16	-1.0
17	17	-1.0
17	25	-1.0
18	17	-1.0
18	20	-1.0
18	21	-1.0
18	23	-1.0
18	24	-1.0
18	25	-1.0
18	30	1.0
19	16	-1.0
19	25	-1.0
20	17	-1.0
20	30	1.0
21	18	1.0
21	19	1.0
21	26	1.0
21	27	1.0
21	28	1.0
21	29	1.0
22	18	1.0
22	19	1.0
22	26	1.0
22	27	1.0
22	28	1.0
22	29	1.0
23	18	1.0
23	19	1.0
23	26	1.0
23	27	1.0
23	28	1.0
23	29	1.0
24	18	1.0
24	19	1.0
24	26	1.0
24	27	1.0
24	28	1.0
24	29	1.0
25	18	1.0
25	19	1.0
25	26	1.0
25	27	1.0
25	28	1.0
25	29	1.0
26	18	1.0
26	19	1.0
26	27	1.0
26	28	1.0
26	29	1.0
27	18	1.0
27	19	1.0
27	27	1.0
27	28	1.0
27	29	1.0
28	19	1.0
28	22	1.0
28	26	1.0
28	28	1.0
28	29	1.0
29	20	-1.0
29	21	-1.0
29	23	-1.0
29	24	-1.0
29	25	-1.0
29	30	1.0
30	19	1.0
30	26	1.0
30	27	1.0
30	28	1.0
30	29	1.0
31	19	1.0
31	26	1.0
31	27	1.0
31	28	1.0
31	29	1.0
32	19	1.0
32	26	1.0
32	27	1.0
32	28	1.0
32	29	1.0
33	19	1.0
33	26	1.0
33	27	1.0
33	28	1.0
33	29	1.0
34	20	-1.0
34	21	-1.0
34	23	-1.0
34	24	-1.0
34	25	-1.0
35	20	-1.0
35	21	-1.0
35	23	-1.0
35	24	-1.0
35	25	-1.0
36	20	-1.0
36	21	-1.0
36	23	-1.0
36	24	-1.0
36	25	-1.0
37	20	-1.0
37	21	-1.0
37	23	-1.0
37	24	-1.0
37	25	-1.0
38	20	-1.0
38	21	-1.0
38	23	-1.0
38	24	-1.0
38	25	-1.0
39	19	1.0
39	26	1.0
39	28	1.0
39	29	1.0
40	19	1.0
40	27	1.0
40	28	1.0
40	29	1.0
41	20	-1.0
41	21	-1.0
41	23	-1.0
41	24	-1.0
41	30	1.0
42	20	-1.0
42	21	-1.0
42	23	-1.0
42	24	-1.0
42	30	1.0
43	20	-1.0
43	21	-1.0
43	23	-1.0
43	24	-1.0
43	30	1.0
44	20	-1.0
44	21	-1.0
44	23	-1.0
44	24	-1.0
44	30	1.0
45	20	-1.0
45	21	-1.0
45	23	-1.0
45	24	-1.0
45	30	1.0
46	20	-1.0
46	21	-1.0
46	23	-1.0
46	24	-1.0
46	30	1.0
47	18	1.0
47	27	1.0
47	28	1.0
47	29	1.0
48	18	1.0
48	27	1.0
48	28	1.0
48	29	1.0
49	21	-1.0
49	23	-1.0
49	24	-1.0
49	25	-1.0
49	30	1.0
50	21	-1.0
50	23	-1.0
50	24	-1.0
50	25	-1.0
50	30	1.0
51	21	-1.0
51	23	-1.0
51	24	-1.0
51	25	-1.0
51	30	1.0
52	20	-1.0
52	21	-1.0
52	23	-1.0
52	24	-1.0
53	20	-1.0
53	21	-1.0
53	23	-1.0
53	24	-1.0
54	20	-1.0
54	21	-1.0
54	23	-1.0
54	24	-1.0
55	20	-1.0
55	21	-1.0
55	23	-1.0
55	24	-1.0
56	20	-1.0
56	21	-1.0
56	23	-1.0
56	24	-1.0
57	20	-1.0
57	21	-1.0
57	23	-1.0
57	24	-1.0
58	22	1.0
58	26	1.0
58	27	1.0
58	28	1.0
58	29	1.0
59	21	-1.0
59	23	-1.0
59	24	-1.0
59	30	1.0
60	21	-1.0
60	23	-1.0
60	24	-1.0
60	30	1.0
61	21	-1.0
61	23	-1.0
61	24	-1.0
61	30	1.0
62	21	-1.0
62	23	-1.0
62	24	-1.0
62	30	1.0
63	21	-1.0
63	23	-1.0
63	24	-1.0
63	30	1.0
64	21	-1.0
64	23	-1.0
64	24	-1.0
64	30	1.0
65	21	-1.0
65	23	-1.0
65	24	-1.0
65	30	1.0
66	21	-1.0
66	23	-1.0
66	24	-1.0
66	30	1.0
67	21	-1.0
67	23	-1.0
67	24	-1.0
67	30	1.0
68	21	-1.0
68	23	-1.0
68	24	-1.0
68	30	1.0
69	21	-1.0
69	23	-1.0
69	24	-1.0
69	30	1.0
70	21	-1.0
70	23	-1.0
70	24	-1.0
70	30	1.0
71	21	-1.0
71	23	-1.0
71	24	-1.0
71	30	1.0
72	21	-1.0
72	23	-1.0
72	24	-1.0
72	30	1.0
73	20	-1.0
73	23	-1.0
73	24	-1.0
74	20	-1.0
74	23	-1.0
74	24	-1.0
75	22	1.0
75	26	1.0
75	28	1.0
75	29	1.0
76	21	-1.0
76	23	-1.0
76	24	-1.0
77	21	-1.0
77	23	-1.0
77	24	-1.0
78	21	-1.0
78	23	-1.0
78	24	-1.0
79	21	-1.0
79	23	-1.0
79	24	-1.0
80	26	1.0
80	27	1.0
80	28	1.0
80	29	1.0
81	26	1.0
81	27	1.0
81	28	1.0
81	29	1.0
82	26	1.0
82	27	1.0
82	28	1.0
82	29	1.0
83	26	1.0
83	27	1.0
83	28	1.0
83	29	1.0
84	26	1.0
84	27	1.0
84	28	1.0
84	29	1.0
85	26	1.0
85	27	1.0
85	28	1.0
85	29	1.0
86	26	1.0
86	27	1.0
86	28	1.0
86	29	1.0
87	26	1.0
87	27	1.0
87	28	1.0
87	29	1.0
88	26	1.0
88	27	1.0
88	28	1.0
88	29	1.0
89	21	-1.0
89	24	-1.0
89	30	1.0
90	21	-1.0
90	23	-1.0
90	30	1.0
91	21	-1.0
91	23	-1.0
