RNA	Complexity Score	Complexity Rank
MYB	2.3445394349708457	1
FSIP1	2.2905164816967605	2
SRARP	2.2369216357874055	3
B3GALT1	2.2369216357874055	4
PDZK1	2.2369216357874055	5
SCNN1A	2.2369216357874055	6
ID4	2.2369216357874055	7
SVEP1	2.2369216357874055	8
CALML5	2.2369216357874055	9
PTH1R	2.2369216357874055	10
PPP2R2B	2.2369216357874055	11
TFF3	1.1439896428419758	12
THSD4	1.1381969546313484	13
CT62	0.7694337503953063	14
CA12	0.4563073013398046	15
C5AR2	0.4498448127068552	16
AGR3	0.28242519864435284	17
CXCL9	0.2444748482965397	18
GZMM	0.15699634379708252	19
BANK1	0.1369123556207439	20
TTC6	0.08841827182132608	21
ESR1	0.07618727011551026	22
ICOS	0.04869382656641859	23
IRF4	0.04132479207052835	24
PRR15	0.03923899861228923	25
MLPH	0.037263925002840995	26
CCR7	0.037126473001105026	27
FOXA1	0.03276993937222077	28
MID1	0.030002915056446162	29
SIT1	0.023041741353054736	30
