RNA	Complexity Score	Complexity Rank
MYB	0.07702398784985516	1
FSIP1	0.07546228623914458	2
SRARP	0.07387475537937403	3
B3GALT1	0.07387475537937403	4
PDZK1	0.07387475537937403	5
SCNN1A	0.07387475537937403	6
ID4	0.07387475537937403	7
SVEP1	0.07387475537937403	8
CALML5	0.07387475537937403	9
PTH1R	0.07387475537937403	10
PPP2R2B	0.07387475537937403	11
TFF3	0.03957791725732482	12
THSD4	0.03942614927533856	13
CT62	0.026893883842060425	14
CA12	0.016030826474974672	15
C5AR2	0.015808550690465963	16
AGR3	0.00994126845876465	17
CXCL9	0.008608583145675232	18
GZMM	0.005530824672489647	19
BANK1	0.004823273211890902	20
TTC6	0.003115331420282584	21
ESR1	0.0026845082429595764	22
ICOS	0.0017158380998327633	23
IRF4	0.001456169865482464	24
PRR15	0.001382652937894419	25
MLPH	0.0013130760854076521	26
CCR7	0.0013082426664476647	27
FOXA1	0.0011547069751545217	28
MID1	0.0010571962520248052	29
SIT1	0.0008119279221625145	30
