RNA	Complexity Score	Complexity Rank
MYB	0.37902107704367627	1
FSIP1	0.17623018753066583	2
THSD4	0.04571190531898678	3
CT62	0.04134808167868222	4
SRARP	0.038032978637292526	5
B3GALT1	0.038032978637292526	6
PDZK1	0.038032978637292526	7
SCNN1A	0.038032978637292526	8
ID4	0.038032978637292526	9
SVEP1	0.038032978637292526	10
CALML5	0.038032978637292526	11
PTH1R	0.038032978637292526	12
PPP2R2B	0.038032978637292526	13
TFF3	0.014676207527517233	14
CA12	0.0005473996950209396	15
C5AR2	0.00013502568486885137	16
AGR3	3.306898019792758e-05	17
CXCL9	1.7178906680548517e-07	18
GZMM	4.998425003998187e-08	19
TTC6	6.105472174825066e-09	20
BANK1	3.829821147693627e-09	21
ESR1	2.8250142382265333e-09	22
PRR15	9.61071837729035e-10	23
MLPH	8.547941501601241e-10	24
ICOS	8.127425187283303e-10	25
FOXA1	5.70205101903456e-10	26
CCR7	4.443470771445227e-10	27
IRF4	4.2551022480475785e-10	28
SIT1	1.2336193533445643e-10	29
MID1	7.909385462230994e-11	30
