DNA	Degree	Degree Rank
Cluster 226	10.0	1
Cluster 91401	10.0	2
Cluster 18591	8.0	3
Cluster 20099	8.0	4
Cluster 62518	8.0	5
Cluster 18299	7.0	6
Cluster 11394	6.0	7
Cluster 18410	6.0	8
Cluster 22327	6.0	9
Cluster 34909	6.0	10
Cluster 79424	6.0	11
Cluster 83354	6.0	12
Cluster 90186	6.0	13
Cluster 2519	5.0	14
Cluster 7465	5.0	15
Cluster 14529	5.0	16
Cluster 18269	5.0	17
Cluster 19253	5.0	18
Cluster 26918	5.0	19
Cluster 27847	5.0	20
Cluster 28227	5.0	21
Cluster 33345	5.0	22
Cluster 35797	5.0	23
Cluster 40230	5.0	24
Cluster 42067	5.0	25
Cluster 52373	5.0	26
Cluster 53866	5.0	27
Cluster 57451	5.0	28
Cluster 57892	5.0	29
Cluster 59707	5.0	30
Cluster 67654	5.0	31
Cluster 67878	5.0	32
Cluster 76622	5.0	33
Cluster 78035	5.0	34
Cluster 79906	5.0	35
Cluster 1185	4.0	36
Cluster 3973	4.0	37
Cluster 4944	4.0	38
Cluster 7298	4.0	39
Cluster 7576	4.0	40
Cluster 14233	4.0	41
Cluster 17050	4.0	42
Cluster 17318	4.0	43
Cluster 17458	4.0	44
Cluster 30403	4.0	45
Cluster 39373	4.0	46
Cluster 40911	4.0	47
Cluster 42483	4.0	48
Cluster 43578	4.0	49
Cluster 45890	4.0	50
Cluster 51599	4.0	51
Cluster 55476	4.0	52
Cluster 56630	4.0	53
Cluster 56960	4.0	54
Cluster 59690	4.0	55
Cluster 61703	4.0	56
Cluster 66616	4.0	57
Cluster 68874	4.0	58
Cluster 69060	4.0	59
Cluster 70159	4.0	60
Cluster 70358	4.0	61
Cluster 72083	4.0	62
Cluster 72257	4.0	63
Cluster 78296	4.0	64
Cluster 78490	4.0	65
Cluster 80194	4.0	66
Cluster 80537	4.0	67
Cluster 81747	4.0	68
Cluster 84410	4.0	69
Cluster 1767	3.0	70
Cluster 2981	3.0	71
Cluster 3009	3.0	72
Cluster 6734	3.0	73
Cluster 13624	3.0	74
Cluster 15128	3.0	75
Cluster 15294	3.0	76
Cluster 15722	3.0	77
Cluster 17157	3.0	78
Cluster 17802	3.0	79
Cluster 19419	3.0	80
Cluster 20344	3.0	81
Cluster 26914	3.0	82
Cluster 28069	3.0	83
Cluster 28556	3.0	84
Cluster 29676	3.0	85
Cluster 32788	3.0	86
Cluster 34914	3.0	87
Cluster 39740	3.0	88
Cluster 44129	3.0	89
Cluster 44132	3.0	90
Cluster 44151	3.0	91
Cluster 46389	3.0	92
Cluster 47350	3.0	93
Cluster 48914	3.0	94
Cluster 52913	3.0	95
Cluster 53328	3.0	96
Cluster 53861	3.0	97
Cluster 58365	3.0	98
Cluster 59259	3.0	99
Cluster 59986	3.0	100
Cluster 66590	3.0	101
Cluster 66817	3.0	102
Cluster 70794	3.0	103
Cluster 74659	3.0	104
Cluster 75645	3.0	105
Cluster 77724	3.0	106
Cluster 78419	3.0	107
Cluster 78422	3.0	108
Cluster 81480	3.0	109
Cluster 83674	3.0	110
Cluster 89519	3.0	111
Cluster 89859	3.0	112
Cluster 91302	3.0	113
Cluster 959	2.0	114
Cluster 3762	2.0	115
Cluster 9114	2.0	116
Cluster 9126	2.0	117
Cluster 12176	2.0	118
Cluster 14386	2.0	119
Cluster 16052	2.0	120
Cluster 16337	2.0	121
Cluster 16394	2.0	122
Cluster 16656	2.0	123
Cluster 16849	2.0	124
Cluster 17475	2.0	125
Cluster 18019	2.0	126
Cluster 27223	2.0	127
Cluster 29246	2.0	128
Cluster 35077	2.0	129
Cluster 41945	2.0	130
Cluster 42230	2.0	131
Cluster 44106	2.0	132
Cluster 45975	2.0	133
Cluster 47421	2.0	134
Cluster 48287	2.0	135
Cluster 53701	2.0	136
Cluster 56593	2.0	137
Cluster 57734	2.0	138
Cluster 61325	2.0	139
Cluster 63786	2.0	140
Cluster 67318	2.0	141
Cluster 67865	2.0	142
Cluster 72789	2.0	143
Cluster 74608	2.0	144
Cluster 74763	2.0	145
Cluster 75987	2.0	146
Cluster 76820	2.0	147
Cluster 78031	2.0	148
Cluster 79865	2.0	149
Cluster 81978	2.0	150
Cluster 83824	2.0	151
Cluster 86451	2.0	152
Cluster 87262	2.0	153
Cluster 87320	2.0	154
Cluster 89412	2.0	155
Cluster 89952	2.0	156
Cluster 90010	2.0	157
Cluster 91306	2.0	158
Cluster 91420	2.0	159
Cluster 91517	2.0	160
Cluster 91685	2.0	161
Cluster 91879	2.0	162
Cluster 93451	2.0	163
Cluster 1985	1.0	164
Cluster 4517	1.0	165
