CLUSTER_ID	Fitness Score	Fitness Rank
Cluster 91401	0.4473090366259611	1
Cluster 62518	0.27634547037940455	2
Cluster 20099	0.27634546993011233	3
Cluster 226	3.468906796714328e-09	4
Cluster 18591	7.832688498032843e-10	5
Cluster 10765	5.794018284014673e-10	6
Cluster 11329	5.794018284014673e-10	7
Cluster 14885	5.794018284014673e-10	8
Cluster 42066	5.794018284014673e-10	9
Cluster 53084	5.794018284014673e-10	10
Cluster 55962	5.794018284014673e-10	11
Cluster 66046	5.794018284014673e-10	12
Cluster 72417	5.794018284014673e-10	13
Cluster 76348	5.794018284014673e-10	14
Cluster 72253	5.559709430950332e-10	15
Cluster 22327	4.617847991632648e-10	16
Cluster 78422	4.2937898904498934e-10	17
Cluster 18299	3.511191957613785e-10	18
Cluster 9114	2.812781477567402e-10	19
Cluster 78031	2.4456016376485385e-10	20
Cluster 79424	1.5246533359188772e-10	21
Cluster 11394	1.524653335918877e-10	22
Cluster 18410	1.524653335918877e-10	23
Cluster 34909	1.524653335918877e-10	24
Cluster 83354	1.524653335918877e-10	25
Cluster 40230	1.3687189820621516e-10	26
Cluster 42067	1.3687189820621516e-10	27
Cluster 79906	1.2731169342533145e-10	28
Cluster 90186	1.2299588211139714e-10	29
Cluster 2519	1.2146014326195882e-10	30
Cluster 26918	1.2146014326195882e-10	31
Cluster 78035	1.2146014326195882e-10	32
Cluster 33345	1.2146014326195877e-10	33
Cluster 7465	1.1206281740874073e-10	34
Cluster 19253	1.1206281740874073e-10	35
Cluster 53866	1.1206281740874073e-10	36
Cluster 57451	1.1206281740874073e-10	37
Cluster 57892	1.1206281740874073e-10	38
Cluster 40911	1.0623447326720013e-10	39
Cluster 30403	1.0584422168091018e-10	40
Cluster 18269	1.0537935501466724e-10	41
Cluster 28227	1.0537935501466722e-10	42
Cluster 35797	1.0537935501466722e-10	43
Cluster 59707	1.0537935501466722e-10	44
Cluster 67654	1.0537935501466722e-10	45
Cluster 76622	1.0537935501466722e-10	46
Cluster 3973	9.786858587649696e-11	47
Cluster 51599	9.786858587649696e-11	48
Cluster 14529	9.486287257322228e-11	49
Cluster 27847	9.486287257322228e-11	50
Cluster 52373	9.486287257322228e-11	51
Cluster 17050	9.444629031201086e-11	52
Cluster 55476	9.444629031201086e-11	53
Cluster 68874	9.444629031201086e-11	54
Cluster 70159	9.444629031201086e-11	55
Cluster 72083	9.444629031201086e-11	56
Cluster 84410	9.444629031201086e-11	57
Cluster 67878	8.003739961646922e-11	58
Cluster 4944	7.616275790632001e-11	59
Cluster 7576	7.616275790632001e-11	60
Cluster 17318	7.616275790632001e-11	61
Cluster 39373	7.616275790632001e-11	62
Cluster 56630	7.616275790632001e-11	63
Cluster 59690	7.616275790632001e-11	64
Cluster 61703	7.616275790632001e-11	65
Cluster 66616	7.616275790632001e-11	66
Cluster 70358	7.616275790632001e-11	67
Cluster 72257	7.616275790632001e-11	68
Cluster 78296	7.616275790632001e-11	69
Cluster 80194	7.616275790632001e-11	70
Cluster 80537	7.616275790632001e-11	71
Cluster 81747	7.616275790632001e-11	72
Cluster 13624	7.110960241528145e-11	73
Cluster 34914	7.110960241528145e-11	74
Cluster 14233	6.770048308520637e-11	75
Cluster 15294	6.521662936887283e-11	76
Cluster 29676	6.521662936887283e-11	77
Cluster 44132	6.521662936887283e-11	78
Cluster 48914	6.521662936887283e-11	79
Cluster 1185	6.191336237760093e-11	80
Cluster 7298	6.191336237760093e-11	81
Cluster 17458	6.191336237760093e-11	82
Cluster 42483	6.191336237760093e-11	83
Cluster 43578	6.191336237760093e-11	84
Cluster 45890	6.191336237760093e-11	85
Cluster 56960	6.191336237760093e-11	86
Cluster 69060	6.191336237760093e-11	87
Cluster 78490	6.191336237760093e-11	88
Cluster 15128	6.094392953657835e-11	89
Cluster 1767	5.948637092791899e-11	90
Cluster 44151	5.948637092791899e-11	91
Cluster 47350	5.948637092791899e-11	92
Cluster 53328	5.948637092791899e-11	93
Cluster 53861	5.948637092791899e-11	94
Cluster 58365	5.948637092791899e-11	95
Cluster 59259	5.948637092791899e-11	96
Cluster 91302	5.948637092791899e-11	97
Cluster 28556	5.91992748174832e-11	98
Cluster 15722	5.3387920938106764e-11	99
Cluster 17157	5.3387920938106764e-11	100
Cluster 46389	5.3387920938106764e-11	101
Cluster 66590	5.3387920938106764e-11	102
Cluster 81480	5.3387920938106764e-11	103
Cluster 66817	5.2815045073225576e-11	104
Cluster 56593	5.223355057318384e-11	105
Cluster 90010	5.223355057318384e-11	106
Cluster 91420	4.8532630139651325e-11	107
Cluster 70794	4.680315110404368e-11	108
Cluster 17802	4.622354783541012e-11	109
Cluster 59986	4.622354783541012e-11	110
Cluster 74659	4.622354783541012e-11	111
Cluster 75645	4.622354783541012e-11	112
Cluster 78419	4.622354783541012e-11	113
Cluster 2981	4.5651959119333145e-11	114
Cluster 3009	4.5651959119333145e-11	115
Cluster 6734	4.5651959119333145e-11	116
Cluster 19419	4.5651959119333145e-11	117
Cluster 20344	4.5651959119333145e-11	118
Cluster 26914	4.5651959119333145e-11	119
Cluster 28069	4.5651959119333145e-11	120
Cluster 32788	4.5651959119333145e-11	121
Cluster 39740	4.5651959119333145e-11	122
Cluster 44129	4.5651959119333145e-11	123
Cluster 52913	4.5651959119333145e-11	124
Cluster 77724	4.5651959119333145e-11	125
Cluster 83674	4.5651959119333145e-11	126
Cluster 89519	4.5651959119333145e-11	127
Cluster 89859	4.5651959119333145e-11	128
Cluster 16052	4.360595900405316e-11	129
Cluster 16394	4.360595900405316e-11	130
Cluster 16656	4.360595900405316e-11	131
Cluster 57734	4.360595900405316e-11	132
Cluster 67318	4.360595900405316e-11	133
Cluster 16849	4.3318862893617124e-11	134
Cluster 89952	4.3318862893617124e-11	135
Cluster 959	4.176725201567622e-11	136
Cluster 17475	4.176725201567622e-11	137
Cluster 48287	4.176725201567622e-11	138
Cluster 91879	4.176725201567622e-11	139
Cluster 16354	4.126194633690712e-11	140
Cluster 22373	4.126194633690712e-11	141
Cluster 34025	4.126194633690712e-11	142
Cluster 45538	4.126194633690712e-11	143
Cluster 62186	4.126194633690712e-11	144
Cluster 81978	4.069560368122155e-11	145
Cluster 86451	4.069560368122155e-11	146
Cluster 67865	3.949290256310214e-11	147
Cluster 91306	3.949290256310214e-11	148
Cluster 14386	3.6646215946377097e-11	149
Cluster 29246	3.6646215946377097e-11	150
Cluster 44106	3.6646215946377097e-11	151
Cluster 75987	3.6646215946377097e-11	152
Cluster 89412	3.6646215946377097e-11	153
Cluster 3762	3.491607013265077e-11	154
Cluster 9126	3.491607013265077e-11	155
Cluster 12176	3.491607013265077e-11	156
Cluster 18019	3.491607013265077e-11	157
Cluster 42230	3.491607013265077e-11	158
Cluster 47421	3.491607013265077e-11	159
Cluster 53701	3.491607013265077e-11	160
Cluster 63786	3.491607013265077e-11	161
Cluster 74763	3.491607013265077e-11	162
Cluster 76820	3.491607013265077e-11	163
Cluster 79865	3.491607013265077e-11	164
Cluster 83824	3.491607013265077e-11	165
Cluster 21018	3.378405701702998e-11	166
Cluster 21509	3.378405701702998e-11	167
Cluster 36497	3.378405701702998e-11	168
Cluster 78052	3.378405701702998e-11	169
Cluster 16337	3.18144267620083e-11	170
Cluster 27223	3.18144267620083e-11	171
Cluster 35077	3.18144267620083e-11	172
Cluster 41945	3.18144267620083e-11	173
Cluster 45975	3.18144267620083e-11	174
Cluster 61325	3.18144267620083e-11	175
Cluster 72789	3.18144267620083e-11	176
Cluster 74608	3.18144267620083e-11	177
Cluster 87262	3.18144267620083e-11	178
Cluster 87320	3.18144267620083e-11	179
Cluster 91517	3.18144267620083e-11	180
Cluster 91685	3.18144267620083e-11	181
Cluster 93451	3.18144267620083e-11	182
Cluster 17126	2.972399944494488e-11	183
Cluster 45304	2.972399944494488e-11	184
Cluster 69191	2.972399944494488e-11	185
Cluster 62280	2.8530714023162527e-11	186
Cluster 13790	2.6485440083850415e-11	187
Cluster 56599	2.6485440083850415e-11	188
Cluster 68839	2.6485440083850415e-11	189
Cluster 1985	1.988555895531566e-11	190
Cluster 17536	1.988555895531566e-11	191
Cluster 22095	1.988555895531566e-11	192
