RNA	Complexity Score	Complexity Rank	Sign
"TMEM159"	2.2649255659230335e-31	37	+
"USP2"	9.462455758721988e-32	38	+
"GPM6B"	3.303197110209399e-55	71	+
"GYG2"	1.3212788440837595e-54	68	+
"COL17A1"	4.171107826336888e-152	78	+
"SLC6A15"	1.558976592901265e-32	51	+
"PVR"	1.558976592901265e-32	52	+
"PLD1"	1.651598555104699e-55	72	+
"MCAM"	1.3212788440837595e-54	69	+
"RARB"	6.736853516286929e-150	75	+
"FAT1"	1.651598555104699e-55	73	+
"SLCO1A2"	1.7243841034129515e-32	50	+
"HSD17B2"	6.606394220418797e-55	70	+
"TTC19"	1.8722594581727924e-254	84	+
"ZMYND11"	0.008909009031731944	18	+
"CTPS2"	0.00023693192749256822	31	+
"ZNF112"	6.389788240518231e-153	81	+
"PHKA1"	1.0231338121165712e-254	85	+
"RRP15"	0.03166463830304938	8	+
"COASY"	4.429600233656828e-54	65	+
"IP6K2"	0.19963904699486779	1	+
"NUCKS1"	0.0014294701962796863	26	+
"NEBL"	2.2559346377165068e-254	83	+
"XRCC5"	0.08485254930045778	4	+
"HSP90AA1"	0.02598572655814276	10	+
"ULK2"	0.02922596780343051	9	+
"ZNF446"	2.0447997773637902e-300	90	+
"CPNE3"	9.817453762266565e-05	33	+
"MAPK8IP2"	2.250391599986235e-255	87	+
"ATG16L1"	2.5578345302914285e-255	86	+
"CFH"	4.635179491290303e-33	60	+
"AASS"	2.364507081371086e-152	79	+
"CLCN6"	9.396419938699593e-33	55	+
"SNX1"	3.125820255424763e-33	61	+
"ARID4A"	2.4898348198541383e-32	49	+
"C6"	9.182711397350867e-34	64	+
"VAMP3"	8.786980523527086e-33	57	+
"MAST4"	3.842483398062346e-150	76	+
"MGLL"	1.0767837144767703e-33	63	+
"IPCEF1"	7.2664276245754e-33	58	+
"CETP"	6.449486456053775e-33	59	+
"SLC7A2"	3.6555489147952707e-153	82	+
"BPIFB2"	2.9408248499841742e-33	62	+
"FOXP3"	9.507749384754143e-153	80	+
"MCM2"	3.040704943561802e-300	89	+
"CAD"	1.0116761371175688e-149	74	+
"MPND"	0.00028688668325983644	30	+
"METTL1"	2.214800116828414e-54	67	+
"HMMR"	6.955507069125557e-300	88	+
"PREP"	7.018417520920579e-32	41	+
"RPAP3"	0.0013695870058339768	27	+
"ZC3H11A"	0.0015126139406374227	25	+
"FRYL"	0.011712642351981937	14	+
"TMEM131"	0.01826793424448952	11	+
"WBP11"	0.0015465928020172701	24	+
"ITGB5"	5.374414055189626e-151	77	+
"ERO1B"	6.390557096754462e-32	42	+
"ACSM3"	1.4202903614034389e-30	35	+
"ARNTL2"	3.2962650205834794e-32	46	+
"CLDN18"	4.717666701811919e-30	34	+
"ENO1"	4.866872084856413e-32	44	+
"PPP1R15A"	8.943502812953448e-33	56	+
"DOCK3"	1.4202903614034389e-30	36	+
"MGST1"	9.250539410878292e-32	39	+
"ST6GALNAC1"	1.5092015104954888e-32	53	+
"UTP18"	0.00011750819619307717	32	+
"MRPS10"	0.011239525732242964	15	+
"MSMO1"	0.010157993303798189	16	+
"LAP3"	3.2710596399698807e-32	47	+
"PRDM1"	3.2710596399698807e-32	48	+
"TMCC3"	4.855140672110583e-32	45	+
"RASGRF1"	7.051100291198622e-32	40	+
"CST7"	9.762883791134053e-33	54	+
"ME2"	5.773581201185529e-32	43	+
"MSR1"	0.0007903176716777489	29	+
"BCL3"	0.0008456565757723816	28	+
"MPP5"	0.016648057862382867	12	+
"C1QTNF3"	0.00731460364546352	19	+
"PAX7"	4.429600233656828e-54	66	+
"TM9SF3"	0.1414224982986736	3	+
"DPEP1"	0.004707527561107852	23	+
"PNPLA6"	0.006656262465935402	21	+
"SPAG4"	0.011774898777500818	13	+
"MARK4"	0.04391762849048431	6	+
"MRTO4"	0.04391762849048431	7	+
