"RECQL"	"CFH"	+
"CRAMP1"	"CFH"	-
"PNPLA6"	"CFH"	-
"CUL7"	"CFH"	-
"ADGRL1"	"CFH"	-
"FRYL"	"CFH"	+
"TMEM131"	"CFH"	+
"PTPN23"	"CFH"	-
"RECQL"	"LAP3"	+
"CRAMP1"	"LAP3"	-
"ASIC4"	"SLC7A2"	-
"GSDMB"	"SLC7A2"	-
"RPAP3"	"RECQL"	+
"TBXA2R"	"RECQL"	-
"MARK4"	"RECQL"	-
"AASS"	"RECQL"	+
"MPND"	"RECQL"	-
"IDS"	"RECQL"	+
"ZMYND11"	"RECQL"	+
"VRK2"	"RECQL"	+
"ARNTL2"	"RECQL"	+
"ARID4A"	"RECQL"	+
"PNPLA6"	"RECQL"	-
"METTL1"	"RECQL"	-
"MSR1"	"RECQL"	+
"EPHA3"	"RECQL"	+
"VAMP3"	"RECQL"	+
"MRTO4"	"RECQL"	-
"PRDM1"	"RECQL"	+
"TMCC3"	"RECQL"	+
"ZC3H11A"	"RECQL"	+
"YIPF1"	"RECQL"	-
"SPAG4"	"RECQL"	-
"ZNF112"	"RECQL"	+
"MTMR1"	"RECQL"	+
"ADAT1"	"RECQL"	+
"CYB5R4"	"RECQL"	+
"CLDN18"	"RECQL"	+
"PHKA1"	"RECQL"	+
"HYAL2"	"RECQL"	-
"COASY"	"RECQL"	-
"IP6K2"	"RECQL"	-
"IFT80"	"RECQL"	+
"NUCKS1"	"RECQL"	+
"BCL3"	"RECQL"	-
"DGCR2"	"RECQL"	-
"ADGRL1"	"RECQL"	-
"ASIC4"	"RECQL"	-
"MPP5"	"RECQL"	+
"CLASP1"	"RECQL"	+
"FOSL2"	"RECQL"	+
"FRYL"	"RECQL"	+
"TMEM131"	"RECQL"	+
"PLD1"	"RECQL"	+
"TM9SF3"	"RECQL"	+
"POLD3"	"RECQL"	+
"XRCC5"	"RECQL"	+
"CDC14A"	"RECQL"	+
"HSP90AA1"	"RECQL"	+
"ME2"	"RECQL"	+
"ZNF446"	"RECQL"	-
"FAT1"	"RECQL"	+
"WBP11"	"RECQL"	+
"CAD"	"RECQL"	+
"MYNN"	"RECQL"	+
"PREP"	"RECQL"	+
"CPNE3"	"RECQL"	+
"NSFL1C"	"RECQL"	-
"TBXA2R"	"RPAP3"	-
"MPND"	"RPAP3"	-
"VRK2"	"RPAP3"	+
"ARID4A"	"RPAP3"	+
"CUL7"	"RPAP3"	-
"ADAT1"	"RPAP3"	+
"CYB5R4"	"RPAP3"	+
"DNTTIP2"	"RPAP3"	+
"IP6K2"	"RPAP3"	-
"DGCR2"	"RPAP3"	-
"ASIC4"	"RPAP3"	-
"MPP5"	"RPAP3"	+
"PTPN23"	"RPAP3"	-
"POLD3"	"RPAP3"	+
"ME2"	"RPAP3"	+
"MYNN"	"RPAP3"	+
"TBXA2R"	"ACSM3"	-
"TMEM159"	"ACSM3"	+
"MARK4"	"TBXA2R"	+
"MPND"	"TBXA2R"	+
"TTC19"	"TBXA2R"	-
"ZMYND11"	"TBXA2R"	-
"DPEP1"	"TBXA2R"	+
"VRK2"	"TBXA2R"	-
"ARID4A"	"TBXA2R"	-
"PNPLA6"	"TBXA2R"	+
"ZC3H11A"	"TBXA2R"	-
"ZNF112"	"TBXA2R"	-
"MTMR1"	"TBXA2R"	-
"ADAT1"	"TBXA2R"	-
"CYB5R4"	"TBXA2R"	-
"PHKA1"	"TBXA2R"	-
"RRP15"	"TBXA2R"	-
"HYAL2"	"TBXA2R"	+
"COASY"	"TBXA2R"	+
"IFT80"	"TBXA2R"	-
