"LAP3"	"CFH"	+
"MARK4"	"CFH"	-
"AASS"	"CFH"	+
"MPND"	"CFH"	-
"MAPK8IP2"	"CFH"	-
"IDS"	"CFH"	+
"CLCN6"	"CFH"	+
"SNX1"	"CFH"	+
"ARNTL2"	"CFH"	+
"ARID4A"	"CFH"	+
"METTL1"	"CFH"	-
"MSR1"	"CFH"	+
"C6"	"CFH"	+
"EPHA3"	"CFH"	+
"GPM6B"	"CFH"	+
"CTPS2"	"CFH"	-
"SCML1"	"CFH"	+
"VAMP3"	"CFH"	+
"MRTO4"	"CFH"	-
"GYG2"	"CFH"	+
"PRDM1"	"CFH"	+
"TMCC3"	"CFH"	+
"SPAG4"	"CFH"	-
"CYB5R4"	"CFH"	+
"COL17A1"	"CFH"	+
"CLDN18"	"CFH"	+
"PHKA1"	"CFH"	-
"COASY"	"CFH"	-
"IP6K2"	"CFH"	-
"ST6GALNAC1"	"CFH"	+
"HMMR"	"CFH"	-
"MCM2"	"CFH"	-
"CLASP1"	"CFH"	+
"MGLL"	"CFH"	+
"IPCEF1"	"CFH"	+
"FOSL2"	"CFH"	+
"PLD1"	"CFH"	+
"MCAM"	"CFH"	+
"RARB"	"CFH"	+
"CST7"	"CFH"	+
"RABL2B"	"CFH"	-
"C1QTNF3"	"CFH"	+
"ITGB5"	"CFH"	+
"ZNF446"	"CFH"	-
"FAT1"	"CFH"	+
"WBP11"	"CFH"	-
"PPP1R15A"	"CFH"	+
"CETP"	"CFH"	+
"UTP18"	"LAP3"	+
"ARNTL2"	"LAP3"	+
"MSR1"	"LAP3"	+
"FOXP3"	"LAP3"	+
"PRDM1"	"LAP3"	+
"CYB5R4"	"LAP3"	+
"IP6K2"	"LAP3"	-
"HMMR"	"LAP3"	+
"IPCEF1"	"LAP3"	+
"ENO1"	"LAP3"	+
"CST7"	"LAP3"	+
"RABL2B"	"LAP3"	-
"ME2"	"LAP3"	+
"ZNF446"	"LAP3"	-
"CETP"	"LAP3"	+
"AASS"	"SLC7A2"	+
"IDS"	"SLC7A2"	+
"SNX1"	"SLC7A2"	+
"ARNTL2"	"SLC7A2"	-
"ARID4A"	"SLC7A2"	+
"EPHA3"	"SLC7A2"	+
"MRPS10"	"SLC7A2"	-
"FOXP3"	"SLC7A2"	-
"MRTO4"	"SLC7A2"	-
"RASGRF1"	"SLC7A2"	-
"ZNF112"	"SLC7A2"	+
"PHKA1"	"SLC7A2"	+
"MAST4"	"SLC7A2"	+
"SLC6A15"	"SLC7A2"	-
"PVR"	"SLC7A2"	-
"MCM2"	"SLC7A2"	-
"ENO1"	"SLC7A2"	-
"FRYL"	"SLC7A2"	+
"TMEM131"	"SLC7A2"	+
"CST7"	"SLC7A2"	-
"NEBL"	"SLC7A2"	+
"CDC14A"	"SLC7A2"	+
"C1QTNF3"	"SLC7A2"	+
"ITGB5"	"SLC7A2"	+
"ULK2"	"SLC7A2"	+
"ZNF446"	"SLC7A2"	+
"CAD"	"SLC7A2"	-
"PREP"	"SLC7A2"	-
"CPNE3"	"SLC7A2"	+
"ERO1B"	"SLC7A2"	+
"HSD17B2"	"SLC7A2"	-
"DOCK3"	"SLC7A2"	-
"CLCN6"	"RPAP3"	-
"UTP18"	"RPAP3"	+
"ZMYND11"	"RPAP3"	+
"PNPLA6"	"RPAP3"	-
"C6"	"RPAP3"	-
"CTPS2"	"RPAP3"	+
"MRPS10"	"RPAP3"	+
"MSMO1"	"RPAP3"	+
"GYG2"	"RPAP3"	-
"ZC3H11A"	"RPAP3"	+
"MTMR1"	"RPAP3"	+
"CLDN18"	"RPAP3"	-
"PHKA1"	"RPAP3"	+
"RRP15"	"RPAP3"	+
"HYAL2"	"RPAP3"	-
"NUCKS1"	"RPAP3"	+
"HMMR"	"RPAP3"	+
"MGLL"	"RPAP3"	-
"FRYL"	"RPAP3"	+
"TMEM131"	"RPAP3"	+
"MCAM"	"RPAP3"	-
"TM9SF3"	"RPAP3"	+
"NEBL"	"RPAP3"	+
"XRCC5"	"RPAP3"	+
"HSP90AA1"	"RPAP3"	+
"ITGB5"	"RPAP3"	-
"WBP11"	"RPAP3"	+
"CPNE3"	"RPAP3"	+
"PPP1R15A"	"RPAP3"	-
"CETP"	"RPAP3"	-
"AASS"	"ACSM3"	+
"MAPK8IP2"	"ACSM3"	-
"CLCN6"	"ACSM3"	+
"GPM6B"	"ACSM3"	+
"SCML1"	"ACSM3"	+
"TMCC3"	"ACSM3"	+
"RASGRF1"	"ACSM3"	+
"COL17A1"	"ACSM3"	+
"COASY"	"ACSM3"	-
"BCL3"	"ACSM3"	-
"ST6GALNAC1"	"ACSM3"	+
"ADGRL1"	"ACSM3"	-
