"CFH"	"LAP3"	"SLC7A2"	"RECQL"	"RPAP3"	"ACSM3"	"TBXA2R"	"MARK4"	"CRAMP1"	"AASS"	"MPND"	"MGST1"	"MAPK8IP2"	"PAX7"	"IDS"	"CLCN6"	"UTP18"	"TTC19"	"TMEM159"	"ZMYND11"	"DPEP1"	"CYP3A43"	"VRK2"	"SNX1"	"ARNTL2"	"ARID4A"	"PNPLA6"	"USP2"	"METTL1"	"MSR1"	"C6"	"CUL7"	"EPHA3"	"GPM6B"	"CTPS2"	"SCML1"	"MRPS10"	"VAMP3"	"FOXP3"	"MSMO1"	"MRTO4"	"GYG2"	"PRDM1"	"TMCC3"	"RASGRF1"	"ZC3H11A"	"YIPF1"	"SPAG4"	"ZNF112"	"MTMR1"	"ADAT1"	"CYB5R4"	"COL17A1"	"CLDN18"	"PHKA1"	"DNTTIP2"	"RRP15"	"HYAL2"	"COASY"	"IP6K2"	"IFT80"	"MAST4"	"NUCKS1"	"BCL3"	"DGCR2"	"ZXDC"	"ST6GALNAC1"	"SLC6A15"	"ADGRL1"	"ASIC4"	"MPP5"	"HMMR"	"PVR"	"MCM2"	"GSDMB"	"CLASP1"	"SNCB"	"MGLL"	"IPCEF1"	"ENO1"	"TACR2"	"FOSL2"	"FRYL"	"TMEM131"	"PLD1"	"PTPN23"	"MCAM"	"RARB"	"TM9SF3"	"LRCH4"	"POLD3"	"CST7"	"NEBL"	"BPIFB2"	"XRCC5"	"CDC14A"	"RABL2B"	"RDH8"	"HSP90AA1"	"CACNA1S"	"C1QTNF3"	"ME2"	"ITGB5"	"ULK2"	"ZNF446"	"FAT1"	"HAL"	"SLCO1A2"	"WBP11"	"CAD"	"MYNN"	"PREP"	"CPNE3"	"ATG16L1"	"ERO1B"	"HSD17B2"	"PPP1R15A"	"CETP"	"DOCK3"	"NSFL1C"
"CFH"	1	0.262031963621152	0.112546848500745	0.399718926646726	-0.11819532620345	0.137302365838166	0.131685422308811	-0.321811355688104	-0.212942642313957	0.46168688226675	-0.295230321774281	0.112594397903591	-0.340177907393947	0.0303696760828106	0.371694331996219	0.369155666684795	-0.179046322293715	-0.194583916872691	0.0707837811995755	0.0327512249171084	0.185957153914151	0.0884805577719849	-0.0329590999462275	0.202902249076444	0.291260529576372	0.377667558249415	-0.206666197799974	0.0355735451349554	-0.31441068904415	0.375774499962871	0.46251623275784	-0.27607357519692	0.508623962822623	0.26504182216495	-0.221031429724543	0.224082366334017	-0.114721136867333	0.470826078732208	0.0816051262270276	-0.0977914391803324	-0.333798507309438	0.385047187164675	0.570282171349752	0.495342810181347	0.13974417548268	0.0964367044894244	-0.120104935189592	-0.224961354517089	0.0412941582700889	-0.12733592841129	0.069050654924491	0.263812937021342	0.330958762982764	0.293073518920743	-0.296655477750659	-0.0229473873262282	-0.120182802545416	0.0146502208501216	-0.382750697221178	-0.313964780583624	-0.0639325959209506	0.191534569186915	-0.0280993531451734	-0.148614500140806	-0.151632371312424	-0.184857875329561	0.410410565917744	0.0370642343811526	-0.26306490888473	-0.155703843660968	0.156842410128835	-0.295087839259164	-0.0670258266349579	-0.370407453256112	-0.0844109407297753	0.259193082669083	0.0261611066855904	0.444597172934497	0.378491771680818	-0.0420897351596365	-0.161084404310634	0.291860974448472	0.32101252201759	0.244881753949823	0.486804068083394	-0.207528716004907	0.491804971767105	0.254733530842271	0.193475539919147	-0.13907789927465	-0.11063248957682	0.429546238765189	-0.186710280718382	0.00934366899492979	0.000256588351734055	0.184014208189365	-0.228085692317627	0.191082770939673	-0.115661430736223	0.0707920995267444	0.318175093852964	0.0218811144896503	0.302549696402253	-0.101541541524777	-0.356639543265348	0.401591694590366	-0.0232822557242402	0.10002755920866	-0.222078696097645	-0.187803141486893	0.00455000765954655	0.0411894879600623	-0.010097860936685	-0.0637711451001277	0.0866603759213531	0.150424876178178	0.271397152026289	0.428878854259443	-0.15905033548307	-0.125191403970767
"LAP3"	0.262031963621152	1	-0.0972302315438607	0.220568950104038	0.100647825453215	-0.0969472185773153	-0.0100220933707045	-0.0924923430053092	-0.207153658528774	-0.131854844398629	-0.00569298068927934	0.0218930389066907	0.0333213055082501	0.066242322599893	0.0312801950391625	-0.128359285296683	0.228141608318218	-0.0813921142093459	0.00275241710089527	-0.0736088143156733	0.163089113402236	-0.0596673356887754	0.111425163504911	-0.146316857761162	0.334872048645874	-0.0339976368670889	0.132295996951262	-0.0140283939680992	0.00529692864056393	0.384935057055443	0.00127482477714562	-0.01450750526943	0.0390447304155384	-0.0498196562638456	-0.0762504740880971	0.00923782544474326	0.162773871728936	0.126943205570103	0.419641016556082	0.0159954226882986	0.0918276918144117	-0.0732917067413655	0.331184412538314	0.153106377865586	0.190584383380337	-0.140788147916137	0.0464335518135801	0.0662222013855362	-0.167601734538541	0.082644640392181	0.0163798692765478	0.286671521097491	-0.0879702569795923	-0.114581239426665	-0.121957075321904	0.135926807942286	-0.00282733004980978	-0.0115681651953956	-0.0200956370831696	-0.298213090591794	-0.187834654144505	-0.147011689142762	-0.0731186632503122	0.0550961433826525	-0.0483652016667361	-0.108700251198166	-0.0305626601793092	0.102543970492616	-0.110243172531298	-0.0982849100399095	-0.000182511254139871	0.22198366717602	0.166812774878409	0.189859468749643	-0.0668442099337286	-0.0243143705561911	0.0403923759841589	0.0167583981396268	0.339628229989048	0.231226258484331	-0.0361692327790845	-0.0257421911737916	0.0716690804148822	0.0655204743447755	0.102787192376479	-0.0573616269836932	0.0210046422971705	0.0224342060913391	0.0544546701872906	0.0426021599614273	0.111640342924051	0.461849960536287	-0.115939904288902	-0.118094418553585	0.0928736798369365	0.00641292946368084	-0.206437322550995	0.0442667048623857	0.099544140133282	-0.0139813886929029	-0.174809167260051	0.302089069129407	-0.10787494405894	-0.141634602806057	-0.201751676542742	0.0253477176764849	-0.0662454309456172	-0.0591141639057276	0.0673792820485554	0.150299270639087	-0.0164253388148419	0.122497425221153	0.091020426580077	-0.0211980292115284	-0.129793091957989	-0.00847220320398222	-0.0203534126585259	0.210295534424989	0.0251051614273986	0.113967210123241
"SLC7A2"	0.112546848500745	-0.0972302315438607	1	0.091256264713435	0.196010284377849	-0.100967793453015	-0.0998468484019922	-0.00215593512873301	0.00388570599604895	0.23498959442654	-0.0694324940262984	-0.107642524246591	0.197149276022117	-0.0267602529849668	0.30124258856333	0.122277817377563	0.0397970500798497	0.143717042051087	-0.186645222427219	0.188984084860618	-0.0289147892381443	0.0695446229410925	-0.00648225575216335	0.349235105201719	-0.220412944562963	0.348951629791108	-0.164392277031986	-0.0863095315897515	-0.0784835600273954	0.0519565684108322	0.110346510780664	-0.0914573315945882	0.262182124319997	-0.171771176542319	0.0981053262138397	0.0335856759978375	-0.232179142338972	0.153549205071375	-0.234760522157502	0.113643612310031	-0.266187400554209	-0.064593951331992	-0.0243909859121712	0.0346806929622364	-0.317460103159143	0.165659716548813	0.087800563496374	-0.0737248875855967	0.235641618786987	0.0129198701691857	0.163605613278829	0.0211414809544754	0.1824066632434	0.0612913484801111	0.207014657461071	-0.133480214651035	0.0184588858508863	-0.0665875958905953	0.13642378911409	-0.0682722124613869	-0.0534630747435037	0.552999945959543	0.0406318480237151	0.00016087782830426	0.0213726143870491	-0.106842148712455	0.0650601293058981	-0.25873765588489	0.104924374784245	-0.200793196272831	0.199878591012917	-0.129172659283529	-0.229489662577027	-0.281458576963031	-0.209351576858355	0.0401196918937142	-0.080625293594029	0.171612076107371	-0.0866979691200738	-0.405068652451094	-0.118384322096523	0.106263889134853	0.308845622298156	0.22148225283341	-0.109219850843166	-0.00485990173120128	-0.0927380776363646	-0.185777145522839	0.161613607662504	0.0301075041340161	-0.120120149584246	-0.210342716992463	0.321879661935005	0.181286700629524	0.0563268876656212	0.235559722807464	0.112660160735862	-0.101598291290801	0.00820454962702467	-0.0558004301050625	0.248138783728318	-0.168282651763327	0.237016152378284	0.297573146714239	0.219122881054135	-0.0566277162186008	0.0362128753554702	-0.118317056636922	0.0470690460979262	-0.301252801992363	-0.0395063842435777	-0.293708231378887	0.258215615379301	0.0999574305199134	0.26044959780452	-0.21135900834566	-0.141782985107969	-0.128221113144403	-0.258317544654607	-0.17094876220789
"RECQL"	0.399718926646726	0.220568950104038	0.091256264713435	1	0.327226660311155	0.0348856259700547	-0.298222616168711	-0.288614076864174	-0.0832380027472675	0.376308805965983	-0.559458256676133	0.123193944541454	-0.168222381690749	0.0471437301585332	0.388948085299548	0.177607236302305	0.0721042485105145	-0.0248136034471542	-0.0570115099182805	0.372856784924697	-0.136844159647357	0.0426311479088483	0.374745687967981	0.0844252708975708	0.440651000892245	0.524626673108526	-0.308059825620805	-0.0666790592895695	-0.389159120917289	0.349461787700029	0.0840641634473766	-0.107594213586906	0.321836625844191	0.195839475504093	0.0211136552116249	0.131455648570691	0.141432696424839	0.234417620065198	0.00346460153214378	-0.00714583247280907	-0.333209272184465	0.0920773178245416	0.402793407828889	0.298987763759225	0.108073585663328	0.40822068146329	-0.243082487948313	-0.343066888241366	0.347087152023096	0.30807053636326	0.404267254996146	0.563910249185768	-0.0494166528592596	0.232790845776487	0.209764266261088	0.160796784199255	0.159700630727684	-0.407179048591306	-0.438969621095829	-0.504073782125871	0.203193448450689	0.179087331513721	0.297172456500668	-0.305223950226374	-0.256345517018255	0.0867262040861092	0.0356086080609463	0.189760661907743	-0.282057160408931	-0.267097867591838	0.36656831096794	0.182147972431749	0.114947507559447	0.087988711065477	-0.167022279062734	0.599566387287385	-0.0471531254857272	0.11083429492476	0.190261342280253	-0.0116077639132007	-0.186531862552649	0.293309464601052	0.491303640598356	0.493249039690986	0.363408484280129	-0.106373478060126	0.17922653771005	0.1400229637248	0.428298927409196	0.044252145377812	0.310490793867489	-0.00425645539730854	0.0574225239183541	-0.148127042576172	0.321676523430431	0.257363373386083	-0.102598643020585	0.0965068285569058	0.227907486163669	-0.0141228702745347	0.0462442855551255	0.38641946996899	-0.00857272803002111	0.154249886251734	-0.515372406399853	0.519660791226652	-0.0984486367313944	0.0901053236590381	0.297629546666261	0.21433380419718	0.301943659223889	0.256793505705194	0.325874523363013	-0.042399955056006	0.0583880966796567	-0.0634631240479321	-0.146782847693604	-0.0292089678232276	0.0466159574797843	-0.312179728678578
"RPAP3"	-0.11819532620345	0.100647825453215	0.196010284377849	0.327226660311155	1	-0.0548722573977384	-0.375238658315875	-0.180663369482132	0.00337106868208617	-0.0987278335309803	-0.267831432216053	-0.00682236423852573	0.055769274723791	0.15203615194306	0.142695366315535	-0.293159975253604	0.408471297037416	0.159514522571214	-0.0621009547830697	0.298029947763778	-0.15723235202594	-0.0729578006756359	0.299743986428531	-0.0668528112432462	0.0570299188683031	0.243700857086683	-0.350723125893755	-0.0679806186254201	0.160909622249426	0.158738135116038	-0.2414756489213	-0.201308483005679	0.0793216919996342	-0.17269475962862	0.386913179348115	-0.0423237256020997	0.307170858917579	-0.0315766663909905	-0.0160979903729843	0.264892757286345	-0.0593551518501438	-0.303119356656135	0.00826075457644097	-0.0551670463770421	-0.0347512326506581	0.275992759875052	0.150186082411192	-0.0231721347778099	0.185220146592238	0.352385058300901	0.321855728870304	0.374117392223163	-0.185359107481352	-0.207677675581788	0.418876202928848	0.278821495390614	0.418023954780612	-0.453690830973092	-0.0254541846726926	-0.25361663071466	0.143866556230209	0.0499158966384817	0.400731267046252	-0.101924597212527	-0.261517363837157	-0.0166168376074267	-0.132159515900651	-0.00842272660037017	-0.157020992741306	-0.238009815150382	0.285271215885899	0.382696823701476	-0.0176800699340894	0.189091849670862	-0.174493991934101	0.168789012649511	-0.0314073016003041	-0.235877116494376	-0.07396192312522	-0.158658290291877	-0.194212702163637	-0.149845758431895	0.309659974064095	0.394924644413448	-0.143233425885661	-0.206746708513368	-0.395352801502632	-0.125337125043505	0.427872154222991	-0.101589466577297	0.218787077887599	-0.182936129546456	0.331082286265952	-0.0107681285693448	0.454586413929622	0.0994535554081596	-0.0234952396398948	-0.11654453283715	0.472581917465055	-0.0646555631233302	0.00393429605233534	0.234403680790415	-0.213662494232757	0.146610141657814	-0.15153232512034	-0.0700915258253009	0.0126656715596258	-0.0666611144990661	0.443442930492001	-0.0725023906707843	0.306062804459515	0.0692377134366415	0.473988833794956	0.143463982988368	0.15637889631065	-0.18248736270856	-0.482465083681526	-0.358350612383346	-0.10599304153824	-0.0399576036818744
"ACSM3"	0.137302365838166	-0.0969472185773153	-0.100967793453015	0.0348856259700547	-0.0548722573977384	1	-0.263687715221769	-0.165275568426284	0.0596130648553307	0.26963030749547	-0.146051918139804	0.0957308774621253	-0.344069531520903	-0.0801879033321781	-0.051384287582296	0.215893195397874	-0.180598037127981	0.0501141347941019	0.233877743237829	0.0119675402814322	-0.0715112871194315	0.100181870260309	0.0342699497714667	0.0685562280750062	0.0891408954335838	0.123498446790609	-0.100819647287811	0.199460552200874	-0.154985638045571	-0.185914086737964	0.128208728468854	-0.0611722758680086	-0.0654509247358789	0.497159199230009	-0.0620549949140229	0.208827146535802	-0.0709053249838926	0.0292279375331719	0.0110380724908804	-0.107556479960456	-0.066209105935469	0.13184086187716	0.101814608241915	0.230359616147641	0.202252697376386	-0.0599798993066447	-0.145870166572159	-0.166950129991735	0.0923492493657054	0.0967591511360016	-0.0669537069622884	0.0113190188726922	0.406153856294853	0.118823509396687	-0.0420532519537672	0.0551475423122506	-0.0842527281713568	-0.10016566868426	-0.202943561534871	0.0906657326935376	-0.0236503981557754	-0.0828404351790173	-0.0277605277953714	-0.249444015454539	-0.0613061194659584	0.0206079537846801	0.285637047568018	0.199210753753146	-0.226339890888963	0.0411715037202102	0.097642038962403	-0.233457400359547	-0.0550211947485747	-0.178316880654579	0.02640185326973	0.145523441395643	-0.0812502412922965	0.00552130746598382	0.275143799818815	-0.0160991658673183	-0.0522892512901101	0.0305241186541842	0.0237026441960324	0.0371051859764264	0.338046714335099	-0.182534970885353	0.0838593307337899	0.412703286028372	-0.00165077698615712	-0.0687410345738311	0.00527814112829234	0.0927467030773782	-0.0290015564081394	-0.0394402472386699	-0.0737483284931432	0.179955424178861	-0.0749369842367316	-0.11916171219079	-0.116390866835751	0.00146250706078004	-0.168587880186616	-0.00934542216344389	-0.218616073363291	-0.0964104817932762	-0.213222280657786	0.276645133620952	0.00656070656023429	0.520687912670433	-0.12265617809896	0.0503497325905379	-0.0212357721040082	0.106124491748704	-0.0950980241778782	-0.138580451455529	0.0323386147146541	0.40327252484125	0.14693749840621	-0.0636747485539625	0.0876723812690888	-0.178423431864977
"TBXA2R"	0.131685422308811	-0.0100220933707045	-0.0998468484019922	-0.298222616168711	-0.375238658315875	-0.263687715221769	1	0.204677254349678	-0.0532228968998478	-0.18966120192069	0.359515619875577	-0.0102789005973223	0.132630806356027	0.0365546097136776	-0.161529755094889	-0.108801547911315	-0.0904238325161573	-0.214583508807826	0.066862892209066	-0.325975629442553	0.376104378654067	-0.181813225345422	-0.282048144507771	-0.0754438250841516	-0.104034812245273	-0.3535440255162	0.314437962050643	-0.0582626958568801	0.178685126364262	0.0442747923480888	0.0816971772672031	0.178724446555054	0.100878350277501	-0.144831405425318	-0.184799836043171	-0.125361122302501	-0.0150664914996632	0.0227567749666552	0.0640236284570098	0.0434277159928574	0.12036745076152	0.0703999903452776	0.0476336928618883	-0.00451812201260475	0.0412162050066	-0.304800629515566	0.050520536422008	0.189208238315673	-0.337660370355343	-0.37604186922074	-0.214828838047091	-0.210594555908104	-0.0333183591189954	-0.0636048664656407	-0.332185676753912	-0.183125785915005	-0.23127004731619	0.611368763867994	0.225543201653683	0.0701114696258743	-0.236862885281637	-0.0809486151287013	-0.300843412001758	0.343606627456736	0.27730735705663	-0.115857957363461	0.0895841989224112	-0.181436045315856	0.19653596803179	0.102217905311248	-0.327665873791877	-0.059924772893364	0.0456439580849286	0.00945461547809886	-0.00278558899617833	-0.324230846869308	0.200962989723446	0.173993207400527	-0.0776481983544139	0.117587297140642	0.130302432043738	-0.0309404906558212	-0.339740262247969	-0.262189725108255	-0.10285808369001	0.200280656848504	0.388343750255271	-0.108584871894131	-0.206271137272341	0.0230461887589546	-0.188800467839308	0.173162311460307	-0.259499884434505	0.104379139375797	-0.240990295326472	-0.286685308327432	-0.0122682973003135	0.210768966667781	-0.179283968034034	0.132634173841384	0.105578273115852	-0.165864480882721	0.276647781934169	-0.201189200186348	0.253697141892614	-0.198977195758277	-0.0485789146111739	-0.255817800973318	-0.23732253605632	-0.111525654828585	-0.252657944759281	-0.0530366000963092	-0.243832118675437	-0.0134745563589832	-0.114999090841617	-0.0609842612862312	0.243261908313946	0.442300303756475	-0.0877278473493714	0.247739067866582
"MARK4"	-0.321811355688104	-0.0924923430053092	-0.00215593512873301	-0.288614076864174	-0.180663369482132	-0.165275568426284	0.204677254349678	1	0.102449799097089	-0.279893585327425	0.422737632148561	-0.137318332822666	0.256190719893037	0.0418169846937899	-0.205151598387288	-0.205423578302197	-0.0133033637936645	-0.122294896823349	-0.0717839667155622	-0.194108298432513	0.135756722236739	-0.0893357158974264	-0.151881515604106	-0.160167595940222	-0.130122139084229	-0.369738241276556	0.413123263602895	0.0192624606963204	0.241285897740664	-0.185285762559593	-0.186352023869508	0.267809278687926	-0.225390725272267	-0.257763972153136	0.027057470451743	-0.16193672596839	-0.11572270815226	-0.258440312545707	0.142198232135088	-0.00663977173052292	0.289920781531724	-0.159348887010056	-0.203910684932378	-0.218559261379169	-0.0456685907451225	-0.339257541336723	0.00920633547795274	0.218174045278409	-0.0954409483825965	-0.0823879885206429	-0.173904150377402	-0.325712812414813	-0.125158147748481	-0.21412854617706	-0.0151326575429435	-0.0913193500147715	-0.204617190282139	0.33787617997022	0.348803313928375	0.23898903858946	-0.255993224591718	-0.0704372239462108	-0.233908240942339	0.361983022659876	0.363910435213613	0.076982912801957	-0.15776562831954	-0.10268090952332	0.315660616053958	0.152319495065366	-0.327607488144572	0.110171018697018	0.175583487716919	0.239789460489632	0.0531002146803302	-0.207544919663596	0.180275774135081	-0.0926224606659595	-0.168473235947203	0.0966308440263083	0.157055156360292	-0.101923480794277	-0.354207535750088	-0.191518534503519	-0.345693177466727	0.421408764543521	-0.0883003086265383	-0.227976938920208	-0.265228374247156	0.291857083062171	-0.128870862020261	-0.0613862649014271	-0.0347337595268867	-0.0592305351158271	-0.1196567625521	-0.142406146565737	0.040334649928184	-0.0786907459743893	-0.026784013669337	0.0268353154146672	-0.119412841944298	-0.122683120340782	0.0574692920406033	-0.0596398107294525	0.460689150442662	-0.226129244516734	0.058288408210211	-0.180298782635206	0.0870493080296515	0.185042514623927	-0.276472211745516	0.0379330404875392	-0.146748252703553	0.000494047078629191	-0.133777152246495	-0.0963523719259288	0.168821588062047	-0.0717470360155165	0.0810390650463777	0.268136033205575
"CRAMP1"	-0.212942642313957	-0.207153658528774	0.00388570599604895	-0.0832380027472675	0.00337106868208617	0.0596130648553307	-0.0532228968998478	0.102449799097089	1	-0.034218141055317	0.0297561380369496	-0.126946821859054	0.0104202862428014	-0.0497144213476901	-0.0238190645568069	0.17791609601067	-0.131204911025206	0.0114393493084614	-0.0501636346619004	0.101250970734202	-0.0156390084192577	0.0695692611686098	-0.120650252251325	0.0180551675846954	-0.179755218917988	0.0676070934371543	0.0538312449134489	-0.0798815402755801	-0.0314311177095117	-0.199158950990145	-0.001083504216774	0.156952177351146	0.0548087491063313	-0.122598140051803	0.125788155272298	0.11666992011688	-0.133295822945272	-0.182056485332795	-0.0678404279637888	-0.0991744982519254	-0.0586979861987946	-0.105175425543605	-0.18301580165748	-0.135713065634315	-0.0675589689428742	0.107774915392967	-0.048827534226711	0.00546978095692261	-0.01888858265783	0.150191005492557	-0.0433895893681445	-0.121914319019686	-0.0211260506219978	-0.025700612773164	0.0850801484442897	-0.173091563624842	-0.0322839683041599	-0.0510738434935569	0.179614130494953	0.193567158088905	0.0715114060880215	0.0613592256698825	-0.0300053045547743	-0.0130134370875376	-0.0499656577739437	0.196965772013328	0.0122051651482642	-0.101136969342027	0.0905291494148779	0.14980564363824	0.0607460673070973	0.00196327409282318	-0.197752459321343	-0.00721685389332529	0.0991336673837428	0.0119866987559784	-0.0523360246094244	-0.0759339784612888	-0.138395738083435	-0.236093413174533	-0.0254756876909791	0.00212430955800717	0.156290375424028	0.0109729650971728	-0.27652667469732	0.149646151602682	-0.191436108800213	-0.150386250126008	-0.171950573292233	0.269108845607062	-0.0483607180859537	-0.187247732652188	0.120094252524462	-0.0399335229909832	-0.130183673635422	0.035759659431823	0.170161599767233	-0.107519974157845	-0.0505151560526927	-0.039407748277982	0.0225522129699029	-0.255334976060054	-0.0265861706665345	0.137841634149234	0.229200616629606	-0.143040320928522	0.122867520684029	-0.0175541415224016	0.0476248117605187	0.094826234555603	-0.12010018684079	-0.182358850217307	-0.0245613006069317	0.213399228214351	0.0184473903341072	-0.105196464934901	-0.0493558686865903	-0.188586113034983	0.104384955719671	-0.120537493645735
"AASS"	0.46168688226675	-0.131854844398629	0.23498959442654	0.376308805965983	-0.0987278335309803	0.26963030749547	-0.18966120192069	-0.279893585327425	-0.034218141055317	1	-0.402107840754651	0.0525389918877557	-0.304005775486228	-0.170321060274849	0.389980248803133	0.626854635038458	-0.309811244786436	0.101068807778985	-0.068758500903139	0.28860457387647	-0.120894896999589	0.269000806410751	0.0239806953695665	0.40680180509076	0.0385582510797966	0.624714035751746	-0.3256956693007	0.0169337446584943	-0.575335462437786	-0.0419372361139015	0.423341388747816	-0.128674767515862	0.343750804440202	0.314070048886508	-0.176545826650708	0.311667637958901	-0.28654569109229	0.324793105232391	-0.28195098628493	-0.193909415925837	-0.473437563284183	0.341889985336722	0.202824878378409	0.290689901325911	-0.117372908243919	0.359735697588583	-0.191613112252144	-0.393168166097119	0.353256035908185	0.0591127059313819	0.160202668431676	0.168660537440542	0.374979509366393	0.41576047443932	-0.0611890117399149	-0.107675410889356	-0.0968044560393984	-0.190907106949001	-0.366314008349071	-0.0564346170572451	0.165493096692548	0.450885288393797	0.0548936051500838	-0.354107156037847	-0.140316642951416	-0.00843806932850115	0.26400834871682	0.0761784430844593	-0.1409665823407	-0.1987543245942	0.299721517711476	-0.447290859717916	-0.212127427936638	-0.528950010043235	-0.0661404587034312	0.454493251744198	-0.174973948825161	0.316948696331434	0.200902008175466	-0.332743259042496	-0.177967194624559	0.254903458587296	0.440202463698085	0.29765577473241	0.349222962515592	-0.0760743195938144	0.352702363782881	0.308817365938356	0.142691455644111	0.0124908423098572	-0.016346472938002	-0.0790519522807405	-0.0052710827523821	0.137609393107047	-0.0341649482427445	0.356864130813876	0.0218182139163033	0.02813453039335	-0.239029984821635	-0.0173716482126444	0.137057643827982	-0.0263874381164524	0.159391448868351	0.212057022435076	-0.210521185598008	0.398003154398226	-0.0531918318010176	0.266146333767937	-0.196792978143845	-0.18134685377517	0.11224832692564	-0.0611864313652397	-0.058291986019826	-0.00359543822884414	0.225886223464208	0.103828409632723	0.143281121431694	0.120217627524127	-0.0888146628302182	-0.41912351035645
