gene	pubmed_count	Synonyms	Symbol_from_nomenclature_authority
A1BG	109	A1B|ABG|GAB|HYST2477	A1BG
A2M	1230	A2MD|CPAMD5|FWP007|S863-7	A2M
NAT1	884	AAC1|MNAT|NAT-1|NATI	NAT1
NAT2	2039	AAC2|NAT-2|PNAT	NAT2
SERPINA3	298	AACT|ACT|GIG24|GIG25	SERPINA3
AADAC	85	CES5A1|DAC	AADAC
AAMP	131	-	AAMP
AANAT	603	DSPS|SNAT	AANAT
AARS1	22	AARS|CMT2N|DEE29|EIEE29|HDLS2|TTD8	AARS1
ABAT	324	GABA-AT|GABAT|NPD009	ABAT
ABCA1	4550	ABC-1|ABC1|CERP|HDLCQTL13|HDLDT1|HPALP1|TGD	ABCA1
ABCA2	137	ABC2|IDPOGSA	ABCA2
ABCA3	442	ABC-C|ABC3|EST111653|LBM180|SMDP3	ABCA3
ABCB7	91	ABC7|ASAT|Atm1p|EST140535	ABCB7
ABCF1	61	ABC27|ABC50	ABCF1
ABCA4	1049	ABC10|ABCR|ARMD2|CORD3|FFM|RMP|RP19|STGD|STGD1	ABCA4
ABL1	3628	ABL|BCR-ABL|CHDSKM|JTK7|bcr/abl|c-ABL|c-ABL1|p150|v-abl	ABL1
AOC1	75	ABP|ABP1|DAO|DAO1|KAO	AOC1
ABL2	219	ABLL|ARG	ABL2
ABO	30625	A3GALNT|A3GALT1|GTB|NAGAT	ABO
ABR	8962	MDB	ABR
ACAA1	64	ACAA|Lnc-Myd88|PTHIO|THIO	ACAA1
ACACA	591	ACAC|ACACAD|ACACalpha|ACC|ACC1|ACCA|ACCalpha|Acac1|hACC1	ACACA
ACACB	237	ACACbeta|ACC-beta|ACC2|ACCB|ACCbeta|HACC275	ACACB
ACADL	129	ACAD4|LCAD	ACADL
ACADM	213	ACAD1|MCAD|MCADH	ACADM
ACADS	167	ACAD3|SCAD	ACADS
ACADSB	46	2-MEBCAD|ACAD7|SBCAD	ACADSB
ACADVL	407	ACAD6|LCACD|VLCAD	ACADVL
ACAT1	601	ACAT|MAT|T2|THIL	ACAT1
ACAT2	343	-	ACAT2
ASIC2	250	ACCN|ACCN1|ASIC2a|BNC1|BNaC1|MDEG|hBNaC1	ASIC2
ASIC1	549	ACCN2|ASIC|BNaC2	ASIC1
ACHE	1030424	ACEE|ARACHE|N-ACHE|YT	ACHE
ACLY	491	ACL|ATPCL|CLATP	ACLY
ACO1	344	ACONS|HEL60|IREB1|IREBP|IREBP1|IRP1	ACO1
ACR	14658	-	ACR
ACO2	521	ACONM|HEL-S-284|ICRD|OCA8|OPA9	ACO2
ACOX1	506	ACOX|AOX|MITCH|PALMCOX|SCOX	ACOX1
ACP1	486	HAAP|LMW-PTP|LMWPTP	ACP1
ACP2	128	LAP	ACP2
ACP5	916	HPAP|TRACP5a|TRACP5b|TRAP|TRAcP|TrATPase	ACP5
ACP3	36	5'-NT|ACP-3|ACPP|TM-PAP	ACP3
ACRV1	70	D11S4365|SP-10|SPACA2	ACRV1
ACTA1	370	ACTA|ASMA|CFTD|CFTD1|CFTDM|CMYP2A|CMYP2B|CMYP2C|MPFD|NEM1|NEM2|NEM3|SHPM	ACTA1
ACTA2	2919	ACTSA	ACTA2
ACTB	1462	BRWS1|PS1TP5BP1	ACTB
ACTC1	212	ACTC|ASD5|CMD1R|CMH11|LVNC4	ACTC1
ACTG1	185	ACT|ACTG|DFNA20|DFNA26|HEL-176	ACTG1
ACTG2	132	ACT|ACTA3|ACTE|ACTL3|ACTSG|MMIHS5|VSCM|VSCM1	ACTG2
ACTN4	437	ACTININ-4|FSGS|FSGS1	ACTN4
ACTL6A	93	ACTL6|ARPN-BETA|Arp4|BAF53A|INO80K|SMARCN1	ACTL6A
ACTN1	196	BDPLT15	ACTN1
ACTN2	198	CMD1AA|CMH23|CMYP8|MPD6|MYOCOZ	ACTN2
ACTN3	435	ACTN3D	ACTN3
ACVR1	677	ACTRI|ACVR1A|ACVRLK2|ALK2|FOP|SKR1|TSRI	ACVR1
ACVR1B	221	ACTRIB|ACVRLK4|ALK4|SKR2	ACVR1B
ACVR2A	176	ACTRII|ACVR2	ACVR2A
ACVR2B	189	ACTRIIB|ActR-IIB|HTX4	ACVR2B
ACVRL1	800	ACVRLK1|ALK-1|ALK1|HHT|HHT2|ORW2|SKR3|TSR-I	ACVRL1
ACY1	115	ACY-1|ACY1D|HEL-S-5	ACY1
ACYP1	16	ACYPE	ACYP1
ACYP2	61	ACYM|ACYP	ACYP2
ADA	15764	ADA1	ADA
ADAM8	280	CD156|CD156a|MS2	ADAM8
