ID	gene name	aliases	pubmed count
1	A1BG	A1B|ABG|GAB|HYST2477	38
2	A2M	A2MD|CPAMD5|FWP007|S863-7	299
9	NAT1	AAC1|MNAT|NAT-1|NATI	254
10	NAT2	AAC2|NAT-2|PNAT	734
12	SERPINA3	AACT|ACT|GIG24|GIG25	223
13	AADAC	CES5A1|DAC	32
14	AAMP	-	66
15	AANAT	DSPS|SNAT	45
16	AARS1	AARS|CMT2N|DEE29|EIEE29|HDLS2|TTD8	114
18	ABAT	GABA-AT|GABAT|NPD009	55
19	ABCA1	ABC-1|ABC1|CERP|HDLCQTL13|HDLDT1|HPALP1|TGD	828
20	ABCA2	ABC2|IDPOGSA	59
21	ABCA3	ABC-C|ABC3|EST111653|LBM180|SMDP3	112
22	ABCB7	ABC7|ASAT|Atm1p|EST140535	91
23	ABCF1	ABC27|ABC50	141
24	ABCA4	ABC10|ABCR|ARMD2|CORD3|FFM|RMP|RP19|STGD|STGD1	307
25	ABL1	ABL|BCR-ABL|CHDSKM|JTK7|bcr/abl|c-ABL|c-ABL1|p150|v-abl	890
26	AOC1	ABP|ABP1|DAO|DAO1|KAO	55
27	ABL2	ABLL|ARG	122
28	ABO	A3GALNT|A3GALT1|GTB|NAGAT	310
29	ABR	MDB	48
30	ACAA1	ACAA|Lnc-Myd88|PTHIO|THIO	63
31	ACACA	ACAC|ACACAD|ACACalpha|ACC|ACC1|ACCA|ACCalpha|Acac1|hACC1	217
32	ACACB	ACACbeta|ACC-beta|ACC2|ACCB|ACCbeta|HACC275	107
33	ACADL	ACAD4|LCAD	39
34	ACADM	ACAD1|MCAD|MCADH	149
35	ACADS	ACAD3|SCAD	65
36	ACADSB	2-MEBCAD|ACAD7|SBCAD	71
37	ACADVL	ACAD6|LCACD|VLCAD	122
38	ACAT1	ACAT|MAT|T2|THIL	146
39	ACAT2	-	60
40	ASIC2	ACCN|ACCN1|ASIC2a|BNC1|BNaC1|MDEG|hBNaC1	53
41	ASIC1	ACCN2|ASIC|BNaC2	112
43	ACHE	ACEE|ARACHE|N-ACHE|YT	230
47	ACLY	ACL|ATPCL|CLATP	234
48	ACO1	ACONS|HEL60|IREB1|IREBP|IREBP1|IRP1	109
49	ACR	-	40
50	ACO2	ACONM|HEL-S-284|ICRD|OCA8|OPA9	106
51	ACOX1	ACOX|AOX|MITCH|PALMCOX|SCOX	70
52	ACP1	HAAP|LMW-PTP|LMWPTP	173
53	ACP2	LAP	55
54	ACP5	HPAP|TRACP5a|TRACP5b|TRAP|TRAcP|TrATPase	108
55	ACP3	5'-NT|ACP-3|ACPP|TM-PAP	102
56	ACRV1	D11S4365|SP-10|SPACA2	18
58	ACTA1	ACTA|ASMA|CFTD|CFTD1|CFTDM|CMYP2A|CMYP2B|CMYP2C|MPFD|NEM1|NEM2|NEM3|SHPM	427
59	ACTA2	ACTSA	289
60	ACTB	BRWS1|PS1TP5BP1	706
70	ACTC1	ACTC|ASD5|CMD1R|CMH11|LVNC4	241
71	ACTG1	ACT|ACTG|DFNA20|DFNA26|HEL-176	341
72	ACTG2	ACT|ACTA3|ACTE|ACTL3|ACTSG|MMIHS5|VSCM|VSCM1	112
81	ACTN4	ACTININ-4|FSGS|FSGS1	351
