ensembl_gene_id	Occurance
ENSG00000004468	1
ENSG00000004776	1
ENSG00000004838	1
ENSG00000004846	1
ENSG00000005513	1
ENSG00000007312	1
ENSG00000007314	1
ENSG00000007402	1
ENSG00000013297	1
ENSG00000013725	1
ENSG00000022267	1
ENSG00000026751	1
ENSG00000027869	1
ENSG00000034971	1
ENSG00000035720	1
ENSG00000046653	1
ENSG00000048462	1
ENSG00000049249	1
ENSG00000049768	1
ENSG00000050730	1
ENSG00000054598	1
ENSG00000064787	1
ENSG00000065371	1
ENSG00000065675	1
ENSG00000072858	1
ENSG00000073792	1
ENSG00000073861	1
ENSG00000074410	1
ENSG00000076662	1
ENSG00000077984	1
ENSG00000078081	1
ENSG00000078549	1
ENSG00000078589	1
ENSG00000078596	1
ENSG00000079102	1
ENSG00000079263	1
ENSG00000081985	1
ENSG00000085265	1
ENSG00000089012	1
ENSG00000090889	1
ENSG00000091704	1
ENSG00000091831	1
ENSG00000094755	1
ENSG00000096996	1
ENSG00000100079	1
ENSG00000100142	1
ENSG00000100298	1
ENSG00000100351	1
ENSG00000100385	1
ENSG00000100450	1
ENSG00000100453	1
ENSG00000100583	1
ENSG00000100628	1
ENSG00000100721	1
ENSG00000101082	1
ENSG00000101280	1
ENSG00000101311	1
ENSG00000101349	1
ENSG00000101445	1
ENSG00000101605	1
ENSG00000101871	1
ENSG00000101916	1
ENSG00000101938	1
ENSG00000101955	1
ENSG00000102010	1
ENSG00000102243	1
ENSG00000102245	1
ENSG00000103355	1
ENSG00000103522	1
ENSG00000103546	1
ENSG00000103647	1
ENSG00000104044	1
ENSG00000104332	1
ENSG00000104888	1
ENSG00000104921	1
ENSG00000105246	1
ENSG00000105369	1
ENSG00000105374	1
ENSG00000105926	1
ENSG00000106123	1
ENSG00000106541	1
ENSG00000106714	1
ENSG00000108001	1
ENSG00000108176	1
ENSG00000108381	1
ENSG00000109684	1
ENSG00000109846	1
ENSG00000109943	1
ENSG00000110448	1
ENSG00000110665	1
ENSG00000110777	1
ENSG00000110848	1
ENSG00000111537	1
ENSG00000111728	1
ENSG00000111796	1
ENSG00000111913	1
ENSG00000112195	1
ENSG00000113088	1
ENSG00000113263	1
ENSG00000113302	1
ENSG00000114547	1
ENSG00000115085	1
ENSG00000115353	1
ENSG00000115523	1
ENSG00000115593	1
ENSG00000115607	1
ENSG00000115648	1
ENSG00000116194	1
ENSG00000116678	1
