start_position	Occurance
40771648	2
15778275	1
35754569	1
50341110	1
20615207	1
981808	1
63928740	1
63938554	1
50362799	1
170418865	1
60971680	1
136146702	1
160739057	1
156806243	1
171635417	1
67558728	1
13771031	1
11965107	1
7915894	1
49250436	1
121131408	1
1609972	1
53936777	1
123968521	1
6427143	1
113532296	1
185643739	1
47733244	1
63321378	1
10333776	1
24949230	1
183122213	1
31052461	1
78945332	1
79360384	1
91954967	1
230203110	1
67307364	1
134905890	1
1629152	1
70290090	1
130380339	1
151656691	1
170763350	1
18058995	1
37570246	1
37952607	1
39097224	1
39901082	1
37125838	1
24606480	1
24630954	1
77376689	1
93934153	1
95709967	1
36612318	1
869899	1
6074845	1
9537389	1
38805705	1
3066807	1
10445310	1
12906620	1
110673856	1
38149336	1
15464246	1
136532152	1
136648193	1
2783953	1
27402162	1
55655604	1
68578969	1
27754875	1
41261958	1
49429401	1
7688758	1
4229498	1
41877120	1
51371606	1
24573268	1
142855061	1
16791811	1
39072767	1
129835283	1
67796665	1
3472374	1
10486395	1
111908565	1
122838500	1
61102395	1
2295645	1
111352252	1
9752486	1
68154768	1
22063773	1
9594551	1
24804281	1
41190277	1
55024253	1
157142933	1
159314783	1
125969144	1
97713560	1
75046463	1
85685175	1
88067780	1
102418689	1
237485428	1
178849705	1
65420652	1
186828953	1
116754385	1
160608100	1
20111939	1
172659018	1
209686178	1
211658657	1
135181315	1
158696892	1
74722495	1
106063246	1
23385217	1
60450520	1
101825974	1
151494030	1
12063377	1
46353734	1
129738974	1
203765176	1
160830160	1
160796074	1
34957608	1
7559270	1
59123381	1
57603846	1
99254714	1
6661253	1
3172346	1
35902480	1
40553769	1
153902531	1
23752743	1
16922915	1
57953424	1
37589984	1
115804733	1
11538717	1
17249176	1
39902275	1
16174649	1
42851184	1
8945867	1
161706972	1
7074537	1
157745733	1
26755200	1
15703172	1
10556966	1
113813811	1
6010689	1
47332147	1
78297143	1
55684568	1
54948018	1
55720367	1
144150526	1
230907318	1
130836916	1
126614443	1
6215786	1
35649295	1
44158811	1
391739	1
110577042	1
77979542	1
191029576	1
122610108	1
76001275	1
6444867	1
53191318	1
37595847	1
76993359	1
79960889	1
88877288	1
89209869	1
47831627	1
68867292	1
168540765	1
