#SOURCE	#TARGET	#INTENSITY	#CORR_COEFF
1	3	-1.0	-0.534152146167659
1	4	-1.0	-0.580463776454299
1	5	-1.0	-0.53631890408348
1	6	-1.0	-0.537284179121618
1	10	-1.0	-0.471357974624035
1	11	-1.0	-0.571176602909908
1	12	-1.0	-0.577463240965536
1	13	-1.0	-0.540977655365259
1	15	-1.0	-0.586310260504113
1	16	-1.0	-0.568761057057257
1	18	-1.0	-0.567763639886483
1	20	-1.0	-0.572806259056684
1	21	-1.0	-0.592741040863776
1	24	-1.0	-0.538760432356932
1	25	-1.0	-0.586791360170685
1	29	-1.0	-0.599873885016519
1	32	-1.0	-0.546472341323038
1	34	-1.0	-0.509666866781248
1	35	-1.0	-0.535475262653668
1	37	-1.0	-0.594554182261974
1	38	-1.0	-0.554771563855087
1	39	-1.0	-0.595142672510056
1	40	-1.0	-0.590076679630314
1	42	-1.0	-0.591852651147498
1	43	-1.0	-0.596765000263012
1	45	-1.0	-0.569472703130312
1	47	-1.0	-0.503417384040019
1	48	-1.0	-0.562079633269807
1	53	-1.0	-0.520832165193183
1	58	-1.0	-0.570935469062047
1	62	-1.0	-0.583757903057525
1	65	-1.0	-0.585298420362764
1	67	-1.0	-0.501140035235232
1	68	-1.0	-0.591774787440348
1	69	-1.0	-0.542772168856942
1	74	-1.0	-0.593724464845759
1	75	-1.0	-0.540606103102468
1	76	-1.0	-0.578319074579978
3	78	-1.0	-0.55039318345694
5	78	-1.0	-0.5730150277627
6	78	-1.0	-0.548784317121089
10	78	-1.0	-0.52254302319973
11	78	-1.0	-0.58629395341027
13	78	-1.0	-0.578263992462438
16	78	-1.0	-0.588158221841365
78	18	-1.0	-0.59048020620021
78	20	-1.0	-0.56047333049998
78	32	-1.0	-0.567003829143668
78	34	-2.0	-0.548632583319743
78	35	-1.0	-0.542226358741972
78	38	-1.0	-0.576103875494876
78	47	-1.0	-0.526543141408078
78	48	-1.0	-0.59322016277674
78	52	-1.0	-0.597237121790502
78	53	-1.0	-0.557169994073088
78	62	-1.0	-0.585965784447347
78	67	-1.0	-0.540231878970597
78	69	-1.0	-0.56693756061327
78	75	-1.0	-0.551297154473692
