EntrezID.1	Occurance
ND	17
2296	1
51364	1
9254	1
8537	1
54847	1
771	1
2099	1
161394	1
10551	1
56521	1
79083	1
4602	1
80129	1
3169	1
27202	1
4010	1
319089	1
90506	1
161835	1
7033	1
7031	1
138162	1
92291	1
7802	1
123099	1
83657	1
367	1
155465	1
222171	1
2066	1
3767	1
79875	1
399717	1
80736	1
402160	1
196993	1
101927126	1
145837	1
201853	1
102723344	1
54763	1
10644	1
4281	1
51442	1
6530	1
6422	1
51678	1
6489	1
5321	1
53335	1
29968	1
50649	1
145864	1
6769	1
1956	1
135295	1
140578	1
91133	1
5806	1
84002	1
56963	1
8326	1
100188953	1
109729180	1
102724344	1
101927703	1
5435	1
260429	1
152015	1
419	1
57348	1
93273	1
441178	1
100874156	1
727677	1
100874250	1
107985816	1
3595	1
2568	1
4948	1
2051	1
255426	1
2019	1
7368	1
81706	1
102723505	1
101929344	1
400618	1
107075247	1
1410	1
5918	1
146433	1
5152	1
6285	1
100507347	1
390010	1
100506795	1
439949	1
8190	1
101669762	1
22866	1
2824	1
55612	1
79937	1
140803	1
23349	1
2835	1
5995	1
2047	1
137835	1
388939	1
101929596	1
30812	1
118611	1
9542	1
100529262	1
24137	1
126393	1
340273	1
2273	1
117	1
862	1
1357	1
51378	1
8736	1
8406	1
660	1
10391	1
57030	1
443	1
9068	1
3953	1
80760	1
8854	1
1036	1
1264	1
117248	1
8639	1
4629	1
10894	1
57569	1
54810	1
10351	1
25891	1
80332	1
6327	1
10350	1
23460	1
10349	1
11096	1
5745	1
146894	1
256691	1
79987	1
2277	1
220296	1
762	1
3489	1
7148	1
8436	1
4881	1
345275	1
116535	1
27129	1
6330	1
221091	1
4081	1
92293	1
128553	1
56849	1
5138	1
219348	1
222698	1
440738	1
572558	1
101928555	1
284825	1
100507098	1
101927740	1
105377441	1
728264	1
100127983	1
105375706	1
5348	1
6358	1
338328	1
101929127	1
4751	1
