ensembl_gene_id	Occurance
ENSG00000054598	1
ENSG00000004838	1
ENSG00000007402	1
ENSG00000064787	1
ENSG00000072858	1
ENSG00000074410	1
ENSG00000091831	1
ENSG00000100583	1
ENSG00000106541	1
ENSG00000108176	1
ENSG00000115648	1
ENSG00000118513	1
ENSG00000120262	1
ENSG00000129514	1
ENSG00000134830	1
ENSG00000136944	1
ENSG00000139865	1
ENSG00000141294	1
ENSG00000150667	1
ENSG00000160180	1
ENSG00000160182	1
ENSG00000160345	1
ENSG00000162949	1
ENSG00000163879	1
ENSG00000168350	1
ENSG00000168589	1
ENSG00000169083	1
ENSG00000173467	1
ENSG00000176532	1
ENSG00000178568	1
ENSG00000187486	1
ENSG00000187720	1
ENSG00000197308	1
ENSG00000204385	1
ENSG00000206113	1
ENSG00000223813	1
ENSG00000225362	1
ENSG00000227038	1
ENSG00000230393	1
ENSG00000230882	1
ENSG00000245750	1
ENSG00000248360	1
ENSG00000254231	1
ENSG00000259459	1
ENSG00000065371	1
ENSG00000073792	1
ENSG00000101871	1
ENSG00000102243	1
ENSG00000103546	1
ENSG00000104332	1
ENSG00000105926	1
ENSG00000111728	1
ENSG00000116711	1
ENSG00000119866	1
ENSG00000135069	1
ENSG00000136002	1
ENSG00000140511	1
ENSG00000144681	1
ENSG00000146648	1
ENSG00000154548	1
ENSG00000154645	1
ENSG00000154655	1
ENSG00000163661	1
ENSG00000176597	1
ENSG00000182175	1
ENSG00000188763	1
ENSG00000225194	1
ENSG00000228649	1
ENSG00000261175	1
ENSG00000280916	1
ENSG00000100142	1
ENSG00000103355	1
ENSG00000114547	1
ENSG00000156219	1
ENSG00000167614	1
ENSG00000186007	1
ENSG00000203688	1
ENSG00000224853	1
ENSG00000246228	1
ENSG00000257271	1
ENSG00000258910	1
ENSG00000081985	1
ENSG00000094755	1
ENSG00000104044	1
ENSG00000106123	1
ENSG00000146090	1
ENSG00000163064	1
ENSG00000174607	1
ENSG00000198729	1
ENSG00000228639	1
ENSG00000231817	1
ENSG00000234899	1
ENSG00000253348	1
ENSG00000259374	1
ENSG00000109846	1
ENSG00000118849	1
ENSG00000157368	1
ENSG00000160191	1
ENSG00000160307	1
ENSG00000204446	1
ENSG00000229124	1
ENSG00000229544	1
ENSG00000231768	1
ENSG00000237943	1
ENSG00000261857	1
ENSG00000281406	1
ENSG00000149970	1
ENSG00000278928	1
ENSG00000046653	1
ENSG00000101311	1
ENSG00000106714	1
ENSG00000119121	1
ENSG00000122733	1
ENSG00000132975	1
ENSG00000148604	1
ENSG00000154928	1
ENSG00000165071	1
ENSG00000179066	1
ENSG00000179270	1
ENSG00000231367	1
ENSG00000254607	1
ENSG00000005513	1
ENSG00000154493	1
ENSG00000158458	1
ENSG00000226329	1
ENSG00000268496	1
ENSG00000268975	1
ENSG00000090889	1
ENSG00000004776	1
ENSG00000004846	1
ENSG00000022267	1
ENSG00000078549	1
ENSG00000079102	1
ENSG00000091704	1
ENSG00000101280	1
ENSG00000101605	1
ENSG00000101955	1
ENSG00000102010	1
ENSG00000103647	1
ENSG00000104888	1
ENSG00000108381	1
ENSG00000116194	1
ENSG00000116678	1
ENSG00000123243	1
ENSG00000128918	1
ENSG00000129596	1
ENSG00000130176	1
ENSG00000131386	1
ENSG00000131471	1
ENSG00000133392	1
ENSG00000133800	1
ENSG00000137727	1
ENSG00000137960	1
ENSG00000141338	1
ENSG00000149090	1
ENSG00000149451	1
ENSG00000149575	1
ENSG00000154258	1
ENSG00000154262	1
ENSG00000154263	1
ENSG00000154736	1
ENSG00000160801	1
ENSG00000161649	1
ENSG00000165072	1
ENSG00000165124	1
ENSG00000165197	1
ENSG00000165478	1
ENSG00000167434	1
ENSG00000167779	1
ENSG00000168477	1
ENSG00000168497	1
ENSG00000169418	1
ENSG00000170509	1
ENSG00000172935	1
ENSG00000173641	1
ENSG00000177098	1
ENSG00000177363	1
ENSG00000180660	1
ENSG00000181234	1
ENSG00000182463	1
ENSG00000182916	1
ENSG00000186642	1
ENSG00000189129	1
ENSG00000189134	1
ENSG00000197769	1
ENSG00000224958	1
ENSG00000227467	1
ENSG00000231246	1
ENSG00000232079	1
ENSG00000241684	1
ENSG00000245812	1
ENSG00000248869	1
ENSG00000249669	1
ENSG00000253250	1
ENSG00000253434	1
ENSG00000261625	1
ENSG00000266964	1
ENSG00000276409	1
ENSG00000277494	1
ENSG00000277631	1
ENSG00000277737	1
ENSG00000279118	1
ENSG00000279204	1
ENSG00000280339	1
ENSG00000117650	1
