start_position	Occurance
40771648	2
1609972	1
50341110	1
50362799	1
53936777	1
113532296	1
63321378	1
151656691	1
77376689	1
16791811	1
67796665	1
237485428	1
135181315	1
151494030	1
37589984	1
47332147	1
126614443	1
37595847	1
47831627	1
39588357	1
42311667	1
42362282	1
135495181	1
30722771	1
37556919	1
100143957	1
80540734	1
67544032	1
16859405	1
29563811	1
211375717	1
17385859	1
71096952	1
8050450	1
31863192	1
2418974	1
29514225	1
71110244	1
76090431	1
100104919	1
76071469	1
69463026	1
14470465	1
86333274	1
63390136	1
123968521	1
185643739	1
10445310	1
136532152	1
55655604	1
41261958	1
24573268	1
22063773	1
186828953	1
60450520	1
78297143	1
130836916	1
88877288	1
36380344	1
55019021	1
89095959	1
17901263	1
5954706	1
157436789	1
183253244	1
93035273	1
73433783	1
96019724	1
22854178	1
86710122	1
1605531	1
37952607	1
2783953	1
125969144	1
76011184	1
54415219	1
205381378	1
167679626	1
73413473	1
127289817	1
126543947	1
118766965	1
67307364	1
170763350	1
27754875	1
142855061	1
180100791	1
118842171	1
114598455	1
150143076	1
72021851	1
46455132	1
72034107	1
170747047	1
103139675	1
111908565	1
158696892	1
70579895	1
42653636	1
46598962	1
87148644	1
17214239	1
124445239	1
234527891	1
6580419	1
205434886	1
21372801	1
55704119	1
13771031	1
6074845	1
39072767	1
74722495	1
34957608	1
26755200	1
84245053	1
134597801	1
132685007	1
35090930	1
29060976	1
38406719	1
126652852	1
981808	1
126424997	1
139846779	1
22863874	1
54434183	1
70290090	1
35754569	1
20615207	1
136146702	1
31052461	1
91954967	1
130380339	1
869899	1
3066807	1
38149336	1
15464246	1
68578969	1
49429401	1
3472374	1
178849705	1
65420652	1
7559270	1
57953424	1
115804733	1
11538717	1
16174649	1
42851184	1
15703172	1
10556966	1
110577042	1
77979542	1
68867292	1
35431823	1
3667965	1
118161951	1
68974488	1
69078702	1
69147214	1
26917912	1
46877746	1
43847148	1
70043581	1
110365251	1
15345591	1
124919193	1
60149936	1
53097436	1
32041153	1
191834302	1
153678637	1
87303789	1
69004395	1
16014028	1
118133377	1
62686402	1
35474182	1
128267403	1
52972407	1
103330196	1
72576141	1
80131682	1
28259320	1
241995490	1
68355189	1
72570660	1
112177234	1
28048404	1
64684909	1
159100483	1
136796722	1
149406689	1
90958637	1
111376639	1
69000765	1
35138808	1
35983291	1
143213193	1
72674	1
43109866	1
126496279	1
159106380	1
86908990	1
211658657	1
