EntrezID.2	Occurance
ND	64
340273	1
126393	1
2273	1
117	1
862	1
1357	1
51378	1
8736	1
8406	1
660	1
10391	1
57030	1
443	1
9068	1
3953	1
80760	1
8854	1
1036	1
1264	1
117248	1
8639	1
4629	1
10894	1
57569	1
54810	1
10351	1
25891	1
80332	1
6327	1
10350	1
23460	1
10349	1
11096	1
5745	1
146894	1
256691	1
79987	1
2277	1
220296	1
762	1
3489	1
7148	1
8436	1
4881	1
345275	1
116535	1
27129	1
6330	1
221091	1
4081	1
92293	1
128553	1
56849	1
5138	1
219348	1
222698	1
440738	1
572558	1
101928555	1
284825	1
100507098	1
101927740	1
105377441	1
728264	1
100127983	1
105375706	1
5348	1
6358	1
338328	1
101929127	1
6329	1
4653	1
253738	1
30819	1
554	1
83878	1
3679	1
5959	1
1393	1
10249	1
7102	1
6886	1
7123	1
64321	1
364	1
153579	1
374864	1
286133	1
84913	1
375719	1
124	1
100131825	1
338872	1
100862662	1
974	1
952	1
923	1
57823	1
9047	1
26228	1
3604	1
50943	1
79931	1
5588	1
30009	1
3385	1
8530	1
27074	1
27334	1
11262	1
2219	1
55423	1
3594	1
3957	1
164668	1
9402	1
3560	1
2999	1
3002	1
51676	1
8115	1
84174	1
26051	1
51311	1
959	1
50615	1
2208	1
10148	1
973	1
4818	1
116449	1
56253	1
921	1
29125	1
5450	1
969	1
3458	1
3820	1
9750	1
79865	1
3003	1
3702	1
3593	1
7535	1
10578	1
8807	1
914	1
6504	1
26279	1
356	1
943	1
729230	1
54900	1
51744	1
4063	1
128611	1
81030	1
2841	1
8740	1
8698	1
10870	1
1236	1
96597	1
3620	1
84824	1
10462	1
79368	1
26191	1
3559	1
9840	1
27240	1
3662	1
6775	1
59067	1
4283	1
939	1
3695	1
9051	1
597	1
6846	1
83416	1
5778	1
51316	1
3001	1
256380	1
84636	1
3561	1
9046	1
10666	1
55024	1
10225	1
925	1
115362	1
931	1
653361	1
56833	1
53347	1
120425	1
917	1
643	1
1234	1
115352	1
22806	1
2672	1
114836	1
8320	1
50852	1
115350	1
149628	1
9447	1
1493	1
29851	1
154075	1
654817	1
5579	1
150365	1
124460	1
915	1
199786	1
126259	1
5368	1
3575	1
1043	1
926	1
10663	1
1521	1
387357	1
6363	1
165631	1
2829	1
924	1
81793	1
7634	1
29909	1
374403	1
257101	1
3738	1
930	1
79413	1
940	1
2529	1
5551	1
343413	1
201633	1
654816	1
1233	1
4068	1
5148	1
283897	1
151888	1
2833	1
129293	1
164118	1
5133	1
6402	1
169355	1
441168	1
1269	1
389643	1
5079	1
55340	1
3004	1
170482	1
919	1
916	1
158830	1
259197	1
100506736	1
6984	1
28606	1
28617	1
28586	1
28602	1
28601	1
28610	1
28592	1
28609	1
28614	1
28616	1
28568	1
28567	1
28563	1
28639	1
28560	1
28559	1
28629	1
28622	1
28638	1
28691	1
28690	1
28689	1
28688	1
6956	1
28685	1
28676	1
28674	1
28684	1
28683	1
28671	1
28673	1
28682	1
28670	1
28669	1
28677	1
28672	1
28680	1
28667	1
28666	1
28664	1
28663	1
28662	1
28661	1
28660	1
28518	1
28659	1
28658	1
28657	1
28655	1
28647	1
28646	1
28640	1
102724714	1
100462772	1
28620	1
9834	1
4049	1
100505746	1
4050	1
107985688	1
28611	1
28558	1
100128420	1
101927412	1
101927156	1
114614	1
286442	1
100507612	1
28619	1
442197	1
100188949	1
23495	1
3112	1
28581	1
285972	1
100130231	1
100996286	1
100507195	1
28594	1
387751	1
105369723	1
497189	1
101060038	1
28692	1
645744	1
200298	1
6689	1
6352	1
101929623	1
105377006	1
28577	1
28573	1
28583	1
28574	1
28569	1
28572	1
28576	1
28589	1
6753	1
100506776	1
29802	1
28644	1
28642	1
400759	1
100996941	1
344697	1
101929531	1
28557	1
28566	1
9760	1
439949	1
9452	1
7512	1
4311	1
196047	1
608	1
221188	1
114818	1
85480	1
1756	1
101927524	1
101929423	1
2824	1
30812	1
2296	1
54763	1
2568	1
5435	1
4281	1
51442	1
6530	1
4948	1
6422	1
51678	1
79937	1
1410	1
6489	1
152015	1
5321	1
53335	1
765	1
2835	1
50649	1
145864	1
6769	1
255426	1
1956	1
22866	1
118611	1
135295	1
140578	1
91133	1
2047	1
5152	1
6285	1
5806	1
57348	1
3400	1
7368	1
84002	1
388939	1
56963	1
399694	1
93273	1
401535	1
100188953	1
102723505	1
109729180	1
101929596	1
100506795	1
101929344	1
400618	1
727677	1
102724344	1
8190	1
101927703	1
419	1
116173	1
23336	1
441178	1
101929427	1
100874250	1
64788	1
100529262	1
102724233	1
28478	1
10644	1
3595	1
55612	1
260429	1
2051	1
5918	1
140803	1
23349	1
29968	1
5995	1
146433	1
9542	1
2019	1
137835	1
285676	1
8326	1
81706	1
150771	1
100874156	1
100507347	1
390010	1
107985816	1
107075247	1
101669762	1
6017	1
122664	1
102723854	1
3290	1
8676	1
56978	1
225	1
101928767	1
91851	1
6869	1
90865	1
1776	1
79442	1
158326	1
4239	1
100131176	1
6512	1
145581	1
55384	1
84417	1
60495	1
3201	1
6581	1
100132116	1
134466	1
84281	1
6263	1
