end_position	Occurance
20777038	1
35758079	1
136211359	1
31111479	1
92103286	1
130388114	1
916317	1
3220108	1
38220924	1
15556529	1
68727806	1
49442360	1
3503419	1
178871052	1
65641559	1
7666998	1
58497866	1
115816954	1
11550323	1
16231992	1
42858130	1
15857033	1
10611689	1
110713189	1
78138449	1
68955392	1
35530300	1
3682246	1
118176673	1
69061064	1
69141888	1
69244846	1
26966513	1
46903799	1
43863629	1
70226970	1
110579880	1
15384376	1
124936412	1
60170899	1
53102345	1
32115334	1
191847255	1
153693992	1
87322906	1
69013409	1
16019594	1
118152888	1
62689899	1
35477209	1
128707915	1
53495330	1
103332326	1
72674591	1
80145359	1
28260958	1
241999073	1
68357852	1
72573229	1
112360528	1
28137611	1
65053439	1
159117478	1
137212799	1
149432835	1
90985257	1
111756826	1
69002048	1
35143109	1
35987004	1
143217170	1
88826	1
43125905	1
126498604	1
159108617	1
86912238	1
63972918	1
171652683	1
129963841	1
101843920	1
153907166	1
17282786	1
55716043	1
55724705	1
76981158	1
58731974	1
38688920	1
47232220	1
45036071	1
54460888	1
33402682	1
181061523	1
33441101	1
27992727	1
85788066	1
63333091	1
99291028	1
159207973	1
24322535	1
126210169	1
67065268	1
63932354	1
15853230	1
61020377	1
160754821	1
156816862	1
67607337	1
7943165	1
49264826	1
121227466	1
6580301	1
47746119	1
10339823	1
24959928	1
183163839	1
78961954	1
230313215	1
134917963	1
1657779	1
18098944	1
37582616	1
39104067	1
39973721	1
37175054	1
24609699	1
24634267	1
93976791	1
95714196	1
36646216	1
38923024	1
12923169	1
136660390	1
27452042	1
7702146	1
4237531	1
41881372	1
51372715	1
10684865	1
122872639	1
61127852	1
2303049	1
111455630	1
9760901	1
68159747	1
9607886	1
25042170	1
41201194	1
55034570	1
157255191	1
159330887	1
97739862	1
85698854	1
102452565	1
116769228	1
160647295	1
20119566	1
172666874	1
12144207	1
46360928	1
203776233	1
160862855	1
160828261	1
59259113	1
57620576	1
99261744	1
6670588	1
3180332	1
35904377	1
40565472	1
16934839	1
39928444	1
161714352	1
7080307	1
157777132	1
113871759	1
6062370	1
54984746	1
35650950	1
411447	1
191151596	1
122621069	1
76007488	1
6451718	1
53207307	1
77037332	1
79971446	1
168543997	1
157552520	1
202161588	1
83137075	1
55110252	1
107824317	1
79175315	1
71112108	1
21913860	1
69961803	1
102074812	1
111665750	1
86808396	1
89272804	1
60470760	1
74789315	1
159837249	1
42447681	1
118225094	1
118355161	1
118897799	1
46376206	1
157700857	1
39864188	1
92486876	1
160523262	1
27722711	1
108855005	1
157820105	1
158977054	1
159147096	1
203873965	1
203961577	1
130365425	1
75172044	1
24220611	1
41799456	1
50681353	1
118342744	1
17553839	1
4302431	1
28343355	1
35879603	1
26320523	1
86861924	1
45948353	1
65883741	1
127918631	1
34691277	1
122639047	1
46027742	1
82317602	1
38782990	1
114237578	1
151203201	1
67410089	1
26374522	1
110675033	1
28939346	1
111595443	1
203738912	1
137033010	1
70602775	1
159816251	1
114310288	1
73235945	1
32956349	1
124373197	1
81663112	1
29746006	1
112499561	1
71618517	1
84907008	1
156586770	1
241858908	1
169711698	1
40016391	1
116463779	1
23913362	1
28083871	1
37034185	1
150750033	1
549924	1
7751605	1
167518610	1
118316175	1
71106788	1
31592985	1
35537861	1
38300322	1
142328786	1
142313666	1
142392412	1
142451448	1
142470013	1
142483019	1
142492673	1
142500534	1
142321544	1
142345985	1
142619532	1
142627399	1
142657213	1
142793368	1
142715861	1
142721160	1
142796414	1
142797502	1
142802748	1
21712843	1
21724321	1
21736982	1
21749705	1
21769080	1
21797886	1
21826075	1
21841774	1
21847221	1
21853006	1
21869365	1
21888502	1
21895030	1
21918756	1
21924651	1
21941657	1
21966061	1
21979120	1
21990938	1
21998168	1
22008181	1
22041153	1
22053056	1
22071208	1
22086961	1
22096619	1
22105846	1
22113031	1
22124285	1
22148633	1
22222475	1
22227254	1
22320691	1
207667024	1
116775623	1
39092855	1
142301432	1
105932642	1
31574324	1
44929678	1
31582522	1
71198175	1
142463581	1
53368245	1
142740894	1
136642429	1
80646788	1
181409321	1
25575168	1
39327362	1
74259976	1
37646698	1
64329504	1
142309048	1
29557721	1
30377145	1
16972118	1
32820466	1
142434394	1
150448140	1
125951249	1
152104720	1
68451663	1
142455635	1
6746439	1
31887203	1
135452399	1
10558049	1
21643578	1
110657040	1
29748299	1
44960909	1
40527002	1
35510270	1
35499175	1
41555462	1
17779481	1
50431313	1
35880793	1
108138610	1
27714005	1
142560931	1
142588359	1
142544685	1
142536292	1
142616415	1
142593473	1
142564245	1
142529762	1
37212322	1
107700218	1
38378804	1
23754468	1
22272563	1
22304553	1
89426243	1
122689156	1
39335939	1
7730705	1
142813399	1
142637384	1
59119208	1
6616452	1
79367667	1
129769538	1
155183729	1
117545068	1
23019335	1
11968068	1
57591681	1
23708611	1
111078024	1
33339441	1
42741758	1
15695491	1
89466398	1
13938638	1
986979	1
1613897	1
123992178	1
170814047	1
38041915	1
10833654	1
136556807	1
55706192	1
28099358	1
41309497	1
24694193	1
39288315	1
111923722	1
22437041	1
125983454	1
186988981	1
60555154	1
8975092	1
26760785	1
131047263	1
88895626	1
36548007	1
180209153	1
55211628	1
21654695	1
126670446	1
89118081	1
18267373	1
6415237	1
135260467	1
42775509	1
46605208	1
157443628	1
54436900	1
19840684	1
114678224	1
183298504	1
29074261	1
93089204	1
48963444	1
205457091	1
87159556	1
96027993	1
72034092	1
22861579	1
38515740	1
234531779	1
46515958	1
72237203	1
127482139	1
100874369	1
86742083	1
40777490	1
54434665	1
1606079	1
76112802	1
23379772	1
99135593	1
167696290	1
126682104	1
126610948	1
21029271	1
981596	1
40796943	1
65053017	1
105863465	1
185825056	1
67397090	1
6123544	1
2787948	1
142871094	1
158732696	1
74888094	1
34982544	1
78330093	1
84259960	1
70660682	1
140043299	1
118847678	1
132760712	1
178966433	1
35113664	1
73436120	1
150250357	1
96330517	1
73661891	1
14357908	1
22881350	1
17229985	1
124450184	1
170788650	1
118835110	1
103141959	1
55706422	1
205437879	1
89221751	1
21036276	1
43039547	1
209734950	1
144188370	1
80204329	1
39619751	1
86129778	1
110795819	1
75199700	1
6257983	1
58214697	1
46580099	1
14910995	1
19387240	1
151413354	1
53142632	1
41904549	1
100861031	1
106078159	1
99235862	1
27130799	1
160452581	1
88940820	1
150946289	1
190203484	1
33866121	1
88113387	1
9839041	1
44184402	1
105982092	1
42740254	1
70931125	1
167874041	1
19815278	1
124478589	1
8769628	1
7706421	1
155217078	1
103276872	1
3935813	1
234462127	1
104705509	1
155209027	1
61437547	1
46428951	1
53914712	1
15792717	1
147737547	1
69494513	1
496118	1
170454733	1
26717537	1
151410727	1
87002033	1
230961066	1
5571254	1
26163962	1
19274194	1
19289250	1
24174494	1
25501958	1
41875997	1
218033660	1
218129952	1
116672739	1
116670264	1
19047684	1
19134423	1
6938897	1
56029981	1
178378220	1
1666640	1
76977210	1
49863660	1
76242301	1
145961536	1
145963623	1
233741957	1
100944364	1
78359746	1
14928060	1
11316187	1
11333595	1
8053484	1
31879046	1
2462942	1
29563670	1
71115500	1
14888169	1
86343314	1
63438320	1
37566857	1
100160163	1
80550760	1
67730619	1
16881987	1
29567295	1
212538841	1
17389331	1
71783383	1
76108779	1
100107504	1
76074963	1
69843120	1
100142739	1
37596059	1
47347327	1
126701032	1
38041442	1
47837713	1
39782830	1
42315651	1
42366594	1
135501734	1
30820542	1
54070594	1
50346852	1
63382161	1
152129619	1
16833433	1
67838166	1
237555318	1
135219173	1
151621193	1
50504244	1
113629578	1
77391497	1
23569657	1
23630075	1
46260606	1
46245044	1
45602340	1
13562918	1
13240413	1
149094462	1
35256605	1
63087322	1
156644887	1
156661424	1
211675630	1
70420832	1
13480673	1
20593154	1
3102272	1
19694606	1
2934771	1
19077416	1
19606274	1
2982506	1
159588865	1
116823306	1
113276581	1
113278950	1
56478065	1
56500666	1
87746683	1
21552711	1
37473977	1
37306333	1
27161319	1
72104209	1
117675144	1
162047567	1
28214559	1
84679842	1
41426504	1
87750313	1
87802028	1
114419875	1
100974880	1
100943524	1
100981075	1
173920796	1
73395133	1
73417569	1
