nearestGeneSymbol	Occurance
NCOR2	20
SLC44A4	17
DDR1	15
LOC100506585	15
TFAP2A-AS1	13
GRB7	13
KRT8	12
CMYA5	11
TBX3	11
PHKG1	11
IRX3	10
PSMB8	10
PDZRN3	9
LOC100129534	9
SHANK2-AS3	9
FERMT3	9
AFF3	9
PTPN6	9
SPINT2	9
PAX8-AS1	9
LPP	8
SEPTIN9	8
GADD45B	8
TNK1	8
MCF2L	8
SLC44A2	8
FANCF	8
NUDT16P1	8
TSTD1	7
SYTL1	7
TEF	7
FOXA1	7
TFAP2A	7
BUB3	7
AGAP2-AS1	7
KLF6	7
CLDN4	7
ZNF750	7
SSH3	7
LMNA	7
WWP2	6
PSD4	6
TNKS1BP1	6
DRAIC	6
CDH1	6
NR2F6	6
CSNK1E	6
ST14	6
KLHDC4	6
TBCD	6
LAMB2	6
EPHB3	6
FZD7	6
SH2B2	6
TNRC6C	6
LOC648987	6
SNORA38	6
JARID2	6
CBX4	6
EIF4EBP1	6
CFAP45	5
HCCAT5	5
SSTR5-AS1	5
FOXP4	5
CDC42EP4	5
NUDT16L1	5
ESRP2	5
KIAA0040	5
ATP6V0E2	5
SUOX	5
SOX10	5
MAP3K6	5
LNX1	5
CACNG3	5
SH3TC2	5
MUC5B	5
TET3	5
RHOF	5
PRMT8	5
TFF1	5
OAT	5
RILP	5
THBS1	5
RFLNA	5
MIRLET7BHG	5
C16orf54	5
DIP2C	5
TSPOAP1-AS1	5
IRF2BPL	5
LTA	5
NECTIN4	5
TNFSF13	5
TBXAS1	5
MIR4757	5
SNORA59B	5
TNS3	5
AGAP2	5
LINC01101	5
CTNND1	5
TAGLN	5
CTBP2	5
DNALI1	5
STOX2	5
LTBR	5
FOXC1	5
EPOP	5
ZNF662	5
JAG1	5
LOC339803	5
FBXO38	5
FOXD2	5
C19orf33	5
S100A13	4
CLSTN1	4
TBC1D10C	4
PRR5L	4
KRT80	4
ZNF469	4
MIR200C	4
LOC100132215	4
LIME1	4
NAV2	4
C1orf210	4
SULT2B1	4
MTMR11	4
CASZ1	4
RAB17	4
ITGB2	4
LBX1-AS1	4
CRB3	4
HCAR1	4
PARD3	4
TRERF1	4
GRHL2	4
SLC39A13	4
IQSEC1	4
B3GNTL1	4
ND	4
GRAMD2B	4
DNAH3	4
TLE3	4
CSTB	4
VARS2	4
RPTOR	4
SORBS1	4
SNX10	4
PTPRCAP	4
SIPA1L2	4
RARA	4
SPN	4
ECE1	4
MTG1	4
MAFK	4
TCF7L2	4
PRSS8	4
RASA3	4
LINC00311	4
MIR4648	4
ANKMY1	4
PRR34	4
SLC25A33	4
INPP5J	4
ELF3	4
LYPD3	4
PWWP3A	4
SLC26A1	4
ZMIZ1	4
PITRM1	4
VAMP8	4
TMPRSS5	4
SLC9A3R1	4
ZFP36L1	4
TNS1	4
EDN2	4
ELF5	4
C11orf21	4
ARHGEF1	4
LMF1	4
ZNF414	4
GATD3A	4
CUX1	4
FCHO1	4
SYNJ2	4
MYO1G	4
HSPB1	4
SELENBP1	4
CYB561	4
ELMO3	4
PRICKLE1	4
ALDH3B2	4
LEMD2	4
NFIA	4
AGTRAP	4
SPINT1	4
C10orf82	4
S100P	4
GNMT	4
TAP2	4
ALDOC	4
EHD1	4
EXT1	4
MSH5-SAPCD1	4
ITPRIP	4
CCDC149	4
NOTCH3	4
ESRP1	4
MIR595	4
SIK2	4
TMEM243	4
SDR42E1	4
CKLF-CMTM1	4
AK4	4
TNRC18P1	4
MKRN3	4
HIST1H1E	4
WDR54	4
ZDHHC13	4
PDZK1	4
CFAP46	4
LINC00857	4
SGSM3	4
IL24	3
CEBPD	3
CDH5	3
MIR142	3
RIPOR2	3
ERRFI1	3
MLPH	3
MIB2	3
RTKN	3
MIR1275	3
TMC8	3
FXYD3	3
ACD	3
HECTD2-AS1	3
ACSF3	3
SKI	3
ARID5A	3
MIR2276	3
ERBB3	3
HDAC7	3
DNMBP	3
SQSTM1	3
SLC7A8	3
AMOTL2	3
LAT	3
SYNGAP1	3
RGL2	3
TACC1	3
IFFO1	3
SREBF1	3
PXDN	3
GGACT	3
SPEG	3
FBXL22	3
LFNG	3
LINC00299	3
CCDC9B	3
RORA	3
DHRS3	3
INF2	3
SSUH2	3
LOC100506207	3
CD59	3
ANKRD11	3
STAU2-AS1	3
SH3BP4	3
GSE1	3
MIR620	3
AGR3	3
NFIC	3
DPPA2P3	3
OGG1	3
LINC00111	3
PLCD4	3
PKN1	3
SOX6	3
HSF4	3
TMC6	3
GPD2	3
HLCS	3
RBPMS	3
NCMAP	3
VXN	3
S1PR4	3
FAM174B	3
RNF166	3
SNED1	3
SLA2	3
FASTK	3
MAML3	3
ERI1	3
GRK7	3
ZFHX3	3
TRAP1	3
STK10	3
PITPNA	3
GATA3	3
LCK	3
ARL4C	3
MIR5100	3
NPAS2	3
ABCC11	3
SIPA1	3
PRDM6	3
LOC154449	3
CPT1A	3
BANP	3
PLEKHG5	3
KIAA1522	3
PRLR	3
RGMA	3
EPHB1	3
FRK	3
CACHD1	3
ABR	3
HSPB2-C11orf52	3
HIST1H1A	3
BCL2L2-PABPN1	3
HELZ2	3
LINC00324	3
LDLRAP1	3
MIR563	3
NEBL-AS1	3
SPRED2	3
RYBP	3
ITPRIPL1	3
NFATC4	3
LINC00346	3
SLC38A10	3
IGSF9	3
TJP2	3
CARD14	3
IL15RA	3
ANG	3
RHBG	3
IL17RC	3
PFDN1	3
BMF	3
PKP3	3
RAB19	3
MCC	3
CXXC5	3
LINC00837	3
SHROOM1	3
PDLIM3	3
SLC45A4	3
LOC283335	3
GFAP	3
AGAP1	3
AKAP1	3
LY6G6D	3
SIGIRR	3
ERBB2	3
MAD1L1	3
ADRM1	3
UACA	3
SLC25A15	3
RAPGEF5	3
DLX1	3
LRP5	3
LINC00637	3
MAP4K4	3
SEPTIN8	3
DNAJB8-AS1	3
SLC22A23	3
PPFIA1	3
CDHR3	3
FOXK1	3
MELTF	3
GNAS	3
MITF	3
GLI3	3
IGFLR1	3
MOB3A	3
NPR3	3
CD82	3
SSBP3	3
TTC7B	3
LINC01135	3
JADE2	3
ETS1	3
SRARP	3
NCKAP5	3
UHRF1	3
EVL	3
RALB	3
MMP15	3
MUC1	3
AHNAK	3
FOXP1	3
ATXN7L1	3
ZFP57	3
TGFA	3
CLDN23	3
ITPR3	3
ZIK1	3
CCDC25	3
SGK3	3
HES6	3
ZFYVE9	3
TGFBR3	3
PRSS21	3
TSPYL5	3
DQX1	3
FKTN	3
HEATR3	3
CALML5	3
ATP5MC3	3
ANKEF1	3
LYPLAL1	3
MYD88	3
ARAP3	3
PRR15	3
LAD1	3
IER3	3
LINC00974	3
KCNK1	3
SLC9A8	3
PGPEP1	3
AKR1E2	3
SPESP1	3
COX7A1	3
NME5	3
SNX5	3
MNT	3
LOC100130075	3
PLXNC1	2
MIR5093	2
ARHGAP30	2
CHD3	2
CD34	2
GTF2I	2
SOX9	2
MIR4480	2
UXS1	2
ITGB1	2
SBK2	2
PLXNB1	2
SDC4	2
KIAA0556	2
CTSB	2
GPLD1	2
MIR365B	2
ZFP36L2	2
VPS13D	2
LATS2	2
ZNF487	2
ESR1	2
SMAD3	2
ZMIZ1-AS1	2
EDN3	2
GRK6	2
JUP	2
LINC01220	2
FARP2	2
GGA2	2
TNS2	2
TEX44	2
CACNG4	2
EFHD1	2
PARN	2
PTPN7	2
CCDC12	2
SGMS1	2
KIFC3	2
TRIM55	2
C5orf56	2
SNX20	2
C1QTNF8	2
MRTFB	2
STK24	2
THRB	2
P4HA2	2
EPAS1	2
CABLES1	2
SH3GLB2	2
TPRN	2
MPIG6B	2
TNF	2
PDLIM2	2
SLMAP	2
PRKCH	2
TPI1	2
BHLHE40-AS1	2
PROX1	2
GRAMD1B	2
NFKBIZ	2
CCM2L	2
WWC1	2
FGFRL1	2
SLC9A3R2	2
SOGA1	2
GLRX	2
MFSD2A	2
SH3BGRL3	2
JDP2	2
BCL2L14	2
ACVR1	2
RIPOR1	2
CCDC92	2
AP5Z1	2
DNM3	2
SPDEF	2
TBC1D9	2
LINC02694	2
ALDH3B1	2
BCL9L	2
WNK4	2
ASB13	2
NHLRC4	2
PLEKHF2	2
LETM1	2
ZNF205	2
MIR135B	2
ERP27	2
AHDC1	2
ST13P4	2
ITGA6	2
C11orf44	2
DRD4	2
SH2D3C	2
CHST14	2
PRPF18	2
LOC100129917	2
TIGAR	2
ST3GAL1	2
CDC42BPG	2
CAP2	2
FOXN3	2
ZBTB7A	2
HHAT	2
ARFGAP1	2
RUNX1	2
ZMIZ2	2
TECR	2
MISP	2
KLF4	2
DUSP5	2
GABBR1	2
GPRC5A	2
MARVELD3	2
TOP2B	2
AXDND1	2
RASEF	2
PSEN2	2
LINC00312	2
STARD10	2
ARHGAP39	2
DCAF15	2
CALML3	2
ABCC1	2
CAPZB	2
ATP5MC2	2
KCTD11	2
CTNNB1	2
CUEDC1	2
MIR4492	2
DNPEP	2
SMAD6	2
PYROXD2	2
TMEM205	2
PTPN12	2
TTC36	2
VASN	2
QSOX1	2
TM4SF4	2
SUSD6	2
TMCC1	2
ABHD14A-ACY1	2
CAPN13	2
SNORA14B	2
HPN-AS1	2
TCERG1L	2
LHPP	2
GLIS2	2
MST1L	2
PALM	2
KMT5B	2
LRRC8D	2
PRELID1	2
KAT6B	2
EML6	2
TFF3	2
CTDSP2	2
SPTBN2	2
CPEB3	2
TMEM132D	2
ARSG	2
NR1H3	2
TJP1	2
XYLT1	2
PPFIBP2	2
MARCKS	2
ZNF205-AS1	2
AKAP13	2
GPR18	2
ICAM3	2
HSPB8	2
BAIAP2	2
DLEU2	2
ACAP3	2
ALDH3A1	2
GRAMD2A	2
NIBAN2	2
NIT1	2
SPATA13	2
KMT5A	2
FCMR	2
CX3CL1	2
NAV1	2
HMG20A	2
LSP1	2
PLEKHH3	2
FOXL1	2
TRAF3IP3	2
ACACA	2
PLEC	2
TRAPPC9	2
DFFB	2
LRFN4	2
IGFBP2	2
NUPR1	2
DDR2	2
SOSTDC1	2
TOM1L1	2
UBTF	2
TUFT1	2
IGFALS	2
LTB	2
USP6NL	2
AMZ1	2
RARRES1	2
CAPS	2
ADAMTS4	2
FAM214A	2
ATXN2	2
VAV3	2
ZBTB7C	2
P2RX1	2
HOXA3	2
GFOD1	2
ZDHHC24	2
PLA2G4B	2
ARHGEF28	2
TCP10	2
CCR7	2
SPIRE2	2
PGLYRP2	2
TPO	2
ABTB2	2
LRRFIP1	2
DGKZ	2
LINC00578	2
LINC00940	2
ALOX15B	2
CDC42EP1	2
PRELP	2
YY1AP1	2
KCNQ1DN	2
ARHGAP27	2
FGF3	2
F7	2
SBNO2	2
CXCR6	2
OAZ2	2
TNP1	2
LYPD1	2
RYR3	2
PA2G4P4	2
SC5D	2
FHOD1	2
SFT2D2	2
AMMECR1L	2
PPARGC1B	2
IFT140	2
IPCEF1	2
TSSK6	2
CA12	2
IGF2BP1	2
PHACTR3	2
PARD6B	2
KRT39	2
UBE2I	2
RAB25	2
COL11A2	2
C1orf174	2
LINC01792	2
ZNF485	2
KDM4B	2
SERTAD2	2
PROM2	2
LAMB1	2
LINC00963	2
KIF26A	2
TRAF5	2
FRMD6	2
SLC25A10	2
RBM47	2
DBNDD1	2
TRIM2	2
LAG3	2
COL9A2	2
MIR3612	2
RUNX2	2
MIR574	2
COG2	2
LINC01016	2
INSR	2
ABHD10	2
SMIM14	2
MIR1208	2
NEDD9	2
PLA2G4F	2
HSD3B7	2
SCNN1A	2
PLPP1	2
PBX1	2
PALLD	2
MAP1LC3B2	2
LRIG1	2
LOC100288748	2
ARHGEF25	2
PPARGC1A	2
BOK-AS1	2
JADE1	2
LRBA	2
DCUN1D2	2
C6orf132	2
LINC01107	2
ADAP1	2
ITPKC	2
MIR4457	2
NFU1	2
SMAD7	2
GIHCG	2
SCMH1	2
SLC30A5	2
KAZALD1	2
ADORA2B	2
HIVEP3	2
CLDN15	2
MAP3K8	2
MDM1	2
TMEM131L	2
PER2	2
CTIF	2
PLCH1	2
SYNC	2
RIN2	2
SNX9	2
MIR141	2
SEC16B	2
MYOF	2
ERGIC1	2
MYEOV	2
TMPRSS13	2
KLF13	2
TMEM184A	2
SNX13	2
SPSB1	2
FDFT1	2
MIR623	2
TSPAN15	2
MAPT-IT1	2
MSANTD1	2
MEX3D	2
ADORA2A	2
BTBD3	2
LOC401127	2
C15orf54	2
TAF4	2
COL23A1	2
CDC20	2
SEMA4D	2
RHOB	2
FLI1	2
PWWP2B	2
ENTPD8	2
LINC00612	2
FAN1	2
PRR26	2
MLXIP	2
FSCN2	2
RAVER1	2
GCLC	2
MIEF1	2
DEDD2	2
SORL1	2
CHST15	2
COBL	2
PRRT3	2
PNPLA2	2
MDFI	2
ZNF678	2
DIS3L2	2
ST7	2
COL18A1	2
MRPS23	2
TM4SF1	2
ATL2	2
CCDC88B	2
GALNT3	2
IRF1	2
LOC148696	2
PHLDA1	2
LAPTM5	2
RFESD	2
SPTBN1	2
MGLL	2
SHANK3	2
UTRN	2
PSORS1C1	2
SERTAD4-AS1	2
ZBTB16	2
MIR4777	2
DDIT4	2
NCKAP1L	2
RANGRF	2
SQOR	2
LINC00593	2
IDUA	2
CRELD2	2
CRABP2	2
HLA-DOB	2
PRICKLE2-AS3	2
C7orf25	2
ZP4	2
MGST2	2
TTYH3	2
ZBTB7B	2
BTBD9	2
TSNARE1	2
SYNE4	2
TOB1	2
FOSL2	2
NUDT4	2
LINC00323	2
PLPP3	2
HSPA8	2
BOC	2
NKAPL	2
RFFL	2
FFAR2	2
SDHAP3	2
DOCK1	2
PRKAG2	2
VGLL4	2
SSH1	2
ZNF608	2
ACLY	2
EVI2A	2
WNT3	2
PPP2R2B	2
C5orf64	2
AGO2	2
CCDC126	2
MIR1249	2
SPRY1	2
CRTC1	2
CD6	2
TPM4	2
FBXW7	2
BDKRB1	2
LOC100505716	2
MREG	2
ACSL3	2
SORT1	2
CPM	2
CPNE5	2
NAPA	2
BCL11A	2
MTA3	2
TSKU	2
HDAC4	2
ADCY6	2
REEP3	2
CHAC1	2
TPRG1	2
ARHGEF38	2
RAB13	2
IL6R	2
GPAT3	2
AQP6	2
ZNF621	2
LOC283214	2
MYO1E	2
CNIH4	2
TROAP	2
KCNQ4	2
GPC2	2
KCNH6	2
SCN4B	2
LCA5	2
TEAD2	2
NPNT	2
ZNF556	2
M1AP	2
C2orf74	2
OCIAD2	2
SYNPO	2
ZC2HC1C	2
PTH1R	2
SSC4D	2
BIRC3	2
KLLN	2
GSAP	2
NRXN2	2
LETMD1	2
RAB27B	2
GASK1B	2
EZR	2
GSTM2	2
C5orf22	2
CFB	2
OSER1-DT	2
HIST3H2A	2
FOLR1	2
ENPP6	2
ZNF835	2
TMEM139	2
KRBOX1	2
ZNF391	2
KNDC1	2
SLC7A4	2
SPAAR	2
EGLN2	2
HOXB-AS1	2
CT83	2
CCDC155	2
CHRM5	1
SLC20A2	1
ID2	1
CCL1	1
INHA	1
MIR1301	1
TTLL3	1
MIR1910	1
PDCD6IP	1
USP3-AS1	1
OR4N3P	1
SEMA3D	1
TMEM136	1
SPOCK2	1
ABHD5	1
GP2	1
FAM192A	1
WDSUB1	1
CBFA2T3	1
TRAM2	1
RAB24	1
N4BP1	1
CPVL	1
ILVBL	1
INSYN2B	1
HSPG2	1
GTPBP3	1
TSC22D4	1
MIR4673	1
SLC27A3	1
C1QL2	1
SLC35D2	1
GPSM3	1
SCNN1G	1
PRKRA	1
TCEA3	1
MYLK	1
LPAR5	1
PUM2	1
EPB41L1	1
CSRNP1	1
ARID5B	1
UBA3	1
HBEGF	1
LPIN2	1
KMT2D	1
RHBDF1	1
TAPT1	1
NADK	1
RAB26	1
GORASP2	1
LCTL	1
VSX1	1
MAL	1
MIR548G	1
SIDT1	1
PALMD	1
TEAD3	1
TBC1D4	1
IQSEC2	1
E2F5	1
CHRNA9	1
AGPAT2	1
WWOX	1
LRRK1	1
VARS	1
EEPD1	1
C8orf58	1
TPRA1	1
CCZ1B	1
TMEM45A	1
CLDN3	1
CYP26A1	1
GTF2F2	1
FGGY	1
SIAH1	1
MIR183	1
DHX29	1
AP2S1	1
SMPD3	1
TSC2	1
LRCH3	1
MIRLET7I	1
RASGRP3	1
ERVFRD-1	1
DGKA	1
CDCA7	1
HK2	1
ATOX1	1
PPP1R3D	1
KRAS	1
PPP1R11	1
CUX2	1
LINC00330	1
MIR4761	1
NR1D1	1
HACD3	1
LEMD1	1
LINC01121	1
PTPRJ	1
FAM167A	1
LEFTY1	1
RAP1GAP	1
PRDM1	1
STX16	1
B4GALNT2	1
PFKFB3	1
RASSF4	1
INO80D	1
COL6A3	1
SESN2	1
CHST1	1
ANKRD22	1
SETD5	1
FGG	1
LINC01822	1
B4GALNT3	1
CHRNA4	1
CHI3L2	1
CSK	1
CDH3	1
CHRNE	1
ADIRF	1
MFNG	1
SCGB1D1	1
CLIP4	1
ZBTB47	1
SLC1A7	1
OTULINL	1
MMP17	1
TREX1	1
ECI2	1
OR5AK2	1
MIR4266	1
MRPL58	1
DICER1	1
NOTCH1	1
NR0B2	1
ACBD6	1
CHGA	1
CSRP1	1
DLC1	1
TMEM156	1
CAMTA1	1
B3GNT7	1
TMEM130	1
SIRT5	1
LINC00880	1
ITM2C	1
METTL27	1
ITPKA	1
HRCT1	1
COG7	1
ESYT1	1
GAS2L1	1
ARHGAP45	1
VPS37C	1
SEPSECS	1
GDPD3	1
SLC23A1	1
GRK1	1
CORO1A	1
UNC5B-AS1	1
CAMSAP3	1
IGFBP4	1
CCDC91	1
PAQR5	1
SRI	1
CCDC33	1
HS3ST6	1
NODAL	1
HS1BP3	1
GULP1	1
ACTL6A	1
LINC00304	1
SMIM15	1
UGP2	1
PLXNA4	1
IL1RN	1
ZG16B	1
AHSA2P	1
HOMER3	1
KIAA1211L	1
LOC284454	1
RPH3AL	1
SENCR	1
ARID3A	1
MGMT	1
IL12RB1	1
DEPTOR	1
CSRNP2	1
YPEL5	1
PHYHIPL	1
GPR132	1
LAMA1	1
SRGN	1
RBL2	1
MBTD1	1
CCL25	1
UBE4B	1
HEBP2	1
RPL22L1	1
C1orf198	1
THUMPD2	1
AFF1	1
BRI3	1
MLLT1	1
EFNA1	1
LINC01993	1
SH3BP2	1
F2R	1
BRINP3	1
FOXN1	1
THAP3	1
FAM171A1	1
HAS2-AS1	1
CLUAP1	1
C11orf94	1
VAPA	1
CALD1	1
HDAC11	1
MIR199A1	1
E4F1	1
ZNRF1	1
GRID1	1
TRAF4	1
CCDC71L	1
TAB1	1
SLC2A1	1
RGS20	1
BCAR1	1
CCDC57	1
C2orf73	1
MIR4773-1	1
MYL6B	1
PEMT	1
BCL9	1
SLC35F6	1
GRB10	1
B4GALT7	1
CEP350	1
MAN1C1	1
SPIDR	1
COL7A1	1
ITGB1BP1	1
PPP1R13L	1
TP53I3	1
PCED1B	1
DECR2	1
PLAAT2	1
NEDD4L	1
GDI2	1
ELANE	1
PRMT3	1
GRAP	1
CYP51A1	1
CD27	1
SNHG16	1
DCLK2	1
BTN3A3	1
DIXDC1	1
ELOVL6	1
TBC1D16	1
MACC1	1
LIFR	1
FRMD4B	1
SP140	1
CXCL12	1
GPSM2	1
PCGF1	1
LGALS8	1
KIAA1147	1
LOC100652999	1
PDF	1
LINC00942	1
MAPRE3	1
ECHDC1	1
E2F6	1
MARVELD2	1
ITPKB	1
WDR11	1
HSD52	1
SSTR5	1
CD9	1
TPPP	1
NIBAN1	1
TBC1D24	1
GASK1A	1
CDK5RAP1	1
DAAM1	1
SNORC	1
CD46	1
C1QBP	1
YRDC	1
KREMEN2	1
TRAF6	1
EBNA1BP2	1
PPP1R3C	1
PPP2R1A	1
THUMPD3	1
BFSP2	1
MAP2K2	1
FAM107B	1
SCOC	1
EGFLAM	1
MIR548A2	1
MRVI1	1
VPS8	1
ZNF641	1
ADCY10	1
COPG1	1
MSI2	1
LOC643441	1
LIMK1	1
SMG1P2	1
SPI1	1
GATA3-AS1	1
SLC19A3	1
UQCC2	1
MIR4720	1
ZNF629	1
PDCD4-AS1	1
RASSF10	1
SPATA6	1
PRKCZ	1
SRSF12	1
PDPN	1
C7orf65	1
MARVELD1	1
SMIM2-IT1	1
ZCCHC24	1
EXT2	1
LINC00536	1
AFAP1L1	1
WNT5B	1
TIMP2	1
VTI1B	1
PREP	1
SEMA4A	1
CABYR	1
PTPRG	1
FAM193A	1
PRR18	1
MIR3186	1
PITPNM2-AS1	1
TTC39A	1
RANGAP1	1
SPPL2B	1
KRT86	1
TENM2	1
CSPG4	1
MTHFR	1
PISD	1
CCDC179	1
SLC39A2	1
KCNK5	1
IRX5	1
DCST1-AS1	1
CACNA1H	1
EOGT	1
RNF157-AS1	1
HMGN2P46	1
SMARCAL1	1
KLHL35	1
THADA	1
ADAM10	1
NEUROD2	1
RD3	1
EPHX1	1
TRIM69	1
MIR5189	1
MCF2L2	1
CYP19A1	1
ELN	1
SOX8	1
LAMP3	1
RASSF6	1
FYN	1
FAM180B	1
IL1R1	1
SIX3	1
BASP1	1
ST8SIA6-AS1	1
CRACR2A	1
FGD2	1
CAMK2B	1
KIAA1614	1
RAB10	1
LINC01600	1
HEPN1	1
NUAK2	1
ZNF703	1
