nearestTranscript	Occurance
uc003wns.3	15
uc003myw.3	12
uc003kgc.3	11
uc001ugk.1	11
uc001tvt.1	11
uc002eht.1	10
uc003dpl.1	9
uc001ajc.3	9
uc009yso.3	9
uc001nyl.2	9
uc003ocf.3	9
uc010jti.3	9
uc002ohr.2	9
uc011dol.2	8
uc002lwc.1	8
uc002ggi.4	8
uc003trz.2	8
uc002mpf.3	8
uc001mql.1	8
uc002tjp.3	8
uc001fxh.4	7
uc011dmt.2	7
uc009yah.2	7
uc001sps.4	7
uc001iha.3	7
uc001sbd.2	7
uc003tzi.4	7
uc002kga.3	7
uc001okj.3	7
uc011bsg.2	6
uc001njr.3	6
uc003azx.4	6
uc002ewg.1	6
uc002nfq.3	6
uc003avk.3	6
uc002fkh.1	6
uc003foz.3	6
uc002uyw.1	6
uc011kko.2	6
uc002jue.2	6
uc003jnc.3	6
uc003nvd.3	6
uc002jxe.3	6
uc009wro.2	6
uc003xks.3	6
uc001fui.3	5
uc010vmq.2	5
uc002cko.3	5
uc003oql.3	5
uc002cxf.2	5
uc010tba.2	5
uc002evq.1	5
uc003wgo.1	5
uc009zoh.3	5
uc003hag.5	5
uc002dmf.3	5
uc003lpp.1	5
uc009yct.2	5
uc002skb.5	5
uc001ubb.3	5
uc009zed.3	5
uc003cwe.3	5
uc002zax.1	5
uc001lhp.3	5
uc002ftd.3	5
uc001ugd.2	5
uc003bgu.2	5
uc002dtp.2	5
uc001qsb.2	5
uc001xsy.4	5
uc011dnu.2	5
uc001fxo.2	5
uc002ghj.2	5
uc021vek.1	5
uc001atz.1	5
uc001spp.3	5
uc002tmo.2	5
uc001nli.4	5
uc001pql.1	5
uc001cbj.3	5
uc003iwa.1	5
uc001qny.2	5
uc003mtp.3	5
uc010wdq.2	5
uc002wnw.2	5
uc002saz.2	5
uc003lpg.2	5
uc001crm.3	5
uc003eod.3	5
uc002ohu.1	5
uc002exw.2	4
uc001okz.4	4
uc010rfc.2	4
uc001rzx.3	4
uc002fku.2	4
uc001qsc.1	4
uc021vil.2	4
uc002ygp.4	4
uc021omn.1	4
uc002pjl.3	4
uc010cwc.3	4
uc001aro.4	4
uc001bnx.2	4
uc010tpz.3	4
uc002vwz.2	4
uc002zgd.2	4
uc010qpy.2	4
uc003myt.3	4
uc001ucz.3	4
uc010qej.2	4
uc010mbt.1	4
uc003aun.1	4
uc002kgb.1	4
uc002kge.1	4
uc011cwz.2	4
uc002zdr.4	4
uc003nsc.2	4
uc002jyu.1	4
uc001kkl.3	4
uc010kuw.3	4
uc001oli.1	4
uc002hul.4	4
uc001lnd.3	4
uc002ebc.4	4
uc021tmc.1	4
uc021zyy.1	4
uc002vyz.1	4
uc003bgq.1	4
uc001apw.3	4
uc003ajs.4	4
uc002owl.1	4
uc031qnk.1	4
uc002lsb.2	4
uc003gbx.3	4
uc009zml.2	4
uc001igr.2	4
uc002spt.4	4
uc001qsa.1	4
uc001poc.4	4
uc001xkh.2	4
uc001cgx.3	4
uc001lvv.2	4
uc002osd.3	4
uc002mke.4	4
uc002zec.4	4
uc002tag.3	4
uc010ebc.1	4
uc003tmh.2	4
uc001exx.4	4
uc001omr.3	4
uc011dms.2	4
uc010jvg.3	4
uc001zkh.3	4
uc001ast.3	4
uc003gjl.3	4
uc003otd.3	4
uc011dqf.1	4
uc002jtt.4	4
uc002hbp.3	4
uc003yok.1	4
uc001kye.4	4
uc002nan.3	4
uc003ygq.4	4
uc022aql.1	4
uc001plt.3	4
uc003uio.3	4
uc003cmj.2	4
uc002fgu.3	4
uc021tjs.1	4
uc001qfw.3	4
uc009wan.3	4
uc031shd.1	4
uc001ywh.4	4
uc003ngq.3	4
uc002slb.3	4
uc001mpi.3	4
uc001eon.2	4
uc021qbc.1	4
uc001kbv.3	4
uc010gyc.1	4
uc001hes.2	3
uc003xqh.1	3
uc002eom.4	3
uc010wnu.1	3
uc011dju.2	3
uc002tjc.3	3
uc021yyr.1	3
uc010xsj.1	3
uc002etp.4	3
uc010qnl.2	3
uc002fmp.3	3
uc002jjo.3	3
uc001aja.4	3
uc021rhh.1	3
uc001gko.3	3
uc001wuf.4	3
uc002asf.1	3
uc002mez.3	3
uc001wix.4	3
uc003eqe.1	3
uc003oeo.2	3
uc010jur.3	3
uc011lby.1	3
uc001qpc.2	3
uc002qxa.3	3
uc001voq.2	3
uc002vlp.1	3
uc001bnz.1	3
uc002amm.2	3
uc010eww.2	3
uc001zlh.4	3
uc001etl.4	3
uc001yoy.4	3
uc003bqu.4	3
uc003mye.3	3
uc002tjh.3	3
uc001mut.4	3
uc003xzl.3	3
uc002vvq.3	3
uc021reh.1	3
uc003sts.3	3
uc002ash.1	3
uc011bss.2	3
uc003bsh.3	3
uc011aes.1	3
uc021vww.2	3
uc001bej.2	3
uc002myq.3	3
uc002ern.1	3
uc003sks.1	3
uc002tah.1	3
uc010tkk.2	3
uc002tzf.4	3
uc001bjk.2	3
uc003xwi.3	3
uc002lxg.3	3
uc003myr.3	3
uc010boe.3	3
uc021tmn.1	3
uc002wah.1	3
uc002xfu.3	3
uc003wix.2	3
uc011chd.1	3
uc003wsk.2	3
uc011bnd.2	3
uc002cvt.4	3
uc003mbo.1	3
uc010cjt.3	3
uc001ijz.3	3
uc002vvn.3	3
uc031pup.1	3
uc002efg.1	3
uc001ofd.2	3
uc010vbe.2	3
uc003ktj.3	3
uc001bnv.2	3
uc021uan.1	3
uc003qxl.2	3
uc001oof.4	3
uc002fkr.3	3
uc001anp.2	3
uc003jjm.3	3
uc003pwi.1	3
uc001mvo.1	3
uc010brg.2	3
uc001gxh.4	3
uc001pmh.3	3
uc003nfo.3	3
uc001wjh.4	3
uc002yfl.1	3
uc003uyx.4	3
uc009xhi.1	3
uc002gkp.4	3
uc021wtp.1	3
uc011diw.1	3
uc003dpe.3	3
uc002svx.3	3
uc001vrk.2	3
uc002jzy.1	3
uc010dhu.1	3
uc001iiv.3	3
uc010kyo.1	3
uc002jat.3	3
uc010phm.2	3
uc002esc.3	3
uc003lff.1	3
uc002hsr.3	3
uc002dtn.4	3
uc002hss.3	3
uc010lni.2	3
uc001iuk.2	3
uc003kxy.2	3
uc003ixw.4	3
uc003ywc.1	3
uc001sbk.2	3
uc002ihq.3	3
uc021vyp.1	3
uc001zna.3	3
uc002iuy.3	3
uc003nwf.1	3
uc001lie.4	3
uc001lpe.1	3
uc002hsn.1	3
uc003sld.1	3
uc001uxn.3	3
uc010fqj.1	3
uc011diu.1	3
uc001ont.3	3
uc001yoh.1	3
uc003try.2	3
uc003kxt.2	3
uc003ekl.1	3
uc001opr.3	3
uc011kls.1	3
uc003fxk.4	3
uc011bgb.2	3
uc002luu.3	3
uc001myc.3	3
uc001cxe.4	3
uc001czf.2	3
uc003bxt.3	3
uc010tax.2	3
uc001axn.3	3
uc002ttp.3	3
uc003nwz.4	3
uc002mbp.3	3
uc002tmk.3	3
uc002ena.3	3
uc001ntk.2	3
uc003vdf.2	3
uc011dlw.2	3
uc003wsi.3	3
uc003vvh.3	3
uc021ywr.1	3
uc002qpg.3	3
