"SLC7A2"	"CFH"	-
"RPAP3"	"CFH"	-
"ACSM3"	"CFH"	+
"MGST1"	"CFH"	+
"UTP18"	"CFH"	-
"TTC19"	"CFH"	-
"ZMYND11"	"CFH"	-
"DPEP1"	"CFH"	+
"SNX1"	"CFH"	-
"PNPLA6"	"CFH"	+
"USP2"	"CFH"	+
"MRPS10"	"CFH"	-
"FOXP3"	"CFH"	+
"FOXP3"	"CFH"	-
"MSMO1"	"CFH"	-
"RASGRF1"	"CFH"	+
"ZC3H11A"	"CFH"	-
"ZNF112"	"CFH"	-
"MTMR1"	"CFH"	-
"RRP15"	"CFH"	-
"MAST4"	"CFH"	+
"MAST4"	"CFH"	-
"NUCKS1"	"CFH"	-
"BCL3"	"CFH"	-
"SLC6A15"	"CFH"	+
"MPP5"	"CFH"	-
"PVR"	"CFH"	+
"ENO1"	"CFH"	+
"TM9SF3"	"CFH"	-
"NEBL"	"CFH"	-
"XRCC5"	"CFH"	-
"CDC14A"	"CFH"	+
"RDH8"	"CFH"	+
"HSP90AA1"	"CFH"	-
"ME2"	"CFH"	+
"ITGB5"	"CFH"	-
"ULK2"	"CFH"	-
"SLCO1A2"	"CFH"	+
"CAD"	"CFH"	-
"PREP"	"CFH"	+
"CPNE3"	"CFH"	-
"ATG16L1"	"CFH"	-
"HSD17B2"	"CFH"	+
"DOCK3"	"CFH"	-
"SLC7A2"	"LAP3"	-
"RPAP3"	"LAP3"	-
"ACSM3"	"LAP3"	+
"AASS"	"LAP3"	-
"MAPK8IP2"	"LAP3"	-
"CLCN6"	"LAP3"	-
"TTC19"	"LAP3"	-
"ZMYND11"	"LAP3"	-
"DPEP1"	"LAP3"	+
"SNX1"	"LAP3"	-
"PNPLA6"	"LAP3"	+
"C6"	"LAP3"	+
"EPHA3"	"LAP3"	-
"GPM6B"	"LAP3"	+
"GPM6B"	"LAP3"	-
"CTPS2"	"LAP3"	-
"GYG2"	"LAP3"	+
"TMCC3"	"LAP3"	+
"RASGRF1"	"LAP3"	+
"ZC3H11A"	"LAP3"	-
"YIPF1"	"LAP3"	-
"SPAG4"	"LAP3"	+
"ZNF112"	"LAP3"	-
"COL17A1"	"LAP3"	-
"PHKA1"	"LAP3"	-
"RRP15"	"LAP3"	-
"COASY"	"LAP3"	-
"MAST4"	"LAP3"	-
"NUCKS1"	"LAP3"	-
"BCL3"	"LAP3"	+
"ST6GALNAC1"	"LAP3"	+
"SLC6A15"	"LAP3"	+
"ADGRL1"	"LAP3"	-
"MPP5"	"LAP3"	-
"PVR"	"LAP3"	+
"MCM2"	"LAP3"	+
