DNA	Fitness Score	Fitness Rank	Sign
"cg00098336"	2.4987196169971682e-31	21	+
"cg00118342"	0.24083637685367978	1	+
"cg00221718"	6.115626315704535e-255	58	+
"cg00232831"	4.500158573290718e-32	31	+
"cg00252534"	4.1020796542129846e-33	36	+
"cg00261665"	9.368794725301247e-150	44	+
"cg00351750"	3.968906239013566e-254	54	+
"cg00369058"	3.558409552896223e-150	46	+
"cg00374492"	3.253332880116575e-255	59	+
"cg00408231"	0.00033021169559726416	17	+
"cg00465073"	8.019879215760244e-32	27	+
"cg00500027"	2.8622934355879585e-255	60	+
"cg00570849"	0.02841998938237291	9	+
"cg00598009"	7.050214197521446e-32	28	+
"cg00623200"	4.782239459042709e-254	53	+
"cg00632863"	1.34899500206539e-33	37	+
"cg00664343"	5.204641826482261e-30	19	+
"cg00702638"	1.0205414536148736e-31	24	+
"cg00732251"	4.9754667746808866e-151	47	+
"cg00752195"	0.05285604275573885	6	+
"cg00763889"	2.8693436754256254e-254	55	+
"cg00813993"	1.3013331520466304e-254	57	+
"cg00827893"	2.2418134472919037e-30	20	+
"cg00852398"	4.52513153850442e-300	63	+
"cg00853237"	0.001093195619595128	16	+
"cg00865962"	0.03914592958118781	7	+
"cg00926400"	4.7366877181239245e-54	38	+
"cg00929493"	0.16661541352851741	3	+
"cg00934120"	8.615485948376161e-32	25	+
"cg00946316"	1.9895820633829373e-32	34	+
"cg00960700"	4.7366877181239245e-54	39	+
"cg00964400"	0.00013596493095590292	18	+
"cg00983697"	0.001854669863763824	15	+
"cg01021658"	3.386314893400954e-153	52	+
"cg01058584"	8.807429254543575e-153	50	+
"cg01064363"	1.0351081406774704e-299	61	+
"cg01066936"	0.007661866969373914	13	+
"cg01085569"	3.878972472707458e-32	32	+
"cg01105948"	8.058567981781706e-32	26	+
"cg01165159"	1.7930069469223494e-31	22	+
"cg01176141"	0.01850703741675456	10	+
"cg01214240"	3.861482980365263e-152	48	+
"cg01219670"	2.3547968751354134e-55	43	+
"cg01229506"	1.4128781250812482e-54	40	+
"cg01233664"	7.064390625406241e-55	42	+
"cg01268571"	4.52513153850442e-300	64	+
"cg01274524"	2.1317094935872682e-32	33	+
"cg01287088"	0.23072004252558154	2	+
"cg01314643"	5.487415764911608e-32	30	+
"cg01321816"	0.03756015394676416	8	+
"cg01333824"	0.0020495887909104072	14	+
"cg01484075"	2.381343743408139e-254	56	+
"cg01532075"	0.007914512261898944	12	+
"cg01560873"	5.919164184917292e-153	51	+
"cg01570445"	1.4128781250812482e-54	41	+
"cg01577414"	3.043040391691867e-300	65	+
"cg01602153"	0.08094692763023256	4	+
"cg01638792"	2.1889877298343785e-152	49	+
"cg01646665"	1.4057505682538198e-32	35	+
"cg01659586"	0.01843484522954725	11	+
"cg01695023"	3.043040391691867e-300	66	+
"cg01737667"	6.238793489436171e-150	45	+
"cg01738638"	6.386652476022123e-32	29	+
"cg01742263"	0.06491723101752779	5	+
"cg01746522"	1.0351081406774704e-299	62	+
"cg01819880"	1.03344205974882e-31	23	+
"cg00057791"	1.2433460157609257e-260	51	-
"cg00098336"	4.356894688695964e-261	54	-
"cg00118342"	1.8933034240543595e-223	11	-
"cg00221718"	3.8554777321080405e-222	7	-
"cg00232831"	6.565541215491217e-11	2	-
"cg00252534"	1.6108920088367308e-226	27	-
"cg00261665"	3.156971298834191e-153	4	-
"cg00351750"	2.116687777731362e-267	61	-
"cg00369058"	1.4439503298833458e-227	29	-
"cg00408231"	1.5254117737845468e-222	8	-
"cg00465073"	1.5579391681976251e-260	50	-
"cg00500027"	4.9403705304416455e-224	18	-
"cg00570849"	2.479149113782923e-226	26	-
"cg00598009"	9.66371569376857e-224	13	-
"cg00623200"	5.805102714702948e-224	17	-
"cg00632863"	8.310494066264096e-261	52	-
"cg00664343"	1.324428210492908e-261	57	-
"cg00702417"	2.9673391047609166e-260	46	-
"cg00702638"	3.014853811697344e-260	45	-
"cg00732251"	7.689001559928708e-230	34	-
"cg00752195"	1.4537626617964744e-222	10	-
"cg00763889"	1.0322130337452426e-268	65	-
"cg00765710"	2.4857389627101694e-153	5	-
"cg00813993"	9.069678778486128e-230	32	-
"cg00827893"	1.0912438542810918e-72	3	-
"cg00852398"	6.534662251089704e-224	16	-
"cg00853237"	1.6109064019262706e-224	21	-
"cg00859178"	2.0873775255693788e-258	36	-
"cg00865962"	7.3259005458728e-260	40	-
"cg00926400"	8.237434936265583e-225	22	-
"cg00929493"	4.755057219724223e-260	42	-
"cg00934120"	1.139087795464995e-259	37	-
"cg00946316"	4.083879931985703e-261	55	-
"cg00960700"	4.815073061021706e-228	30	-
"cg00964400"	1.7514950816710432e-224	20	-
"cg00983697"	6.1772753990572156e-260	41	-
"cg01021658"	2.5717299873769633e-269	69	-
"cg01058584"	1.5329560723091371e-226	28	-
"cg01064363"	8.069735683108821e-226	23	-
"cg01066936"	0.9999999999343446	1	-
"cg01082907"	4.150770082243243e-269	67	-
"cg01085569"	7.28576438400851e-261	53	-
"cg01165159"	1.4400395886527122e-261	56	-
"cg01176141"	3.9809202950820547e-224	19	-
"cg01214240"	3.9414855061038966e-268	62	-
"cg01219670"	3.179637905962444e-260	44	-
"cg01229506"	7.352512931227839e-269	66	-
"cg01268571"	1.2647260530371034e-271	70	-
"cg01274524"	1.7851621911846594e-260	49	-
"cg01287088"	8.50440507480198e-222	6	-
"cg01314643"	1.9981310118083257e-260	48	-
"cg01321816"	9.630130755764473e-224	14	-
"cg01333824"	1.6841633527533044e-223	12	-
"cg01464067"	3.866017024633773e-265	58	-
"cg01474003"	2.9358542240380213e-268	63	-
"cg01484075"	2.5730568093145973e-269	68	-
"cg01532075"	6.527059951098718e-226	24	-
"cg01560873"	3.794435732725874e-260	43	-
"cg01577414"	2.267267797899732e-260	47	-
"cg01602153"	4.334126844166486e-226	25	-
"cg01638792"	9.804055894765469e-260	38	-
"cg01659586"	7.395135938221877e-224	15	-
"cg01660993"	2.139806086271023e-266	59	-
"cg01695023"	9.507479141325186e-260	39	-
"cg01715143"	4.55968739452507e-267	60	-
"cg01734786"	2.0928150565972887e-228	31	-
"cg01737667"	1.4314721150194067e-268	64	-
"cg01742263"	1.5073103821009944e-222	9	-
"cg01746522"	9.069297788094308e-230	33	-
"cg01819880"	2.89172116911388e-258	35	-
