CG	n_tissue
cg05055400	1
cg11653271	1
cg00992207	1
cg03948744	2
cg09201525	1
cg02729269	1
cg03110993	2
cg15768556	2
cg07484220	1
cg26925590	1
cg07371452	1
cg16730559	1
cg08969593	1
cg06171619	2
cg21960110	1
cg26976732	4
cg00655203	1
cg04938149	5
cg17714030	1
cg16367168	3
cg06348427	1
cg02933542	1
cg26951000	1
cg01560407	1
cg07628300	1
cg03390211	2
cg16552945	1
cg09357140	1
cg15755548	6
cg08853359	1
cg27480957	16
cg03431067	1
cg09955084	2
cg26944245	3
cg20943255	1
cg07973095	1
cg02102075	1
cg01165297	1
cg17524151	1
cg02614658	1
cg04273867	3
cg08830105	2
cg07740599	5
cg26524037	27
cg08917356	1
cg08950915	2
cg16452248	8
cg08133584	4
cg23008708	4
cg09476347	1
cg19977912	1
cg24014020	1
cg03736944	1
cg02037681	6
cg06520088	1
cg03015880	2
cg07165459	1
cg04861014	1
cg09876101	1
cg08216050	2
cg02852791	3
cg01252526	4
cg04365973	1
cg05220042	1
cg09465703	1
cg03945320	1
cg06812747	3
cg27436995	9
cg05542681	2
cg05487890	1
cg02734472	1
cg02026235	2
cg17328659	2
cg01378995	4
cg04005677	3
cg01195246	1
cg02713960	4
cg03084838	1
cg08166554	3
cg27088655	1
cg00099091	1
cg26651775	2
cg16443148	1
cg11027330	7
cg22781074	17
cg13810511	1
cg27209265	2
cg00936733	1
cg14711016	1
cg10034642	6
cg01682208	1
cg05245533	5
cg09857761	1
cg08079266	1
cg07970752	12
cg06502071	3
cg16108835	3
cg26945867	3
cg11173279	2
cg05058809	4
cg26820233	2
cg02715797	1
cg03558676	1
cg00719332	1
cg09611472	1
cg07546293	1
cg08370077	1
cg04929780	5
cg02106180	4
cg08861556	2
cg06225589	5
cg14100184	1
cg00684790	1
cg07830750	1
cg00706697	1
cg20911831	5
cg09087363	5
cg07500347	9
cg05813818	2
cg10075464	1
cg01336629	1
cg05479627	6
cg27272853	2
cg09441223	1
cg16381753	23
cg10257821	1
cg01402068	1
cg02852419	1
cg07630787	1
cg03178232	3
cg09091185	1
cg04682685	1
cg02486209	1
cg01735558	1
cg10301401	1
cg19605644	1
cg10400804	1
cg27578227	1
cg10222254	6
cg04538473	1
cg06993367	1
cg07002422	1
cg02049499	2
cg05857979	7
cg09635053	2
cg08018572	9
cg00498059	1
cg22904679	24
cg05501426	1
cg03123979	1
cg07773186	1
cg08977639	1
cg05970874	1
cg08608240	7
cg01756899	15
cg27045723	4
cg07012886	266
cg06099246	1
cg02855309	2
cg00904966	3
cg07281377	10
cg08056755	10
cg09358961	2
cg08259514	1
cg06710672	1
cg05588271	4
cg06618047	4
cg09669354	2
cg09922452	5
cg03382370	3
cg09123155	25
cg05716270	2
cg09146900	1
cg07360304	1
cg04004158	7
cg04867257	1
cg07110008	4
cg07221298	2
cg00348222	2
cg00751633	1
cg16357434	10
cg07340574	7
cg02257714	5
cg25760229	2
cg06518618	1
cg08151363	4
cg08628911	7
cg03825234	2
cg26605476	8
cg07059783	5
cg07990390	11
cg16665866	7
cg05742249	2
cg05764422	1
cg10083464	1
cg00300794	19
cg04343101	2
cg08950930	2
cg11789492	5
cg01249187	7
cg10399269	1
cg10372421	2
cg04003051	1
cg07632618	1
cg01000236	1
cg04463816	1
cg05364651	1
cg09075268	1
cg03553819	5
cg10473367	19
cg05848579	1
cg14223135	2
cg26721708	1
cg00947796	1
cg05493583	1
cg05550995	4
cg09192369	2
cg26863750	3
cg02294280	1
cg06193520	1
cg09699128	1
cg03887008	1
cg08877672	1
cg07116194	2
cg10333214	7
cg08949164	4
cg26499611	3
cg01856892	1
cg01258653	7
cg06161600	1
cg04826516	1
cg02632227	24
cg02791338	1
cg04145307	2
cg00121045	6
cg06573047	6
cg27295660	1
cg08063051	1
cg01682111	1
cg14850784	5
cg04534503	1
cg07875884	1
cg08902766	2
cg07076076	16
cg06876040	3
cg04979725	3
cg04766793	1
cg17851105	1
cg09125477	1
cg00388471	1
cg08827429	1
cg03997730	1
cg07000567	6
cg08401703	4
cg00400259	2
cg03509039	1
cg05255168	1
cg10042856	1
cg08892068	1
cg07835181	3
cg04408576	2
cg04897041	1
cg00526953	232
cg08744097	1
cg00274365	2
cg08465526	1
cg00545796	1
cg27316811	9
cg09836921	8
cg00977403	1
cg00078759	1
cg02662604	1
cg08669954	1
cg14470121	1
cg07013955	3
cg08235889	1
cg26931990	1
cg21964165	1
cg10444556	1
cg06269035	1
cg02127888	23
cg02632890	1
cg27499941	6
ch.16.97779F	1
cg07655457	1
cg08708323	2
cg14804633	4
cg10008725	1
cg06775420	1
cg03715980	1
cg07226281	1
cg05099145	1
cg07967851	1
cg08526784	1
cg00422714	1
cg08082791	1
cg00251271	1
cg01315663	1
cg02296145	1
cg03180953	1
cg00485296	2
cg07610776	1
cg03700218	1
cg07909527	1
cg05982504	1
cg02593924	4
cg00935504	1
cg09274113	4
cg01637482	5
cg07775371	1
cg05041351	6
cg01422476	4
cg27153327	5
cg08734647	1
cg03739411	1
cg01618130	1
cg05417127	1
cg03083443	1
cg27181554	1
cg13652556	1
cg10373676	1
cg07023226	5
cg16351881	5
cg04386149	1
cg27084121	2
cg09351715	1
cg09490387	1
cg27028760	1
cg15643724	1
cg18637244	1
cg10022722	1
cg00704652	34
cg01560283	1
cg26804891	1
cg07032245	1
cg23166988	7
cg10084993	1
cg20253700	13
cg06330323	3
cg16784970	2
cg03174038	1
cg01288350	1
cg08872248	1
cg07568117	1
cg19949931	9
cg03486974	1
cg02678414	1
cg05455876	4
cg06831064	1
cg07094340	1
cg04018448	4
cg03260765	1
cg10160842	1
cg09648091	1
cg02242919	1
cg21476593	1
cg07036730	1
cg09200186	2
cg06483896	1
cg02336491	1
cg06235653	10
cg27557378	3
cg04460041	1
cg05824432	1
cg05351219	1
cg07608088	1
cg05284480	2
cg09195657	1
cg09481056	1
cg04149930	2
cg06361108	3
cg04952599	8
cg06689536	1
cg00743849	1
cg27128042	1
cg02916409	7
cg08935602	1
cg07326074	1
cg09798333	7
cg09548179	1
cg09466067	1
cg03647944	1
cg09122799	1
cg08981282	1
cg01195053	1
cg06035616	1
cg11062956	2
cg02205746	1
cg10324810	3
cg10286969	8
cg04880804	1
cg01115990	1
cg20797766	1
cg03507326	1
cg07853743	1
cg07047920	1
cg06293169	5
cg03477043	1
cg09080030	35
cg03965340	1
cg06365091	2
cg01125333	1
cg27174822	3
cg10272176	1
cg07129104	3
cg27620871	1
cg02256969	6
cg03453764	1
cg16638425	1
cg07103714	1
cg26614262	1
cg02184697	3
cg04964781	2
cg22744680	1
cg07210061	1
cg04070176	1
cg10106095	1
cg04715503	8
cg07506334	4
cg07955088	7
cg02062650	1
cg07861603	3
cg07581922	1
cg12703194	1
cg05850762	1
cg00456894	1
cg26942943	5
cg26927231	2
cg06697694	1
cg05608716	1
cg06195379	14
cg03126765	5
cg10832708	1
cg03822259	1
cg09132500	5
cg27419824	21
cg03110310	3
cg26702001	2
cg14443090	1
cg07606021	1
cg03286682	1
cg03296575	14
cg26843848	1
cg27462519	1
cg05036635	1
cg05107535	1
cg00005166	1
cg10354764	1
cg05912584	1
cg27385726	1
cg05529874	1
cg07494218	1
cg01231464	2
cg07388216	2
cg09681675	1
cg09596866	1
cg03896694	9
cg00910355	2
cg00036440	1
cg14187965	1
cg02177950	2
cg02819734	1
cg05566243	1
cg07651316	1
cg04211818	1
cg02264195	1
cg06170683	1
cg06723414	41
cg27607583	1
cg02634421	1
cg01383349	7
cg04336433	4
cg06614534	7
ch.16.192535R	1
cg09519954	1
cg08211120	1
cg08364730	2
cg08402498	5
cg05351887	1
cg04987071	9
cg00087792	2
cg01738022	1
cg00061520	36
cg09262171	3
cg27014608	1
cg23519329	7
cg26781303	1
cg00739624	1
cg10065739	3
cg05813417	2
cg09515097	6
cg01356910	1
cg01346748	1
cg06416760	10
cg09866598	232
cg06206471	2
cg16518708	2
cg12071544	1
cg09941848	1
cg00962029	1
cg08583973	1
cg06139259	2
cg08873616	1
cg05856951	2
cg26513131	1
cg02642565	1
cg09549813	1
cg16577002	1
cg10116794	3
cg10270293	1
cg09440989	1
cg03420907	1
cg07812289	2
cg03963853	1
cg16576106	1
cg00033551	3
cg01861603	9
cg10090769	1
cg26780750	1
cg26544435	1
cg01762626	1
cg08407274	1
cg05757016	1
cg10059378	1
cg09338875	1
cg18699004	1
cg01369341	1
cg08661874	1
cg01661307	2
cg01261535	1
cg06976003	3
cg08329684	12
cg12400881	1
cg04807023	1
cg16344234	14
cg01678415	2
cg09944213	1
cg03877960	1
cg27664407	5
cg02768760	28
cg02424179	1
cg01372939	29
cg04928338	1
cg27168998	5
cg09141856	1
cg01421252	14
cg03979510	2
cg00768574	3
cg08464831	1
cg02230017	1
cg03072621	4
cg08545287	1
cg08015447	2
cg06447474	1
cg02909809	22
cg06035708	29
cg02217063	2
cg07115206	4
cg27376707	1
cg00853103	1
cg06233376	4
cg14642432	3
cg07849944	4
cg04671611	1
cg07891288	1
cg04383979	14
cg06705265	4
cg00491523	7
cg03623568	15
cg00962147	2
cg01597629	1
cg04006565	5
cg10413513	1
cg06271387	1
cg09696486	9
cg27199384	1
cg27282264	1
cg00590139	4
cg07944396	27
cg07568233	39
cg00480381	1
cg27623406	1
cg09683476	5
cg06719334	1
cg09599971	3
cg01050225	6
cg04631809	1
cg08911852	3
cg00253851	1
cg00393417	1
cg03072229	1
cg03718620	1
cg01881182	6
cg01221157	1
cg26915924	1
cg06604249	5
cg03594822	1
cg27436952	28
cg27018309	1
cg07692489	1
cg09196386	1
cg04267772	1
cg10245306	1
ch.16.8889012F	1
cg03553715	1
cg10359807	3
cg01300778	2
cg00414058	1
cg18186486	1
cg24128028	1
cg05548672	1
ch.16.364290R	1
cg01344243	4
cg16783478	4
cg06299307	3
cg16669395	3
cg08204867	4
cg16368442	7
cg04761722	1
cg05406943	1
cg09239744	7
cg06922606	10
cg06193383	2
cg24764979	1
cg25047001	7
cg01722994	1
cg02849103	1
cg27590541	1
cg05064297	3
cg04467063	13
cg01750261	1
cg07406359	1
cg08108362	1
cg07831164	1
cg10444066	1
cg09684846	9
cg21839338	4
cg01105356	1
cg03075683	1
cg08498465	1
cg03746015	103
cg09538603	1
cg00180470	2
cg06295404	1
cg03014241	1
cg27106356	1
cg01381613	1
cg08358964	2
cg27106950	1
cg14209854	2
cg06015997	1
cg09674048	1
cg06946797	1
cg01059290	1
cg00011122	1
cg07715894	7
cg02507033	1
cg27077070	4
cg04359558	1
cg07208513	2
cg08767044	2
cg09417209	2
cg07657131	1
cg01061890	1
cg07645614	3
cg08160706	4
cg04583000	31
cg05694761	1
cg02740093	4
cg07380907	109
cg07375912	1
cg09805403	5
cg02963624	27
cg09319797	1
cg01974761	1
cg06148375	26
cg05504279	19
cg04304019	1
cg04637129	7
cg06014057	6
cg02346241	1
cg06065802	2
cg04724177	1
cg00548009	1
cg08366846	6
cg03477008	22
cg26753721	1
cg02860732	2
cg04342955	5
cg04106647	1
cg04557544	1
cg01835308	1
cg03057083	5
cg01341170	1
cg08330224	1
cg08528231	1
cg03711016	16
cg16658473	1
cg06345462	6
cg01427630	1
ch.16.13300564R	1
cg01608304	3
cg24091698	1
cg04232282	3
cg09179046	1
cg16807297	58
cg08779305	2
cg01176694	2
cg22240667	6
cg08458852	21
cg03628000	1
cg00895174	1
cg03722068	1
cg18306327	2
cg27058221	12
cg06978461	1
cg26629184	4
cg01118031	1
cg01592662	1
cg06547203	8
cg04981088	1
cg09844907	1
cg04495687	2
cg06613738	1
cg02229757	1
cg00240860	4
cg08220149	3
cg08789739	3
cg00146612	2
cg26515755	2
cg09457490	3
cg08891096	1
cg07239018	1
cg04297457	3
cg05932648	1
cg17199483	2
cg09255514	1
cg05774166	1
cg27007513	1
cg08172479	1
cg00369056	1
cg05364884	1
cg05152300	1
cg05634915	2
cg08981478	2
cg06935356	1
cg04313565	1
cg06321596	2
cg07955064	2
cg06415864	1
cg02164615	2
cg04112889	1
cg10094624	1
cg07801681	1
cg17228833	2
cg02010776	1
cg03943839	1
cg06773604	10
cg03325633	1
cg07707687	2
cg03772408	1
cg16660394	3
cg16426779	2
cg10087036	2
cg01840591	2
cg04787325	1
cg04507187	2
cg02423452	1
cg06714021	13
cg09173861	9
cg13639881	2
cg05951521	1
cg07998072	10
cg09146325	1
cg00729475	1
cg27265032	1
cg20047230	1
cg27558006	1
cg10144719	1
cg10902432	2
cg02048627	1
cg27117720	1
cg03301165	4
cg00321149	1
cg06526997	16
cg06660174	39
cg03780561	1
cg07519235	1
cg07106490	1
cg02938926	2
cg04383212	2
cg09256941	1
cg05242592	2
cg05165982	17
cg00130707	1
cg02936347	13
cg19238840	1
cg03084308	3
cg07456201	2
cg08284233	3
cg07222434	2
cg11297236	1
cg01901656	1
cg05300045	1
cg10938486	1
cg27514874	2
cg09620718	8
cg13393964	2
cg10060338	4
cg26658439	1
cg01728704	1
cg06579338	6
cg07314549	1
cg04361266	4
cg06126593	4
cg10618159	1
cg10084509	17
cg08249899	2
cg07968770	2
cg08030625	1
cg00687714	25
cg03974347	2
cg09282869	1
cg16596604	1
cg06490869	3
cg04518477	5
cg10018105	1
cg01877391	1
cg08017156	1
cg06242416	70
cg07747521	6
cg06440287	2
cg03854665	1
cg11766698	1
cg06663648	1
cg08372297	1
cg04900667	1
cg16807577	1
cg07571928	3
cg01369829	127
cg08815306	1
cg26532102	1
cg26976078	8
cg05049784	2
cg05094264	1
cg27182019	1
cg09349940	4
cg10111816	1
cg06971029	42
cg04562714	1
cg06315598	1
cg27143946	22
cg02067239	4
cg27403265	1
cg03757784	1
cg19064258	2
cg05764691	1
cg01932956	1
cg07846885	1
cg06086389	1
cg02052410	1
cg06271652	11
cg07213414	4
cg18672446	1
cg04922034	1
cg04195543	1
cg02067405	2
cg26025944	1
cg05118482	1
cg10196861	4
cg13365761	2
cg09094674	1
cg09552652	2
cg10206931	23
cg00452252	2
cg23113963	5
cg16549389	4
cg26590082	20
cg26424556	6
cg04190119	1
cg01375172	1
cg10692753	4
ch.16.723901F	1
cg20929229	4
cg00647403	8
cg05579124	2
cg05615205	28
cg08726692	2
cg06058431	1
cg09500317	2
cg04035070	2
cg02469297	11
cg00735962	3
cg03217795	1
cg06401532	1
cg06489159	2
cg01879506	1
cg10272779	2
cg00039489	2
cg04508233	1
cg05689121	1
cg01155522	2
cg06028605	1
cg05201865	1
cg27313271	1
cg00696567	122
cg04153495	1
cg06923967	8
cg05337391	4
cg26807107	3
cg07626409	1
cg07339812	1
cg26933063	2
cg27014135	1
cg26734696	7
cg26478205	36
cg23235241	3
cg03376794	2
ch.16.785175F	2
cg06678567	6
cg26464945	1
cg05916059	4
cg03827327	1
cg16345311	3
cg14431699	3
cg02097429	6
cg09140090	2
cg01755539	1
cg00632019	3
cg07361448	1
cg06364293	1
cg27145699	1
cg03980304	1
cg26937798	2
cg03145200	2
cg03598457	1
cg10290107	1
cg19571071	3
cg04714248	6
cg01469715	1
cg26596350	2
cg07461072	1
cg10471437	7
cg03921753	4
cg04904654	5
cg02869960	8
cg04395184	7
cg26512406	1
cg01327474	1
cg07978924	3
cg26522543	1
cg09046979	1
cg00359511	1
cg07542864	1
cg02636872	1
cg04802657	1
cg01459962	1
cg26871973	1
cg07298257	1
cg00184016	2
cg00304646	1
cg16662787	7
cg02666966	1
cg00140813	1
cg05970846	4
cg05666372	1
cg04455064	1
cg08882774	5
cg07552700	4
cg02043105	1
cg00776364	1
cg17101778	1
cg03328388	3
cg16606674	3
cg00400987	1
cg08892952	2
cg27661175	1
cg01477015	1
cg03660502	3
cg00470192	1
cg01636747	1
cg07972541	1
cg08790004	2
cg27068012	4
cg00114383	13
ch.16.868576F	2
cg04958528	15
cg16441026	1
cg07044619	1
cg01085765	24
cg00416710	71
cg02030929	1
cg02914427	1
cg03549705	2
cg02640604	1
cg09815911	2
cg01395760	4
cg00037223	2
cg27254601	1
cg01383799	5
cg00635944	2
cg09010156	249
cg04603809	1
cg09969011	1
cg14989191	3
cg05197560	1
cg08256260	1
cg02218809	20
cg02170312	1
cg10705951	1
cg04170460	1
cg02647545	1
cg04729814	1
cg07303450	1
cg03086236	1
cg16152813	2
cg09283223	1
cg01165575	1
cg00667360	1
cg25568297	2
cg22739204	1
cg03669292	1
cg05676562	3
cg06367321	1
cg05984388	1
cg05313261	2
cg02521996	1
cg08966293	1
cg05280148	7
cg08464513	9
cg02138299	1
cg05839201	6
cg08160619	1
cg16498314	1
cg10424530	7
cg09439599	1
cg04926368	1
cg17152465	1
cg01081883	1
cg17640201	1
cg16707600	1
cg10192164	5
cg03941745	2
cg17696109	1
cg09973852	1
cg26749361	1
cg07842593	1
cg27277978	1
cg08314408	1
cg01355753	3
cg09099830	1
cg03095872	1
cg09835675	1
cg27191834	1
cg00938305	2
cg05117124	3
cg06114471	3
cg10185519	1
cg04657467	1
cg03175771	1
cg06899844	2
cg09046255	1
cg07590196	2
cg15928446	1
cg00879206	1
cg04289959	2
cg08232160	1
cg01753648	1
cg09370585	1
cg25773585	12
cg15970621	1
cg02409150	3
cg27151980	1
cg07226793	2
cg03941744	1
cg16626314	1
cg26618645	1
cg16712664	1
cg08405844	1
cg26698781	1
cg06435260	1
cg20470467	1
cg14290127	1
cg03495059	2
cg19364688	4
cg03627896	1
cg22305782	1
cg06876404	1
cg02815900	2
cg04033451	1
cg04961397	1
cg26635214	1
cg04586407	1
cg02043600	2
cg07537206	3
cg06284528	1
cg27513886	1
cg09061454	2
cg26350691	4
cg06225983	1
cg03095379	1
cg09818930	1
cg20527168	1
cg27429457	1
cg14301190	3
cg01699425	8
cg05924746	1
cg08730348	1
cg15468095	1
cg21006836	3
cg09493833	1
cg16422492	11
