Name	Class	Type
ESR1	ESR1	ESR1
cg25338972	CG	CG_of_ESR1
cg06611115	CG	CG_of_ESR1
cg18745416	CG	CG_of_ESR1
cg08161546	CG	CG_of_ESR1
cg19449067	CG	CG_of_ESR1
cg26794970	CG	CG_of_ESR1_regulator
cg24512311	CG	CG_of_ESR1_regulator
cg08971724	CG	CG_of_ESR1_regulator
cg08765490	CG	CG_of_ESR1_regulator
cg19720481	CG	CG_of_ESR1_regulator
cg09976774	CG	CG_of_ESR1_regulator
cg00044170	CG	CG_of_ESR1_regulator
cg11551902	CG	CG_of_ESR1_regulator
cg04852413	CG	CG_of_ESR1_regulator
cg19904398	CG	CG_of_ESR1_regulator
cg15738421	CG	CG_of_ESR1_regulator
cg05212836	CG	CG_of_ESR1_regulator
cg25972924	CG	CG_of_ESR1_regulator
cg18470891	CG	CG_of_ESR1_regulator
cg08822635	CG	CG_of_ESR1_regulator
cg10988041	CG	CG_of_ESR1_regulator
cg04932551	CG	CG_of_ESR1_regulator
cg07940072	CG	CG_of_ESR1_regulator
cg03772350	CG	CG_of_ESR1_regulator
cg00955911	CG	CG_of_ESR1_regulator
cg00744656	CG	CG_of_ESR1_regulator
cg19802865	CG	CG_of_ESR1_regulator
cg11260422	CG	CG_of_ESR1_regulator
cg01824511	CG	CG_of_ESR1_regulator
cg03026462	CG	CG_of_ESR1_regulator
cg10323697	CG	CG_of_ESR1_regulator
cg23032032	CG	CG_of_ESR1_regulator
cg01892516	CG	CG_of_ESR1_regulator
cg16581536	CG	CG_of_ESR1_regulator
cg16527491	CG	CG_of_ESR1_regulator
cg09276158	CG	CG_of_ESR1_regulator
cg10724086	CG	CG_of_ESR1_regulator
cg03015370	CG	CG_of_ESR1_regulator
cg01662117	CG	CG_of_ESR1_regulator
cg23664186	CG	CG_of_ESR1_regulator
cg14417954	CG	CG_of_ESR1_regulator
cg26610624	CG	CG_of_ESR1_regulator
cg21137823	CG	CG_of_ESR1_regulator
cg03754143	CG	CG_of_ESR1_regulator
cg22865720	CG	CG_of_ESR1_regulator
cg11345323	CG	CG_of_ESR1_regulator
cg24035370	CG	CG_of_ESR1_regulator
cg19370684	CG	CG_of_ESR1_regulator
cg07797073	CG	CG_of_ESR1_regulator
cg02347356	CG	CG_of_ESR1_regulator
cg05929117	CG	CG_of_ESR1_regulator
cg20285026	CG	CG_of_ESR1_regulator
cg01907016	CG	CG_of_ESR1_regulator
cg08484080	CG	CG_of_ESR1_regulator
cg17740743	CG	CG_of_ESR1_regulator
cg12391964	CG	CG_of_ESR1_regulator
cg23629792	CG	CG_of_ESR1_regulator
cg26059839	CG	CG_of_ESR1_regulator
cg14656575	CG	CG_of_ESR1_regulator
cg22627876	CG	CG_of_ESR1_regulator
cg06340969	CG	CG_of_ESR1_regulator
cg08115172	CG	CG_of_ESR1_regulator
cg15502607	CG	CG_of_ESR1_regulator
cg00653281	CG	CG_of_ESR1_regulator
cg04871460	CG	CG_of_ESR1_regulator
cg27264322	CG	CG_of_ESR1_regulator
cg19619416	CG	CG_of_ESR1_regulator
cg07570618	CG	CG_of_ESR1_regulator
cg24447775	CG	CG_of_ESR1_regulator
cg05463656	CG	CG_of_ESR1_regulator
cg00328210	CG	CG_of_ESR1_regulator
cg15703790	CG	CG_of_ESR1_regulator
cg17355877	CG	CG_of_ESR1_regulator
cg24475758	CG	CG_of_ESR1_regulator
cg03734700	CG	CG_of_ESR1_regulator
cg21221161	CG	CG_of_ESR1_regulator
cg19900677	CG	CG_of_ESR1_regulator
cg26221719	CG	CG_of_ESR1_regulator
cg22332100	CG	CG_of_ESR1_regulator
cg02107558	CG	CG_of_ESR1_regulator
cg04146995	CG	CG_of_ESR1_regulator
cg11699150	CG	CG_of_ESR1_regulator
cg19923417	CG	CG_of_ESR1_regulator
cg15115072	CG	CG_of_ESR1_regulator
cg11758127	CG	CG_of_ESR1_regulator
cg17815669	CG	CG_of_ESR1_regulator
cg08108679	CG	CG_of_ESR1_regulator
cg16269144	CG	CG_of_ESR1_regulator
cg04314111	CG	CG_of_ESR1_regulator
cg22332339	CG	CG_of_ESR1_regulator
cg11227141	CG	CG_of_ESR1_regulator
cg00095688	CG	CG_of_ESR1_regulator
cg24842354	CG	CG_of_ESR1_regulator
cg08439149	CG	CG_of_ESR1_regulator
cg13077150	CG	CG_of_ESR1_regulator
cg00359465	CG	CG_of_ESR1_regulator
cg04023573	CG	CG_of_ESR1_regulator
cg03959306	CG	CG_of_ESR1_regulator
cg04520340	CG	CG_of_ESR1_regulator
cg16653138	CG	CG_of_ESR1_regulator
cg13387826	CG	CG_of_ESR1_regulator
cg19803229	CG	CG_of_ESR1_regulator
cg14418633	CG	CG_of_ESR1_regulator
cg03001333	CG	CG_of_ESR1_regulator
cg13591369	CG	CG_of_ESR1_regulator
cg27587033	CG	CG_of_ESR1_regulator
cg06791083	CG	CG_of_ESR1_regulator
cg14171824	CG	CG_of_ESR1_regulator
cg01970427	CG	CG_of_ESR1_regulator
cg02482150	CG	CG_of_ESR1_regulator
cg25976434	CG	CG_of_ESR1_regulator
cg06757383	CG	CG_of_ESR1_regulator
cg14255243	CG	CG_of_ESR1_regulator
cg14599857	CG	CG_of_ESR1_regulator
cg05802244	CG	CG_of_ESR1_regulator
cg11835265	CG	CG_of_ESR1_regulator
cg26252027	CG	CG_of_ESR1_regulator
cg08000672	CG	CG_of_ESR1_regulator
cg07375700	CG	CG_of_ESR1_regulator
cg16059943	CG	CG_of_ESR1_regulator
cg22174681	CG	CG_of_ESR1_regulator
cg23820589	CG	CG_of_ESR1_regulator
cg02361803	CG	CG_of_ESR1_regulator
cg25304754	CG	CG_of_ESR1_regulator
cg12085265	CG	CG_of_ESR1_regulator
cg22868225	CG	CG_of_ESR1_regulator
cg03580279	CG	CG_of_ESR1_regulator
cg20153240	CG	CG_of_ESR1_regulator
cg06821641	CG	CG_of_ESR1_regulator
cg17495046	CG	CG_of_ESR1_regulator
cg12601506	CG	CG_of_ESR1_regulator
cg05351942	CG	CG_of_ESR1_regulator
cg14204564	CG	CG_of_ESR1_regulator
cg06176608	CG	CG_of_ESR1_regulator
cg26561349	CG	CG_of_ESR1_regulator
cg08732456	CG	CG_of_ESR1_regulator
cg17497824	CG	CG_of_ESR1_regulator
cg08659047	CG	CG_of_ESR1_regulator
cg16735509	CG	CG_of_ESR1_regulator
cg02587648	CG	CG_of_ESR1_regulator
cg19906777	CG	CG_of_ESR1_regulator
cg10761639	CG	CG_of_ESR1_regulator
cg01164686	CG	CG_of_ESR1_regulator
cg24138964	CG	CG_of_ESR1_regulator
cg20269544	CG	CG_of_ESR1_regulator
cg12711627	CG	CG_of_ESR1_regulator
cg12764620	CG	CG_of_ESR1_regulator
cg22712840	CG	CG_of_ESR1_regulator
cg04349178	CG	CG_of_ESR1_regulator
cg25139718	CG	CG_of_ESR1_regulator
cg02300356	CG	CG_of_ESR1_regulator
cg00312809	CG	CG_of_ESR1_regulator
cg19646139	CG	CG_of_ESR1_regulator
cg18888671	CG	CG_of_ESR1_regulator
cg19759051	CG	CG_of_ESR1_regulator
cg07912723	CG	CG_of_ESR1_regulator
cg02912476	CG	CG_of_ESR1_regulator
cg08651178	CG	CG_of_ESR1_regulator
cg23276504	CG	CG_of_ESR1_regulator
cg12639453	CG	CG_of_ESR1_regulator
cg16599817	CG	CG_of_ESR1_regulator
cg06315149	CG	CG_of_ESR1_regulator
cg17023856	CG	CG_of_ESR1_regulator
cg08109625	CG	CG_of_ESR1_regulator
cg00409816	CG	CG_of_ESR1_regulator
cg13072890	CG	CG_of_ESR1_regulator
cg06717814	CG	CG_of_ESR1_regulator
cg22626579	CG	CG_of_ESR1_regulator
cg19405842	CG	CG_of_ESR1_regulator
cg12713909	CG	CG_of_ESR1_regulator
cg06204101	CG	CG_of_ESR1_regulator
cg09322616	CG	CG_of_ESR1_regulator
cg02138098	CG	CG_of_ESR1_regulator
cg11781622	CG	CG_of_ESR1_regulator
cg25319188	CG	CG_of_ESR1_regulator
cg02293396	CG	CG_of_ESR1_regulator
cg17748900	CG	CG_of_ESR1_regulator
cg25407448	CG	CG_of_ESR1_regulator
cg22342249	CG	CG_of_ESR1_regulator
cg22876683	CG	CG_of_ESR1_regulator
cg13918804	CG	CG_of_ESR1_regulator
cg04315214	CG	CG_of_ESR1_regulator
cg19257562	CG	CG_of_ESR1_regulator
cg03599988	CG	CG_of_ESR1_regulator
cg03777518	CG	CG_of_ESR1_regulator
cg20250605	CG	CG_of_ESR1_regulator
cg00981070	CG	CG_of_ESR1_regulator
cg09179248	CG	CG_of_ESR1_regulator
cg17426766	CG	CG_of_ESR1_regulator
cg26910870	CG	CG_of_ESR1_regulator
cg20151494	CG	CG_of_ESR1_regulator
cg20328379	CG	CG_of_ESR1_regulator
cg27427908	CG	CG_of_ESR1_regulator
cg18803110	CG	CG_of_ESR1_regulator
cg23803603	CG	CG_of_ESR1_regulator
cg12718519	CG	CG_of_ESR1_regulator
