	cg00022259	cg00057791	cg00067124	cg00098336	cg00118342	cg00184461	cg00221718	cg00232805	cg00232831	cg00252534	cg00261665	cg00312474	cg00351750	cg00368636	cg00369058	cg00374492	cg00408231	cg00416492	cg00445548	cg00460286	cg00465073	cg00500027	cg00513735	cg00570849	cg00598009	cg00616129	cg00623200	cg00632863	cg00664343	cg00693060	cg00702417	cg00702638	cg00732251	cg00752195	cg00763889	cg00765710	cg00813993	cg00827893	cg00852398	cg00853237	cg00859178	cg00862883	cg00865962	cg00926400	cg00929493	cg00934120	cg00946316	cg00960700	cg00964400	cg00983697	cg01021658	cg01051583	cg01058584	cg01064363	cg01066936	cg01082907	cg01083711	cg01084693	cg01085569	cg01105948	cg01112899	cg01165159	cg01176141	cg01214240	cg01219670	cg01229506	cg01233664	cg01245423	cg01268571	cg01274524	cg01285522	cg01287088	cg01314643	cg01321816	cg01333824	cg01335162	cg01343624	cg01353139	cg01353347	cg01412450	cg01464067	cg01474003	cg01484075	cg01532075	cg01560873	cg01569339	cg01570445	cg01577414	cg01599167	cg01602153	cg01634119	cg01638792	cg01646665	cg01659586	cg01660993	cg01695023	cg01715143	cg01734786	cg01737667	cg01738638	cg01742263	cg01746522	cg01771876	cg01789728	cg01819787	cg01819880
TCGA.A2.A0YT.01	0,91861250881484	0,90202507608762	0,838958617216392	0,521426594546416	0,831749326722448	0,669072439267106	0,241528810687544	0,0299925761860634	0,394120310485319	0,734553341637724	0,156765091632091	0,104404381550495	0,743750273457443	0,718339707798281	0,418118704368671	0,0885279981736876	0,811819609128688	0,0407839350911273	0,983567041693859	0,925976926351298	0,644665262517579	0,82956182641689	0,972934644768103	0,887454554231112	0,886017201570959	0,0601506473263973	0,609330852422013	0,275698107879472	0,620584417875761	0,75400025511833	0,846260570395416	0,0153533333945172	0,191074952478493	0,670167613006287	0,939249030914208	0,0357081305512097	0,258798937991272	0,249401621937897	0,367425432779991	0,895612605419091	0,849079956882937	0,0510927090849121	0,928139719429272	0,674801755379232	0,913149061929962	0,0477651942928473	0,306011401531691	0,00932983580633337	0,271052722001662	0,602539826342464	0,813499354741497	0,733005656864163	0,88375131485576	0,86293574774064	0,274959043332706	0,863916558942527	0,979323880464615	0,0314495563602237	0,1609152931711	0,0371253893722604	0,704789858836514	0,712163467641367	0,98803754048786	0,965675651168767	0,74716223989082	0,470932617727289	0,503366788889321	0,130692678451521	0,824139917900351	0,527708222388487	0,0104155650678638	0,740099692152786	0,162039220028677	0,875338849099631	0,704557225022488	0,0561417228556885	0,741657456759314	0,0170137391921371	0,435475145273578	0,0510715151599338	0,642240755022756	0,84200976401017	0,868981509118444	0,636899316360456	0,720643318471844	0,697576391478179	0,947267418077194	0,426845521175833	0,480092921866089	0,797451822790428	0,0303272233864573	0,207105837687413	0,0818529712121601	0,820761693198135	0,0871034742322233	0,595907995332332	0,280791031807378	0,201012802453436	0,299114307925959	0,205068043614024	0,832248548902963	0,53303114668278	0,0260645499504031	0,0106362012256318	0,549206273823495	0,762635668330755
TCGA.BH.A8FZ.01	0,931608109894424	0,892695617041854	0,899674178302014	0,754708511871426	0,639171587987186	0,710150199337509	0,619600248653794	0,026987275843944	0,593335487437532	0,785810724996254	0,154478349415988	0,042558263322661	0,797657608624168	0,029963158048362	0,42301322507813	0,0599220534189028	0,679617399542354	0,04540404610306	0,98273762181194	0,925820644632003	0,76561066975223	0,866486182117127	0,95047608978485	0,85661734821196	0,904488463455833	0,0611345511162617	0,716172539163581	0,643689532343397	0,776212213956294	0,934235673195807	0,541016461129966	0,0135193362432528	0,637374539358669	0,30445037760366	0,958248499068624	0,0362302140556624	0,320963097401085	0,597135802092738	0,560890160462544	0,861644432623043	0,749424835281032	0,0451015267132794	0,933955088543142	0,206979268655405	0,823991457109359	0,0940123625530048	0,881782699775472	0,43422991321512	0,50039883380388	0,731231437507334	0,821106339879218	0,892986301617876	0,891917907521779	0,771254086486077	0,449655401444317	0,816419780043441	0,982749363637086	0,0363277460634395	0,608949411281193	0,0664590879468862	0,808236198273477	0,658822115015319	0,823654939066282	0,930995297771182	0,819825396294061	0,851924138480082	0,494573269514507	0,106016756469786	0,365177135602263	0,877071341902432	0,0128265917496145	0,646571115885434	0,349044981859614	0,8874156213622	0,687816241095903	0,034757392564434	0,744902810632359	0,0240316929068071	0,482416433124434	0,0631426526144927	0,863758388521017	0,805923310100552	0,74250924426081	0,848589082664584	0,713555541229896	0,93321051829434	0,967354605046141	0,312055577122161	0,39127946298973	0,521432670660673	0,0316108681808561	0,926701284913352	0,220125597620544	0,631437144863526	0,0521802007224406	0,544034455131793	0,4579307959598	0,0506295931082016	0,841690828442267	0,402091284423396	0,747083726975199	0,525610019108723	0,0261948479291682	0,0164771083052522	0,562733006821617	0,671308151131749
TCGA.BH.A0B8.11	0,946025049174808	0,90277817770913	0,771742435594603	0,830213731278004	0,574433494631473	0,544105925634678	0,228251834019771	0,0340071960273143	0,927920297053711	0,764435870144979	0,0734755495448474	0,0837300279157137	0,603978796752684	0,0188210469640224	0,501542054340495	0,0659853108557337	0,635205824204345	0,0653385827689678	0,986467816519498	0,923044791703447	0,711144194324862	0,588487715732094	0,969732629330589	0,862567545293527	0,75054142702939	0,0620437329511275	0,5398135093589	0,719763877123962	0,780310235709892	0,899483255695245	0,779224221867012	0,0603792573775376	0,492438291934389	0,148706207969394	0,88759373157986	0,0467495130439145	0,358887901681229	0,476543126994477	0,440241939245033	0,814538316235365	0,727068191155693	0,0402442453269463	0,933052999573254	0,0375188916719279	0,871941834663718	0,10991095265247	0,791554194174272	0,0114732152404954	0,457316975515027	0,500939843255952	0,843521339500517	0,820476837760999	0,787458845369975	0,869333636422939	0,236926438162741	0,827162783710459	0,983851084537591	0,0296808704471264	0,713976717173097	0,0491187198126822	0,802168338818212	0,790204348098106	0,97267146341515	0,960118662130899	0,65937937521625	0,749545948391511	0,760625936659788	0,123123871608211	0,201605757189115	0,895511200714008	0,010461739082513	0,274042818663318	0,3682020283387	0,908250915708895	0,585485822991545	0,0533591991633691	0,897656122601656	0,0329303942281762	0,364758278056658	0,0485968731030836	0,946780523471671	0,798946902039203	0,75092700097343	0,718606047167821	0,320256136052693	0,913509038186575	0,972985503790213	0,063890762543225	0,278385403931124	0,386639309058073	0,0343737225151066	0,934438769128428	0,224755578853196	0,435373126895705	0,0604137475301942	0,422596464886623	0,217612393072745	0,0315618697654945	0,892391657583767	0,528463988968376	0,536378839036293	0,544446433229409	0,0340112484557507	0,0146901886900475	0,607065278852517	0,925426461663547
TCGA.BH.A0B8.01	0,936558113982305	0,935901329839607	0,805600751572325	0,829151029276821	0,914564243999254	0,643620740089534	0,765156522119391	0,0385829112631866	0,862285350444245	0,639284333402886	0,107212358037087	0,0826764717661958	0,810101457178288	0,43535283777741	0,444490667960936	0,0595038214143736	0,939310864964381	0,088951117220997	0,686320185143277	0,939501241648469	0,352814499197747	0,848058540763735	0,97786710702511	0,903633160841002	0,365623072978101	0,172590382771622	0,798042765130432	0,884078348826256	0,504202063673475	0,800174948147103	0,855403127448283	0,0114417748406475	0,824960120945459	0,688772777440616	0,948064477350809	0,0350473087797286	0,388917725899602	0,230482657739426	0,433181773592388	0,92609197511809	0,875771253963713	0,0422674124410927	0,942953392691813	0,749940121041807	0,884705893011489	0,0795918140835893	0,933690442411165	0,197671975626374	0,833678209238831	0,88965814056086	0,895772773388604	0,859770735378116	0,928473428617284	0,932863606020272	0,104851954383154	0,915650942325542	0,98594507078313	0,0348863708546939	0,659075800158366	0,0300438660071608	0,911075530505812	0,789599942965687	0,986031903608437	0,968483449316604	0,774884094605287	0,194129645744282	0,324091820876305	0,16844106044254	0,165384807812862	0,338142888982788	0,0120352752137199	0,72241831418824	0,121146265631155	0,931289217298195	0,83388577157196	0,0468787421355835	0,945076055155884	0,0296988897024795	0,540635522834029	0,0536487312656017	0,855626997061547	0,883400056284099	0,83312375250544	0,879049406712811	0,45129067650084	0,896793372903343	0,940215253122489	0,126324456001136	0,186213982079129	0,876594771148131	0,0876299081855201	0,944327048521394	0,0458579811569037	0,873581720273011	0,0936089226682418	0,597597897959758	0,28174378781033	0,0571401957540952	0,790117724184654	0,319465106461382	0,789870046350313	0,552334220256144	0,0297137849299409	0,0130913821955249	0,603714365840305	0,764014724578823
TCGA.A2.A4RX.01	0,93220891689911	0,920338765460721	0,866979045395729	0,766278583522081	0,702469183963659	0,673184054373991	0,32674849181179	0,0222839049885937	0,514457620217395	0,656049095042684	0,282202069550404	0,0851567127010274	0,757675503890331	0,0435846465751184	0,341043734428637	0,14850333414204	0,776564635368285	0,057454664567191	0,976287404747077	0,863568150587734	0,7664234932302	0,842867677414211	0,889695547241915	0,881267352511519	0,43781014170603	0,0623345786947742	0,658410114075015	0,705018379606879	0,8340355881638	0,937029273560633	0,692617438570243	0,0268851812628529	0,619007272791813	0,346988099030511	0,935794469185588	0,0486555121758697	0,368160586833547	0,443237726664396	0,557750673608667	0,876093173411957	0,841693086786251	0,0428361017469391	0,900524157106961	0,0907836429945739	0,806589590159814	0,135918883499901	0,863481816316689	0,0172583172273362	0,469152469788081	0,721220369564129	0,799636700506076	0,781171772384033	0,924958882937098	0,872023385320144	0,526799306686814	0,731379847180452	0,980798608287244	0,0270249702513271	0,837475972735193	0,10794463404924	0,75823387062277	0,802082712257802	0,978496162215747	0,910783093652028	0,852459371440619	0,872889764237396	0,765109515521367	0,1030883630542	0,558675365991556	0,926463422868152	0,0123200356069889	0,675074812566776	0,211851723743721	0,713999130289521	0,692185178852944	0,0503692576790804	0,92960948853531	0,0324324399369148	0,366359434561853	0,0505874421088708	0,813732247724542	0,869896031527497	0,616600560467742	0,623739531327391	0,752593441396919	0,922464607778203	0,963201539448837	0,602963160922639	0,731674650283504	0,0888763185889032	0,0374263133018502	0,885106993123127	0,176365681384544	0,325556749605214	0,0707677894784668	0,370542601567158	0,235187209185251	0,0934154962505441	0,877796451406064	0,412744079630444	0,758359898439438	0,507259766636698	0,0269435159179351	0,0127635381096814	0,561077096008921	0,889952422353342
TCGA.BH.A0E0.01	0,9417951923956	0,945206245448019	0,799431116364625	0,878541701103078	0,629413974939171	0,684504084237885	0,193948491611121	0,0476712890987557	0,505042928006726	0,794810128117536	0,145986697772991	0,0839304271078583	0,816980577896274	0,0152271490426512	0,425854745971948	0,0706759995916198	0,879928860313437	0,0586090072648604	0,941443415977131	0,773238634446115	0,772852556063363	0,875722477529047	0,961464397272613	0,902226228155128	0,232283614968169	0,0322679142347748	0,708706603702436	0,360905296304986	0,905196230366711	0,919231931402943	0,808332651689378	0,00951308464661118	0,449950585528928	0,570861271826428	0,957071105747021	0,0469378437893814	0,494667921112634	0,783683036560842	0,722791665170423	0,907446630307916	0,879438006682801	0,0471155700083596	0,840190709712203	0,0251510320255027	0,900308261435057	0,0856971214325151	0,308548802953966	0,00879408157863572	0,519362195771925	0,820858129964842	0,861240603607705	0,889950848325487	0,961460020320649	0,879584455678278	0,439021230703494	0,852244701300159	0,984349418159633	0,0271395893842703	0,414401441653342	0,0774307632103775	0,882201069982827	0,674153646695176	0,986228951312774	0,896184285350422	0,768471493133841	0,878057951873881	0,820816512220993	0,126923949692389	0,106925330063276	0,763867957629975	0,00957759973710082	0,815086853895557	0,168741867696431	0,902177418951955	0,824172679961526	0,0680594609272344	0,865955487593637	0,0280563983124887	0,596995030202047	0,0571843295228254	0,920715427055809	0,888968590999582	0,873743160457871	0,590170306625949	0,742759947454036	0,927703681030145	0,905278736511241	0,37327870874156	0,304987932285603	0,039267064918495	0,0271966181822535	0,922208754273751	0,0734497141017165	0,374215972205694	0,0824559977912428	0,686428094800601	0,144136157818843	0,064104843524301	0,88510544506095	0,353910573301679	0,797624864466929	0,640160813014866	0,021758415491408	0,0117348654922219	0,580294267966594	0,71123101853393
TCGA.BH.A0E0.11	0,931302606413394	0,94724367579085	0,682781283657658	0,834193447168828	0,875266996877331	0,607555071354675	0,546709821087744	0,0373929029770765	0,751746630791707	0,803335683506741	0,0901228012189386	0,0896558195898464	0,763637189558538	0,0161324364036798	0,448647292637797	0,0720323013514195	0,671096445981634	0,0436630298409325	0,988613621658123	0,929191220090998	0,827974958393847	0,814783568195546	0,985651263773689	0,871433617823283	0,846479861019062	0,0607095404360032	0,65943303175237	0,736309585173262	0,810942692395426	0,908567241587638	0,886023573565142	0,0127144311269721	0,626544833497361	0,20121262564114	0,954504547938449	0,0421825762043066	0,295857583749917	0,519283660774738	0,515787534058015	0,745886902732377	0,904588956605635	0,0328138634726273	0,918701950799176	0,060096106843981	0,892158336651701	0,0641132101549096	0,864027255094967	0,00821999042198235	0,319391841633951	0,846201792581341	0,895356300239062	0,795795856548024	0,770999075813761	0,773005493498684	0,107482178731943	0,88947814310377	0,984694423039045	0,0286658622723857	0,85390019199366	0,0302759867138967	0,823820858188367	0,671629191137908	0,802424823829113	0,97625891389924	0,781556622600206	0,749198949269592	0,829346867318637	0,0991305413692217	0,497113806417267	0,940870154141881	0,00810724949964758	0,411614627006849	0,400926523277188	0,894790017394777	0,526391460372906	0,0477288169598677	0,905937355593521	0,0325520389191468	0,405771416842639	0,0492827393534086	0,899925658661512	0,879778884519362	0,711056578820861	0,843731535502871	0,812448374087739	0,932702895885712	0,97298520305332	0,477668347410681	0,398957266219915	0,28354461361713	0,0312385233463065	0,939066194420067	0,124531439410493	0,354000029954934	0,0709268694031973	0,552193962757441	0,294343573579273	0,0301666243752847	0,846737226932193	0,365073792708255	0,649909646947989	0,588066997536239	0,0287571093872128	0,0100355393337126	0,603806584363142	0,823605477760193
TCGA.B6.A0X4.01	0,925586403037478	0,947360347075115	0,810816665690276	0,507911571570131	0,926087954391118	0,809032165584633	0,173728624093594	0,0411335755771056	0,422397015402756	0,763209211954598	0,0779576170780528	0,0872302724595064	0,841958412844972	0,034465410367671	0,52119518851155	0,0636008939350607	0,851546920590074	0,0734781111233044	0,935175062904465	0,913090232083228	0,855260317040107	0,871381879523444	0,969336899858537	0,883946954385087	0,189127907821541	0,0484063479382669	0,78276847625719	0,590072820292805	0,359477574486511	0,756144497315199	0,750615137706892	0,0123357677203028	0,520403224055929	0,200767674866238	0,951277349376906	0,0470237537287141	0,432119513108304	0,148406399222984	0,348276980577227	0,929434364988909	0,901627426891517	0,0640246854032529	0,93558107926757	0,196555819622814	0,961558547028646	0,0497012968833077	0,913974149517213	0,0271499161072787	0,439838515263526	0,921870254309931	0,88832472642818	0,894889934491353	0,945361852203696	0,916807075153558	0,185836860228606	0,925382641577044	0,983400364131979	0,0383520828538504	0,902286175396212	0,0427556996689355	0,802938941846018	0,826464220809095	0,979391382114819	0,983005251551188	0,692399790259719	0,555609049856864	0,661304218564712	0,120012640729646	0,108128992801207	0,605915706506337	0,0103097199697273	0,822538640912688	0,107177001419178	0,944535589957718	0,554353519959912	0,0838461320633265	0,939767409121775	0,0355999895463446	0,322567907167034	0,0514290037268513	0,900381895455152	0,909980355352484	0,856431607186937	0,61071631595743	0,912280637858338	0,922382061814623	0,898453682831792	0,490600166609876	0,119951909261917	0,0353133275081225	0,0335749457272151	0,951359644630604	0,0513123782164299	0,887501040044057	0,0815057914381988	0,236452217489437	0,548668062359473	0,0418710414547258	0,918298212838463	0,17510297191359	0,839281579921513	0,640703893389083	0,0213726184847473	0,0132216896408556	0,624757627513364	0,746187421019163
TCGA.AO.A1KO.01	0,953637372084847	0,90101843471328	0,894387185969008	0,819167693180501	0,841844956078377	0,560002735668616	0,57672488108172	0,0611687372573386	0,584379425229821	0,637281619966763	0,105469772419959	0,041184118678408	0,78992495585257	0,100327031104734	0,403855060593944	0,0452884396938358	0,609594554246086	0,05914660665355	0,977431933257791	0,90228750561714	0,819432794220132	0,76541130545272	0,922486493217727	0,866462959129204	0,630633663109816	0,0687769156238211	0,667458772758168	0,656877024345471	0,911820907772332	0,902783603219232	0,832360577260407	0,0125705305360664	0,576970591441371	0,304120556133573	0,942722759611523	0,0346246276151428	0,283320209630723	0,566791039605258	0,449087942284316	0,780092020293634	0,692074204390565	0,0469837291053659	0,934727325776747	0,146025705208089	0,837832301792631	0,0743724825852469	0,855154685640613	0,00969391019340979	0,314637754848548	0,911516170881944	0,830846452743845	0,858190284929367	0,79195756114215	0,663847548163448	0,248699435264305	0,832211928883752	0,983916306820283	0,0299236208960091	0,91187818326276	0,049928459240385	0,803588032824477	0,726878428549871	0,729835076059602	0,936988586845339	0,9491216699377	0,710623752930438	0,807416251915577	0,0932497205715556	0,417561526547657	0,956410843684282	0,0133579953322981	0,495039639362003	0,31981416467012	0,846362152397571	0,580102416865348	0,0632774388421029	0,93130463883832	0,0335869432910568	0,449087850927656	0,03230739974777	0,881383963388647	0,850884923410197	0,700331367565674	0,815781270281504	0,822980208025801	0,93403311040061	0,977788396952759	0,396218244447274	0,574896722798297	0,169709335246477	0,0390786753251809	0,766378481027519	0,124968519991764	0,26969043816196	0,0567107991242554	0,43888705077199	0,244472016869633	0,0428126307808777	0,892223251220788	0,3086642046344	0,71969733949895	0,484322326936324	0,0223987510503667	0,0111760885354927	0,59669267026854	0,860304094752631
TCGA.BH.A1EU.01	0,947278038009949	0,934082887037163	0,892436845053693	0,556817943687443	0,559933240313565	0,724474105482919	0,526949982986187	0,0659735729997476	0,651089541801733	0,75806569315264	0,121696646497253	0,0764267164372443	0,791219252738002	0,030973998440534	0,546908179285726	0,112943196399851	0,772433752662458	0,0557250774228293	0,980343738474265	0,930235345982094	0,745882575603041	0,723698009699624	0,974671860014427	0,882416347861521	0,793891784519306	0,0388514107273826	0,754671627985736	0,794002868242406	0,659189200431894	0,931919064177203	0,627878190428049	0,0139256833527055	0,562551073639202	0,416005844771958	0,947911179076917	0,0404736090852468	0,415671342046322	0,492023681480893	0,641011665425792	0,803345497876582	0,679417734160532	0,0343281839382373	0,913242671090154	0,30616537943293	0,877115352050794	0,1923798798034	0,933341208448544	0,538877323327396	0,373376506631313	0,86081507567834	0,815119088484072	0,89072616919073	0,845417657924134	0,891824966180855	0,559483259934073	0,727498844066568	0,986851507048735	0,0348320070642052	0,401752525515289	0,0579920118255488	0,824511914157295	0,690175003440609	0,983122226919947	0,836693877828134	0,787666088689318	0,727768384102101	0,802594607009442	0,0982912843533222	0,723111555026944	0,788133495919808	0,00859938390591704	0,51851941847338	0,247116564844434	0,92866709105641	0,735489092498051	0,0696917954014456	0,935522038282944	0,0373157975853409	0,449374506154137	0,0465635714866795	0,886978971069308	0,847110203220555	0,752055060099588	0,853178377618572	0,492848007760203	0,912011741308286	0,964863221785436	0,205192451929301	0,444345304503898	0,195013471816907	0,034107397401173	0,885298058122792	0,124763549253863	0,427914962482955	0,0971305169550009	0,417298619819403	0,337749279298123	0,0670064263521374	0,796720044538857	0,461500441907813	0,706419057970359	0,61540786117198	0,0256663887671264	0,014196162258906	0,573786863652718	0,905791878459364
