DNA	Degree	Degree Rank	Sign
cg22761619	17.0	1	+
cg11694119	16.0	2	+
cg14534336	16.0	3	+
cg24183909	15.0	4	+
cg20795117	13.0	5	+
cg18975638	13.0	6	+
cg12020983	12.0	7	+
cg23784313	12.0	8	+
cg09579323	11.0	9	+
cg18006085	11.0	10	+
cg25296982	11.0	11	+
cg03546360	10.0	12	+
cg03655701	10.0	13	+
cg04245131	10.0	14	+
cg05685023	10.0	15	+
cg01441777	10.0	16	+
cg07313319	10.0	17	+
cg06991495	10.0	18	+
cg15059162	10.0	19	+
cg10617287	10.0	20	+
cg25979244	10.0	21	+
cg18011946	10.0	22	+
cg18126572	10.0	23	+
cg23312397	10.0	24	+
cg01564818	9.0	25	+
cg06489037	9.0	26	+
cg04977602	9.0	27	+
cg03676485	9.0	28	+
cg04902811	9.0	29	+
cg06748147	9.0	30	+
cg09116658	9.0	31	+
cg16989719	9.0	32	+
cg13249789	9.0	33	+
cg14510301	9.0	34	+
cg25680916	9.0	35	+
cg22192301	9.0	36	+
cg05352688	8.0	37	+
cg03547355	8.0	38	+
cg04571130	8.0	39	+
cg07298473	8.0	40	+
cg06784824	8.0	41	+
cg02546477	8.0	42	+
cg03998264	8.0	43	+
cg06422039	8.0	44	+
cg03839161	8.0	45	+
cg00610310	8.0	46	+
cg02258482	8.0	47	+
cg04813834	8.0	48	+
cg08320303	8.0	49	+
cg07787614	8.0	50	+
cg06561886	8.0	51	+
cg15840039	8.0	52	+
cg13996453	8.0	53	+
cg12568776	8.0	54	+
cg15858894	8.0	55	+
cg09920632	8.0	56	+
cg24590633	8.0	57	+
cg26804128	8.0	58	+
cg22215258	8.0	59	+
cg24631360	8.0	60	+
cg26449836	8.0	61	+
cg23655651	8.0	62	+
cg17772490	8.0	63	+
cg20900312	8.0	64	+
cg24621042	8.0	65	+
cg06942111	7.0	66	+
cg02086349	7.0	67	+
cg06182359	7.0	68	+
cg04231677	7.0	69	+
cg05699921	7.0	70	+
cg05721773	7.0	71	+
cg05981785	7.0	72	+
cg00610692	7.0	73	+
cg01157280	7.0	74	+
cg06634862	7.0	75	+
cg05877402	7.0	76	+
cg07630327	7.0	77	+
cg07243147	7.0	78	+
cg01471372	7.0	79	+
cg03852570	7.0	80	+
cg04883026	7.0	81	+
cg05697249	7.0	82	+
cg05132828	7.0	83	+
cg07327299	7.0	84	+
cg02818170	7.0	85	+
cg07643267	7.0	86	+
cg04259907	7.0	87	+
cg01035931	7.0	88	+
cg09152259	7.0	89	+
cg17541142	7.0	90	+
cg17140469	7.0	91	+
cg12426141	7.0	92	+
cg13556253	7.0	93	+
cg24041799	7.0	94	+
cg26690834	7.0	95	+
cg21183846	7.0	96	+
cg21976880	7.0	97	+
cg17873919	7.0	98	+
cg22408278	7.0	99	+
cg23859078	7.0	100	+
cg26362488	7.0	101	+
cg23634478	7.0	102	+
cg25316898	7.0	103	+
cg00777271	6.0	104	+
cg07175301	6.0	105	+
cg02458141	6.0	106	+
cg01598144	6.0	107	+
cg02592133	6.0	108	+
cg00119073	6.0	109	+
cg00872683	6.0	110	+
cg03331514	6.0	111	+
cg06340364	6.0	112	+
cg02171771	6.0	113	+
cg02126477	6.0	114	+
cg03544499	6.0	115	+
cg03875819	6.0	116	+
cg01754756	6.0	117	+
cg04959790	6.0	118	+
cg02331303	6.0	119	+
cg07807026	6.0	120	+
cg02914652	6.0	121	+
cg01934781	6.0	122	+
cg01306688	6.0	123	+
cg03608224	6.0	124	+
cg02621481	6.0	125	+
cg04158862	6.0	126	+
cg04168474	6.0	127	+
cg06377256	6.0	128	+
cg01264729	6.0	129	+
cg02479497	6.0	130	+
cg00066663	6.0	131	+
cg03264464	6.0	132	+
cg05341260	6.0	133	+
cg00735611	6.0	134	+
cg06376161	6.0	135	+
cg04498014	6.0	136	+
cg04178634	6.0	137	+
cg00952322	6.0	138	+
cg10040836	6.0	139	+
cg11674664	6.0	140	+
cg08536167	6.0	141	+
cg13068082	6.0	142	+
cg10657986	6.0	143	+
cg11608447	6.0	144	+
cg12737152	6.0	145	+
cg17656267	6.0	146	+
cg15483044	6.0	147	+
cg16787365	6.0	148	+
cg16751781	6.0	149	+
cg10444350	6.0	150	+
cg08408874	6.0	151	+
cg23467008	6.0	152	+
cg23731901	6.0	153	+
cg21210531	6.0	154	+
cg25711079	6.0	155	+
cg23449588	6.0	156	+
cg24704593	6.0	157	+
cg26549552	6.0	158	+
cg20173428	6.0	159	+
cg19432393	6.0	160	+
cg17826679	6.0	161	+
cg21019253	6.0	162	+
cg24480577	6.0	163	+
cg23212388	6.0	164	+
cg24751886	6.0	165	+
cg02152417	5.0	166	+
cg07680533	5.0	167	+
cg06441106	5.0	168	+
cg04891053	5.0	169	+
cg04019636	5.0	170	+
cg06233202	5.0	171	+
cg02251243	5.0	172	+
cg02344497	5.0	173	+
cg05724065	5.0	174	+
cg07127888	5.0	175	+
cg00146027	5.0	176	+
cg05883167	5.0	177	+
cg01267709	5.0	178	+
cg07178968	5.0	179	+
cg05575505	5.0	180	+
cg02627216	5.0	181	+
cg05505961	5.0	182	+
cg01597604	5.0	183	+
cg13393754	5.0	184	+
cg14795708	5.0	185	+
cg10387807	5.0	186	+
cg12624805	5.0	187	+
cg10235056	5.0	188	+
cg12445461	5.0	189	+
cg10216820	5.0	190	+
cg16550282	5.0	191	+
cg09965679	5.0	192	+
cg16226627	5.0	193	+
cg09199933	5.0	194	+
cg17432135	5.0	195	+
cg23543604	5.0	196	+
cg25114580	5.0	197	+
cg22966065	5.0	198	+
cg21038780	5.0	199	+
cg25879142	5.0	200	+
cg19992672	5.0	201	+
cg20293894	5.0	202	+
cg25746746	5.0	203	+
cg27131667	5.0	204	+
cg22356484	5.0	205	+
cg25460935	5.0	206	+
cg20631750	5.0	207	+
cg01824511	4.0	208	+
cg07181843	4.0	209	+
cg01017395	4.0	210	+
cg02856716	4.0	211	+
cg04077668	4.0	212	+
cg06419659	4.0	213	+
cg03685774	4.0	214	+
cg06121450	4.0	215	+
cg05653018	4.0	216	+
cg03545972	4.0	217	+
cg05656900	4.0	218	+
cg05335893	4.0	219	+
cg05539265	4.0	220	+
cg01870865	4.0	221	+
cg08133629	4.0	222	+
cg02882530	4.0	223	+
cg01059609	4.0	224	+
cg06607519	4.0	225	+
cg06327814	4.0	226	+
cg06112894	4.0	227	+
cg07414392	4.0	228	+
cg00520933	4.0	229	+
cg07959747	4.0	230	+
cg02477603	4.0	231	+
cg06252985	4.0	232	+
cg03350366	4.0	233	+
cg04155231	4.0	234	+
cg05191839	4.0	235	+
cg02299497	4.0	236	+
cg01991934	4.0	237	+
cg03286535	4.0	238	+
cg01815912	4.0	239	+
cg00874605	4.0	240	+
cg04820773	4.0	241	+
cg02385230	4.0	242	+
cg00847221	4.0	243	+
cg04268643	4.0	244	+
cg00699986	4.0	245	+
cg01248445	4.0	246	+
cg02983759	4.0	247	+
cg03962200	4.0	248	+
cg16795466	4.0	249	+
cg14487356	4.0	250	+
cg16555184	4.0	251	+
cg10884975	4.0	252	+
cg15897423	4.0	253	+
cg11809702	4.0	254	+
cg13316191	4.0	255	+
cg11204444	4.0	256	+
cg09478597	4.0	257	+
cg16932652	4.0	258	+
cg17391830	4.0	259	+
cg24349919	4.0	260	+
cg23164938	4.0	261	+
cg18792584	4.0	262	+
cg23097033	4.0	263	+
cg25627913	4.0	264	+
cg26550787	4.0	265	+
cg23731089	4.0	266	+
cg18981946	4.0	267	+
cg18166347	4.0	268	+
