"cg00702417"	"cg00118342"	+
"cg00827893"	"cg00118342"	-
"cg00865962"	"cg00118342"	+
"cg00934120"	"cg00118342"	-
"cg00983697"	"cg00118342"	+
"cg01066936"	"cg00118342"	-
"cg00752195"	"cg00408231"	+
"cg01287088"	"cg00408231"	+
"cg01742263"	"cg00408231"	+
"cg00865962"	"cg00702417"	+
"cg01066936"	"cg00702417"	-
"cg01287088"	"cg00702638"	-
"cg00853237"	"cg00752195"	+
"cg01176141"	"cg00752195"	+
"cg01287088"	"cg00752195"	+
"cg01333824"	"cg00752195"	+
"cg01742263"	"cg00752195"	+
"cg01066936"	"cg00827893"	+
"cg01602153"	"cg00827893"	-
"cg01659586"	"cg00827893"	-
"cg01064363"	"cg00853237"	+
"cg01176141"	"cg00853237"	+
"cg01333824"	"cg00853237"	+
"cg01659586"	"cg00853237"	+
"cg01066936"	"cg00865962"	-
"cg01066936"	"cg00934120"	+
"cg01176141"	"cg01064363"	+
"cg01333824"	"cg01064363"	+
"cg01287088"	"cg01176141"	+
"cg01333824"	"cg01176141"	+
"cg01742263"	"cg01176141"	+
"cg01333824"	"cg01287088"	+
"cg01742263"	"cg01287088"	+
"cg01659586"	"cg01333824"	+
"cg01659586"	"cg01602153"	+
