"cg00022259"	"cg00057791"	"cg00067124"	"cg00098336"	"cg00118342"	"cg00184461"	"cg00221718"	"cg00232805"	"cg00232831"	"cg00252534"	"cg00261665"	"cg00312474"	"cg00351750"	"cg00368636"	"cg00369058"	"cg00374492"	"cg00408231"	"cg00416492"	"cg00445548"	"cg00460286"	"cg00465073"	"cg00500027"	"cg00513735"	"cg00570849"	"cg00598009"	"cg00616129"	"cg00623200"	"cg00632863"	"cg00664343"	"cg00693060"	"cg00702417"	"cg00702638"	"cg00732251"	"cg00752195"	"cg00763889"	"cg00765710"	"cg00813993"	"cg00827893"	"cg00852398"	"cg00853237"	"cg00859178"	"cg00862883"	"cg00865962"	"cg00926400"	"cg00929493"	"cg00934120"	"cg00946316"	"cg00960700"	"cg00964400"	"cg00983697"	"cg01021658"	"cg01051583"	"cg01058584"	"cg01064363"	"cg01066936"	"cg01082907"	"cg01083711"	"cg01084693"	"cg01085569"	"cg01105948"	"cg01112899"	"cg01165159"	"cg01176141"	"cg01214240"	"cg01219670"	"cg01229506"	"cg01233664"	"cg01245423"	"cg01268571"	"cg01274524"	"cg01285522"	"cg01287088"	"cg01314643"	"cg01321816"	"cg01333824"	"cg01335162"	"cg01343624"	"cg01353139"	"cg01353347"	"cg01412450"	"cg01464067"	"cg01474003"	"cg01484075"	"cg01532075"	"cg01560873"	"cg01569339"	"cg01570445"	"cg01577414"	"cg01599167"	"cg01602153"	"cg01634119"	"cg01638792"	"cg01646665"	"cg01659586"	"cg01660993"	"cg01695023"	"cg01715143"	"cg01734786"	"cg01737667"	"cg01738638"	"cg01742263"	"cg01746522"	"cg01771876"	"cg01789728"	"cg01819787"	"cg01819880"
"cg00022259"	1	0.111577808211546	0.0883082222293489	-0.00777252800251541	-0.00451436789711435	0.0532003052792184	0.0515703806088381	0.115955937964541	0.0322747951630856	0.0418478880053667	0.103926927632485	-0.0119499907884068	0.0793998390080633	-0.0133703035360378	0.00320029302354289	0.0625478118348971	0.0224819254431946	0.109422612124493	-0.00596730867215298	0.049639015213172	0.0313330793097011	0.179644066480385	-0.0215233872557211	0.143387365953186	-0.00910910260023463	0.0532315153031222	0.0503350334433281	0.0445427794000894	0.000966667789446357	0.0133187077579367	0.00201939610081734	0.0436639958859702	0.0318270982749751	0.013357860986226	0.0813733414325029	-0.0984565411382633	0.082390953375527	0.0695172709939242	-0.00879948272684299	0.119460155435253	-0.0586830787292992	0.0975261769610558	0.192730313354634	-0.022380959837298	0.0473694840031494	0.0759423633664341	0.00585699074074398	-0.0200747803685054	0.0483424264431293	0.0110991228380714	0.0333026118303744	0.101364709579744	-0.0013758181475263	0.0393799514911955	0.0286591802913346	0.00767688626570478	0.091413690872379	0.0697832083397485	-0.0110347307566173	0.0826218723985964	0.0351467345670033	0.0533631618073247	-0.0108537849231654	-0.000736782699658693	0.124076274253395	0.00142282838460687	0.0258315639840813	-0.0137679774795745	0.00338698789799528	-0.0414325214738658	-0.0829963388881963	-0.0144779866538872	-0.0275588616232279	0.0442970997415811	0.0666950032008947	-0.0761315291197604	-0.00845392108709618	-0.0770163421756726	0.0334470154038887	-0.0829259739506303	0.0919334968864872	0.100731463580067	0.0122862328535474	0.100680195779386	0.0240128331879509	0.0907916635542489	-0.0012993651065574	-0.0184308145034324	-4.56769143814041e-06	-0.00705462800859183	0.0950659120685005	0.0442132839097302	0.0702540176697639	0.0298327537126028	0.00905315589268363	0.00283863057135725	0.0689703422242224	0.0190630020868621	0.0540867137696272	0.0459225400436018	0.0770950994716114	0.0804590455506075	-0.25538611452372	-0.17741595640949	0.0396073242680995	0.05862733020446
"cg00057791"	0.111577808211546	1	-0.17911747011518	0.128842650702602	0.317541160626539	0.0686044534131684	0.145359846260893	0.298707366625926	-0.0096458163020894	0.307380376870699	-0.0981894308696608	0.195331950279525	0.228481022879051	-0.0328371502238229	0.265920170936644	0.0548820126045086	0.0399672944877075	0.119744669713655	0.052580144938988	0.162152562692645	0.126457017615854	0.133098405426745	0.136647520407639	0.468936676628852	0.150900643862458	0.112167251006701	0.157849394361459	0.160961499964774	0.0241303925703239	0.0833036295238234	0.305660787956437	0.0612448559886312	0.149973297196412	0.0884459324644778	0.224511092600179	0.0732672106979918	0.205756757683036	-0.138793388820078	0.0409291195163061	0.0854175997501549	0.151476032099754	0.130323240792262	0.392398842445645	-0.0433954682067786	0.363053900854086	-0.0666972457408254	0.149276376285706	0.0923635864026409	0.00379038111754451	0.26148965974339	0.288891339789887	0.0190342247511166	0.0394514911397329	0.179481451355536	-0.268698143956648	0.290814503223623	-0.0815134267777707	0.157597356499244	0.0323301579838632	-0.103790676149305	0.231334665546909	0.002925484133752	-0.0326401124483552	0.131224303238563	0.00634069557736492	0.0886895555858606	0.105195955705002	0.251982631322769	0.0099133364447226	0.0026080149544857	-0.163242664778388	-0.0880540929678452	0.0457734020747558	0.224529294342758	0.133408138034395	0.0470709731509908	0.0390887238426964	0.0344867013751064	0.125905572247742	-0.0536637074571134	0.190149542606042	0.257633959242769	0.203436355475297	0.210541960751857	0.138054665925296	-0.00581998209187324	-0.0303268653403359	0.114157006966975	0.0561101573051364	0.16869618151982	0.31579964043864	0.0379314758863883	0.136967041221495	0.204232704862926	0.382493662596848	0.321732301210041	0.139033549533785	0.121235093454998	0.0355107750323647	0.00772599956777401	0.127656174698577	0.192467190687303	0.110465195657942	-0.0403638839240305	0.128111282813825	0.00281112855679043
"cg00067124"	0.0883082222293489	-0.17911747011518	1	-0.0343136164732312	-0.131094562000282	0.115619462449048	-0.0161557771287397	0.192317585957126	0.0392905038056697	-0.0192740497095256	0.100566883049146	-0.124723619304872	-0.00359953498690082	0.0762899005218116	0.0732157558555165	0.0144926042315602	-0.00352858825239551	0.127538910157807	-0.00851004052137815	-0.0559364584311867	-0.0547483334366304	0.102009786936995	-0.113350289572969	-0.00218477291351701	0.0327383186986626	0.00799620623031831	0.0401516101663239	0.0718193786575263	0.021726736970241	0.140788829277873	-0.0748047206238653	0.0456589016722815	0.0315498787977306	0.013564631427519	0.0839562012300703	-0.44854669472624	0.0560797705001729	0.0208726576856315	0.00901222310856737	0.0670749712348853	-0.0677903496626053	0.205538905258987	0.0814014003698184	-0.0831181262806599	-0.0465308860184075	0.138032406692253	0.00630028662296972	-0.0719769234588883	0.0680396917350033	0.00598798678107608	-0.0339705024849062	0.204794679833731	0.0239128804032695	-0.073578641841338	0.14532937532941	-0.123869337886264	0.0627150181993809	0.0219381131402698	0.0303655154960753	0.0593605391635271	-0.0127968902394703	-0.0305923493746902	0.00104951449647328	-0.0404125440308822	0.380000297542012	-0.0482083770290941	0.0211787125011744	-0.140201437016185	-0.0808919991617813	0.0750479776490308	0.00754257836552942	-0.00784082511211136	0.0249014167489965	0.0647064529928814	0.126883829767784	0.0595010728576426	0.0282930568714723	-0.0705983826751459	0.00796794347689792	-0.0721690468828154	0.0164490750700762	0.0261882741573432	-0.050539141817519	0.0191822583661886	-0.0667685412023186	0.09341104624054	0.0578043935722187	0.0199372189452253	0.0479113702934911	-0.072156414776226	0.0994198627031388	0.0710713520452234	0.157416269253626	0.096448899747221	-0.174109968545094	-0.159087702473984	-0.042522741951467	0.0156631647681507	0.203245848403036	0.0435922042984669	-0.052497279232596	-0.102915064379801	-0.224877073344926	0.0341849164534106	0.0701668794595567	-0.0371898973143248
"cg00098336"	-0.00777252800251541	0.128842650702602	-0.0343136164732312	1	-0.0868510995019506	0.0267192852203322	-0.0784051018734378	0.112532352443079	0.0410973965118569	0.144437467960956	0.084279463022387	0.000191791289571942	0.0214278308721138	0.0101848757720199	-0.0918423678276107	0.0741322316073278	-0.100830402123867	-0.0524655061066335	0.224297984215493	0.273944591073634	0.476122919396767	0.0924196709017883	0.403117146956509	-0.0168844057868677	-0.179475679366437	-0.0965422551785213	-0.0727481288919887	0.323752594222961	0.436664434425935	0.328505732964636	0.256165468318585	0.138527315239872	-0.0460640364264972	-0.164006199891972	0.0757908754535134	-0.0377608912510257	0.0992531941560223	0.372751760972596	0.0964448199406589	-0.215783756874513	-0.0126131134818227	0.066992441628832	0.0949664020570043	-0.0634209854216466	0.0187153781435972	0.119665729831433	0.199479096247728	-0.132430318650277	-0.0801826610229636	0.0996074310537174	0.267083158901147	0.254519675136262	0.102177112297805	-0.0748231533422365	0.0853240180890002	0.394378958801451	-0.0212477319367665	0.0541375266225118	0.525626225871932	0.0582909002743952	0.351508212919113	0.375342679354205	-0.266497985293022	0.348834290146268	0.152961830975396	0.372786532977494	0.395078958160297	0.0744990503603072	-0.081374384571358	0.324762021631431	-0.115252464846045	-0.232998770878725	0.285269935016731	-0.0727139603495879	-0.274657415562282	0.0809241357033732	0.29645721290791	-0.0509802069901681	0.152601459152348	-0.0869254382662371	0.201556192927763	-0.0685537708875457	0.200849458766801	0.0130235534885754	0.134335758766258	0.307272894514099	0.291634722281709	0.0936469796002059	0.121112522847242	-0.211068630796646	0.121546994845268	0.136352064774905	0.209214762603762	-0.268419021956142	0.11396791981007	0.22555226501723	0.0435560320001426	-0.0521594892555098	0.276210469362712	0.111209360594089	-0.266474225531188	-0.0297877960955518	0.00936020989164925	-0.0341312486595127	-0.0474809313261017	0.253920190160107
"cg00118342"	-0.00451436789711435	0.317541160626539	-0.131094562000282	-0.0868510995019506	1	-0.0793318172348508	0.141186212193672	-0.00419229872842858	-0.305077888821824	0.206747281964053	-0.228341959361169	0.0203563117300949	0.154038182366715	0.0552306493669215	0.0298965901239076	0.0979192573276707	0.23018028622282	0.0136051175484131	-0.0416238890354746	-0.0700338503285004	0.0233307376770528	0.0922908412869553	0.0170409862896031	0.237388214177796	0.0586143013203911	-0.0334777056171793	0.22708551388838	-0.0730613362723513	-0.175854671794986	-0.099902638017057	0.612084352296971	-0.0902040605642203	0.331652846904049	0.353361137370339	0.11044778063951	-0.0571020140416944	0.355113223270321	-0.515645151398306	0.1189757016107	-0.00259990081153734	0.130228807321645	-0.0117789195239325	0.487587888304804	0.0977705986976016	0.478629358054858	-0.597765045795076	-0.152372143511277	0.191576339064101	-0.16411231389876	0.538382677000153	0.253672623068851	-0.168991134729544	0.0068505762025924	0.106018576572453	-0.778477857882643	0.300917393856432	0.0563125972739839	0.0183868658166539	-0.0667370857980519	-0.22293676404523	0.162623807554327	-0.181855711299093	-0.0568824463075755	-0.0601505994427047	-0.10151322171702	-0.183020331417219	0.118730356017154	0.0393794660449105	0.167108551943538	-0.24690346541415	-0.0632563970892599	0.130190983620426	-0.266906621037853	0.111076422504117	0.0954041574533062	0.0987665159191158	-0.191659770718901	-0.00599812948614823	-0.0757946236216646	-0.0318995689652578	-0.000541241443787619	0.204064536752867	0.211121236581759	0.00685426749773381	0.368323742981279	-0.0973674647351739	-0.193957508049293	0.250619521386483	0.0741760077470857	0.28817253667796	0.000295471140509041	-0.0304884040812092	-0.198408469446184	0.179785637552036	0.11512819371416	0.283067228311492	0.280501112153585	0.151770778179623	-0.101962101088188	-0.459791586511989	0.240354913664573	0.175003761543704	-0.0153062679538229	-0.101047125107743	0.0771569320495724	-0.270794724199438
"cg00184461"	0.0532003052792184	0.0686044534131684	0.115619462449048	0.0267192852203322	-0.0793318172348508	1	0.0992244504176716	0.139306340825672	0.123055858062139	0.0841060829144052	0.177399632891428	0.150011888641381	0.224318895156499	0.1120447204706	0.108874319723432	0.119030440872502	0.235286118162092	0.0811582158969659	0.196652304667653	0.235543018642534	0.0242958933992848	0.244485808671873	0.155479543044949	0.208646718006792	0.0476172092553121	0.0612744645042642	0.32453081568239	0.12816682387132	0.0367780763770898	0.0740337429130307	-0.0437893910592454	-0.102628261694243	0.117577378839738	0.207725473238774	0.0927526542482642	-0.0738952891654581	0.277159188206975	0.0516546953297654	0.234911904468977	0.366637157247829	0.045692780757658	0.147957918936477	0.031625114741623	0.0734042996997839	0.0214254688697872	0.171498246796034	-0.0357736679985853	0.0398630921289591	0.202879274828399	0.134837025642871	0.124104382761349	0.14430385105747	0.181218642010688	0.323069863586169	0.136118474736576	-0.00792807599163568	-0.111610757973924	0.0571279332898237	0.0745044225828232	0.0339833467814909	0.227271708662829	0.218621930249244	0.210337626340961	0.0569424641941923	0.12012917970646	0.0889420167117505	0.151152646494953	0.135589252571834	0.0484389002052512	0.0592134496304773	0.015866136055454	0.141512634627695	0.0329498615843376	0.158465002594434	0.417815899408148	0.226179799948813	0.030098820036728	-0.00944430270496534	0.121717874096467	0.0377736693725719	0.210255581621614	0.0930103447245795	0.156565201967544	0.206742594977418	0.142702387424846	0.162371956342604	0.0565475933785259	0.0906927504218688	0.175968497339559	-0.0475391718901127	0.124003557947277	0.156702262896882	0.160663146590611	0.158861731313162	0.0719118671237411	0.178091189527086	0.0683257488340802	0.0936773700174789	0.026933043517167	0.0427868549986394	0.255700982985475	0.191720304480631	0.0101213486098055	0.0258469041196354	0.172187172531582	-0.0136235846930442
"cg00221718"	0.0515703806088381	0.145359846260893	-0.0161557771287397	-0.0784051018734378	0.141186212193672	0.0992244504176716	1	0.114369915931059	0.0177984570213867	0.307799854334468	0.0404654153912002	0.174808951031473	0.512673446932372	0.03449480100768	0.198504008377426	0.171951491496882	0.175910453167616	0.184912964919669	-0.0510915892346295	0.20841259955131	-0.0306979547883788	0.283321806013598	0.0569936972032359	0.249449291705958	0.222214960160385	0.0268746171488928	0.450432331001589	0.105309925259202	-0.00494123384810075	0.0376447981807762	0.0439128092400771	-0.178969555855187	0.273976470820768	0.300114961221122	0.278415411599892	-0.0458311950970405	0.163003611173659	-0.0626568130129365	0.120569352396425	0.107164179795915	0.12977976752075	0.0848426893739354	0.0633197134518514	0.0867219723454362	0.140119450946046	-0.0790874409735417	0.12206168875764	0.215705800085442	0.107519876923652	0.324460849651432	0.0908094417634469	0.0190472531600805	0.146818027722653	0.018508495503985	-0.0136853829195057	0.100858829663821	-0.0152053444567896	0.0496697868442033	-0.0984746470536584	-0.0249127412721963	0.15317833582596	-0.121337524060755	0.00911330298750055	0.0896968762935524	0.0144845605633154	0.00145696712628755	0.137791719675011	0.143759395341146	0.202423725474105	-0.0689869120354261	-0.0201490740422586	0.234380835868986	-0.04146484863771	0.126523996485118	0.2226617446904	0.0935445090971904	-0.0854194362718166	-0.0237471431236317	0.0991708605437919	0.0546756498192825	0.25951777967937	0.0759222877831794	0.18078935908847	0.293892963521627	0.0950090073773088	0.070714330132214	-0.15980746107936	0.243398891760667	0.103220957447268	0.17704016866526	0.142902023287156	-0.024773320590677	0.0015887962049562	0.364927714423123	0.131531311916062	0.292086885115807	0.273908903844455	0.16031410903535	0.0750411444336364	0.0958171092239738	0.328642705600753	0.190474714339619	0.0323526110105424	0.0056354823687689	0.0821894103001586	0.00955695220830021
"cg00232805"	0.115955937964541	0.298707366625926	0.192317585957126	0.112532352443079	-0.00419229872842858	0.139306340825672	0.114369915931059	1	-0.0278153442467086	0.180670206662048	0.256544522705382	0.292594470561011	0.21624307835551	0.0586595855638218	0.288290745447921	0.102321888934371	-0.0212035171944802	0.326768173889522	0.013832031482684	0.124161004082257	0.101630020923693	0.144049175848816	0.00462600430679815	0.31875633468693	0.0884189446139704	0.263624267494706	0.0970998398268731	0.171574263524492	0.0784442015184717	0.102723994633735	0.105853750356255	0.158499472600974	0.0503635500840404	0.0938973374158443	0.208914738360089	-0.271593464285491	0.114139241577376	0.115247349745601	0.0102564981256822	0.152855203237965	0.0859546023018704	0.597318450838196	0.220877478297548	-0.0238341587772658	0.144239960909294	0.298346823382041	0.158920135517184	-0.0137423108158761	0.0996045733586619	0.112778907694971	0.120850725781618	0.0987147851056599	0.0408599024256942	0.118575259793669	0.135485093721195	0.114260866689767	-0.316427335265783	0.465462222358949	0.138283765903283	0.173431143214002	0.120301844711109	0.080775140865294	0.00951047548293383	0.0237931846658132	0.284737888403811	0.174224751291053	0.08044969998595	0.391813751935551	-0.105277516847119	0.0829941201499204	-0.14352057824276	-0.148150722422279	0.169762763910483	0.0880523757043413	0.130225089878897	0.131857179345296	0.0866592118834068	-0.0413257017421034	0.211859137845424	0.031098391813793	0.11417454489021	0.138249865100496	0.0613947784043875	0.0767043733112044	-0.0209137628996785	0.15794932325232	-0.0198275073836857	0.0380401221795714	0.127351593286296	-0.00511770527474588	0.750625009497563	0.0638949807078638	0.527460886431356	0.109344010236063	0.458571157619719	0.0967379457303148	-0.000849611655268323	0.0674614469856103	0.178348132400347	0.280691378958086	0.0283856182798287	0.0157413044474839	0.201258453905665	-0.00902474588348707	-0.1400685298876	0.0991375123680125
"cg00232831"	0.0322747951630856	-0.0096458163020894	0.0392905038056697	0.0410973965118569	-0.305077888821824	0.123055858062139	0.0177984570213867	-0.0278153442467086	1	0.101622691545177	-0.0828881836736617	0.109122914721402	-0.0281197242740697	-0.00849877519456224	0.00667448888634267	-0.120138301391379	-0.179728755691575	-0.00972223222844658	0.106121021317171	0.163525860425654	-0.019116258872518	0.00581683083636519	0.158473319023214	-0.0720752259367652	0.232599007608994	0.159572772541311	-0.0494197477789265	0.264666064499804	0.0852978673522737	0.0311977128220064	-0.155863897624733	0.160746753717712	-0.044378107578272	-0.369023173643388	-0.0649569260961743	-0.00277284497585245	-0.0928646481228831	0.0477217184407553	-0.144587861031227	-0.130423748888338	-0.00227706207241749	-0.0867327137748733	0.00280885514355636	-0.25731258276712	-0.0561305592481679	0.221168959713393	0.185914584080418	-0.118539283359985	-0.0775800097915654	-0.112592295653337	0.0378281680648388	0.0967315468168382	-0.043060519865347	-0.0441634537775103	0.144093131478266	-0.0569096993357799	0.14021427266084	-0.00785588543837601	0.0764937830256648	-0.0703679732129935	0.0773878385755691	0.116214160831346	-0.142191191539869	0.119327727414136	0.122948105369049	0.0225444582135722	0.0756291408814747	-0.0414690889244666	-0.11237784590145	0.164034187927796	-0.0489739418073652	-0.338956642335639	0.181567189842468	0.171885535395495	-0.130931726548583	-0.0889134519820461	0.0938013541902453	0.0406275497146554	0.0862747806152204	-0.0253308636651369	0.236444769798651	-0.00939334848507467	-0.020608905894815	0.296339157536138	-0.0736312148797022	0.167938595141405	0.129732644875861	-0.11440040876233	-0.0752651688642968	-0.110885509045483	-0.0524884419617939	0.237135905083532	0.0651347169455442	0.0204847733062124	-0.0132152125459895	-0.0255788692510536	-0.126499055840024	-0.0777366779835145	0.132143077650215	0.210244796868714	-0.287017160267456	-0.19467890173658	-0.0129907250477145	0.013980399885426	0.101681719310593	0.225161587179113
"cg00252534"	0.0418478880053667	0.307380376870699	-0.0192740497095256	0.144437467960956	0.206747281964053	0.0841060829144052	0.307799854334468	0.180670206662048	0.101622691545177	1	-0.0988850969145866	0.0848171880125219	0.289360607307927	-0.0239736486529442	0.202073871580166	0.0764327401231409	0.0634986991728021	0.0394278647005645	0.170599091756337	0.243791554348414	0.177910284595865	0.275405158376278	0.288445868884965	0.240784989017579	0.267732022851637	0.006218297795806	0.266626233722435	0.309625964795873	0.0467955635000825	0.161040874286327	0.240701363465756	0.0640989362102536	0.261869129369852	0.0453608661867289	0.238026810671528	-0.00648184180516761	0.225067829614255	-0.196454647234087	0.10071428007462	0.0378404848240927	0.216428219535694	0.0900951531852077	0.302064522692435	-0.10238435708053	0.246944462254565	-0.0284678102494562	0.224849739745551	0.0736079406227966	-0.128390503494103	0.308596710745995	0.37097238614827	0.100663010017688	0.155616273794163	0.0668641554506132	-0.141528903863132	0.362520438157586	-0.0229173758066184	0.123770441130451	0.129949491179142	-0.124933337020765	0.323719644179056	-0.00496882912477025	-0.0899716502642326	0.399863517746495	-0.0190964602893104	0.115346838290549	0.187533351780343	0.109629292234635	-0.00696975146398595	0.141542027899186	-0.0403970615007276	-0.0958371665139767	0.0997692468117583	0.262776384619313	0.0650935168120559	0.0742267481074791	0.14008138045979	0.00245241651996307	0.182972379904845	0.0104151044012627	0.211030204394818	0.161645217770487	0.338334627377478	0.447270709461897	0.212377095310425	0.15736816938718	0.129864070188626	0.240993324550963	0.0602748213322123	0.12673455009217	0.183057854437709	0.152279581601843	0.114015605636254	0.352436729421148	0.199797115414254	0.346571233701533	0.187481272656828	0.130428670157023	0.223260401692261	0.0677229216998563	0.0498755493534915	0.188125324349513	0.106979407610749	-0.0669639811267681	0.147973265169232	-0.0677334446717277
