"CFH"	"LAP3"	"SLC7A2"	"RECQL"	"RPAP3"	"ACSM3"	"TBXA2R"	"MARK4"	"CRAMP1"	"AASS"	"MPND"	"MGST1"	"MAPK8IP2"	"PAX7"	"IDS"	"CLCN6"	"UTP18"	"TTC19"	"TMEM159"	"ZMYND11"	"DPEP1"	"CYP3A43"	"VRK2"	"SNX1"	"ARNTL2"	"ARID4A"	"PNPLA6"	"USP2"	"METTL1"	"MSR1"	"C6"	"CUL7"	"EPHA3"	"GPM6B"	"CTPS2"	"SCML1"	"MRPS10"	"VAMP3"	"FOXP3"	"MSMO1"	"MRTO4"	"GYG2"	"PRDM1"	"TMCC3"	"RASGRF1"	"ZC3H11A"	"YIPF1"	"SPAG4"	"ZNF112"	"MTMR1"	"ADAT1"	"CYB5R4"	"COL17A1"	"CLDN18"	"PHKA1"	"DNTTIP2"	"RRP15"	"HYAL2"	"COASY"	"IP6K2"	"IFT80"	"MAST4"	"NUCKS1"	"BCL3"	"DGCR2"	"ZXDC"	"ST6GALNAC1"	"SLC6A15"	"ADGRL1"	"ASIC4"	"MPP5"	"HMMR"	"PVR"	"MCM2"	"GSDMB"	"CLASP1"	"SNCB"	"MGLL"	"IPCEF1"	"ENO1"	"TACR2"	"FOSL2"	"FRYL"	"TMEM131"	"PLD1"	"PTPN23"	"MCAM"	"RARB"	"TM9SF3"	"LRCH4"	"POLD3"	"CST7"	"NEBL"	"BPIFB2"	"XRCC5"	"CDC14A"	"RABL2B"	"RDH8"	"HSP90AA1"	"CACNA1S"	"C1QTNF3"	"ME2"	"ITGB5"	"ULK2"	"ZNF446"	"FAT1"	"HAL"	"SLCO1A2"	"WBP11"	"CAD"	"MYNN"	"PREP"	"CPNE3"	"ATG16L1"	"ERO1B"	"HSD17B2"	"PPP1R15A"	"CETP"	"DOCK3"	"NSFL1C"
"cg00022259"	0.00707045192896597	-0.00275471649272785	0.00844050008166746	0.0481722788510673	-0.0248939372854841	-0.0191319824359533	0.000976992520255039	-0.0243568296094178	0.0228327280186751	0.031086032463638	-0.0219763886899859	0.0257560454419359	0.0169417167744504	-0.0188724670964623	0.0383674412192394	0.0560906300391471	-0.0146641990118103	0.00116320510744007	-0.0347522481946615	0.0728587058447748	-0.0264647246015483	0.00772894509450795	0.0582782596594994	0.00484303780420465	0.0287881893901059	0.0733166923832229	-0.00551620193993696	0.00820893246810647	-0.0522366540995985	0.0475063765483059	0.0254100436560584	-0.0138877728088604	0.035665903652785	-0.0111116206723305	-0.0172650564646739	-0.00516503295841163	-0.0508069906822262	0.0473864756544216	3.01532615481419e-05	0.00325794781793517	-0.0101884608620857	0.0242578267429983	0.00233098784492818	0.0540657369179312	0.0264582802547189	0.0274726842850658	-0.0488925190834522	-0.0385763014594562	0.0546632816125206	0.0184758630587822	0.00995641532323684	0.00283081462295873	0.00466782652820481	0.0566447390556873	0.0321926145707886	-0.0132826725713111	0.0213899932285764	-0.0346906992207719	-0.0342898809582063	-0.0440391841404802	0.0128687011376083	0.0132938867242378	0.0107170051420575	-0.0359259050682496	0.0101639696166908	0.02227671712242	-0.0211857042854566	0.0243973544909255	0.00823142316991758	-0.0381994367559432	0.072615846320166	0.00772664632811177	0.0368458340699046	-0.0189773901481667	-0.0666595559261746	0.0470941889172255	-0.000372378958502056	0.0462911193924109	0.00973238311926863	-0.00196785814046032	-0.00649186825954415	0.0674779519755806	0.0479120730102971	0.0317006198771419	0.0544084260007173	0.00877587880642191	0.0476624043511485	-0.00251081235296343	0.0195889320139889	0.00478146951590161	0.0181615397989011	0.0272702838555055	0.0397670326028039	0.00788085431552134	-0.0188767445280943	0.0443433065791459	-0.0428838822135116	0.0630804625579291	-0.0115021921374205	0.0358268303638322	-0.0414415057784435	-0.0202976462921229	-0.00560702250539547	0.038420140225249	-0.0556833864140125	0.0146665714297611	-0.0112674328624929	-0.0135348584561587	0.0478217060124415	0.0219869035475211	0.0184348263573303	-0.00169667896723971	0.0679456308126951	-0.0251860194252392	0.0538275354914178	-0.0157865371153665	-0.0334156964458952	0.00110718339912945	0.0409740153435499	-0.0189230682334825
"cg00057791"	-0.0290598329629808	-0.156877592138703	0.1729878887162	0.00260975100013833	0.104322872857672	-0.0182242302876604	-0.015140982393738	-0.0168428659377045	0.00711978313201807	0.0988828125085444	-0.0425487039902054	0.0961525893051183	0.00871582286539862	-0.0201730334326536	0.0760579662231847	-0.0382511709062618	-0.0102365945980643	0.0927510016472981	0.0179778394972027	0.169912910349257	-0.241556211562849	0.0788372774903968	-0.0434466498076443	0.186879018614594	-0.20079193430996	0.132022409928309	-0.135807910210514	-0.0260252691696779	-0.0120638931165726	-0.116507041244602	0.0195999290285574	-0.0239379953639235	0.0964407842098901	-0.0330036028458568	0.110333619193392	-0.00437624693928506	-0.0179444778544385	-0.00283102278422008	-0.293142197171501	0.0531203853228357	-0.136513120458985	0.109735500878232	-0.210854817706348	0.00163439915754126	-0.20069004566293	0.12432633923376	0.0109570620542142	-0.14787348247194	0.15904223620512	-0.0191513669118724	0.111193294859201	-0.101968559167575	0.0273270672941051	0.062313926580762	0.142800456082335	0.0821009552386052	0.0236515461979289	-0.0603642470086507	0.0433328691750605	0.0578447103353696	-0.0663591869487073	0.166834192749345	0.116107434466883	-0.0450415445331208	0.0170475210927131	0.0046634461148333	0.0586346449443806	-0.0788128282022719	0.143052063902434	-0.109101015495915	0.123209120084775	-0.147337375100945	-0.0686216020982704	-0.123422201794817	-0.0273711650866307	0.0801398645528235	-0.126436346461938	0.164647327804475	-0.219244976785188	-0.215479107772788	0.0605715845710854	-0.011950843244984	0.124005471099068	0.112836607067147	-0.096440617994942	0.040748338499246	0.0865571235899285	-0.0552829799561393	0.0896121427366264	-0.146472262395454	-0.0114756276593699	-0.264943168768541	0.152107086041732	0.135448239225812	0.0721981065354656	0.0100092466946643	0.0898191358555088	-0.0435756867192608	0.0932398718912803	0.041806048136821	0.0842742829203583	-0.114552667083323	0.0904422997359227	0.1316023818007	0.0500982684029325	-0.01509427084006	-0.00584416434052556	-0.00575731003031644	0.135800586231921	-0.132503778340308	0.0452145442456756	-0.0557831407518257	0.133360229015104	0.0285545722620229	0.0718016331163888	-0.0443296377850796	-0.0489136484615423	-0.0537085360378189	-0.0779386066998845	0.0247495689019267
"cg00067124"	0.0561172058906567	0.0374204117456386	0.0265671617122397	0.0577470500128326	0.0587617705441363	-0.0352954237084488	-0.0526117093736757	-0.0577027692009475	-0.0120464057133954	0.0536944474975358	-0.0809197653322488	-0.0201924009869141	0.00167437638636033	0.0272040249228698	0.0907107903101745	0.0538579104894909	0.0144377105154819	-0.0167978871673238	-0.0199328116172754	0.0691523841355602	0.0561304808315011	-0.00348430256684101	0.0516584447341926	0.0192723798899314	0.000294725999890857	0.0906883204830264	-0.0689474177092487	0.0259868430403198	-0.0750365058994683	0.128685158681593	0.0487809068874509	-0.102686318319682	0.00189720603438024	-0.0572147923144773	-0.0277540273314889	0.0441584812884458	-0.0407877597038536	0.0760104349429024	0.0385091182200881	0.00550190782866556	-0.0331851251464078	-0.0329532781791953	0.0617738535719458	-0.00604695816477054	-0.0241353818190109	0.0837841535816112	0.0150308821447468	-0.0768991492784947	0.0577063118510705	0.107286896682813	0.048669699150005	0.0853902399322556	-7.59519062475055e-05	-0.0370597944826534	0.0455208509789624	0.00774602669377807	0.0301411690113499	-0.0609650729575832	-0.057541253135099	-0.0803959587320187	0.0855165229070173	0.0175331859251378	0.0287535781736113	0.0400625041896341	-0.116281302606426	0.0353478237036588	-0.049057565524827	0.00114375734734734	-0.0577875842386481	-0.0779129610942976	0.0481697406723757	0.0366281636423617	3.86979934605959e-05	-0.0290541237749874	-0.0293045370059065	-0.00473860752176591	-0.0420427079786767	-0.00308712000517574	0.0540155786961794	-0.0350536451735191	-0.0404529177172212	0.0394278920991278	0.0641639874236138	0.0669708707277228	0.0270634523428977	-0.0156924115669758	-0.059772310134223	-0.0160560702405323	0.0435428245194342	0.0314931185967098	0.0806784172684132	0.068177680224393	0.0244636913474619	-0.019371436711536	-0.0511363174649131	0.0398410448587177	0.0156855349093761	0.00286395855564956	-0.00842868503708289	-0.0184774183199124	0.0400218944359517	0.0621258261886809	-0.0135184245651513	0.0389270824691928	-0.0401109141916289	-0.00665066777485731	0.0639264939841742	-0.0906443087522016	0.0221900926187982	-0.0580159166219122	0.0873777522578305	-0.0530588731189974	0.076121853613246	-0.0613903181412861	0.00341971080050184	-0.0221576362451396	-0.0565713768242367	-0.00958094384933031	-0.00885083713593178	-0.0863419766980412
"cg00098336"	0.156379907133513	0.0270808051998164	-0.117242858049106	0.0494187243244067	-0.153083330163155	0.166527935324476	-0.0377658326570749	-0.075624717788664	-0.139308239759462	0.176233764735458	-0.109910017495771	0.147563519156297	-0.236453510785106	0.0958875063860156	0.0440104170337635	0.0429848163080818	-0.111354876314234	-0.0236057786387898	0.250079304951039	0.0550849196457494	-0.12142737225897	0.155913752993629	-0.0759066277234676	-0.00840932935313048	0.179602457626034	-0.0366283839938496	0.00364343397882596	0.24859534819654	-0.0984534956375377	-0.0972576395980725	0.121443676318302	-0.0934168842042074	-0.0256815284339616	0.362459439938329	-0.129582702400577	0.101838972035476	-0.040235506597154	0.101097907683096	-0.0311936936571785	-0.119605971036118	-0.0465992309414087	0.297305684841856	0.0426131606642687	0.142740627165024	0.193670323807698	0.0103978391513073	-0.261584534118692	-0.13474399149138	0.0552347855958324	-0.00773561632985786	-0.0160130854739225	0.0274622656733027	0.206159994127528	0.19782703834737	-0.119730884315184	0.0355002163561335	0.0473520199675573	0.00263358541599307	-0.268830666736676	-0.0104065295509053	-0.0182778453080201	-0.175481160273685	0.0641710737981856	-0.119932839430941	-0.0501200243342076	0.054816425696269	0.0704945331183266	0.240591524279234	0.00541701681512715	0.0747882973876567	-0.0215823027396997	-0.142064312773859	0.225984241862506	-0.0812655610137636	0.107719105100384	0.129900705869102	0.0539494114401661	0.141605024340355	0.0721402296314028	0.113174849550821	-0.00635406124476543	0.00504395777915379	-0.0408172337384407	-0.00352953602275595	0.294738298100768	-0.0974783650928013	0.240556483021095	0.210115028332675	0.026504987710834	-0.111401866173294	0.0520447053025326	0.0457841105449908	-0.160700226739787	-0.0932621469145146	-0.0415867815132845	0.0166013290659311	-0.106220986746332	0.0432905559008299	-0.0250913094564016	0.0112391483907301	-0.0435394239780745	0.162278906673629	-0.0660202324211347	-0.0821455088094481	-0.203636088061109	0.29257593845963	-0.0879569186119387	0.207456327728664	-0.104348056983513	0.0851622983011966	0.035926455021236	0.15798953360976	-0.104003622643871	-0.208761427063964	-0.0224938390809865	0.332010911519052	0.192532999285474	0.100789034401927	0.159458759573036	-0.0143929594090928
"cg00118342"	-0.382818944216485	-0.484307694371914	0.193615209640711	-0.114813725626816	0.191388209436114	-0.0837833420012127	-0.147573455358579	0.115229218826174	0.186366381160662	-0.0364783206358448	-0.0270725920202061	-0.0307633179932474	0.171758884725401	-0.0293198606690665	-0.0263024462366872	-0.104038864645545	0.103653230350475	0.228257969918199	-0.014898593073977	0.215273256800371	-0.312349695139356	0.00376931777839572	-0.0571836669450447	0.107088156821875	-0.392945332968344	0.0145249791193347	-0.200524313108759	-0.0104622998530907	0.135240335107858	-0.262084715175399	-0.262850776163262	0.109523887745977	-0.0228996441840041	-0.124241027097222	0.237308746121232	-0.16171668527792	0.0762470862297785	-0.123563655444369	-0.542027024123538	0.171647875108886	-0.0211546321497715	-0.134856203032344	-0.513875213926979	-0.326869829471826	-0.277066807353963	0.18110761043581	0.145974950758288	-0.0266300800783556	0.260594007057757	0.0351556164996385	0.11201935328981	-0.229292141060561	-0.0810610446994841	-1.84326866045103e-05	0.333552802639895	0.0282283349266047	0.202921603652607	-0.165110856457551	0.207942751843499	0.200022428841778	0.157425280847604	0.128983184559981	0.237097641531314	-0.115887083191641	0.120583361401344	0.123853499942883	-0.20369922567874	-0.124141183906998	0.172661638549322	-0.0348060373837238	0.187437783274424	-0.0102923776591107	-0.0900602980339053	0.0359316148991899	-0.139663994436914	0.0132606045933626	-0.12103071154651	-0.121023826404031	-0.652972337712912	-0.185663391717234	0.0489299343120246	-0.0564842664906659	0.0652944068641643	0.0368618503015025	-0.236234742222368	0.107574547635103	-0.196759133830531	-0.228127583235457	0.15592012798854	-0.141462541548043	0.0332337190219642	-0.725429091088025	0.387997767974082	0.12432311840413	0.214320919964792	-0.0603256068524216	0.174031172000611	-0.142274604244329	0.221504706585168	-0.0371202345190878	0.191894380149665	-0.236079532697017	0.132570176552575	0.243581843558532	0.242772775251824	-0.109103313120069	-0.0344819255849693	-0.091076121950174	0.147729781027047	-0.0449102861001636	0.118640874301031	-0.0884646034777281	0.222862080208568	0.14800649109556	0.101708206004991	-0.162806683195672	-0.214268354783073	-0.492438597740922	-0.0335285115676054	0.00848989881184998
"cg00184461"	-0.136976906503715	0.115721208409373	-0.0369019956960151	-0.0465125721526903	-0.0542548336303001	-0.00578994598058061	-0.0621205217455014	-0.00728879850627374	-0.0417009583639165	-0.103962178857941	0.174798613632192	0.0253099235074684	0.0570346537255896	-0.0148190051153	-0.134065652008516	-0.138490229516564	-0.0576676303100137	0.0858862346177902	-0.01273346065635	0.0144748420432535	0.100159890849387	0.00716806920090792	0.139409503888337	-0.0818213371201787	-0.00756519529952179	-0.107499122111753	0.102092560425502	-0.0626308221955621	0.082531416190463	0.115103270204328	-0.0647437407174666	0.0473301439285407	-0.18053626700648	-0.0650279972471488	-0.0292721930475981	-0.0506557348321727	-0.0214578203041522	-0.106233831801132	0.144298399010293	-0.0522552066858737	0.011138118505553	-0.0716771228454075	0.024629657704806	-0.163888848265208	-0.104684942741315	0.0477273017239325	0.0678532552551899	0.0467026377192953	0.0196745112571658	0.00708553090187287	-0.0737590706589135	-0.0851285363433731	-0.129778543699629	-0.0652541700202241	0.0764111865240178	-0.000578936456907133	0.0602201242010347	0.0275001193891737	0.022496409164482	-0.0241085679458511	-0.0247685840297348	-0.058241528834933	0.0566124962699239	0.143481921657961	0.00205508005524981	-0.0768169753437561	-0.149447423195664	-0.0634977525634725	0.0952934768965885	0.0553275229611816	-0.0530816217761538	0.0972463960368578	-0.0462450583379112	0.0822753680807095	-0.0153113923542787	-0.152364767467391	-0.0512973162700777	-0.137021345339132	-0.00149824860953748	-0.0132208561366354	0.0723868143909304	0.0169057309295102	-0.113450633050304	-0.116813021249118	-0.0615940036404641	0.0618388456569387	-0.169629923993653	-0.017596764252729	-0.101187653136366	-0.0216200447357285	0.0845710431106069	0.126740252076552	-0.0143565266718992	-0.0082692292552626	-0.0787936027329333	-0.0997263189268739	0.067206477648597	0.0156307730247085	-0.127133837323279	-0.0521869724609473	0.0267270157260428	0.0467893601210205	0.0218140418167793	-0.0337641259453093	0.0504184445140246	-0.0929925379190286	0.0283918651608944	-0.123099315507323	-0.0055981462087629	0.0836500974208055	-0.023643936470521	-0.0975089889279609	0.0172561702780033	0.00439666277117633	-0.10738814559092	-0.0457875595455171	-0.0862947891046792	-0.0683050031374175	-0.0201180097353327	-0.015693243371632
"cg00221718"	-0.213359544202983	0.034690134262358	0.172425073966369	-0.0974374938744598	0.135244662296215	-0.0443647360039028	-0.105463253101617	0.0598046737465234	0.0442027512166875	-0.0590256335911203	0.136694552815874	-0.152208939487635	0.253255892101704	-0.0851977947984428	-0.0444708168458288	-0.0656893689671283	0.126290877299559	0.115387107975143	-0.153131327844613	0.142990214474319	0.051086229093655	-0.0555712413042844	0.00920076111365752	0.00157237115109212	-0.268645385481207	0.0841549790117065	-0.00852249440341267	-0.16726241194403	-0.00215421606691334	-0.120806060709344	-0.0297572719083942	0.0728626842356904	-0.139740985127255	-0.209447684226136	0.155756692863528	-0.219405727260581	-0.108920297561497	-0.18306815107193	0.000680682513792051	0.0206894535725153	-0.018492787993784	-0.181171479920711	-0.147945645448923	-0.15862221963617	-0.110455606156264	0.160475010120299	0.100724236406343	0.00846450301176176	0.0975545294686798	0.15457512613745	0.0552763612371508	-0.0637970388874028	0.037526423573205	-0.135317470426674	0.146819632161628	-0.0504037195203793	0.120423174256941	-0.0440006664588072	0.134461887810697	0.111692354028817	-0.000972870741504102	0.0780488797025355	0.0913310587418585	0.0294813850371108	0.0743862436704822	0.0651180815349702	-0.034430554518557	-0.11652568631345	0.0334250291558765	-0.0359994316602652	0.0367799401591233	0.0792353979830222	-0.232606647569608	0.104395948696445	-0.029542379137268	-0.0862938067152438	-0.102180875503227	-0.0712681675198679	-0.010364344769054	-0.274597412497144	0.0476723904437826	-0.217456513689766	0.0966512034122426	0.0627614366227803	-0.272045263340266	0.163694233986532	-0.319737531591904	-0.0963859929107629	0.0135611588790551	0.180797909355922	0.0607024994980933	-0.0916390437058809	0.168000408659658	0.0993550600158715	0.0916622207102032	-0.000979075128471957	0.145830163131649	-0.201706806551975	0.00566708463833992	-0.0477502677870636	-0.117517263971777	-0.14125753811762	-0.038949132492002	0.0856127415122052	0.263717336672535	-0.244208070075216	-0.0216056831060463	-0.0407462832822096	0.110676225257636	0.0205080747237158	0.0510593741636389	-0.175855498468158	0.0503731426885984	0.264522950084161	0.0608993558657443	-0.13401372351133	-0.163581364142889	-0.218051648102153	-0.107014078489954	-0.0971616319476643
"cg00232805"	0.14353812567568	0.0499922857631458	0.0507862871140419	0.125618082853307	0.0689200456181959	-0.0222347674833065	-0.0521979307886535	-0.145983856425906	-0.0822319468316784	0.111659637722143	-0.141146838104823	0.0698421603937567	-0.0361370682938368	0.0275932909227633	0.117745083961695	0.045968752585653	0.0263573636364374	0.0328540595303562	-0.00241676291597624	0.123775440924903	-0.0654016324176586	0.0581652167134901	0.0689206586125133	0.100619680673224	0.0299271548801132	0.13512347850113	-0.1479975549556	-0.0294088622932697	-0.0696206818577541	0.06649094488423	0.084002463865863	-0.070872764658855	0.110952836057345	0.010518398800676	0.0160281158694546	0.00313817997567825	0.0280459096553284	0.15579223945906	-0.0482612968463413	0.0377825652700244	-0.0516614366366861	0.0946631000038484	0.0271137091654383	0.0503001288747665	-0.066053411335716	0.113559884126239	-0.0544659009065473	-0.0636092948931884	0.0617543625832841	-0.0333203144509606	0.131027281725572	0.0867387891335519	-0.0532353124244671	0.0504026711146284	0.0824982773485273	0.0837534676274403	0.0594526083321895	-0.118776246868877	-0.158115737601325	-0.120522834736621	0.045921556467247	0.0496154925727115	0.11914166330107	-0.0803216518271681	-0.142731921697531	-0.0335635593734855	-0.00577740129139644	0.00527386404076304	-0.0383877832163939	-0.120388623025854	0.0865173000456095	-0.0125773790087744	0.0210732509747612	-0.0513060000125789	-0.0329619622801813	0.131312832636662	-0.0436142605170156	0.0758339514150365	0.0245894466992743	-0.0265985391670128	-0.000992254170582321	0.0217124553170022	0.15916521389577	0.144965329767306	0.072207149516962	-0.0979444074262242	0.0645592512309151	0.0324317754467447	0.10545495666256	-0.136139061444676	0.0746075110842209	0.0129845219079948	0.0318897303060409	-0.0529445928682966	0.102966181155252	0.0244446441937551	-0.0584693808788848	0.0758133697642438	0.0757504635012872	0.00973409303016386	0.0698038997955899	0.108969500933308	-0.0112963137823606	0.0825984108467502	-0.179718829938226	0.0824446633815986	0.0541068092595617	-0.0172701099864357	0.0874915329370929	-0.052759621909863	0.0999713840148838	0.0408417652564806	0.113057273528799	-0.0478647722620198	0.0100266652304541	-0.0315733564219054	-0.0520068298291303	0.04520407078661	-0.0123390089239227	-0.0311290035776045
"cg00232831"	0.303971414112925	0.0809864162253845	0.137762794721025	0.0709614657373047	-0.191645693849466	0.0797684299120729	0.0549017413363956	-0.150841456102356	-0.0955599852935091	0.348057118969121	0.0194982610288154	-0.0382628885672032	-0.0935737046012133	-0.138720502161202	0.167389698832418	0.341725218483568	-0.182428496950768	-0.00241651793123471	-0.0939967292340018	-0.0203485839300607	0.0957047973726381	0.0463157903634017	0.0336858764804229	0.242399103631431	-0.0489598712696629	0.246870820575264	-0.0354345336144543	0.0825878877158664	-0.233031636741377	0.0725107725284499	0.294453807965455	-0.079096501662038	0.12704790719444	0.0759949473446374	-0.222808793458812	0.110095004430638	-0.242265147518344	0.242398707651583	-0.0111030352373182	-0.219347697531971	-0.154701335319401	0.145698336164144	0.144923455362144	0.131927690757662	-0.140931407566253	0.00360125893990893	0.0438409481996307	-0.144390576367129	0.0667722718356457	-0.13066185389442	-0.0834284451556308	-0.0292506454172326	0.196659421634285	0.144101633765751	-0.192876034746824	-0.00348982585090688	-0.207864252067332	0.0915124841088083	-0.0862116004036037	-0.0297266264442082	-0.0751484524658572	0.235071496802276	-0.101775769028145	-0.0512249635993692	0.0779820694753185	-0.138167902552741	0.140347505350872	-0.00843663123281709	-0.0309971817341475	-0.0957858737391961	0.0182544350042391	-0.284464609061129	-0.176198967167508	-0.292656774856505	-0.120896889498445	0.0238517313464977	-0.0673143768519652	0.223026296259045	0.221064707184036	-0.0699696211367929	-0.0116688486027307	0.118148301393991	0.0990602264857979	0.0357648659937191	0.133282222145928	-0.0413388381257361	0.23144378401888	0.178389832302213	-0.101819227390971	-0.0616365986568397	-0.107728833553142	0.199379832397454	-0.147302959936885	0.180491208365063	-0.1456895909234	0.147452163406862	0.0729101621074583	0.0306247069444965	-0.286009120723989	-0.0276619829643885	0.0212764458848736	-0.0353760184981506	0.175103845822436	0.0561477939664738	-0.00810958325842251	0.0690165613917976	-0.0544818861078088	0.0277504821286107	-0.217813303622191	-0.123591963184715	-0.0523826433958674	-0.138685150531412	-0.154318029375398	-0.106886634727897	-0.0201463764420217	-0.0329265574900523	0.199475836550196	0.247277490097367	-0.239925802212342	-0.138045395947021
"cg00252534"	-0.0407659945527836	-0.0785634127247785	0.301202294795122	-0.0804568017374285	-0.0158525410506878	-0.136247857176354	-0.0406169703580236	0.0408754382105754	0.0514779416184659	0.169479029646718	0.112263949828757	-0.0360526292437249	0.107818490219851	-0.0980334020159436	0.124406634689911	0.0989076666312938	-0.0300149217961784	0.117989371335848	-0.085959466026438	0.0986666948015431	-0.0294063716431839	0.105371152354468	-0.136312828385559	0.279564687698437	-0.284188114896724	0.137836051177884	-0.00268850054760889	-0.108568873120857	-0.0986959582273879	-0.104759569240994	0.126936325740979	-0.0319720906527553	0.0530655387084688	-0.155682771647058	0.0352581100521957	0.0457589001234019	-0.248752349201304	0.0631721753006951	-0.210272558395083	-0.0822160908405859	-0.130590617516021	0.070895467304606	-0.196419249228946	-0.0687664153797185	-0.178748238090217	0.0927220099886707	0.0665180250159649	-0.128318207232647	0.182098464433669	0.0134503642392694	-0.0231489156159756	-0.0717192377108211	0.130312861328228	0.0653687041099012	0.0183211050778022	-0.124397144837415	-0.111617955876999	0.00811323630828028	0.0968040725327278	0.15424742715541	0.012872521386735	0.314310530400967	-0.0444548389286882	-0.00496402179824314	0.0295723871748415	0.0166818263301236	0.0160048791284996	-0.12688121197118	0.124079043967646	-0.0660081399493504	0.0508242539409159	-0.161422006346122	-0.207533715923467	-0.190752790367408	-0.0853735835389126	-0.0992277868457783	-0.0693502229911259	0.110615777083802	-0.142176413025202	-0.315842336787889	-0.00637561766806245	0.00304738648091553	0.107699610549298	0.0184136679983297	-0.206222522392019	0.0700161039373436	-0.0734686572717479	-0.134028860645384	-0.0269705175232122	0.0498316463927346	-0.039813447493407	-0.179157893849252	0.103469343451454	0.227536456534514	0.0196410798671789	0.082719132491997	0.0717963116137526	-0.0959464607147955	-0.0829036835717587	-0.0130711938998809	0.149162199509257	-0.25151321298876	0.191662383927637	0.110960526305394	0.303710240397891	-0.155387250245657	0.00641213458869236	-0.135769288535638	0.0277287308552256	-0.18999848810107	0.0139990453931498	-0.223729927888309	-0.0515967698118536	0.1643797744251	0.138826729459329	-0.192307461238689	0.0152156408298045	-0.0727431616531814	-0.101721765838623	-0.104959392257251
