"cg01659586"	"cg00598009"	+
"cg00827893"	"cg00702417"	-
"cg00934120"	"cg00702417"	-
"cg00983697"	"cg00702417"	+
"cg01742263"	"cg00702638"	-
"cg01064363"	"cg00752195"	+
"cg00853237"	"cg00827893"	-
"cg00865962"	"cg00827893"	-
"cg00934120"	"cg00827893"	+
"cg00983697"	"cg00827893"	-
"cg01085569"	"cg00827893"	+
"cg01176141"	"cg00827893"	-
"cg01333824"	"cg00827893"	-
"cg01742263"	"cg00827893"	-
"cg01085569"	"cg00853237"	-
"cg01287088"	"cg00853237"	+
"cg01602153"	"cg00853237"	+
"cg00934120"	"cg00865962"	-
"cg00983697"	"cg00865962"	+
"cg00983697"	"cg00934120"	-
"cg01066936"	"cg00983697"	-
"cg01287088"	"cg01064363"	+
"cg01176141"	"cg01085569"	-
"cg01333824"	"cg01085569"	-
"cg01602153"	"cg01085569"	-
"cg01659586"	"cg01085569"	-
"cg01602153"	"cg01176141"	+
"cg01659586"	"cg01176141"	+
"cg01602153"	"cg01333824"	+
"cg01742263"	"cg01659586"	+
