"cg00570849"	"cg00057791"	+
"cg00765710"	"cg00067124"	-
"cg00465073"	"cg00098336"	+
"cg00513735"	"cg00098336"	+
"cg00664343"	"cg00098336"	+
"cg01085569"	"cg00098336"	+
"cg00929493"	"cg00118342"	+
"cg01738638"	"cg00118342"	-
"cg01333824"	"cg00184461"	+
"cg00351750"	"cg00221718"	+
"cg00623200"	"cg00221718"	+
"cg00862883"	"cg00232805"	+
"cg01084693"	"cg00232805"	+
"cg01634119"	"cg00232805"	+
"cg01646665"	"cg00232805"	+
"cg01660993"	"cg00232805"	+
"cg01532075"	"cg00252534"	+
"cg00623200"	"cg00351750"	+
"cg00763889"	"cg00351750"	+
"cg01659586"	"cg00369058"	+
"cg00513735"	"cg00465073"	+
"cg00664343"	"cg00465073"	+
"cg01082907"	"cg00465073"	+
"cg01085569"	"cg00465073"	+
"cg01233664"	"cg00465073"	+
"cg00623200"	"cg00500027"	+
"cg01112899"	"cg00513735"	+
"cg01532075"	"cg00598009"	+
"cg00732251"	"cg00623200"	+
"cg00752195"	"cg00623200"	+
"cg01333824"	"cg00623200"	+
"cg01659586"	"cg00623200"	+
"cg01742263"	"cg00623200"	+
"cg01214240"	"cg00632863"	+
"cg01532075"	"cg00632863"	+
"cg01229506"	"cg00664343"	+
"cg01233664"	"cg00664343"	+
"cg00852398"	"cg00693060"	+
"cg01229506"	"cg00693060"	+
"cg01274524"	"cg00693060"	+
"cg01570445"	"cg00693060"	+
"cg01082907"	"cg00702417"	+
"cg00926400"	"cg00752195"	+
"cg01659586"	"cg00752195"	+
"cg01560873"	"cg00852398"	+
"cg01599167"	"cg00852398"	+
"cg01634119"	"cg00862883"	+
"cg01646665"	"cg00862883"	+
"cg01066936"	"cg00929493"	-
"cg01738638"	"cg00934120"	+
"cg01274524"	"cg00946316"	+
"cg01287088"	"cg00964400"	+
"cg01082907"	"cg01021658"	+
"cg01214240"	"cg01021658"	+
"cg01738638"	"cg01066936"	+
"cg01112899"	"cg01082907"	+
"cg01634119"	"cg01084693"	+
"cg01233664"	"cg01085569"	+
"cg01274524"	"cg01085569"	+
"cg01570445"	"cg01085569"	+
"cg01484075"	"cg01112899"	+
"cg01274524"	"cg01229506"	+
"cg01570445"	"cg01229506"	+
"cg01634119"	"cg01245423"	+
"cg01660993"	"cg01245423"	+
"cg01314643"	"cg01274524"	+
"cg01343624"	"cg01274524"	+
"cg01570445"	"cg01274524"	+
"cg01412450"	"cg01285522"	+
"cg01570445"	"cg01314643"	+
"cg01659586"	"cg01321816"	+
"cg01742263"	"cg01333824"	+
"cg01570445"	"cg01343624"	+
"cg01570445"	"cg01560873"	+
"cg01599167"	"cg01560873"	+
"cg01646665"	"cg01634119"	+
"cg01660993"	"cg01634119"	+
"cg01746522"	"cg01742263"	+
