"cg01771876"	"cg00022259"	-
"cg00232805"	"cg00057791"	+
"cg01112899"	"cg00057791"	+
"cg01245423"	"cg00057791"	+
"cg01634119"	"cg00057791"	+
"cg01660993"	"cg00057791"	+
"cg00765710"	"cg00067124"	-
"cg00862883"	"cg00067124"	+
"cg01051583"	"cg00067124"	+
"cg01219670"	"cg00067124"	+
"cg01737667"	"cg00067124"	+
"cg01771876"	"cg00067124"	-
"cg00445548"	"cg00098336"	+
"cg00460286"	"cg00098336"	+
"cg00513735"	"cg00098336"	+
"cg00693060"	"cg00098336"	+
"cg00702417"	"cg00098336"	+
"cg01021658"	"cg00098336"	+
"cg01051583"	"cg00098336"	+
"cg01082907"	"cg00098336"	+
"cg01112899"	"cg00098336"	+
"cg01343624"	"cg00098336"	+
"cg01464067"	"cg00098336"	+
"cg01484075"	"cg00098336"	+
"cg01569339"	"cg00098336"	+
"cg01695023"	"cg00098336"	+
"cg00351750"	"cg00184461"	+
"cg00408231"	"cg00184461"	+
"cg00460286"	"cg00184461"	+
"cg00500027"	"cg00184461"	+
"cg00570849"	"cg00184461"	+
"cg00623200"	"cg00184461"	+
"cg00752195"	"cg00184461"	+
"cg00813993"	"cg00184461"	+
"cg00852398"	"cg00184461"	+
"cg00853237"	"cg00184461"	+
"cg00964400"	"cg00184461"	+
"cg01064363"	"cg00184461"	+
"cg01112899"	"cg00184461"	+
"cg01165159"	"cg00184461"	+
"cg01176141"	"cg00184461"	+
"cg01333824"	"cg00184461"	+
"cg01335162"	"cg00184461"	+
"cg01464067"	"cg00184461"	+
"cg01532075"	"cg00184461"	+
"cg01742263"	"cg00184461"	+
"cg00460286"	"cg00221718"	+
"cg01464067"	"cg00221718"	+
"cg00261665"	"cg00232805"	+
"cg00312474"	"cg00232805"	+
"cg00351750"	"cg00232805"	+
"cg00369058"	"cg00232805"	+
"cg00416492"	"cg00232805"	+
"cg00570849"	"cg00232805"	+
"cg00616129"	"cg00232805"	+
"cg00763889"	"cg00232805"	+
"cg00765710"	"cg00232805"	-
"cg00862883"	"cg00232805"	+
"cg00865962"	"cg00232805"	+
"cg00934120"	"cg00232805"	+
"cg01083711"	"cg00232805"	-
"cg01084693"	"cg00232805"	+
"cg01219670"	"cg00232805"	+
"cg01245423"	"cg00232805"	+
"cg01353347"	"cg00232805"	+
"cg01634119"	"cg00232805"	+
"cg01646665"	"cg00232805"	+
"cg01660993"	"cg00232805"	+
"cg01738638"	"cg00232805"	+
"cg01771876"	"cg00232805"	+
"cg01464067"	"cg00232831"	+
"cg00351750"	"cg00252534"	+
"cg00460286"	"cg00252534"	+
"cg00513735"	"cg00252534"	+
"cg00813993"	"cg00252534"	+
"cg01112899"	"cg00252534"	+
"cg01484075"	"cg00252534"	+
"cg01560873"	"cg00252534"	+
"cg01737667"	"cg00252534"	+
"cg00862883"	"cg00261665"	+
"cg01083711"	"cg00261665"	-
"cg01084693"	"cg00261665"	+
"cg01634119"	"cg00261665"	+
"cg01646665"	"cg00261665"	+
"cg00570849"	"cg00312474"	+
"cg01245423"	"cg00312474"	+
"cg01634119"	"cg00312474"	+
"cg01660993"	"cg00312474"	+
"cg01738638"	"cg00312474"	+
"cg00460286"	"cg00351750"	+
"cg00763889"	"cg00351750"	+
"cg01058584"	"cg00351750"	+
"cg01112899"	"cg00351750"	+
"cg01233664"	"cg00351750"	+
"cg01245423"	"cg00351750"	+
"cg01532075"	"cg00351750"	+
"cg01634119"	"cg00351750"	+
"cg01660993"	"cg00351750"	+
"cg01695023"	"cg00351750"	+
"cg00623200"	"cg00368636"	+
"cg00926400"	"cg00368636"	+
"cg01105948"	"cg00368636"	+
"cg01734786"	"cg00368636"	+
"cg01245423"	"cg00369058"	+
"cg01634119"	"cg00369058"	+
"cg01646665"	"cg00369058"	+
"cg01660993"	"cg00369058"	+
"cg00813993"	"cg00374492"	+
"cg01335162"	"cg00374492"	+
"cg01577414"	"cg00374492"	+
"cg01599167"	"cg00374492"	+
"cg01646665"	"cg00374492"	+
"cg01695023"	"cg00374492"	+
"cg01715143"	"cg00374492"	+
"cg00862883"	"cg00416492"	+
"cg00934120"	"cg00416492"	+
"cg01634119"	"cg00416492"	+
"cg01738638"	"cg00416492"	+
"cg00465073"	"cg00445548"	+
"cg00513735"	"cg00445548"	+
"cg00693060"	"cg00445548"	+
"cg01021658"	"cg00445548"	+
"cg01082907"	"cg00445548"	+
"cg01085569"	"cg00445548"	+
"cg01112899"	"cg00445548"	+
"cg01214240"	"cg00445548"	+
"cg01229506"	"cg00445548"	+
"cg01233664"	"cg00445548"	+
"cg01274524"	"cg00445548"	+
"cg01314643"	"cg00445548"	+
"cg01560873"	"cg00445548"	+
"cg01569339"	"cg00445548"	+
"cg01570445"	"cg00445548"	+
"cg00465073"	"cg00460286"	+
"cg00513735"	"cg00460286"	+
"cg00632863"	"cg00460286"	+
"cg00664343"	"cg00460286"	+
"cg00693060"	"cg00460286"	+
"cg00946316"	"cg00460286"	+
"cg01021658"	"cg00460286"	+
"cg01082907"	"cg00460286"	+
"cg01112899"	"cg00460286"	+
"cg01165159"	"cg00460286"	+
"cg01214240"	"cg00460286"	+
"cg01229506"	"cg00460286"	+
"cg01464067"	"cg00460286"	+
"cg01484075"	"cg00460286"	+
"cg01532075"	"cg00460286"	+
"cg01569339"	"cg00460286"	+
"cg01646665"	"cg00460286"	+
"cg01819880"	"cg00460286"	+
"cg00513735"	"cg00465073"	+
"cg00632863"	"cg00465073"	+
"cg00693060"	"cg00465073"	+
"cg00946316"	"cg00465073"	+
"cg01021658"	"cg00465073"	+
"cg01082907"	"cg00465073"	+
"cg01112899"	"cg00465073"	+
"cg01214240"	"cg00465073"	+
"cg01343624"	"cg00465073"	+
"cg01484075"	"cg00465073"	+
"cg01560873"	"cg00465073"	+
"cg01569339"	"cg00465073"	+
"cg00763889"	"cg00500027"	+
"cg00765710"	"cg00500027"	-
"cg00865962"	"cg00500027"	+
"cg01021658"	"cg00500027"	+
"cg01082907"	"cg00500027"	+
"cg01112899"	"cg00500027"	+
"cg01214240"	"cg00500027"	+
"cg01474003"	"cg00500027"	+
"cg01599167"	"cg00500027"	+
"cg01771876"	"cg00500027"	-
"cg00632863"	"cg00513735"	+
"cg00664343"	"cg00513735"	+
"cg00693060"	"cg00513735"	+
"cg00702417"	"cg00513735"	+
"cg00946316"	"cg00513735"	+
"cg01021658"	"cg00513735"	+
