RNA name	external_gene_name	GeneName	chromosome_name	start_position	end_position	strand	ensembl_gene_id	Biotyoe	TypeSimpl	Type	EntrezID	EntrezID.1	EntrezID.2
ENSG00000000005	TNMD	TNMD	X	100584802	100599885	1	ENSG00000000005	protein_coding	coding	mRNA	64102	64102	64102
ENSG00000001626	CFTR	CFTR	7	117465784	117715971	1	ENSG00000001626	protein_coding	coding	mRNA	1080	1080	1080
ENSG00000002079	MYH16	MYH16	7	99238829	99311130	1	ENSG00000002079	transcribed_unitary_pseudogene	other	pseudogene	ND	84176	84176
ENSG00000002726	AOC1	AOC1	7	150824627	150861504	1	ENSG00000002726	protein_coding	coding	mRNA	26	26	26
ENSG00000002745	WNT16	WNT16	7	121325367	121341104	1	ENSG00000002745	protein_coding	coding	mRNA	51384	51384	51384
ENSG00000002746	HECW1	HECW1	7	43112599	43566001	1	ENSG00000002746	protein_coding	coding	mRNA	23072	23072	23072
ENSG00000003096	KLHL13	KLHL13	X	117897813	118117340	-1	ENSG00000003096	protein_coding	coding	mRNA	90293	90293	90293
ENSG00000003137	CYP26B1	CYP26B1	2	72129238	72148038	-1	ENSG00000003137	protein_coding	coding	mRNA	56603	56603	56603
ENSG00000003987	MTMR7	MTMR7	8	17298030	17413528	-1	ENSG00000003987	protein_coding	coding	mRNA	9108	9108	9108
ENSG00000003989	SLC7A2	SLC7A2	8	17497088	17570573	1	ENSG00000003989	protein_coding	coding	mRNA	6542	6542	6542
ENSG00000004468	CD38	CD38	4	15778275	15853230	1	ENSG00000004468	protein_coding	coding	mRNA	952	952	952
ENSG00000004776	HSPB6	HSPB6	19	35754569	35758079	-1	ENSG00000004776	protein_coding	coding	mRNA	126393	126393	126393
ENSG00000004799	PDK4	PDK4	7	95583499	95596491	-1	ENSG00000004799	protein_coding	coding	mRNA	5166	5166	5166
ENSG00000004809	SLC22A16	SLC22A16	6	110424687	110476641	-1	ENSG00000004809	protein_coding	coding	mRNA	85413	85413	85413
ENSG00000004838	ZMYND10	ZMYND10	3	50341110	50346852	-1	ENSG00000004838	protein_coding	coding	mRNA	51364	51364	51364
ENSG00000004846	ABCB5	ABCB5	7	20615207	20777038	1	ENSG00000004846	protein_coding	coding	mRNA	340273	340273	340273
ENSG00000004848	ARX	ARX	X	25003694	25016420	-1	ENSG00000004848	protein_coding	coding	mRNA	170302	170302	170302
ENSG00000004939	SLC4A1	SLC4A1	17	44248385	44268141	-1	ENSG00000004939	protein_coding	coding	mRNA	6521	6521	6521
ENSG00000004948	CALCR	CALCR	7	93424487	93574730	-1	ENSG00000004948	protein_coding	coding	mRNA	799	799	799
ENSG00000005073	HOXA11	HOXA11	7	27181510	27185223	-1	ENSG00000005073	protein_coding	coding	mRNA	3207	3207	3207
