DNA	Fitness Score	Fitness Rank	Sign
cg11694119	('CG_of_ESR1_regulated',)	0.34242502459859714	1	+
cg03451296	('CG_of_ESR1_regulated',)	0.14272307728612726	2	+
cg20284025	('CG_of_ESR1_regulated',)	0.14272307728612726	3	+
cg24183909	('CG_of_ESR1_regulated',)	0.12667289614317384	4	+
cg22761619	('CG_of_ESR1_regulated',)	0.08009779428803487	5	+
cg23784313	('CG_of_ESR1_regulated',)	0.05475236186162219	6	+
cg07052041	('CG_of_ESR1_regulated',)	0.015953103687260613	7	+
cg22877623	('CG_of_ESR1_regulated',)	0.015953103687260613	8	+
cg10617287	('CG_of_ESR1_regulated',)	0.006549818518006171	9	+
cg18006085	('CG_of_ESR1_regulated',)	0.006549818518006171	10	+
cg09579323	('CG_of_ESR1_regulated',)	0.004922377029529107	11	+
cg18126572	('CG_of_ESR1_regulated',)	0.004922377029529107	12	+
cg06634862	('CG_of_ESR1_regulated',)	0.004791106853011612	13	+
cg07414392	('CG_of_ESR1_regulated',)	0.004791106853011612	14	+
cg06252985	('CG_of_ESR1_regulated',)	0.004791106853011612	15	+
cg09116658	('CG_of_ESR1_regulated',)	0.002615331186839322	16	+
cg11809702	('CG_of_ESR1_regulated',)	0.002615331186839322	17	+
cg12020983	('CG_of_ESR1_regulated',)	0.002615331186839322	18	+
cg18011946	('CG_of_ESR1_regulated',)	0.002615331186839322	19	+
cg17873919	('CG_of_ESR1_regulated',)	0.002615331186839322	20	+
cg18975638	('CG_of_ESR1_regulated',)	0.0009878896983622587	21	+
cg03546360	('CG_of_ESR1_regulated',)	0.000795581095612919	22	+
cg03655701	('CG_of_ESR1_regulated',)	0.000795581095612919	23	+
cg04245131	('CG_of_ESR1_regulated',)	0.000795581095612919	24	+
cg05685023	('CG_of_ESR1_regulated',)	0.000795581095612919	25	+
cg03676485	('CG_of_ESR1_regulated',)	0.000795581095612919	26	+
cg01441777	('CG_of_ESR1_regulated',)	0.000795581095612919	27	+
cg07313319	('CG_of_ESR1_regulated',)	0.000795581095612919	28	+
cg06991495	('CG_of_ESR1_regulated',)	0.000795581095612919	29	+
cg14510301	('CG_of_ESR1_regulated',)	0.000795581095612919	30	+
cg07298473	('CG_of_ESR1_regulated',)	0.0007459082055784905	31	+
cg16989719	('CG_of_ESR1_regulated',)	0.0007459082055784905	32	+
cg12568776	('CG_of_ESR1_regulated',)	0.0007459082055784905	33	+
cg17772490	('CG_of_ESR1_regulated',)	0.0007459082055784905	34	+
cg20900312	('CG_of_ESR1_regulated',)	0.0007459082055784905	35	+
cg04977602	('CG_of_ESR1_regulated',)	0.0006753026390650263	36	+
cg00066663	('CG_of_ESR1_regulated',)	0.0004942842214870965	37	+
cg26449836	('CG_of_ESR1_regulated',)	0.0004942842214870965	38	+
cg04571130	('CG_of_ESR1_regulated',)	0.00046436637614261344	39	+
cg06422039	('CG_of_ESR1_regulated',)	0.00046436637614261344	40	+
cg00610310	('CG_of_ESR1_regulated',)	0.00046436637614261344	41	+
cg06561886	('CG_of_ESR1_regulated',)	0.00046436637614261344	42	+
cg06748147	('CG_of_ESR1_regulated',)	0.00046436637614261344	43	+
cg01564818	('CG_of_ESR1_regulated',)	0.00044461133145266813	44	+
cg04902811	('CG_of_ESR1_regulated',)	0.00044461133145266813	45	+
cg10040836	('CG_of_ESR1_regulator',)	0.00044461133145266813	46	+
cg15483044	('CG_of_ESR1_regulated',)	0.00044461133145266813	47	+
cg23212388	('CG_of_ESR1_regulated',)	0.00044461133145266813	48	+
cg04259907	('CG_of_ESR1_regulated',)	0.0004146934861081851	49	+
cg15059162	('CG_of_ESR1_regulated',)	0.0004146934861081851	50	+
cg12426141	('CG_of_ESR1_regulated',)	0.0004146934861081851	51	+
cg06942111	('CG_of_ESR1_regulated',)	0.0003103590474498995	52	+
cg23655651	('CG_of_ESR1_regulated',)	0.0003103590474498995	53	+
cg24621042	('CG_of_ESR1_regulated',)	0.0003103590474498995	54	+
cg04891053	('CG_of_ESR1_regulated',)	0.0002691665548215339	55	+
cg04019636	('CG_of_ESR1_regulated',)	0.0002691665548215339	56	+
cg05699921	('CG_of_ESR1_regulated',)	0.0002691665548215339	57	+
cg05981785	('CG_of_ESR1_regulated',)	0.0002691665548215339	58	+
cg05335893	('CG_of_ESR1_regulated',)	0.0002606091529568411	59	+
cg07178968	('CG_of_ESR1_regulated',)	0.0002606091529568411	60	+
cg14032465	('CG_of_ESR1_regulated',)	0.0002606091529568411	61	+
cg07175301	('CG_of_ESR1_regulated',)	0.00021949366478710565	62	+
cg08536167	('CG_of_ESR1_regulated',)	0.00021949366478710565	63	+
cg06155620	('CG_of_ESR1_regulated',)	0.0002109362629224128	64	+
cg00177142	('CG_of_ESR1_regulated',)	0.0002109362629224128	65	+
cg05352688	('CG_of_ESR1_regulated',)	0.0001630695020167912	66	+
cg06784824	('CG_of_ESR1_regulated',)	0.0001630695020167912	67	+
cg02546477	('CG_of_ESR1_regulated',)	0.0001630695020167912	68	+
cg03998264	('CG_of_ESR1_regulated',)	0.0001630695020167912	69	+
cg03839161	('CG_of_ESR1_regulated',)	0.0001630695020167912	70	+
cg02258482	('CG_of_ESR1_regulated',)	0.0001630695020167912	71	+
cg15840039	('CG_of_ESR1_regulator',)	0.0001630695020167912	72	+
cg24041799	('CG_of_ESR1_regulated',)	0.0001630695020167912	73	+
cg24590633	('CG_of_ESR1_regulated',)	0.0001630695020167912	74	+
cg06182359	('CG_of_ESR1_regulated',)	0.00011339661198236284	75	+
cg06489037	('CG_of_ESR1_regulated',)	0.00011339661198236284	76	+
cg01471372	('CG_of_ESR1_regulated',)	0.00011339661198236284	77	+
cg03852570	('CG_of_ESR1_regulated',)	0.00011339661198236284	78	+
cg04813834	('CG_of_ESR1_regulated',)	0.00011339661198236284	79	+
cg06376161	('CG_of_ESR1_regulated',)	0.00011339661198236284	80	+
cg02818170	('CG_of_ESR1_regulated',)	0.00011339661198236284	81	+
cg09152259	('CG_of_ESR1_regulated',)	0.00011339661198236284	82	+
cg13068082	('CG_of_ESR1_regulated',)	0.00011339661198236284	83	+
cg23449588	('CG_of_ESR1_regulated',)	0.00011339661198236284	84	+
cg26549552	('CG_of_ESR1_regulated',)	0.00011339661198236284	85	+
cg05877402	('CG_of_ESR1_regulated',)	9.942278452748673e-05	86	+
cg08320303	('CG_of_ESR1_regulated',)	9.942278452748673e-05	87	+
cg16787365	('CG_of_ESR1_regulated',)	9.942278452748673e-05	88	+
cg02126477	('CG_of_ESR1_regulated',)	7.22041193539973e-05	89	+
cg23731901	('CG_of_ESR1_regulated',)	7.22041193539973e-05	90	+
cg01870865	('CG_of_ESR1_regulated',)	6.364671748930451e-05	91	+
cg01157280	('CG_of_ESR1_regulated',)	5.823029189912115e-05	92	+
cg00119073	('CG_of_ESR1_regulated',)	5.823029189912115e-05	93	+
cg07630327	('CG_of_ESR1_regulated',)	5.823029189912115e-05	94	+
cg03608224	('CG_of_ESR1_regulated',)	5.823029189912115e-05	95	+
cg02621481	('CG_of_ESR1_regulated',)	5.823029189912115e-05	96	+
cg06377256	('CG_of_ESR1_regulated',)	5.823029189912115e-05	97	+
cg01035931	('CG_of_ESR1_regulated',)	5.823029189912115e-05	98	+
cg16751781	('CG_of_ESR1_regulated',)	5.823029189912115e-05	99	+
cg22966065	('CG_of_ESR1_regulated',)	5.823029189912115e-05	100	+
cg21976880	('CG_of_ESR1_regulated',)	5.823029189912115e-05	101	+
cg24480577	('CG_of_ESR1_regulated',)	5.823029189912115e-05	102	+
cg03547355	('CG_of_ESR1_regulated',)	4.974989449305837e-05	103	+
cg02458141	('CG_of_ESR1_regulated',)	4.974989449305837e-05	104	+
cg00610692	('CG_of_ESR1_regulated',)	4.974989449305837e-05	105	+
cg03331514	('CG_of_ESR1_regulated',)	4.974989449305837e-05	106	+
cg02331303	('CG_of_ESR1_regulated',)	4.974989449305837e-05	107	+
cg03264464	('CG_of_ESR1_regulated',)	4.974989449305837e-05	108	+
cg07787614	('CG_of_ESR1_regulated',)	4.974989449305837e-05	109	+
cg08408874	('CG_of_ESR1_regulated',)	4.974989449305837e-05	110	+
cg21183846	('CG_of_ESR1_regulated',)	4.974989449305837e-05	111	+
cg20173428	('CG_of_ESR1_regulated',)	4.974989449305837e-05	112	+
cg04168474	('CG_of_ESR1_regulated',)	4.967289003442835e-05	113	+
cg04692506	('CG_of_ESR1_regulator',)	1.466039432383946e-05	114	+
cg06428196	('CG_of_ESR1_regulated',)	1.466039432383946e-05	115	+
cg05539265	('CG_of_ESR1_regulated',)	1.466039432383946e-05	116	+
cg02464901	('CG_of_ESR1_regulated',)	1.466039432383946e-05	117	+
cg05499499	('CG_of_ESR1_regulated',)	1.466039432383946e-05	118	+
cg04280772	('CG_of_ESR1_regulated',)	1.466039432383946e-05	119	+
cg03190578	('CG_of_ESR1_regulated',)	1.466039432383946e-05	120	+
cg07139503	('CG_of_ESR1_regulated',)	1.466039432383946e-05	121	+
cg02212575	('CG_of_ESR1_regulated',)	1.466039432383946e-05	122	+
cg03387103	('CG_of_ESR1_regulated',)	1.466039432383946e-05	123	+
cg02512867	('CG_of_ESR1_regulated',)	1.466039432383946e-05	124	+
cg06550986	('CG_of_ESR1_regulated',)	1.466039432383946e-05	125	+
cg04547002	('CG_of_ESR1_regulated',)	1.466039432383946e-05	126	+
cg05041265	('CG_of_ESR1_regulated',)	1.466039432383946e-05	127	+
cg02389084	('CG_of_ESR1_regulated',)	1.466039432383946e-05	128	+
cg06458904	('CG_of_ESR1_regulated',)	1.466039432383946e-05	129	+
cg03995434	('CG_of_ESR1_regulated',)	1.466039432383946e-05	130	+
cg00025347	('CG_of_ESR1_regulated',)	1.466039432383946e-05	131	+
cg06974428	('CG_of_ESR1_regulated',)	1.466039432383946e-05	132	+
cg05855983	('CG_of_ESR1_regulated',)	1.466039432383946e-05	133	+
cg00542261	('CG_of_ESR1_regulated',)	1.466039432383946e-05	134	+
cg03635073	('CG_of_ESR1_regulated',)	1.466039432383946e-05	135	+
cg01882535	('CG_of_ESR1_regulated',)	1.466039432383946e-05	136	+
cg05327192	('CG_of_ESR1_regulated',)	1.466039432383946e-05	137	+
cg00067884	('CG_of_ESR1_regulated',)	1.466039432383946e-05	138	+
cg02711212	('CG_of_ESR1_regulated',)	1.466039432383946e-05	139	+
cg03228065	('CG_of_ESR1_regulated',)	1.466039432383946e-05	140	+
cg07840332	('CG_of_ESR1_regulated',)	1.466039432383946e-05	141	+
cg04270264	('CG_of_ESR1_regulated',)	1.466039432383946e-05	142	+
cg06099014	('CG_of_ESR1_regulated',)	1.466039432383946e-05	143	+
cg02643667	('CG_of_ESR1_regulated',)	1.466039432383946e-05	144	+
cg16013349	('CG_of_ESR1_regulated',)	1.466039432383946e-05	145	+
cg12301620	('CG_of_ESR1_regulated',)	1.466039432383946e-05	146	+
cg09757400	('CG_of_ESR1_regulated',)	1.466039432383946e-05	147	+
cg09209002	('CG_of_ESR1_regulated',)	1.466039432383946e-05	148	+
cg09458940	('CG_of_ESR1_regulated',)	1.466039432383946e-05	149	+
cg12451007	('CG_of_ESR1_regulated',)	1.466039432383946e-05	150	+
cg08836861	('CG_of_ESR1_regulated',)	1.466039432383946e-05	151	+
cg20078972	('CG_of_ESR1_regulator',)	1.466039432383946e-05	152	+
cg23705119	('CG_of_ESR1_regulator', 'CG_of_ESR1_regulated')	1.466039432383946e-05	153	+
cg18623708	('CG_of_ESR1_regulated',)	1.466039432383946e-05	154	+
cg21562889	('CG_of_ESR1_regulated',)	1.466039432383946e-05	155	+
cg02086349	('CG_of_ESR1_regulated',)	8.557401864692805e-06	156	+
cg06441106	('CG_of_ESR1_regulated',)	8.557401864692805e-06	157	+
cg05721773	('CG_of_ESR1_regulated',)	8.557401864692805e-06	158	+
